# Step: 23000.0
# U_max: 3.007633686065674
# x (configurations):
-1.237546 -1.459044
-1.122849 -0.393020
-0.103360 -0.621036
-1.011895 -0.471585
-0.396127 -0.911697
-0.719603 -2.157786
-1.074000 -0.560144
-0.536992 -1.729317
-1.192462 -0.021628
-1.100835 -0.041063
-1.212532 -2.858913
-0.822513 -1.987244
-1.012885 -1.942034
-0.554846 -1.308921
-0.534992 -0.528574
-1.385339 -0.562031
-1.162587 -2.181845
-0.181737 -0.682941
-1.012147 -0.923064
-0.969656 -1.639235
-1.125175 -2.020018
-0.531901 -1.617996
-1.259123 -1.411528
-1.328787 -1.164999
-0.168928 -0.427240
-0.108999 -0.113417
-1.369736 -1.860561
-1.513887 -1.337814
-0.795277 -1.674587
0.809567 0.425881
-1.053013 -2.042388
0.675182 0.330337
-1.071592 -2.331811
-1.058289 -0.983032
0.680263 0.174858
-1.348618 -2.702771
-1.252896 -1.047445
-0.585392 -0.661727
-0.514669 -1.124313
-1.357198 -2.736934
-0.526599 -1.428019
-1.149706 -1.215173
-0.916816 -0.087178
-0.618991 -0.004948
-0.814806 -1.607999
-0.029588 -0.253074
-0.685070 -1.379163
-1.197666 -1.115379
-0.706482 -2.101741
-0.999608 -1.420156
-0.864849 -0.262958
-0.518748 -1.482022
-1.038249 -2.127258
-1.060790 -2.037612
-1.269026 -0.684635
-1.203096 -2.732490
-0.817492 -1.505740
-0.254611 -0.382559
-0.417963 -0.418395
-1.106202 -1.152398
-0.593858 -0.685967
-0.716297 -2.015952
-0.075666 -0.596879
-0.897756 -0.724268
-0.390910 -0.563646
-0.360116 -0.623792
-1.311531 -0.216780
-0.410203 -0.106255
0.572741 0.203926
-0.851152 -2.117045
-1.326271 -1.781762
-0.912012 -0.171182
-1.134677 -1.758796
-0.999753 -2.512796
-1.071007 -0.227992
-1.164487 -0.906497
-0.577734 -0.440801
-0.192631 -1.000003
-0.577622 -0.083137
-0.789800 -1.299886
-1.578397 -2.032037
-0.861068 -0.216097
0.736092 0.212284
-0.342354 -0.881546
-1.268655 -2.666047
-1.034702 -2.113602
-1.010375 -0.630646
-0.513374 -0.992859
-0.642987 -1.466149
-0.656658 -1.945306
-0.800209 -1.679291
-0.110846 -0.592851
-1.392703 -2.483055
