# Step: 73000.0
# U_max: -3.302824020385742
# x (configurations):
-1.110596 -1.231336
-1.113704 -1.242947
-1.079292 -1.382518
-1.130052 -1.304899
-1.105288 -1.428988
-1.132510 -1.368960
-1.124575 -1.499793
-1.149852 -1.322277
-1.122559 -1.465670
-1.116490 -1.367284
-1.144164 -1.402214
-1.082056 -1.387283
-1.054140 -1.326638
-1.138788 -1.306103
-1.123691 -1.380206
-1.159867 -1.395772
-1.094643 -1.289633
-1.094381 -1.313253
-1.112545 -1.277676
-1.058063 -1.320013
-1.099998 -1.453125
-1.129601 -1.475394
-1.136831 -1.386405
-1.086502 -1.430269
-1.111640 -1.488195
-1.058685 -1.319506
-1.114412 -1.450452
-1.112607 -1.365874
-1.086495 -1.241732
-1.101114 -1.472975
-1.132148 -1.436477
-1.115705 -1.469392
-1.108798 -1.453037
-1.122943 -1.332170
-1.098207 -1.375220
-1.141510 -1.494649
-1.145516 -1.327602
-1.119706 -1.428800
-1.148507 -1.385026
-1.143401 -1.450916
-1.067618 -1.383351
-1.122338 -1.341862
-1.080743 -1.312254
-1.099464 -1.316499
-1.103755 -1.240809
-1.078538 -1.427611
-1.083320 -1.446022
-1.088762 -1.433250
-1.081405 -1.289615
-1.066182 -1.223284
-1.075414 -1.388980
-1.144265 -1.409278
-1.099375 -1.404204
-1.121313 -1.265449
-1.087299 -1.456916
-1.121901 -1.490145
-1.056141 -1.245013
-1.122491 -1.456079
-1.113557 -1.407402
-1.064048 -1.374588
-1.081701 -1.380716
-1.099595 -1.273251
-1.063185 -1.387848
-1.052950 -1.251985
-1.122136 -1.278225
-1.086439 -1.439263
-1.123126 -1.320461
-1.151581 -1.331466
-1.116964 -1.328020
-1.112473 -1.494145
-1.135913 -1.345868
-1.114534 -1.466741
-1.144854 -1.313559
-1.062515 -1.280746
-1.152832 -1.339018
-1.095822 -1.237322
-1.094977 -1.253402
-1.080973 -1.446316
-1.156571 -1.466130
-1.080974 -1.293611
-1.135328 -1.300910
-1.126446 -1.271692
-1.071432 -1.253148
-1.130994 -1.346235
-1.109271 -1.279107
-1.080774 -1.344159
-1.125917 -1.366523
-1.072425 -1.299033
-1.121739 -1.294540
-1.125902 -1.468164
-1.078130 -1.409716
-1.145983 -1.427795
-1.142625 -1.295991
-1.145385 -1.411020
-1.139712 -1.418261
-1.106400 -1.249705
-1.052045 -1.330194
-1.148232 -1.470956
-1.131353 -1.451523
-1.093119 -1.319135
-1.122720 -1.282302
-1.091403 -1.449491
-1.082044 -1.283398
-1.068409 -1.324215
-1.136684 -1.313246
-1.124605 -1.264294
-1.087067 -1.398157
-1.107467 -1.443116
-1.129609 -1.440581
-1.112207 -1.310455
-1.059322 -1.304800
-1.109142 -1.273982
-1.090723 -1.330015
-1.115223 -1.376342
-1.102680 -1.255181
-1.156885 -1.430774
-1.123172 -1.391915
-1.111416 -1.458383
-1.055294 -1.278159
-1.070400 -1.310984
-1.111964 -1.315879
-1.102994 -1.284049
-1.082341 -1.409043
-1.072552 -1.377978
-1.086648 -1.292494
-1.112890 -1.373039
-1.106206 -1.468344
-1.110852 -1.458341
-1.144240 -1.376266
-1.125336 -1.371425
-1.115854 -1.319383
-1.141882 -1.445054
-1.144168 -1.309755
-1.122236 -1.323147
-1.144783 -1.493356
-1.072980 -1.330634
-1.081199 -1.234302
-1.097759 -1.316182
-1.124820 -1.463882
-1.055303 -1.254260
-1.127621 -1.339220
-1.102844 -1.316599
-1.133357 -1.476376
-1.130262 -1.402887
-1.143823 -1.388462
-1.147487 -1.395073
-1.132232 -1.278160
-1.142018 -1.491540
-1.150635 -1.346941
-1.060558 -1.344592
-1.103881 -1.268229
-1.134717 -1.404903
-1.053668 -1.346597
-1.078732 -1.414275
-1.120023 -1.333426
-1.062830 -1.388084
-1.118341 -1.453496
-1.066946 -1.284753
-1.097695 -1.463664
-1.074939 -1.224365
-1.139168 -1.305462
-1.081356 -1.347774
-1.093701 -1.263634
-1.119124 -1.319737
-1.118451 -1.316684
-1.159625 -1.421927
-1.141834 -1.339723
-1.052127 -1.297461
-1.058338 -1.238469
-1.114697 -1.272570
-1.089269 -1.320378
-1.154069 -1.384264
-1.090000 -1.315933
-1.113402 -1.305962
-1.108006 -1.401335
-1.118167 -1.332823
-1.109517 -1.274529
-1.090035 -1.255175
-1.116262 -1.367901
-1.059984 -1.309949
-1.156517 -1.380081
-1.069211 -1.269620
-1.106303 -1.298861
-1.142220 -1.490145
-1.104681 -1.299625
-1.060886 -1.232780
-1.082951 -1.365099
-1.121245 -1.390153
-1.093725 -1.345160
-1.131157 -1.344286
-1.109257 -1.319392
-1.120623 -1.285751
-1.159184 -1.395084
-1.123757 -1.291129
-1.089555 -1.257675
-1.077394 -1.424162
-1.141362 -1.385312
-1.099312 -1.222998
-1.113738 -1.258212
-1.100473 -1.398769
-1.059072 -1.315509
-1.089098 -1.426507
-1.081624 -1.331121
-1.122094 -1.470820
-1.125679 -1.470167
-1.098914 -1.218396
-1.103983 -1.225926
-1.123344 -1.457693
-1.074544 -1.390131
-1.092418 -1.255340
-1.130114 -1.275398
-1.054790 -1.283532
-1.092102 -1.225951
-1.125395 -1.262108
-1.136819 -1.295397
-1.069295 -1.284531
-1.123170 -1.357052
-1.096472 -1.303400
-1.075470 -1.325695
-1.066545 -1.254516
-1.147536 -1.461576
-1.130039 -1.494431
-1.062804 -1.397777
-1.090938 -1.414816
-1.076900 -1.408182
-1.085547 -1.452886
-1.051034 -1.268173
-1.062413 -1.380128
-1.154810 -1.339554
-1.099318 -1.236958
-1.129232 -1.416410
-1.124043 -1.397215
-1.060191 -1.268982
-1.116311 -1.332381
-1.100452 -1.340333
-1.077396 -1.284467
-1.119261 -1.455826
-1.072510 -1.234286
-1.127586 -1.327529
-1.053006 -1.297439
-1.143261 -1.421651
-1.139191 -1.379614
-1.136766 -1.330532
-1.075234 -1.250622
-1.066687 -1.341794
-1.126206 -1.270038
-1.149503 -1.411989
-1.142707 -1.388474
-1.083712 -1.236170
-1.152204 -1.406258
-1.123333 -1.359041
-1.062103 -1.240685
-1.100329 -1.421188
-1.077451 -1.293819
-1.128728 -1.467450
-1.078692 -1.223828
-1.127199 -1.303471
-1.136544 -1.354764
-1.156916 -1.417626
-1.085924 -1.264959
-1.139487 -1.477689
-1.136170 -1.367029
-1.087014 -1.461039
-1.052941 -1.260990
-1.057914 -1.283587
-1.064327 -1.319404
-1.126315 -1.255808
-1.124793 -1.451307
-1.112114 -1.469032
-1.088787 -1.347759
-1.104666 -1.302122
-1.129676 -1.270054
-1.111355 -1.440967
-1.085792 -1.227077
-1.126527 -1.351444
-1.107968 -1.275828
-1.111884 -1.260689
-1.097219 -1.462138
-1.125627 -1.474017
-1.123688 -1.283842
-1.076663 -1.312459
-1.062418 -1.230844
-1.113597 -1.344794
-1.059601 -1.297235
-1.049857 -1.310772
-1.097202 -1.440054
-1.091568 -1.456936
-1.132929 -1.327546
-1.080841 -1.439059
-1.108474 -1.381204
-1.111462 -1.352565
-1.106217 -1.248454
-1.069922 -1.365920
-1.100420 -1.480847
-1.140289 -1.348479
-1.081857 -1.399692
-1.148616 -1.483225
-1.152925 -1.410526
-1.113293 -1.466478
-1.101773 -1.438261
-1.066496 -1.355852
-1.157851 -1.372716
-1.072419 -1.358769
-1.063935 -1.238995
-1.080654 -1.326258
-1.103080 -1.427156
-1.123674 -1.446266
-1.099717 -1.274076
-1.099695 -1.467989
-1.088682 -1.310499
-1.159068 -1.400369
-1.105609 -1.224203
-1.122984 -1.480927
-1.066683 -1.393915
-1.091465 -1.452515
-1.062590 -1.338924
-1.145156 -1.297858
-1.085587 -1.350791
-1.099275 -1.266205
-1.068655 -1.395860
-1.117936 -1.239865
-1.128291 -1.501608
-1.116458 -1.441180
-1.162791 -1.404784
-1.118107 -1.411536
-1.081016 -1.443532
-1.110272 -1.419796
-1.152570 -1.412588
-1.057834 -1.251804
-1.133956 -1.373246
-1.132196 -1.269271
-1.133140 -1.418837
-1.120291 -1.286811
-1.093606 -1.399446
-1.060860 -1.235141
-1.159281 -1.416449
-1.085834 -1.340845
-1.141625 -1.294390
-1.110002 -1.277886
-1.085832 -1.414420
-1.073782 -1.226866
-1.065599 -1.304184
-1.153349 -1.336236
-1.056772 -1.285622
-1.157771 -1.440571
-1.100025 -1.239214
-1.152339 -1.398137
-1.132814 -1.272431
-1.146561 -1.424709
-1.088823 -1.393490
-1.097643 -1.297857
-1.105056 -1.290876
-1.101195 -1.305548
-1.110931 -1.228155
-1.141541 -1.318149
-1.128180 -1.317222
-1.081919 -1.393199
-1.149739 -1.392455
-1.070999 -1.228388
-1.074032 -1.355093
-1.129189 -1.408312
-1.058865 -1.268768
-1.117668 -1.391539
-1.089185 -1.449770
-1.071647 -1.345312
-1.122522 -1.458950
-1.115879 -1.367781
-1.106948 -1.284094
-1.107509 -1.412715
-1.076825 -1.292859
-1.073221 -1.413097
-1.122176 -1.483176
-1.057678 -1.348499
