# Step: 16000.0
# U_max: 6.151777267456055
# x (configurations):
-0.447700 -1.593362
-0.648747 -0.208228
-0.734643 -2.251189
-0.557577 -0.998009
0.574870 -0.391814
-0.139294 -1.077098
0.951771 1.069553
-0.579832 -0.342262
0.040748 -0.101416
-0.627391 -0.257089
-0.254126 -0.571449
1.351685 0.836326
-0.624189 -1.768955
-1.371869 -0.974353
-1.589309 -1.674939
-0.562657 0.128974
0.685228 -0.373185
-0.854938 -1.130685
-0.701853 0.311075
-0.038257 -0.740466
-1.089960 -0.509716
-0.960822 -0.506327
-1.043934 0.055982
-1.295465 -2.747227
0.965584 0.939430
0.753551 0.312868
0.882670 0.209051
-1.467544 -1.305358
0.656316 -0.294832
0.390022 -0.182399
-1.537563 -2.689872
0.594808 1.103081
0.721698 0.102163
-0.543386 0.223506
0.157999 0.811007
0.557981 0.419176
-1.426446 -1.776711
-1.222442 -3.082424
-0.867193 -1.686119
0.626455 -0.146605
-1.681151 -1.609055
-0.733539 0.279931
-1.508363 -1.024190
0.393750 -0.510762
0.468940 1.221141
0.865734 1.263704
-0.526277 -0.550118
-0.756627 -0.751279
1.052812 0.266886
-0.265911 -0.285317
0.958565 -0.021217
-1.181678 -0.267144
-0.972564 -2.236113
-1.213859 -1.178454
-0.788449 -0.553190
-0.921404 -1.866868
-0.725768 -2.429672
0.542826 -0.482703
0.394774 0.059011
0.284348 -0.549955
-0.445416 0.078677
0.925221 0.072679
0.723978 0.622658
0.511134 -0.104366
0.605725 0.446695
-1.658478 -1.876966
-0.911151 -1.814168
-0.414371 -1.062464
-1.264679 -3.061548
-1.154756 -1.126100
0.942765 1.139267
-0.923794 -0.326732
-0.352916 0.108959
-0.060764 0.158885
0.214560 -0.315726
0.960347 1.694650
-1.033421 -2.005719
-1.446055 -1.920964
-0.341548 0.556322
-0.159913 0.290381
-0.191923 -0.024316
0.285355 0.300526
-1.040114 -1.752632
0.577663 0.314559
-0.010595 -0.908426
-0.646413 -1.349990
-1.546362 -2.562204
-1.386811 -2.744367
-1.351249 -2.188880
-1.454739 -0.404136
-0.541662 -1.972133
0.770473 0.272182
-0.027844 0.179692
0.481405 0.820957
-0.440477 -1.069566
-0.677205 -0.403938
-0.739486 -2.444183
-0.916123 0.558425
-1.368938 -2.438175
0.065328 -0.284397
0.131639 -0.991997
1.321247 1.011891
-1.163440 -2.081196
-1.022475 -0.343538
-0.473516 0.123739
-0.998792 0.303776
-0.083126 -0.923955
-0.729651 -2.246491
-0.401082 -1.261301
1.231433 1.037595
-0.467692 -1.108342
0.607476 0.032968
-0.661284 -2.096225
0.867116 0.638686
-0.533981 -0.715607
-1.452555 -1.056557
-0.519408 -0.059301
0.963139 1.555111
0.665030 0.954300
0.458363 0.159379
-1.403872 -0.786696
0.532692 0.938217
-0.431150 -1.924497
-0.922126 -0.460318
0.148452 0.876362
-1.075704 0.160400
-0.707159 0.268396
-0.952002 -2.551776
0.824353 -0.445652
0.606885 0.465088
-1.635270 -2.146523
-0.302131 -1.335327
-0.935683 -1.241101
-0.800319 -0.532374
-0.219388 -0.822056
0.230176 -0.884793
-1.250430 -0.895916
-0.470033 -0.891766
0.450628 0.635060
-0.578724 -1.914346
-1.704647 -1.711609
-0.910811 -1.104437
-0.743873 -1.966678
1.286250 1.160989
-0.938188 -1.235950
0.894523 0.021140
0.905915 -0.067319
0.474470 0.762383
0.125322 -0.432281
0.251086 0.243349
-1.163521 -0.411715
0.471381 1.160297
0.563657 1.143204
-0.386595 -0.600233
0.451039 0.357648
-0.489832 -0.617768
-0.134655 0.564154
-0.617275 0.219487
-1.164186 -2.238533
-0.296713 -0.117801
-1.256834 -2.595520
0.774112 1.445783
0.387845 -0.078844
-0.908951 -0.462323
0.963492 0.183592
-0.556638 0.523436
1.337539 0.867949
-1.577469 -1.409365
-0.223046 -0.557709
0.782803 1.082789
-0.806603 -2.351730
0.158372 -0.874849
-0.646366 0.323192
-1.265887 -1.450484
0.824450 1.214122
-1.374208 -2.533494
-0.940599 0.380515
0.198993 -0.706357
0.493166 0.174609
1.171954 1.532126
1.147063 1.201675
-0.957020 -0.763131
0.022114 0.099737
-0.854345 -0.101334
-0.242573 -0.159350
-1.013641 -0.892456
-0.631386 -1.519616
-0.575662 -1.531725
-0.263011 -0.201576
-0.754338 0.405523
0.415856 -0.641305
-1.409943 -1.980267
-1.155187 -2.172873
-1.245859 -1.673131
-0.402951 -1.559607
-1.262479 -0.168929
-0.031957 0.509126
-0.868177 -1.626925
-0.487569 -1.195029
1.062191 1.197840
-0.301904 -1.805129
-0.807406 -0.764246
0.390696 0.641681
-1.190717 -2.622926
-1.572390 -2.657073
-0.752628 0.371876
-1.261313 -2.848946
-1.268333 -2.399932
-1.521021 -1.106034
0.853841 1.038874
-0.954170 -2.579376
-1.375029 -0.458375
1.069885 0.659034
-0.595171 -2.203635
0.349666 0.020388
-0.600845 -0.323977
1.288040 1.295349
-1.117717 -3.053115
0.414464 -0.334547
0.779904 1.482230
-0.909906 0.259760
-0.127387 -1.464567
-0.537484 0.612858
-1.013176 -0.657388
-1.145052 0.360682
-0.809533 -0.217456
-0.468913 -0.262130
1.134163 1.590224
0.272775 0.293330
0.514133 0.058404
-0.346040 -1.209922
-1.336924 -1.404221
-1.109290 -0.129078
-0.502110 0.201236
0.432945 0.282401
0.990028 0.765577
0.023218 -0.276206
0.572837 -0.221401
-0.929271 -2.008752
0.588182 0.976002
-1.285321 -1.411282
-0.102423 0.022153
0.585368 -0.509244
0.761844 0.760914
0.727432 -0.387934
0.743531 0.887565
1.104308 -0.101360
-1.633769 -2.626403
0.175782 -0.687275
-0.270175 0.503428
1.078864 1.431352
-0.642442 0.470651
-0.039518 0.615538
1.153821 0.826384
-1.081817 -0.401206
-1.451261 -2.168625
0.265179 -0.320727
0.866721 0.111024
-1.658200 -1.859449
-0.338767 -0.277228
0.796346 -0.435130
-1.177822 -1.125001
0.958790 -0.230663
-0.580329 -1.937434
-1.004068 -1.161608
0.949238 0.770890
-1.089128 -0.993924
-0.046974 -1.258760
-0.710995 -2.175244
-0.632679 -0.411917
0.953029 -0.181502
-1.037420 -2.242414
-0.168835 0.280462
-0.168721 0.288983
-0.180532 -1.493238
-0.442570 -1.038310
-1.457154 -2.173229
-0.502241 0.531957
-0.948864 -2.367048
-0.915500 -2.355355
1.225928 1.416403
-1.234308 -1.314012
-0.910869 -1.817343
-0.910209 -0.314155
-0.284206 -0.502273
-0.900824 -1.476905
-1.437979 -2.606962
-1.006347 -0.278229
-0.769158 0.020709
-0.729041 -0.439490
-1.268838 -1.840660
-1.092395 -1.926767
-0.068433 -1.304154
0.418845 -0.641229
-0.864858 -1.716997
-0.747516 -1.862852
1.114751 1.202671
-1.508945 -2.862697
-1.422094 -0.237149
-1.653744 -1.999930
0.821806 -0.058952
-0.157153 -1.538909
0.750102 0.396008
1.004916 1.427157
0.151459 0.381049
0.467648 0.421680
-0.545192 -1.466096
0.805614 -0.393778
-0.941490 -2.686776
-1.608478 -2.365191
-1.371895 -1.415214
0.750187 0.759834
-1.389884 -2.219584
-1.633967 -1.517060
0.195539 0.905673
1.036000 0.239532
-0.717639 0.302803
-0.743590 -0.270176
-0.132601 -1.190480
-0.131368 -1.111514
-0.412742 -0.319638
-0.393077 -0.418363
-1.213253 0.058852
-0.944366 0.338811
-0.293434 -0.354218
0.169913 0.884245
1.187563 0.100828
-1.234274 0.139489
-0.880355 -1.450774
-0.745061 -0.385563
-1.221717 -2.859308
-0.518312 -2.152778
-0.530855 0.261701
1.053825 0.236812
-1.311140 -1.679670
-0.336029 0.672983
-0.750079 -0.652244
0.931101 1.444486
-1.207512 -0.749630
0.582634 -0.051551
0.902272 1.013316
0.555252 0.018828
-0.626363 -0.571080
0.485078 0.026927
-0.791818 -0.613033
0.469791 -0.719731
0.134018 -0.235099
0.055756 0.098441
0.143618 -1.100738
-1.470031 -0.226409
0.675578 0.965936
-0.417306 0.545749
0.442269 -0.056581
-0.592726 0.290953
1.240013 1.199473
-0.785870 -1.618210
0.944679 1.058250
-1.247092 -3.160207
0.262657 0.991823
-0.053503 0.334537
-0.059305 -0.378220
0.715014 0.347253
-1.660733 -1.216140
0.638323 1.374723
0.437223 -0.601457
-0.065581 0.462992
-1.538267 -1.840390
0.527643 -0.016457
-0.369209 0.678964
-1.242306 0.023463
0.205004 0.833966
-0.566946 -1.997570
-0.350689 -0.706105
-0.924211 -0.808847
-1.156011 -0.555843
-0.142469 -0.855727
0.368957 -0.582132
0.016111 0.033308
-0.926921 -0.081635
-0.942735 -0.436901
0.072065 0.367745
-1.116764 -2.142305
-1.320938 -2.988592
0.003278 -0.522822
-0.910762 -0.090937
-1.198145 -1.327050
-1.128570 -1.880699
0.375877 0.430461
0.489261 0.261965
-0.677495 -1.250450
-1.020221 -2.292013
0.027884 -0.803355
0.597791 0.840869
0.801192 0.033752
-1.052291 -2.911554
0.782113 1.523931
-0.090004 -0.062650
0.966800 -0.229660
1.149744 1.575374
-1.099292 -2.645596
-0.981344 -0.989722
0.832646 0.119529
-0.624093 -1.821781
-0.911806 -0.572909
-0.674913 -1.395546
0.518630 -0.103670
1.092947 1.739453
0.021101 0.314107
0.841810 1.188475
-0.838181 -2.686289
-0.975301 0.512678
0.713960 0.097486
-1.633684 -1.911252
1.168963 0.836926
0.526593 0.188488
-0.330283 -1.227813
0.376464 -0.273865
-0.109998 -1.337390
0.895837 0.214265
0.092085 0.286403
0.012906 -0.985587
-0.000485 -1.096514
0.716079 0.151676
-0.489360 -0.087016
0.503407 -0.094046
-0.666157 -0.800750
0.834953 0.784575
0.558631 0.323091
0.840074 1.542007
0.565041 -0.084066
-0.749266 -1.065025
-0.325266 -1.847309
-1.352738 -3.208243
0.793882 1.506889
-1.078248 -2.593397
-1.236056 -1.437541
0.777730 0.981973
-0.398609 -1.961348
-0.317342 -0.640138
-1.186409 -0.191684
-1.182996 -1.491175
1.144376 0.610993
-0.348400 -1.316275
1.249157 0.870177
-0.655735 -2.152575
0.311972 1.019882
-1.380857 -0.882278
-0.097791 -0.813075
-0.549471 0.052879
-1.513268 -2.723633
-0.606334 -1.135487
