# Step: 50000.0
# U_max: -2.804062843322754
# x (configurations):
-1.061334 -0.900045
-1.126418 -1.128739
-0.971659 -0.919926
-1.139181 -1.550584
-1.062964 -1.260957
-0.946769 -1.444595
-0.945504 -1.035094
-1.069745 -1.563369
-1.206772 -1.563475
-1.158243 -1.314352
-1.239952 -1.341463
-1.061200 -1.679398
-1.005410 -1.298740
-1.204004 -1.747153
-1.094861 -0.938857
-1.116678 -1.737682
-1.012610 -1.262986
-0.963916 -1.106243
-1.233832 -1.459933
-0.910988 -1.136317
-1.119703 -1.530310
-1.041755 -1.045410
-1.160670 -1.029478
-0.968059 -1.029103
-1.040217 -0.914940
-1.142743 -1.669737
-1.170457 -1.178657
-1.006385 -1.141032
-1.250484 -1.323470
-1.136937 -1.722824
-1.233670 -1.362992
-1.035553 -0.929879
-1.165725 -1.041207
-1.209569 -1.253586
-1.201068 -1.777886
-1.220721 -1.318832
-1.061515 -1.542239
-1.222698 -1.246634
-1.040906 -1.066052
-1.233917 -1.563616
-1.010599 -1.491757
-1.023975 -1.311856
-1.021949 -0.945890
-1.159245 -1.172227
-1.028406 -0.926399
-1.029704 -1.044920
-1.159164 -1.360913
-0.936313 -1.099855
-1.059440 -1.340518
-1.073022 -1.376239
-1.154241 -1.232366
-1.109722 -0.940931
-1.169238 -1.670352
-1.155425 -1.768217
-0.968425 -0.986162
-1.181784 -1.643444
-0.998852 -1.407586
-1.110817 -1.173267
-1.024474 -1.145968
-0.960595 -1.470792
-1.147719 -1.735207
-1.070382 -1.290422
-1.222677 -1.784356
-1.051135 -1.633473
-0.985161 -1.470558
-1.224741 -1.270993
-1.217787 -1.541553
-1.040860 -1.375971
-1.028885 -1.599832
-1.136672 -1.478754
-1.145439 -1.122926
-1.123640 -1.660476
-1.043412 -0.964184
-1.127854 -1.170741
-1.064169 -1.521413
-0.957940 -1.446469
-1.089685 -1.424979
-1.196070 -1.505122
-1.026246 -1.550362
-1.218599 -1.355322
-0.986991 -0.919428
-1.263706 -1.694616
-1.123777 -1.069249
-1.066428 -1.369005
-1.183787 -1.133871
-1.137847 -1.107024
-1.124221 -1.357083
-0.988133 -1.157793
-1.152363 -1.407717
-0.978653 -0.929489
-1.089253 -1.674675
-1.214712 -1.534383
-1.137429 -1.257314
-1.214630 -1.652116
-0.937640 -0.963746
-1.229315 -1.389953
-1.111993 -1.465803
-1.121203 -1.023490
-0.918861 -1.295045
-1.033258 -1.071038
-1.038058 -1.080021
-1.259135 -1.313539
-1.206293 -1.231534
-1.152287 -1.003124
-1.144533 -1.085258
-0.972576 -0.938252
-1.017647 -0.907211
-1.207126 -1.629354
-1.056470 -1.329263
-0.917145 -1.059635
-0.915745 -1.290013
-0.934151 -1.127623
-1.098634 -1.422109
-1.055156 -1.359549
-1.008191 -1.593158
-0.920579 -1.066694
-1.163081 -1.261665
-0.954971 -1.139152
-1.091124 -0.938088
-0.983380 -1.230531
-1.076286 -1.166847
-0.938307 -1.045164
-1.088111 -1.424816
-1.200038 -1.367073
-1.074639 -1.185598
-0.969479 -1.506168
-1.052281 -1.404464
-0.942837 -1.429022
-1.274382 -1.471111
-1.183041 -1.599434
-0.979425 -1.112069
-1.255743 -1.332969
-0.971409 -1.319723
-1.019352 -1.054440
-0.992376 -1.179489
-1.125488 -1.425674
-1.206560 -1.737617
-0.995687 -0.898904
-1.148434 -1.613492
-1.204339 -1.265092
-0.921402 -1.299433
-0.991029 -1.184129
-1.175498 -1.578969
-1.084159 -1.728860
-1.266049 -1.523622
-1.103960 -1.610698
-0.990068 -1.012675
-1.111039 -1.211737
-0.964227 -1.128923
-1.198210 -1.134036
-1.185109 -1.803661
-0.917094 -1.111322
-1.159377 -1.288419
-0.940228 -1.304145
-1.044257 -1.318570
-1.045294 -1.025629
-1.091806 -1.523690
-1.033380 -1.318680
-1.245778 -1.625990
-0.910605 -1.070961
-1.130428 -1.666569
-1.262734 -1.491357
-1.251775 -1.375751
-0.981324 -1.012652
-1.060274 -1.597359
-0.917276 -1.279724
-1.269824 -1.466779
-0.962616 -1.377225
-1.254229 -1.507317
-1.202529 -1.332869
-1.162252 -1.175024
-1.037648 -1.535203
-1.110983 -1.045497
-1.044129 -0.978480
-1.136091 -1.431109
-1.150056 -1.612078
-0.977544 -1.010717
-1.206183 -1.742249
-1.143202 -1.465593
-1.164598 -1.114791
-1.053023 -1.281051
-1.071035 -1.084609
-1.000363 -1.142958
-1.041018 -1.299515
-1.217784 -1.147214
-1.082030 -1.284528
-1.160387 -1.408791
-1.183728 -1.561490
-1.138356 -0.999750
-0.964022 -1.246747
-1.204598 -1.479868
-1.154593 -1.556459
-1.016196 -1.036823
-1.209412 -1.318171
-1.259982 -1.678498
-0.960302 -1.286599
-1.146771 -1.005807
-0.943565 -0.996698
-0.994110 -1.012142
-0.921610 -1.154272
-1.099139 -1.412354
-0.967301 -0.997244
-0.956173 -1.157220
-1.101456 -1.495919
-1.037491 -1.345799
-1.010927 -1.121053
-1.020230 -1.003610
-1.238946 -1.757164
-1.147214 -1.527659
-1.236794 -1.373638
-1.197457 -1.473720
-1.017077 -1.593476
-1.102322 -1.227881
-1.073540 -1.243234
-0.930532 -1.199526
-1.140248 -1.484652
-1.082405 -1.349273
-1.072114 -1.172444
-1.191801 -1.421207
-1.247277 -1.499760
-1.237443 -1.290588
-1.249559 -1.544532
-1.132447 -1.056475
-1.136682 -1.402376
-1.001081 -1.251484
-1.211269 -1.434598
-1.011470 -1.384565
-1.225219 -1.774093
-1.138755 -1.688810
-1.123300 -0.994507
-1.162498 -1.340910
-1.202168 -1.243821
-1.247582 -1.357154
-1.223673 -1.545757
-1.231207 -1.251894
-1.171437 -1.417795
-1.010510 -1.011906
-0.986930 -1.573707
-0.995541 -1.516493
-1.164425 -1.412900
-1.214535 -1.715557
-1.144301 -1.658676
-1.252466 -1.287167
-1.165797 -1.208444
-1.080955 -1.198029
-1.183589 -1.127470
-1.188640 -1.248251
-0.951516 -1.411542
-1.252883 -1.555015
-0.954883 -1.151467
-1.008438 -1.472881
-0.970755 -1.025616
-1.206563 -1.129452
-1.138469 -1.734954
-1.123960 -1.335775
-1.105162 -1.608393
-1.046658 -0.980814
-1.106403 -1.487573
-1.173065 -1.079627
-0.997475 -1.561920
-1.167479 -1.516469
-1.205337 -1.247355
-1.049178 -1.545642
-1.144214 -1.450864
-1.015365 -1.119455
-1.055997 -1.036893
-1.115218 -1.412542
-1.137046 -1.497733
-0.991666 -1.198886
-1.178942 -1.063562
-1.029507 -0.979692
-1.198221 -1.497494
-1.166424 -1.721594
-1.164329 -1.361878
-1.140370 -1.222329
-1.020523 -1.205616
-1.093199 -1.139842
-1.005468 -1.062817
-1.038271 -1.446922
-0.995036 -1.042009
-1.167038 -1.719119
-1.053804 -1.288875
-1.157983 -1.407957
-1.190902 -1.633864
-0.977423 -1.228781
-1.243737 -1.476148
-1.022543 -1.362172
-1.178006 -1.756787
-1.259986 -1.620722
-1.105979 -1.353050
-1.152570 -1.146126
