# Step: -2
# U_max: -3.1266238689422607
# Energy-calls: 146250.0
# x (configurations):
-1.009631 -1.177148
-1.227255 -1.675076
-1.202875 -1.275368
-1.046193 -1.206291
-1.104602 -1.294551
-1.157553 -1.484801
-1.170902 -1.270588
-1.114377 -1.331227
-1.187754 -1.372943
-1.130744 -1.057999
-1.105652 -1.364236
-1.065507 -1.590425
-1.168868 -1.374611
-0.998581 -1.465498
-1.118811 -1.392328
-1.120221 -1.582748
-1.163610 -1.468255
-1.129389 -1.526075
-1.153874 -1.738507
-1.163678 -1.208367
-1.129907 -1.441642
-1.004059 -0.942854
-1.176030 -1.384988
-1.141208 -1.375722
-1.233482 -1.601388
-0.967362 -1.305360
-1.242213 -1.312181
-1.185608 -1.601387
-1.119807 -1.351035
-1.016663 -1.334956
-1.065199 -1.392880
-1.263322 -1.445470
-1.053830 -1.362351
-1.079093 -0.971001
-1.025975 -1.428536
-1.054024 -1.407275
-1.135755 -1.551319
-1.111947 -1.416261
-1.037276 -1.038592
-1.074978 -1.282804
-1.116672 -1.265965
-0.971513 -1.458681
-1.098394 -1.468803
-1.060511 -1.052277
-1.069295 -1.390121
-1.128258 -1.135162
-1.070313 -1.160309
-1.109976 -1.151447
-1.067548 -1.311488
-1.160450 -1.258879
-1.223526 -1.666675
-1.256374 -1.275874
-0.954747 -1.411581
-1.218216 -1.618653
-1.112535 -1.528942
-1.126996 -1.453963
-0.965839 -1.217327
-1.178699 -1.212358
-1.199991 -1.616955
-1.115023 -1.145954
-1.022119 -1.279277
-0.999606 -1.328423
-1.141275 -1.062013
-1.043311 -1.244302
-1.137521 -1.493336
-1.133773 -1.049960
-1.149550 -1.557751
-1.228811 -1.253256
-1.049884 -1.561056
-1.100854 -1.481297
-0.979382 -1.148108
-1.053797 -1.122656
-1.120467 -1.314860
-1.117124 -1.338676
-1.087506 -1.153618
-1.111509 -1.326917
-1.169701 -1.742880
-0.895158 -1.141986
-1.017608 -1.260764
-1.024672 -1.172773
-1.156049 -1.325556
-1.183990 -1.670033
-1.023937 -1.125213
-1.222986 -1.501559
-1.008697 -1.274364
-1.044338 -1.533452
-1.080511 -1.349414
-1.083304 -1.607973
-1.084535 -1.020575
-1.143804 -1.252378
-1.036446 -1.060734
-1.138796 -1.561797
-1.251027 -1.518005
-1.005339 -1.056822
-1.084256 -0.944406
-1.224096 -1.256488
-1.083830 -1.485522
-1.018303 -1.471893
-1.073620 -1.043722
-0.999884 -1.244615
-1.119132 -1.194242
-1.149957 -1.523207
-1.163311 -1.582137
-0.971935 -1.339678
-1.279060 -1.585429
-1.060532 -1.404722
-1.083909 -1.695004
-1.023263 -1.187097
-1.140162 -1.383345
-1.212110 -1.653366
-1.127403 -1.191808
-1.118256 -1.543599
-1.050374 -1.324961
-1.243291 -1.289229
-1.110045 -1.530795
-1.097200 -1.258780
-1.061421 -1.450979
-1.149397 -1.389367
-1.111088 -1.175446
-1.084996 -1.471919
-1.058570 -1.607509
-1.077322 -1.238748
-1.118478 -1.512713
-1.065946 -1.306317
-1.063204 -1.107330
-1.171863 -1.365175
-1.022813 -1.450820
-0.991456 -1.259292
-1.135914 -1.089647
-1.058333 -1.375308
-1.251450 -1.367899
-1.201198 -1.578252
-1.081703 -1.556143
-1.115399 -1.351668
-1.090778 -1.200440
-1.256949 -1.704649
-1.032481 -1.211812
-1.145869 -1.101591
-1.040523 -1.095009
-1.233131 -1.515471
-1.075824 -1.122748
-1.182708 -1.442570
-1.222869 -1.402420
-1.052686 -1.265695
-1.072301 -1.101413
-1.071408 -1.355420
-1.136304 -1.164100
-1.219179 -1.349176
-1.087146 -1.293383
-1.236117 -1.763547
-1.063149 -1.343477
-1.005568 -1.267986
-1.193846 -1.422752
-1.124397 -1.516484
-1.126994 -1.268611
-1.027921 -1.216186
-1.125422 -1.319064
-1.179933 -1.176654
-1.261589 -1.606149
-1.199878 -1.481673
-1.041110 -1.195271
-1.147695 -1.621322
-1.013570 -1.311802
-0.989474 -1.157085
-1.104680 -1.209725
-1.159178 -1.517156
-1.101857 -0.964998
-1.008843 -1.386290
-1.013675 -1.246853
-1.043869 -1.233002
-1.129612 -1.478899
-1.082652 -1.429336
-1.069260 -1.382546
-1.160278 -1.564631
-1.240844 -1.394883
-1.176329 -1.172022
-1.316317 -1.327686
-1.186623 -1.259056
-1.087641 -1.119020
-1.082172 -1.517913
-1.041138 -1.074092
-1.159018 -1.615801
-1.031934 -1.199524
-1.220307 -1.640672
-1.220982 -1.617395
-1.103291 -1.027819
-1.078683 -1.448905
-1.051427 -1.376193
-1.146635 -1.204738
-1.068871 -1.181623
-1.069694 -1.419043
-0.994628 -1.123626
-1.140919 -1.565077
-1.041148 -1.052541
-0.998893 -1.154034
-1.214708 -1.378565
-1.063168 -1.005593
-1.236841 -1.301758
-1.034103 -1.228526
-1.002420 -1.429045
-1.195162 -1.337603
-1.102780 -1.624580
-1.198210 -1.507647
-1.130735 -1.431420
-1.191215 -1.128066
-1.130204 -1.171788
-1.097077 -1.374091
-1.029311 -1.458198
-1.108406 -1.426399
-1.054867 -1.555621
-1.129422 -1.613425
-1.225808 -1.691891
-1.097871 -1.369718
-1.096023 -1.078841
-1.031976 -0.976690
-1.123724 -1.372820
-1.065195 -1.513998
-1.002368 -1.336241
-1.069383 -1.598976
-1.105034 -1.420305
-1.139038 -1.383775
-1.218829 -1.699888
-0.950657 -1.350692
-1.078115 -1.369321
-1.030880 -1.593634
-1.185267 -1.473508
-1.110009 -1.404544
-1.139005 -1.494338
-1.000826 -1.315482
-1.014325 -1.475975
-1.075215 -1.193338
-0.987007 -1.418273
-1.084430 -1.274263
-1.164712 -1.270835
-1.112453 -1.460298
-1.122955 -1.068417
-1.203042 -1.260734
-1.153953 -1.361295
-1.130759 -1.331792
-1.107783 -1.177723
-1.031088 -1.283639
-1.016510 -1.004581
-1.150157 -1.342107
-1.115493 -1.580878
-1.152381 -1.438840
-1.071957 -1.503680
-1.126478 -1.631228
-1.100223 -1.476851
-1.217187 -1.640183
-1.160690 -1.315818
-1.156655 -1.471758
-1.066985 -1.330747
-1.190864 -1.436423
-1.224748 -1.265935
-1.019883 -1.225149
-0.941142 -1.242506
-1.093253 -1.442647
-0.977579 -1.409416
-0.956525 -1.186316
-0.990958 -1.269625
-1.118400 -1.361608
-1.103186 -1.109248
-1.104145 -1.355613
-1.109248 -1.166562
-1.110718 -1.708462
-1.141743 -1.219025
-1.042295 -1.320185
-1.017482 -1.337088
-1.184988 -1.482704
-1.139724 -1.424402
-1.114507 -1.401686
-1.086774 -1.076980
-1.196024 -1.192825
-1.098579 -1.436979
-0.978063 -1.246082
-1.030419 -1.231414
-1.037137 -1.389426
-1.212497 -1.506999
-1.049194 -1.381363
-0.972970 -1.113243
-1.057762 -1.290387
-1.142249 -1.183979
-1.074337 -1.336318
-1.117041 -1.257580
-1.188492 -1.467964
-1.136560 -1.483518
-1.070382 -1.321118
-1.004831 -1.336650
-1.056842 -1.201924
-1.142900 -1.594908
-1.045809 -1.129920
-1.132630 -1.120315
-1.182655 -1.399598
-1.047602 -1.395065
-1.132873 -1.161106
-1.177608 -1.234818
-1.199123 -1.613373
-1.163633 -1.698517
-1.044063 -1.389532
-1.024151 -0.984833
-1.079914 -1.275593
-1.157242 -1.714799
-1.008965 -1.123635
-1.153734 -1.683070
-1.052561 -1.393950
-1.143525 -1.034744
-1.237940 -1.595958
-1.146304 -1.736230
-0.988661 -1.292149
-1.122069 -1.422288
-1.210992 -1.436692
-1.082335 -1.438173
-1.054736 -1.149869
-1.092274 -1.623719
-1.214605 -1.620587
-1.236730 -1.379380
-1.107606 -1.444874
-0.961905 -1.186407
-1.006777 -1.310559
-1.195889 -1.666661
-1.081354 -1.281939
-1.245944 -1.403032
-1.151188 -1.325614
-1.088164 -1.257808
-1.140820 -1.243038
-1.069299 -1.036403
-1.094645 -0.984623
-1.095294 -1.553631
-1.134650 -1.351249
-1.081558 -1.083520
-1.050058 -1.451288
-1.055040 -1.220097
-0.994066 -1.252970
-1.101739 -1.270033
