# Step: -1
# U_max: -0.00038921134546399117
# x (configurations):
-1.283030 -2.253360
-1.376235 -1.909610
-1.282848 -1.380746
-1.237588 -0.706891
-0.946303 -0.376217
-0.802676 -1.743652
-1.121224 -1.200719
-0.832928 -0.447479
-0.827111 -1.850576
-1.136049 -1.575910
-1.150458 -0.523915
-0.713169 -0.599027
-0.972319 -0.316507
-1.263526 -1.767323
-1.316556 -1.071909
-0.649347 -0.603443
-1.095576 -1.045558
-1.007023 -1.733690
-0.940212 -1.711614
-0.960165 -0.867874
-1.296209 -0.907335
-0.781620 -0.947534
-0.949304 -0.876582
-1.189846 -0.940257
-1.270339 -1.660607
-0.991356 -0.718063
-1.267876 -2.250297
-1.300992 -1.673098
-1.326468 -2.205324
-1.208388 -0.627436
-1.202721 -0.533863
-0.890818 -0.471651
-0.911941 -0.341385
-0.648259 -0.911517
-0.765601 -0.790753
-1.393211 -2.246485
-0.885394 -1.210478
-1.093321 -0.622732
-1.107970 -1.364779
-1.387766 -1.762490
-0.742640 -0.464653
-0.946217 -0.525676
-1.268641 -2.315660
-1.161324 -1.486269
-0.928301 -0.474348
-1.460367 -1.373450
-0.621786 -0.782330
-1.340463 -1.180157
-1.130948 -1.296138
-1.038400 -0.837486
-0.899862 -1.329899
-0.861019 -0.287764
-1.204397 -2.205984
-1.365375 -1.089948
-0.670939 -0.664776
-1.182102 -1.389788
-1.005725 -1.696458
-1.298743 -1.599947
-0.800688 -1.660416
-1.298309 -1.566355
-1.177558 -0.928190
-1.261237 -1.551927
-1.047002 -0.861085
-0.582643 -0.737837
-1.123751 -0.953944
-1.260928 -0.777459
-1.061241 -0.982053
-0.872180 -1.976398
-0.949166 -1.046506
-1.351821 -1.094004
-0.986809 -1.056374
-0.704145 -0.772440
-1.189203 -0.619261
-1.270219 -0.843588
-1.085201 -1.499956
-1.411067 -1.439182
-1.166700 -0.664945
-0.744649 -0.715768
-0.815137 -1.072913
-0.990052 -0.811102
-0.632334 -0.466684
-0.979998 -1.575331
-0.813840 -1.459495
-1.241869 -2.212364
-0.779398 -0.888025
-1.426013 -1.862329
-0.934911 -0.760750
-0.969094 -1.931044
-0.906688 -1.795970
-0.988425 -1.454980
-0.582254 -1.058639
-0.604903 -0.512067
-0.759889 -0.413274
-0.921974 -1.155597
-1.248986 -2.144581
-0.681739 -1.191195
-0.777187 -0.465790
-0.830558 -0.619851
-0.719684 -1.385211
-1.167154 -2.179387
-1.339791 -2.181830
-0.697672 -1.140885
-1.020286 -0.869794
-0.600918 -1.141942
-1.265646 -1.233684
-0.718489 -0.880826
-1.288442 -0.749044
-0.895087 -1.530318
-1.194219 -1.505412
-1.127494 -0.761776
-1.082462 -0.357924
-1.001366 -2.061161
-1.074494 -1.616734
-1.265595 -2.059362
-0.871249 -1.614281
-0.896289 -1.598606
-0.607552 -0.592172
-0.636887 -0.768500
-1.011661 -1.642455
-1.040116 -0.319376
-1.376134 -2.119928
-1.004959 -0.461181
-0.982477 -0.889771
-0.722302 -1.030656
-0.586077 -1.038056
-0.774445 -1.118671
-1.230141 -1.167328
-1.238572 -1.799065
-0.627468 -0.568792
-1.121047 -2.007052
-1.099198 -1.514028
-1.244998 -2.338675
-0.707004 -1.379882
-1.353424 -2.315194
-1.308423 -1.115130
-0.802166 -0.642727
-1.289558 -1.094782
-0.987122 -2.029005
-1.151777 -0.743072
-1.281236 -1.791042
-0.908782 -1.061456
-1.217489 -0.713652
-0.836597 -1.875406
-1.201847 -1.469803
-1.329736 -1.916456
-0.869350 -1.319941
-0.938098 -0.931426
-0.816688 -1.264915
-0.760741 -0.918923
-0.823258 -1.272210
-1.126756 -2.234035
-0.794510 -1.501363
-0.597711 -1.169832
-1.189799 -1.577352
-1.212689 -1.190155
-1.097185 -0.642433
-1.309986 -1.939929
-1.197420 -0.769740
-1.052346 -0.467264
-1.148926 -2.378148
-0.932565 -0.833217
-0.714720 -0.544268
-0.979393 -0.905011
-0.596742 -0.645302
-1.333758 -2.248825
-0.704794 -0.545277
-0.606676 -0.982441
-1.287782 -1.851845
-0.671845 -0.897498
-0.705337 -1.153189
-1.041863 -0.522377
-0.744274 -0.443484
-0.620657 -1.286910
-0.661256 -0.384913
-0.785511 -0.824784
-1.359306 -1.633458
-0.565251 -0.717543
-0.937176 -0.919511
-1.054854 -0.849573
-0.986811 -0.898159
-1.078024 -1.985733
-0.624409 -1.066149
-0.861613 -0.501518
-1.269328 -1.312273
-1.453285 -1.331879
-1.424556 -1.831296
-0.899867 -1.173323
