# Step: 2
# U_max: 3.1499462127685547
# Energy-calls: 50000.0
# x (configurations):
-0.197895 -0.228023
0.720561 0.730172
-1.166945 -1.112730
-0.727529 -0.806222
-0.586043 0.046146
-0.937754 -0.566463
-0.479251 -0.366813
-0.477971 -1.507708
-0.231045 -0.790385
-0.999625 -0.133849
-1.234366 -2.837867
-0.618610 0.123827
-1.060340 -1.027398
-0.644771 -0.951857
-0.796239 -0.608707
-0.749299 -0.151736
-0.530150 -1.244742
-1.289674 -1.260371
0.723872 0.679122
0.840643 0.771529
-0.341044 -0.853627
-0.550597 -0.086141
0.811898 0.553289
-1.109155 -2.691904
-0.588527 0.077468
0.784980 0.820767
-0.769491 -0.204276
-1.013994 0.207156
-0.777684 -1.149178
-0.907963 -0.841958
0.670326 0.027136
0.617716 0.316030
-0.209094 -0.395319
-1.037360 -1.493907
-1.426582 -0.549592
-0.473685 -1.049711
-1.576537 -2.232756
0.237838 -0.151474
-0.601227 -1.761855
-0.653150 -0.861778
-0.753774 0.000551
-0.819331 -1.267802
-1.250707 -1.648393
-0.950432 -1.229825
-0.157944 0.101021
-0.276390 0.412241
-1.263532 -2.060852
-1.315957 -3.065366
-1.222002 -2.329442
-0.193244 -0.504918
-1.353366 -2.322084
-0.976179 -0.676188
-1.067608 -0.166047
-1.156085 -2.783390
-0.630053 -0.668422
0.705811 0.093095
-0.860413 -0.861946
-1.137710 -0.710492
-0.975589 -0.337344
0.191532 0.250243
-0.811351 -2.336807
-0.401388 -0.494094
-0.199038 -0.905365
-0.868616 -1.596485
0.734179 0.582993
0.705145 0.323662
-1.261187 -2.483190
-1.071345 -1.299525
0.041749 -0.552231
-0.237202 -0.582995
-1.252109 -2.030941
-0.655091 -0.345197
-0.995081 -0.960600
-0.875257 -1.943469
0.612264 0.297878
-1.250418 -0.893746
-0.657171 -0.923480
0.877766 0.509005
-0.629475 -1.576665
-0.888767 -0.283054
-1.039460 -0.169234
-1.429410 -1.101632
-1.222671 -0.678389
-0.726458 -0.001417
-0.829343 -0.197277
-1.072530 -0.854901
-1.515486 -1.368101
-0.466277 -1.261775
-0.611128 -1.629042
-0.093837 -0.496661
-1.275406 -1.252600
-0.482064 -1.083812
0.425375 0.678947
-0.537526 -0.965012
-0.553496 -1.267560
-1.345292 -0.978255
-0.436390 -0.727138
-0.731919 -1.585390
0.968408 0.676665
-0.588338 -0.621302
-1.184411 -1.320082
-0.814004 -0.045643
-1.052605 -0.847232
-0.650951 -0.667252
-0.671134 -0.501600
-1.022526 -0.707391
-1.102473 -2.657277
-0.542620 -1.245205
0.870040 0.986965
-0.859281 -1.752649
0.843074 0.771983
