# Step: 2
# U_max: 3.235806941986084
# Energy-calls: 50000.0
# x (configurations):
0.460426 0.152013
-1.552589 -1.326529
-0.860400 -0.539939
-0.915773 -2.322707
-1.163950 -2.236509
-0.465811 -0.355714
-0.163361 -0.855227
-1.092560 -1.548301
-1.228805 -1.947354
-0.742363 -0.130762
-0.072769 -0.438630
-0.951881 -2.394025
-1.042215 -2.358736
-0.205116 -0.766688
-0.540366 -0.350505
-0.357597 -1.325517
-1.034976 -2.138905
-0.496418 -0.620012
-1.137300 -1.528528
0.541606 0.338543
-0.178194 -0.020759
-0.776354 -1.612413
-1.088121 -1.976381
-0.802668 -0.066313
-0.565051 -0.667170
-0.210710 -0.430428
-1.008042 -1.090958
-1.552395 -1.529624
-1.344411 -1.493114
-0.166690 0.103860
-0.784377 -2.078210
-0.778693 -1.390517
0.763638 0.944771
-0.053749 0.129799
-1.119126 -1.250954
-1.303448 -0.267065
-0.213017 -1.054234
-1.292126 -0.393873
-0.756968 -0.728613
0.981783 0.695025
-0.984282 0.168130
-0.305524 -0.471201
-1.035147 -1.090610
0.049503 -0.466560
-0.757149 -0.891320
-1.429686 -2.356135
-1.395118 -1.408819
-1.210060 -1.773775
-1.455876 -0.856564
-1.483455 -1.944486
-0.484924 -0.833220
-0.982113 0.166905
0.914162 0.533690
-1.425374 -1.957845
-1.009001 -1.904440
-1.612186 -1.597470
-0.946796 -1.797054
-0.441046 -0.566295
0.416231 0.187612
-0.379632 -1.510801
-1.320603 -0.646719
-0.838054 -2.080288
-1.049013 -2.355323
-1.308301 -0.384550
-1.479504 -2.172331
-1.111850 -1.491020
-1.616590 -1.745931
-0.797035 -1.268369
-1.419830 -0.866349
-0.782419 -0.635878
-0.330091 -0.860323
-0.094356 -0.100178
-1.342621 -0.333880
-0.784452 -0.593054
-0.464954 0.197608
-1.182174 -0.104414
-1.335676 -2.396832
-1.331065 -0.222312
-1.369845 -1.713630
-1.219169 -0.681445
-0.653160 -0.914974
-1.073176 -0.425467
-0.906821 -0.279267
0.795132 0.492537
-1.577466 -2.530157
-1.187000 -0.200488
-0.697593 -1.252721
-1.489985 -2.788153
-0.914650 -1.793555
-1.534573 -1.930633
-0.105783 0.020814
-1.301450 -2.072890
-0.809001 0.176846
-1.113621 -0.771550
-0.016028 -0.131190
-0.051591 -0.503991
0.949829 0.706045
0.025098 -0.278909
-0.864453 -1.848839
-0.778159 -0.579364
0.402886 0.046045
-1.325301 -2.591966
0.745020 0.085088
-0.330774 0.040186
-1.112685 -2.810652
-1.507666 -0.906113
-0.492328 0.119200
-1.461056 -1.712793
-1.321842 -0.432234
-1.165905 -1.145846
-1.290806 -2.776986
-0.760902 -1.105932
0.984617 0.901377
0.856228 0.676550
1.022005 0.909727
-1.008530 -1.265338
-0.712739 -0.778021
-0.214860 -0.251128
-0.170691 0.100869
-0.650724 -1.026939
0.484090 0.473808
-0.813004 -0.528652
-1.027902 -2.314463
0.984877 0.893047
0.304564 0.133032
0.594101 0.164220
-1.573242 -1.702171
-0.726262 -1.803803
0.889095 0.621594
-0.899189 -0.987009
-1.072644 -2.454533
-0.936743 -0.505882
-0.217188 -1.113525
-1.243600 -1.759266
-1.480524 -2.768579
-0.892271 -0.400734
-0.372951 0.049176
-1.307997 -0.421341
0.276311 0.007165
-1.017147 -0.266667
-0.882633 -0.572181
-0.796558 -0.051813
-1.324715 -1.288731
-1.438066 -0.941120
-0.738243 -2.232379
-0.376784 -1.394405
0.435886 0.401680
-0.763589 -0.352028
-0.366891 -0.192090
-1.253932 -2.279099
0.253156 0.006031
0.805054 0.353599
-1.166559 -0.573982
0.892661 0.579117
-1.454680 -1.530329
-1.547328 -1.809232
-0.291342 0.222018
-0.314248 -0.292799
-1.293721 -2.105114
-0.588018 -1.623172
0.876256 0.989295
-0.087158 -0.101403
-0.076837 -0.802038
-1.344648 -1.699479
0.136582 -0.267372
-0.425453 -0.755155
-0.382623 -1.262299
-0.950856 -1.166617
-0.643219 -1.151855
-1.532885 -2.004514
-0.917437 -1.991712
-0.782384 0.128347
-1.047484 -1.226723
-0.663298 -1.214790
-1.608942 -1.806595
0.528251 0.340370
0.859775 0.865152
-0.709123 -0.417970
-1.152727 -1.460415
-0.758286 -0.543176
-1.159350 -1.908701
-0.856515 -2.354761
-1.205032 -1.283480
-1.498149 -1.120317
-0.935587 0.215677
-0.951084 -2.235867
0.649103 0.060587
-0.583456 0.264622
-0.849160 -1.852694
-1.383754 -0.537813
-1.075539 0.024263
-1.190830 -2.696636
0.552101 0.245472
-0.491365 -0.323864
-0.123689 -0.335739
-0.640449 -1.338900
-1.320228 -0.614949
-0.778645 -2.219296
-0.763844 -0.730807
-1.149278 -1.467037
-1.089467 -0.981586
-0.215798 -0.738554
0.848017 0.736498
-0.205210 -0.232195
-1.343833 -1.064112
-0.747714 -2.248635
-0.779445 -0.149269
-0.709584 -0.201672
-0.656874 0.149849
-0.432811 0.093762
1.025323 0.789352
0.016337 0.095359
-0.580209 -0.002996
-0.828739 -0.337415
-1.187077 -2.317688
-1.153730 -0.052096
-0.336633 -0.001697
-0.956245 -2.093941
0.529243 0.375326
0.023396 0.071825
-0.604706 -0.484520
-0.436835 -1.514360
-0.612635 -1.094220
-1.347273 -2.356078
-0.508823 -1.335382
-1.580105 -2.361679
-1.043786 -1.367193
-0.276134 -1.184748
-1.265712 -0.584415
-0.398834 0.214249
-1.143272 -0.347228
-0.890868 -0.744775
-0.729998 -2.215409
-1.363633 -0.818276
-1.094427 -2.803266
-0.880297 0.051267
0.094926 -0.405701
-1.234478 -2.347067
-1.330790 -2.702127
-1.151656 -0.418057
0.750841 0.477401
-1.277297 -0.403653
-1.097690 -2.768640
-1.203106 -0.796800
-0.917645 -2.152103
0.290782 0.007985
-0.561367 -0.986393
-1.371833 -2.119605
-1.223224 -1.246430
-0.773710 -0.285355
-0.061942 -0.670326
-0.452507 -1.269286
-1.316335 -2.398569
0.840001 0.618923
-0.817095 0.150568
0.924181 0.864581
-0.451453 -0.987689
-0.496420 0.001881
0.504963 0.536755
-0.819070 -0.777381
-0.885199 -2.151543
-1.224188 -1.309689
-1.045868 -0.760128
-0.510979 -0.919136
-0.687092 -0.252835
0.172257 -0.185131
-0.265312 0.174868
0.645531 0.239352
-1.097052 -0.333917
-0.890944 -0.233100
0.979977 0.940091
-0.355921 -0.835475
-0.496932 -1.278617
-0.886385 -0.731199
-1.088767 -0.891314
-0.289232 -1.217853
-1.322507 -2.411400
0.775088 0.949711
-1.156685 -0.768789
-0.497815 -0.356074
-1.172253 -0.824303
-0.553123 0.212702
-0.576244 -1.164656
-1.342209 -2.867066
-0.935638 -1.683581
-1.261535 -2.018985
0.302179 0.014341
-0.619579 -1.918103
-0.770578 -2.123780
-0.958126 -1.647207
-1.116135 -1.693130
-1.541988 -2.518847
-0.839565 -0.565507
1.060224 1.036324
-0.144579 -0.440284
0.108367 -0.243167
-1.190274 -2.615351
-0.493059 -0.847910
-1.096116 -0.512805
0.993613 0.731905
-1.191620 -2.420424
-1.291778 -0.607635
-0.595127 -0.682741
-0.316859 -0.020335
0.867948 0.633778
0.655424 0.051427
-0.906357 -0.710763
-1.319718 -2.506498
-0.689973 0.290122
-0.818169 -0.075735
-1.410377 -2.876514
-0.398217 -0.912064
-0.679329 -0.742321
-0.556370 -0.922700
-1.009199 -1.204362
-1.356740 -1.886046
-0.131214 -0.608433
-0.543872 -0.671033
-0.742002 -0.656529
-0.897229 -1.944198
-0.676253 -1.758171
-0.024439 -0.486459
-0.830348 -0.029884
-0.365987 0.140376
-0.395125 -0.584462
0.000507 -0.285702
0.644621 0.657821
-0.357452 0.159181
-0.705249 -1.952776
-1.325484 -0.328912
-1.499936 -2.143637
0.678537 0.430823
-0.837468 -0.867841
-1.454765 -2.818260
-0.895271 -1.834296
-1.223674 -2.788824
-1.316734 -1.470312
-1.068397 -1.030468
-1.278735 -1.783309
-1.474088 -2.553292
-0.514716 -1.049596
-1.579518 -1.733509
-0.684421 -1.858282
-1.362915 -1.006132
0.409088 0.272325
-0.899382 -1.414081
0.510525 0.224157
-1.374322 -1.938615
-0.381226 -0.581389
-1.047683 -0.783146
-1.128197 -1.021914
-1.144685 -2.815651
-0.037819 -0.447722
-0.910517 -2.136960
-1.051063 0.038480
-0.818704 -0.532511
-0.856301 -0.003425
-1.368130 -1.347631
0.828790 0.351280
0.608761 0.165305
-1.162222 -0.951749
-1.296769 -2.268359
-0.800271 -2.212003
-0.896889 -1.643144
-1.460596 -2.326504
-1.113646 -0.744284
-1.097995 -0.872796
-0.166862 -0.649744
-1.236820 -2.229433
-0.672208 -0.245103
-0.956666 -2.617974
-1.127311 -0.041287
-1.244591 -0.192382
-1.470220 -1.195028
-0.762896 0.113610
-1.308676 -1.801307
0.650730 0.119381
-0.585909 -0.271286
-0.925543 -0.558378
-1.025396 -2.049651
-0.723008 -0.527746
0.884460 1.016531
-1.243575 -0.458846
-0.992768 -1.761169
-0.959144 -1.143173
-1.581571 -2.043432
-0.115710 0.040788
-1.339159 -2.868039
-0.512805 -0.929755
0.441958 0.211667
-0.630147 0.173219
-0.890164 0.114979
-0.693568 -1.848261
-1.400229 -1.325624
-0.025643 -0.415146
-1.450461 -0.856141
-0.974629 -1.837544
-0.934290 -0.517383
-0.626943 -1.619406
-0.767330 -1.419325
-0.926056 -2.321618
-1.499253 -1.902084
-0.867903 0.007078
-1.155504 -2.769997
-1.149559 -1.780490
-0.371098 0.062153
-1.296340 -1.686606
-1.359344 -0.333267
-0.712987 -1.920576
0.587048 0.386073
-0.947954 -0.528331
-0.285824 -0.692422
-0.113440 -0.378837
0.735795 0.828554
-0.280588 -0.051721
-0.458765 -0.892603
-0.473915 -0.628082
-0.745815 -0.440897
-0.868345 -1.547176
-1.055495 -1.574734
-0.085368 -0.708097
-1.148133 -1.991065
-0.934215 -2.207710
-0.206103 0.065965
0.780963 0.207682
-0.472938 -1.532158
0.864311 0.814464
-0.360741 -0.012157
0.113335 -0.091385
-1.292994 -0.898563
-1.404666 -1.710463
-1.004590 0.007100
-0.498805 -0.086419
-1.259891 -2.338477
0.903551 0.920310
-1.077476 -1.726359
-0.667441 -1.855448
-0.776348 0.222341
-0.598580 0.084538
