# Step: 3
# U_max: 0.05441732704639435
# x (configurations):
-1.154541 -0.454447
0.082635 -0.023437
0.556385 0.273403
0.092195 -0.027901
0.815699 0.784249
-0.896937 -1.666102
-0.796433 -0.945343
-0.552251 -0.138599
-0.791299 -0.311516
0.714854 0.257564
0.650674 0.418852
0.231739 0.138269
-0.307481 -0.124631
-1.304552 -1.896446
0.626939 0.644005
-0.285319 -0.507843
-0.818656 -1.441756
0.396010 0.191962
-0.439602 -0.298086
-0.632957 -0.801401
-0.873774 -0.388239
-0.118042 -0.099674
0.581634 0.236796
-1.480518 -1.948443
-0.943573 -0.474766
0.589332 0.327560
-0.827535 -0.070458
0.346180 0.159281
0.783133 0.600459
-0.868305 -0.324701
-1.151967 -2.010992
-0.500787 -0.098877
0.357616 0.223110
-0.191804 -0.104433
-0.575555 -0.410254
-0.505036 0.021307
-0.100011 -0.260339
-0.606552 -1.601301
-0.164327 -0.212039
-0.724675 0.085570
-0.347475 -0.384682
0.025224 -0.121952
0.492200 0.342956
0.741222 0.588070
0.825751 0.799492
-1.039338 -1.299085
0.870965 0.751304
-0.318596 -0.404681
-0.951799 -0.787016
-1.020147 -0.193951
0.644230 0.550613
0.686322 0.655216
-1.348500 -0.690608
0.720666 0.799209
-0.835894 -0.498425
0.819837 0.974169
0.695854 0.659360
-1.039056 -1.971106
-0.537545 -1.362878
0.661274 0.711214
-0.424212 -0.765842
-0.684156 -0.683902
-1.028663 -0.540144
-0.967400 -0.241609
-1.187752 -1.240935
0.237620 0.184854
0.612302 0.485580
-0.388817 -0.256246
0.509246 0.367502
-1.143923 -1.607714
-0.360964 -0.144353
-1.298314 -0.642418
-1.395074 -1.527812
0.432442 0.348188
0.739344 0.493684
0.498171 0.299691
-0.956727 -0.720036
0.212658 0.090509
-0.482350 -0.183597
-0.656139 -0.567906
0.609802 0.422292
0.623396 0.455838
-0.479548 -0.105480
-0.755308 -1.279682
-1.070377 -1.346896
0.777819 0.686478
-1.042930 -0.395616
-0.904072 -1.214345
-0.309707 -0.334359
-0.721486 -0.528054
-1.115456 -0.710479
0.673693 0.610601
-1.031769 -0.879193
0.564439 0.363446
-0.962636 -1.876715
-0.523021 -0.306980
0.226911 0.069679
0.452044 0.248941
-0.645933 -0.756516
-0.482454 -0.244304
0.798084 0.604926
0.756177 0.754934
-0.133362 -0.414587
-1.381934 -1.323562
0.518349 0.236330
-1.038433 -0.137686
-0.766781 -0.096022
0.604692 0.279200
0.627489 0.309851
-0.478201 -0.290011
-0.610278 -1.349569
-0.861634 -0.171926
-0.959138 -0.488647
-0.110016 0.007212
-0.598370 -1.467047
-0.040537 0.091622
0.532874 0.349735
0.859862 0.814345
0.311626 0.117036
0.521881 0.279885
-0.658482 -1.266095
-0.730678 -0.758862
0.600889 0.546195
-0.715322 -1.284774
0.696490 0.442019
-1.245723 -1.081945
-0.863746 0.021948
-0.090271 -0.349221
-1.241630 -1.439028
0.397927 0.160283
-0.312237 -0.732790
-0.614489 -0.927205
-0.495356 -1.119861
-0.339064 -1.032624
-0.347061 -0.519972
-1.001023 -0.934776
-0.069585 -0.037295
0.772622 0.745293
-0.401894 -0.130897
0.634330 0.498970
0.547891 0.495914
0.619170 0.497652
-0.034164 -0.158996
-0.715860 -1.957060
-0.590830 -0.467745
-0.079288 -0.092588
-0.510537 -0.157468
0.177084 0.088658
0.819235 0.796909
-0.147852 -0.038093
0.670668 0.603571
0.431841 0.196235
-0.714831 -0.089764
-0.747606 0.011499
-0.351551 -0.560699
0.670310 0.273037
-0.788942 -0.467878
0.614380 0.488707
-0.949156 -0.759416
0.518360 0.477929
-0.471243 0.105816
-1.468364 -1.266743
-1.260223 -1.192748
0.718292 0.782170
0.308458 0.091259
0.746129 0.561796
-0.920157 -0.832375
-0.873654 -0.603625
-1.216518 -0.895090
-0.918172 -1.282435
0.590508 0.530664
0.743984 0.941852
-0.324212 -0.405181
0.440026 0.241691
0.018179 0.032430
-0.680057 -1.840752
-1.007024 -1.834611
0.813037 0.964020
0.028056 -0.226086
0.683112 0.541369
-0.977955 -0.127343
0.455800 0.401283
-0.644162 -0.237564
-0.711719 -0.175270
-0.444222 -0.500972
-0.409829 -0.184284
-0.619270 -0.529167
-0.677548 -0.100023
0.755653 0.667852
-0.662989 -0.375822
-0.472058 -0.227656
-0.954801 -0.327793
-0.252348 0.119416
-1.124795 -1.312045
-0.295498 -0.491823
-1.180266 -2.134305
-0.452976 -1.117724
-0.376603 -0.213305
0.878772 0.786492
0.690215 0.437299
-0.977107 -1.179283
-0.975419 -1.437245
0.674831 0.600533
-0.418214 0.115792
-0.545691 -0.238505
0.508522 0.445173
-0.913847 -1.856757
-0.352909 -0.655933
-0.131533 -0.138767
0.760193 0.640067
-0.583032 0.009302
-0.978442 -0.259094
-1.019839 -0.739135
-1.160442 -0.693932
-0.387665 -0.131043
-1.213598 -0.754172
-0.512977 -1.140431
-0.902081 -1.175354
0.653724 0.417072
-1.004605 -0.628884
-0.273258 -0.169632
-0.395683 -0.144025
-0.768190 -0.178514
0.459840 0.342509
-0.222773 -0.075186
0.718700 0.451436
-0.168276 -0.633535
0.395090 0.317888
-0.821884 -0.205862
-1.311202 -1.624014
-1.015229 -1.073323
-1.079262 -1.812506
-0.373396 -0.959656
-1.342541 -1.764853
-0.793524 -0.875313
0.044619 0.081087
-0.043946 0.067754
-0.810848 -1.839429
-0.340881 -1.110313
-0.286583 -0.843141
-1.111035 -0.822094
-0.018047 0.115338
0.645264 0.666420
-1.193300 -2.174907
-0.614486 0.074395
-0.863701 -0.142568
-0.339348 -0.306499
-1.377405 -0.969902
0.584364 0.482710
-1.098722 -1.642669
-0.732188 -1.347492
-0.535307 -1.250995
-1.150865 -0.672420
0.760463 0.336233
-0.969852 -2.222636
-0.590595 -0.894394
-0.394626 0.101220
-1.080949 -0.391819
-0.824660 -1.649004
-0.229874 -0.266431
-0.331472 -0.587180
0.623657 0.354405
-0.215954 -0.667835
0.503256 0.412823
-0.956886 -1.739320
-0.738427 -0.475860
-0.240167 -0.288735
0.313414 0.033793
-0.333266 -0.048147
-0.438197 -0.250790
-1.114300 -1.705540
0.674811 0.606023
0.805003 0.911561
-0.775932 -1.454804
-0.811439 -0.115441
-0.084808 -0.172615
-0.641874 -0.614694
0.856171 0.662825
-0.440898 -0.529813
0.759705 0.575680
0.750062 0.424287
0.702931 0.641534
0.491168 0.490700
0.104519 0.005961
0.390536 0.293528
-0.857919 -1.349847
0.647501 0.660443
-0.611984 -0.097460
-0.773653 -1.367448
-0.408655 -0.985951
-0.373078 -0.906328
-1.046683 -1.676970
0.814094 0.678838
-0.603186 -0.851751
0.209408 0.039940
0.219514 0.046989
-0.716305 -1.704820
0.525822 0.381289
-0.436567 -0.374786
0.639855 0.447892
0.713448 0.711615
-0.221727 -0.071206
-1.025118 -2.209601
0.029881 -0.137880
-0.394779 -0.015739
-0.513773 -0.016722
-1.044899 -0.378666
-0.589559 -0.576365
-0.884682 -0.585234
-1.470283 -1.128640
-1.199672 -1.384673
-1.262695 -1.974452
-0.754429 -0.335093
0.627493 0.223830
-0.483688 -0.809761
0.724823 0.380232
0.657819 0.670010
-0.754054 -0.172124
-1.141080 -1.259656
-0.305364 -0.134827
0.738904 0.623408
0.404191 0.373023
-0.195391 -0.564197
-1.378529 -0.622432
0.557935 0.425285
0.699548 0.637177
0.608368 0.521197
-0.591755 -0.063758
-1.057316 -1.127452
-0.095702 -0.152473
-0.712249 -0.877806
0.319164 0.147213
-1.322376 -1.206492
-0.910864 -1.210704
-1.112864 -0.261125
-1.009284 -1.263616
-0.734215 -1.340768
-1.052145 -0.244753
-0.986169 -0.705888
0.680707 0.404158
-0.943799 -0.848752
-0.992285 -1.787209
-1.454822 -1.382560
-1.260201 -0.974361
-1.192505 -1.071948
-0.669367 -0.761992
0.534787 0.425555
-1.452867 -2.170584
0.444301 0.282715
-1.437349 -2.125529
0.532871 0.281194
-0.144654 -0.363238
-0.645868 -1.098420
-0.057265 -0.408197
0.753015 0.453478
-0.345729 -0.218819
-0.562405 -0.412579
-0.550894 -0.219888
-1.006325 -0.820056
-0.058908 0.059193
-0.599360 -0.120280
-1.044136 -0.339450
-0.307691 -0.654473
-0.101503 -0.084143
-0.251902 -0.256345
-1.106185 -0.331440
-1.249141 -0.756667
0.194283 0.097628
0.727162 0.425438
-0.827189 -0.119184
-0.265606 -0.578814
0.571670 0.547239
-0.494870 -1.226728
0.029986 -0.156057
-0.449365 -0.451360
-1.150722 -0.722792
0.809336 0.640808
-0.652707 -0.787888
-0.376287 -0.538709
-0.133089 -0.446898
-1.176403 -1.138337
-0.968478 -1.633026
-0.225994 -0.176908
-0.915626 -0.242338
0.618212 0.583822
0.693680 0.469272
-1.178544 -0.958558
0.605417 0.280157
0.523433 0.247731
-1.107427 -0.541181
-1.318375 -2.017052
-0.430059 -0.039177
-0.699602 -0.212981
0.592475 0.401227
-1.176604 -0.645565
0.652818 0.774068
-0.692290 -0.290121
0.037263 -0.291317
-0.643702 -0.386351
0.141200 -0.036342
0.619722 0.406485
-0.553912 -0.669993
-0.016656 -0.111960
-0.384981 0.002560
-0.822267 -1.529105
-0.532799 -0.821039
-0.284717 -1.034185
0.467030 0.401722
0.588768 0.499185
0.686922 0.636717
0.201506 0.147954
0.187049 0.067904
0.649246 0.335885
-1.255213 -0.633976
0.422816 0.348058
0.759107 0.676401
0.652997 0.431228
0.774613 0.472039
-1.241727 -0.619758
-0.304152 -0.964560
-0.841105 -0.235498
-1.199021 -0.687216
0.767810 0.694356
-0.570749 -1.308809
0.791936 0.594522
-0.489824 -0.065380
0.400646 0.185105
0.293016 0.345815
-0.021769 -0.164950
0.643583 0.477544
-1.131674 -0.723123
-1.295043 -2.408116
0.847863 0.796504
0.509820 0.260693
-0.333104 -0.790189
0.149368 0.048873
0.768198 0.659296
0.604143 0.530414
0.678580 0.662133
0.686614 0.516923
-0.958122 -0.965793
-0.569430 -1.378170
0.536794 0.370922
-1.095234 -1.755540
-0.807119 -1.255933
-0.208138 -0.646669
-0.602998 -1.503492
-0.821725 -1.582340
-1.093070 -0.344790
-1.023159 -0.364492
0.309042 0.175974
-1.001583 -1.834893
-1.006189 -0.193348
-1.006846 -1.102025
0.648925 0.600254
0.884511 0.957278
-0.429637 -0.123382
0.053133 -0.146078
0.633788 0.390825
-1.064672 -0.987392
-0.110967 -0.218265
0.639109 0.585648
-0.793596 -0.241213
0.407422 0.472188
-0.522342 -0.522461
0.671247 0.618166
0.094096 -0.003414
0.367576 0.125125
-0.927323 0.014792
0.832197 0.634510
0.730909 0.641149
-0.570665 -1.375105
-1.421070 -1.428017
0.346055 0.121447
-0.330723 -0.418729
-0.552205 -1.442757
-0.498506 -0.613618
-0.485670 0.047508
0.709906 0.537583
-0.203012 -0.191060
-1.200573 -0.355409
-0.144089 -0.541357
-0.136472 -0.095622
0.857021 0.714532
-1.450865 -1.592655
-0.511826 -1.361656
-1.116119 -1.604316
-0.355864 -0.083250
-0.712975 -0.444638
-0.893916 -0.244122
-0.441962 -0.750797
0.231666 0.126118
0.013125 0.068664
-0.581204 -1.101025
-0.898404 -2.330774
-0.498279 -1.170860
-0.967652 -0.079332
-0.881399 -1.544036
0.244025 0.082088
-0.146396 -0.515931
-0.252224 -0.490451
-0.499467 -0.756609
-1.466928 -1.687120
0.409381 0.178159
-0.227858 -0.018997
-0.688683 -0.272907
0.136388 -0.069082
-0.791365 -0.728390
-0.259396 -0.823297
0.724000 0.707146
0.682344 0.471256
-1.121514 -0.633758
-0.578466 -1.246967
-0.169500 -0.330059
0.249630 0.045834
-1.112249 -0.280847
-1.368780 -1.217796
-0.314576 -0.769369
-0.386475 -0.208124
0.312945 0.176800
0.835910 0.796476
0.019382 -0.098838
-1.143849 -0.666877
-0.395129 -0.377992
0.424252 0.245083
-0.882524 -0.354261
-0.107528 -0.338956
-1.018453 -1.693685
-1.165407 -0.346204
0.478693 0.307905
-0.501610 -0.003023
-0.808074 -0.512559
-0.164283 0.006555
-0.465058 -0.192832
-0.883936 -1.734168
-1.065799 -0.401632
-0.280517 -0.709454
-0.311441 -0.093420
-0.939686 -0.489830
0.456273 0.420001
-1.433863 -1.152537
-0.463455 -0.035787
-0.239549 -0.077597
0.592331 0.540126
0.728570 0.850170
-0.887976 -0.453110
0.894169 0.875422
-0.033835 0.037038
0.645338 0.501390
0.363684 0.230586
-0.698007 -0.383622
-1.197584 -2.324924
0.652590 0.494867
-1.257821 -0.934516
0.707924 0.905886
-0.111939 -0.079428
-0.761250 -0.294251
0.911320 0.912474
-0.596319 -0.864266
-1.087978 -0.877890
-0.503047 -0.644434
-0.980365 -1.083418
0.491332 0.240936
0.232633 0.097222
0.368644 0.257028
0.667254 0.571751
-0.275032 -0.088887
0.689475 0.363946
0.417731 0.268415
0.145046 -0.009256
-0.771734 -0.015346
-0.802908 -0.795006
0.445396 0.425761
0.686203 0.277148
-0.738850 -0.078791
-0.918733 -0.735469
-0.764769 -2.113893
-0.383619 -0.916573
-0.645436 0.034419
-0.957721 -0.698846
0.801026 0.625699
-0.310365 -0.799786
-0.445108 -0.224254
0.186797 0.058431
0.335365 0.292049
0.662259 0.671719
0.218600 0.099499
-1.186936 -0.806380
-0.931823 -1.577751
-1.409074 -1.672435
-1.103199 -0.411530
0.101019 -0.091897
-0.730309 -0.749929
-0.215901 -0.272025
-1.161845 -1.153618
0.846993 0.887956
0.063761 0.126116
-0.596609 -0.351963
-0.553797 -0.682998
-0.231385 0.001643
-0.587768 -1.478191
0.515183 0.304232
-0.542276 -0.165875
-0.465261 -0.148899
-0.785971 -2.010856
0.628733 0.520300
-0.355719 -0.729156
-0.796936 -1.381977
-0.016158 -0.322977
-0.641899 -0.380785
-0.659866 -0.793900
0.645581 0.509754
-0.812971 -1.149911
-0.135517 0.078607
0.663589 0.911418
0.671751 0.237444
0.752712 0.459992
-1.092442 -0.526082
-0.866701 -0.465578
0.646350 0.497629
-0.718487 -0.415515
-0.485329 -0.458253
-0.275463 -0.987424
0.549175 0.631160
-0.228534 -0.710473
-1.022947 -1.940758
-0.173992 -0.600630
0.578098 0.610440
-0.325994 -1.203317
0.692993 0.670823
-1.508641 -1.386062
-1.068117 -1.569806
-0.396030 -0.187677
-0.590203 -1.130398
-0.895786 -0.239065
-0.482828 -0.195203
-0.185724 -0.469010
0.676878 0.765439
-0.312579 0.008725
-0.423297 -0.379639
0.840902 0.794408
-1.282986 -1.339808
-1.371451 -1.015669
-0.343141 -0.185374
0.516801 0.231540
-1.157777 -0.687480
-1.322015 -1.613253
-1.009311 -0.443246
-0.968850 -0.080684
-1.338393 -0.761625
-0.414294 -0.581574
-0.593197 -0.161703
0.503699 0.165516
-0.701501 -0.573022
0.645859 0.338658
0.109852 -0.008568
0.268244 0.214399
-0.707063 -0.044379
-0.734924 -0.676197
-0.877236 -0.635288
-0.187533 -0.360601
-1.295338 -1.100721
-0.518645 -1.521710
0.518014 0.279501
0.529231 0.261555
-0.572740 -0.474360
0.741102 0.922600
-1.081333 -2.064724
-0.405018 0.003050
-1.087486 -0.438333
-0.418769 -0.674414
-0.820868 -1.782505
-0.676181 -1.889721
0.624203 0.400609
-1.380004 -1.168161
0.870500 0.848908
-0.725673 0.018838
-0.704579 -1.205647
-0.885006 -1.220465
0.720435 0.467813
0.478071 0.306007
-0.738013 -0.137005
0.738083 0.535479
0.125916 -0.015547
-0.619949 -1.332193
0.258132 0.102891
0.644478 0.624271
0.757895 0.662156
-1.105108 -0.248322
-0.872382 -1.402270
-0.945083 -1.382182
0.620426 0.602947
-0.665575 -0.317708
-0.032093 -0.356712
0.200266 -0.068884
-0.734756 -0.694019
-0.754640 -0.279925
-0.462142 -0.621962
-0.811164 -1.129195
-0.400623 -0.642402
0.201573 0.002612
0.785742 0.662659
-1.021354 -0.454167
-1.155458 -1.014374
0.616699 0.563466
-1.106656 -1.494711
-0.705255 -0.896861
-0.471840 -0.302208
-0.486527 -0.893044
0.243469 0.287108
-0.930243 -0.312468
-0.467694 -1.236034
-0.602458 -0.604962
0.700240 0.822813
-0.989427 -1.076356
0.623386 0.340290
0.410816 0.356232
-1.174785 -0.318507
-0.232229 -0.587574
-1.343969 -1.029189
-1.335556 -1.233236
0.657734 0.546827
0.758171 0.681237
-0.590263 -1.255015
0.758916 0.721826
0.753198 0.677676
0.644306 0.309734
0.376249 0.207389
-0.651336 -0.291362
-1.009359 -0.348954
0.537177 0.517354
0.754702 0.665700
-0.300401 -0.538025
0.807933 0.623169
-0.524459 -0.555172
0.653145 0.379856
-0.045303 -0.298561
0.806828 0.528874
-1.049837 -1.366930
-0.553819 -0.163535
0.726499 0.592101
-1.025241 -1.505205
-0.977881 -0.219955
-0.284956 -0.183141
-1.108932 -0.744991
-1.126217 -0.925192
-0.025877 0.328986
-1.026560 -0.949206
-0.654306 -1.280171
0.420656 0.288928
0.783404 0.587482
-0.812391 -0.395060
-0.805039 -0.586902
-0.557766 -0.085716
-1.437292 -1.429439
0.765676 0.463986
-0.672718 -0.830921
-0.790220 -1.011279
-0.325641 -0.669686
0.637776 0.617876
-0.780601 -0.422560
0.623039 0.310428
0.795626 0.640956
0.463446 0.242873
-0.950401 -0.344954
0.779212 0.634828
-1.178027 -1.238991
-0.419286 -0.879176
-0.579196 -0.861260
0.083325 0.045373
0.670260 0.465555
0.624536 0.412701
-0.496110 -1.037438
-0.059429 -0.004588
-1.095676 -1.413463
0.763461 0.773121
-0.079963 -0.067758
-1.015791 -0.556590
-0.212568 -0.263004
0.029170 -0.297747
0.681206 0.601372
-0.472742 -1.298719
-0.189434 -0.198458
-0.537790 -0.841451
-1.262523 -0.429705
-0.154480 -0.175480
-0.411800 -0.595310
0.689451 0.465360
0.578288 0.515089
0.552116 0.293926
-0.228311 -0.265677
0.705138 0.544647
-0.694947 -0.982986
-0.474469 -0.458396
0.792900 0.764199
-0.509243 -0.104734
-1.453872 -2.341936
0.701463 0.790534
-1.446459 -1.025079
-0.933603 -1.096515
-0.442647 -0.596573
-0.224370 -0.192529
-1.167744 -0.620708
0.722039 0.605639
-0.430151 0.022451
0.688595 0.689944
-0.936980 -0.061746
0.688083 0.494177
-0.980517 -0.213005
-0.429989 -0.696371
-1.056257 -0.240505
-0.638293 -1.828255
-0.540922 -0.137111
-0.811904 -0.050206
0.510452 0.511504
