# Step: 3
# U_max: -0.3544018864631653
# Energy-calls: 77500.0
# x (configurations):
-1.124530 -2.283984
-1.266790 -0.799557
-1.468102 -1.516716
-0.732071 -1.297090
-0.991448 -0.747448
-1.130431 -1.779491
-0.709280 -0.400452
-1.311898 -1.331392
-0.694451 -0.582788
-0.783274 -0.388847
-0.878962 -1.946889
-1.342537 -1.071414
-1.131945 -0.536803
-0.919416 -0.962232
-0.780870 -0.553744
-0.673859 -0.997658
-1.151513 -0.997215
-0.923878 -0.470537
-0.964675 -0.786889
-1.029172 -2.183743
-1.231053 -0.715030
-1.136726 -2.112389
-0.984563 -1.862200
-1.318648 -2.198935
-1.175157 -2.012866
-0.793927 -1.212648
-1.348434 -2.334542
-0.983929 -0.408098
-0.925904 -0.302781
-1.135201 -1.370566
-1.390025 -1.686445
-1.401166 -1.996935
-1.168157 -2.063743
-1.407671 -1.219492
-0.922304 -0.611460
-0.781322 -1.131265
-0.734131 -1.242903
-1.166956 -0.581396
-1.387406 -1.887498
-1.020240 -0.839829
-1.281866 -0.903390
-1.107665 -1.737980
-1.369847 -1.036880
-1.046174 -1.763653
-0.850517 -1.797089
-0.691487 -0.618812
-0.829414 -1.430978
-0.778410 -1.583508
-1.192191 -1.987313
-0.847162 -1.144412
-1.424289 -2.129965
-0.681499 -1.481371
-0.920639 -0.658703
-1.048670 -1.749140
-0.996342 -0.431453
-1.405795 -2.053693
-1.329331 -1.733526
-0.967845 -0.479821
-1.182966 -0.924207
-0.972530 -1.327770
-1.330231 -0.769736
-0.994149 -0.416130
-0.934297 -0.663736
-0.632076 -0.849321
-1.168382 -2.026046
-0.861280 -1.854800
-1.083899 -1.178402
-1.055947 -1.603213
-1.036147 -1.863629
-1.061424 -0.429569
-1.425135 -1.811643
-1.186565 -1.022470
-0.958496 -1.900383
-1.299531 -0.997412
-1.124579 -0.609840
-1.371636 -1.970382
-0.600298 -1.077553
-1.292226 -1.434851
-1.205862 -2.267693
-1.261420 -1.116019
-1.225780 -0.724871
-1.149040 -2.390310
-1.421640 -1.873216
-0.972341 -1.361124
-0.830546 -0.937180
-0.930549 -1.359837
-1.323207 -1.228047
-1.321898 -0.735247
-1.149034 -0.578061
-1.303418 -1.203344
-1.058124 -1.505223
-0.736187 -1.157265
-0.976705 -0.362956
-1.097028 -1.890773
-0.971785 -2.146201
-1.347811 -1.511304
-1.016685 -1.147867
-0.856219 -1.668122
-1.331428 -1.960634
-1.407052 -1.897962
-0.689145 -0.625948
-1.159256 -1.034447
-1.360806 -2.338083
-1.094109 -1.657506
-0.862766 -0.282138
-0.687752 -0.639440
-1.130792 -1.987561
-1.130864 -1.954815
-1.260094 -0.928793
-1.125693 -0.437207
-1.062152 -2.009866
-1.088583 -1.129510
-0.716275 -0.896370
-0.745499 -1.106903
-1.154547 -1.566459
-0.771988 -1.723417
-1.403781 -1.752155
-1.032856 -1.238811
-1.164623 -1.273816
-1.342965 -1.704476
-1.399973 -1.513468
-1.079698 -2.177507
-1.259558 -1.386059
-0.731905 -1.610499
-1.406647 -1.733677
-1.284556 -2.308537
-0.934951 -0.489956
-1.184475 -1.342685
-0.799102 -0.778374
-0.707361 -1.384790
-0.758676 -1.302896
-0.588980 -0.560096
-0.723545 -1.233732
-0.931283 -0.891631
-1.015244 -1.435702
-1.364415 -0.946994
-1.233306 -2.352381
