# Step: 4
# U_max: -2.2089650630950928
# Energy-calls: 102500.0
# x (configurations):
-1.278318 -1.301109
-1.148703 -0.874284
-0.973659 -1.303706
-1.246403 -1.116038
-0.857987 -0.837620
-1.092348 -1.356123
-1.164941 -0.783829
-0.904882 -0.906243
-1.423516 -1.920381
-1.118607 -1.174709
-1.177311 -1.136775
-1.310386 -1.449194
-0.915942 -1.460583
-0.964658 -1.537530
-0.977038 -1.573760
-0.982156 -1.743707
-0.877118 -1.339716
-1.072310 -1.110155
-1.241996 -1.277932
-1.191464 -0.959706
-1.305959 -1.454364
-1.096972 -1.244221
-1.001803 -1.573135
-0.959215 -1.338494
-1.054676 -1.228410
-1.303282 -1.310653
-0.926874 -0.772669
-1.107013 -1.893473
-1.009055 -0.596589
-1.196719 -1.493299
-1.063174 -1.022967
-1.142915 -0.829703
-1.136466 -1.395252
-0.845883 -1.022934
-1.028513 -1.208112
-1.027810 -1.324427
-1.104767 -1.644040
-1.284520 -1.299204
-1.261077 -1.319780
-1.193429 -1.790837
-1.046010 -1.410039
-1.175159 -1.892517
-0.877578 -1.252438
-0.980440 -1.263515
-1.020510 -1.419187
-0.964464 -1.107018
-0.921909 -1.041063
-1.080346 -0.894655
-1.195677 -1.183757
-1.040124 -0.750931
-0.846595 -0.975529
-1.106143 -1.086285
-1.247327 -1.687233
-0.898329 -1.158627
-1.169459 -1.862932
-0.974619 -1.162177
-0.850352 -1.038017
-1.229590 -1.993267
-1.099220 -1.236902
-1.034830 -0.827702
-0.998605 -1.607966
-0.949396 -1.324463
-0.888504 -1.300917
-0.914463 -1.577198
-0.957074 -1.002474
-1.234842 -1.939567
-1.307757 -1.737895
-0.964016 -1.246939
-1.012685 -1.160531
-1.254157 -1.814810
-1.050921 -1.414955
-1.249883 -2.138428
-0.922239 -1.592149
-1.198988 -1.684127
-1.045445 -1.385563
-1.234636 -1.486774
-1.309957 -1.713519
-1.004771 -1.089921
-1.127892 -1.990980
-1.057003 -1.082511
-1.138481 -1.330588
-1.031103 -1.520096
-0.827809 -1.227527
-0.973702 -1.727152
-1.004572 -1.453752
-1.092984 -1.388918
-0.860202 -1.387297
-1.047884 -1.648002
-1.068160 -1.477083
-1.058020 -0.712497
-0.968175 -1.050940
-1.097698 -1.414293
-0.922312 -1.422555
-0.866189 -1.369423
-1.346720 -1.448658
-0.932760 -0.885476
-1.160845 -1.955362
-0.945467 -1.456608
-0.955506 -0.839100
-1.142752 -1.509811
-1.093352 -1.603516
-1.294129 -1.588959
-1.013235 -1.749150
-0.975617 -1.055965
-1.026438 -1.428135
-1.230397 -0.921712
-1.189298 -1.934627
-1.195629 -1.628614
-1.240641 -2.002470
-0.977934 -1.318395
-0.860343 -0.986471
-1.054444 -1.908152
-0.997411 -0.757092
-1.223940 -1.208953
-1.112393 -1.342462
-1.108342 -0.975411
-1.117250 -1.457281
-1.222425 -1.397948
-1.247393 -1.701132
-1.069188 -1.255173
-0.919242 -1.441172
-1.065017 -0.889008
-1.172822 -0.761653
-0.873182 -0.866750
-1.210192 -1.273972
-0.977791 -1.352985
-1.070729 -0.837117
-1.351942 -1.196602
-0.860200 -0.870182
-1.094677 -1.343165
-1.060210 -1.064524
-0.884467 -1.115968
-1.198914 -1.896298
-1.300119 -1.921101
-1.200698 -1.268692
-0.949339 -1.685325
-1.093972 -1.004558
-1.336461 -1.460200
-1.159532 -1.081664
-1.229661 -0.843461
-1.132044 -1.107375
-1.313516 -1.158380
-1.074777 -1.123649
-0.850114 -1.120703
-1.195948 -1.776100
-0.850687 -1.034829
-0.907083 -1.630721
-0.876627 -1.345994
-0.946698 -1.318266
-0.917974 -1.514630
-1.268764 -1.375146
-0.930354 -0.866146
-1.086179 -1.485583
-0.805469 -1.465948
-1.230659 -1.176800
-1.016529 -1.554504
-1.076177 -1.114683
-1.043433 -1.073555
-1.043458 -1.531233
-1.117345 -1.199036
-1.111223 -0.914071
-1.057699 -1.182254
-0.950395 -1.190616
-0.953954 -0.645348
-0.944501 -0.735791
-1.285266 -1.424360
-0.948743 -0.821500
-1.087201 -1.866104
-0.962128 -1.456279
-1.172116 -1.733257
-0.961642 -1.201626
-0.961453 -1.285636
-0.801157 -0.922027
-0.976786 -0.771770
-1.248000 -1.527914
-1.060901 -1.194477
-1.086342 -1.597173
-0.859795 -1.431504
-1.298866 -1.557034
-0.893897 -0.869104
-1.333631 -1.506053
-0.931283 -1.049746
-1.191616 -1.182340
-0.939922 -0.669980
-1.029383 -1.322614
-0.864412 -1.136520
-1.294254 -1.823462
-1.131734 -0.764878
-1.253472 -1.082654
-1.313861 -1.636139
-1.325799 -1.845606
-0.929441 -1.268116
-1.119440 -1.405283
-1.221482 -1.176762
-1.251353 -1.281075
-1.031780 -1.099140
-1.270818 -1.219606
-1.230209 -1.343697
-1.262758 -1.961411
-0.873454 -1.074722
-0.882529 -1.240430
-1.136347 -1.175939
-1.331962 -1.706425
-0.994329 -1.604315
-1.248492 -2.002349
-0.905962 -1.545844
-0.935018 -1.180551
-1.180925 -0.881837
-1.123630 -1.621644
-1.258086 -1.418597
-1.121905 -0.909423
-0.883208 -1.110160
-0.962155 -1.823579
-1.022457 -1.686473
-1.260378 -1.348321
-1.018398 -1.162213
-1.088048 -0.964113
-1.204910 -1.537810
-0.970361 -1.217485
-1.270619 -1.725465
-1.199024 -1.206753
-1.246443 -1.659197
-1.199805 -1.327818
-1.228618 -1.227073
-1.164975 -1.687431
-1.146766 -1.579054
-1.124395 -1.237684
-1.288706 -1.544492
-1.030584 -0.917989
-1.167045 -0.911981
-1.219885 -1.646597
-0.965456 -0.984266
-1.045658 -1.752029
-1.040198 -0.882264
-1.104839 -0.925303
-0.917207 -1.441682
-1.003113 -1.420067
-0.965364 -1.063969
-1.186028 -0.964859
-1.032649 -0.916485
-1.130278 -1.817848
-1.286097 -1.553958
-0.863958 -0.837703
-0.851138 -1.382591
-1.169470 -1.628109
-1.205013 -1.212544
-1.301579 -1.388363
-1.163748 -1.244742
-1.230829 -1.459942
-0.955974 -1.029194
-1.078163 -1.875717
-1.035191 -1.298497
-1.037245 -1.247167
-1.081125 -1.931031
-1.220563 -1.218913
-0.963964 -0.874625
-0.839113 -1.122711
-1.202946 -1.611794
-0.809711 -0.764797
-0.973893 -1.614557
-1.244742 -1.027673
-0.931758 -1.099445
-1.210746 -1.909837
-0.966322 -1.332395
-0.861286 -1.513031
-0.800867 -0.942885
-1.109914 -1.310073
-0.962821 -1.008698
-1.339464 -1.788481
-1.017192 -0.798550
-1.184409 -1.062536
-1.168460 -1.705265
-1.251277 -1.862884
-1.177030 -1.323520
-1.045666 -1.254266
-1.251148 -1.519333
-1.294515 -1.287583
-1.100675 -1.752156
-1.219585 -1.234272
-1.359911 -1.638619
-1.296941 -1.253454
-0.929453 -1.224398
-1.117184 -1.813394
-0.987637 -1.571117
-1.222262 -1.180683
-1.034090 -1.117709
-0.970837 -1.443449
-1.072607 -1.710358
-0.959493 -1.127420
-1.247562 -1.688183
-0.992047 -1.248998
-0.924437 -1.500786
-1.273586 -1.563942
-1.038847 -0.975634
-1.064948 -1.188351
-1.122760 -1.120046
-1.023513 -1.617546
-1.237939 -2.060392
-0.941718 -1.263386
-1.315257 -1.572971
-1.038850 -1.063627
-1.183766 -1.910492
-0.882034 -1.031723
-1.000902 -1.034069
-1.027448 -1.200802
-1.129791 -0.866867
-0.974620 -0.767799
-1.132281 -1.334401
-1.106777 -1.518926
-0.968523 -0.743756
-1.289756 -1.776886
-1.278502 -1.156587
-0.873363 -1.032538
-0.912033 -1.654468
-1.234901 -1.550877
-1.090666 -1.520212
-1.137881 -2.057420
-0.938259 -1.700813
-1.132882 -1.698952
-0.939123 -1.030394
-1.190327 -1.407505
-1.146236 -1.360585
-1.112301 -1.107670
-1.003112 -0.767321
-1.234169 -1.200450
-0.983891 -1.457026
-1.039614 -0.977780
-1.029918 -1.245429
-0.979633 -1.153889
-1.222241 -1.841676
-1.058056 -0.678922
-1.003101 -0.776035
-1.029374 -0.933608
-1.175662 -1.738237
-1.121693 -1.725908
-0.951576 -1.792570
-1.134985 -1.206115
-1.279181 -1.347835
-0.811508 -0.866286
-1.100472 -1.676776
-1.136576 -1.283691
-1.316339 -1.412289
-1.101440 -1.194153
-0.855782 -1.158785
-1.252754 -1.727541
-1.180975 -1.672871
-1.224214 -1.309032
-0.905649 -0.769367
-1.118224 -1.717777
-0.979301 -0.677403
-0.812887 -0.996154
-1.052009 -0.728444
-0.839700 -1.029921
-0.916211 -1.483494
-0.862703 -0.794044
-1.174271 -1.856315
-0.881242 -0.949142
-1.242170 -1.267921
-0.810152 -0.878088
