# Step: 4
# U_max: -1.2843677997589111
# x (configurations):
-1.260339 -0.964208
-1.158526 -1.378369
-1.270573 -1.805524
-0.836585 -0.648944
-0.843190 -0.819417
-0.771363 -1.184607
-0.985804 -1.018240
-1.146248 -1.024037
-0.963668 -1.360049
-1.091517 -0.526375
-1.130083 -0.610070
-1.294301 -1.405034
-1.319099 -1.963497
-1.339452 -1.700380
-1.091548 -1.729571
-1.074349 -2.030209
-1.051278 -0.533705
-1.056307 -1.570090
-0.872294 -0.796247
-1.224254 -1.254037
-1.042948 -0.730692
-0.783651 -1.282943
-0.842783 -0.547115
-1.251343 -2.172129
-1.087986 -1.396529
-0.796286 -1.310178
-1.061324 -1.309580
-1.171607 -0.752540
-0.970632 -1.705728
-1.153904 -2.013561
-1.341928 -1.953670
-0.939865 -1.325024
-1.372634 -1.462576
-1.310018 -1.269172
-0.954942 -1.129444
-1.168592 -1.428373
-1.339682 -1.840564
-1.091460 -1.493080
-0.922700 -1.214374
-0.934225 -1.793044
-1.271312 -1.760021
-1.177165 -1.117180
-1.185243 -0.638651
-1.298329 -2.192221
-1.307694 -2.028421
-0.982261 -1.208444
-1.305838 -1.837081
-1.280568 -1.034793
-1.330534 -1.150399
-1.271970 -1.625440
-1.030826 -0.860255
-0.868047 -0.815594
-0.975444 -1.434493
-1.355437 -1.364945
-1.356338 -1.579317
-1.216134 -1.054436
-1.055456 -1.664174
-1.152241 -2.162639
-0.898918 -0.991230
-1.052983 -1.403562
-1.128894 -0.806075
-0.987396 -1.277946
-0.930030 -1.543277
-0.904124 -1.453842
-1.029851 -0.467993
-0.990643 -1.417537
-1.038633 -1.697310
-1.174499 -0.769010
-0.943923 -1.002518
-1.048095 -1.752633
-1.249828 -0.989794
-1.086554 -0.791919
-0.918400 -0.937364
-1.355687 -1.426859
-0.698126 -1.101941
-1.012003 -1.417178
-0.867732 -1.104757
-1.291813 -2.066855
-1.305112 -2.054950
-1.160362 -1.739363
-0.752388 -1.191134
-0.734617 -0.945829
-1.139987 -0.970801
-1.133114 -1.647819
-0.931845 -1.719530
-1.242257 -1.392029
-1.079023 -1.197852
-0.947133 -1.656978
-1.187602 -2.239010
-0.996345 -1.492470
-1.372884 -1.673623
-0.867241 -0.751566
-1.055992 -1.740631
-1.111417 -1.183529
-1.375498 -1.663481
-1.325328 -1.137792
-1.399097 -1.876251
-1.194624 -1.137783
-0.965526 -0.859502
-0.999106 -1.765109
-1.233519 -2.003458
-1.102778 -1.956225
-1.006037 -1.227140
-1.102019 -1.337920
-1.245604 -1.501085
-0.832368 -0.525573
-0.893948 -1.385944
-1.155788 -1.062607
-1.177663 -0.819762
-1.129806 -1.469187
-0.924346 -1.618012
-1.094747 -1.613168
-1.250628 -1.072658
-1.348180 -1.399833
-0.827340 -1.561415
-0.978378 -0.898458
-1.290540 -1.887423
-1.180746 -1.750982
-0.764640 -0.741549
-0.763101 -1.287354
-1.107394 -1.930987
-0.962916 -0.567212
-1.291239 -1.967710
-1.275636 -2.030886
-1.329548 -1.040182
-1.134578 -0.818937
-0.954749 -1.773687
-1.110665 -2.076476
-0.852895 -1.576469
