# Step: 5
# U_max: -0.015575187280774117
# x (configurations):
-0.943847 -0.296310
-0.916298 -0.505571
-1.294137 -0.664425
-0.647213 -0.316452
-0.521114 -0.540618
-0.797871 -0.658672
-0.986800 -0.319603
-1.136965 -0.478244
-0.966567 -0.557758
-0.859967 -0.205861
-0.894946 -0.943935
-0.724432 -0.293493
-0.501144 -0.586865
-1.223209 -0.991587
-1.222029 -1.595089
-0.967151 -1.394195
-0.618892 -0.297956
-0.898384 -0.408534
-0.861667 -0.977611
-1.189764 -0.634670
-1.371354 -2.086705
-0.632235 -0.330349
-0.901513 -0.407679
-1.382985 -0.935448
-0.877854 -0.377994
-0.949379 -1.943383
-0.761736 -1.254816
-0.653388 -0.341981
-1.291237 -1.505590
-0.917461 -0.510725
-0.924321 -0.516631
-1.011426 -0.770310
-1.152946 -2.200828
-1.237658 -2.253423
-0.969576 -1.616089
-0.771831 -0.316346
-0.706192 -0.309315
-1.008613 -0.254895
-1.357155 -0.995106
-0.673040 -1.287984
-0.531626 -1.003715
-0.813198 -0.222844
-0.881640 -0.809174
-1.016264 -0.697520
-0.988535 -0.487314
-0.609033 -1.008229
-0.628659 -0.523040
-0.967063 -1.497473
-1.110334 -1.116356
-0.763528 -0.945906
-1.104585 -0.692615
-0.848320 -0.858308
-0.624112 -0.718827
-1.044925 -0.434943
-0.625401 -1.180802
-0.571213 -0.866582
-1.250380 -0.930481
-0.720995 -0.667108
-0.793145 -0.317893
-0.682979 -0.822576
-1.117957 -0.401543
-0.812579 -1.040150
-0.843016 -0.489854
-1.376817 -0.979332
-0.618302 -1.106107
-0.807199 -1.481332
-0.780391 -0.374862
-0.965898 -0.804610
-1.351792 -1.002065
-1.107766 -0.236863
-0.584677 -1.452938
-1.250974 -1.868735
-1.063846 -1.812144
-0.612029 -0.322687
-1.293790 -0.795689
-1.110738 -0.486935
-1.443636 -1.738285
-1.051579 -1.970879
-0.668018 -0.551247
-0.806890 -0.158269
-0.505700 -0.541064
-1.063298 -1.261602
-0.489275 -0.580271
-0.550195 -0.605953
-1.300608 -1.128965
-0.537320 -0.688152
-0.761765 -1.173522
-1.327171 -1.654250
-1.104140 -0.712910
-0.595532 -1.122129
-1.078114 -0.409156
-1.114068 -0.317256
-1.123833 -0.441373
-0.741138 -0.405640
-1.043144 -0.602319
-1.268084 -2.015598
-0.956732 -0.190756
-0.652348 -0.783863
-0.771134 -0.253843
-0.548776 -1.217024
-0.649886 -0.529573
-0.829932 -0.731797
-0.774087 -0.619814
-1.018804 -0.802243
-1.113667 -0.611067
-0.966093 -1.008072
-1.134877 -1.422798
-1.329068 -1.082544
-0.692027 -0.789943
-1.076112 -0.278315
-0.806443 -1.187320
-0.788228 -1.473744
-0.736765 -0.384272
-1.100223 -1.204896
-0.916045 -1.153623
-1.427995 -1.337637
-1.118942 -0.542117
-0.942637 -0.570194
-0.761280 -0.448777
-1.045833 -0.443575
-0.932483 -0.871585
-0.800619 -0.316331
-0.829022 -0.277060
-1.030599 -0.586682
-0.666549 -0.468130
-0.552417 -1.081587
-1.301634 -1.040605
-0.831030 -0.126341
-0.884394 -0.338170
-0.642081 -0.402098
-0.894570 -0.235806
-1.281508 -0.774906
-0.606193 -0.434505
-0.732123 -0.538803
-0.859085 -0.466995
-0.700805 -0.992116
-0.518811 -0.648938
-0.937247 -0.681574
-0.925025 -0.387194
-0.564077 -0.673726
-1.170649 -0.450971
-0.717737 -0.331184
-1.003068 -0.910775
-0.535250 -0.747616
-1.076467 -0.830033
-0.686231 -1.149393
-1.289503 -2.053103
-0.871787 -1.264450
-0.898380 -0.162331
-0.867991 -0.497504
-0.636117 -0.430918
-0.603280 -1.109986
-1.033810 -1.541879
-0.606974 -1.044033
-0.617505 -1.349328
-0.781986 -0.656930
-0.831616 -1.753647
-0.800938 -0.391945
-0.608558 -0.372582
-1.041682 -0.322892
-0.690641 -0.409765
-0.871676 -1.746181
-0.621727 -0.400429
-0.559704 -0.830050
-0.816821 -0.539899
-0.619565 -0.598609
-1.123326 -0.613141
-1.236783 -1.698395
-0.857258 -1.707304
-1.124708 -2.285635
-0.638489 -0.312708
-1.018776 -1.691598
-0.833855 -0.259827
-1.120988 -0.862804
-0.801809 -0.417147
-0.976818 -0.787363
-0.950678 -0.324836
-0.889181 -0.829383
-1.080006 -1.011765
-0.690888 -1.623004
-1.141054 -0.704210
-1.022015 -0.594508
-0.993649 -1.193106
-0.865636 -1.362013
-1.068148 -1.225583
-0.815480 -0.309374
-1.034923 -2.121898
-1.228153 -1.894493
-1.308054 -0.860059
-0.828132 -0.257254
-0.545989 -0.802305
-0.943080 -1.658654
-1.161000 -0.981159
-1.221107 -1.756248
-1.235528 -1.037143
-0.932128 -0.422022
-0.660509 -0.353341
-0.848746 -0.323799
-0.797379 -0.674878
-1.079529 -0.240242
-0.865299 -0.277656
-0.822342 -0.199509
-0.887461 -1.005151
-0.673068 -1.135948
-0.846936 -0.627916
-0.716145 -0.305420
