# Step: -1
# U_max: -0.00034203589893877506
# x (configurations):
-1.274211 -2.107390
-0.885413 -1.025829
-1.280147 -2.358424
-1.137322 -1.102893
-1.074928 -0.421618
-0.777540 -0.439365
-0.938438 -1.951249
-1.377457 -2.267699
-1.463096 -1.633436
-1.394845 -1.979732
-1.232256 -0.545205
-1.026105 -1.012905
-1.307924 -0.741475
-1.373298 -1.234365
-1.422748 -1.829874
-1.151947 -1.616030
-1.184683 -2.419138
-1.134656 -1.847402
-1.031099 -0.357429
-1.166455 -1.497138
-0.609174 -0.814678
-1.237707 -1.908769
-0.697198 -1.182590
-0.703615 -0.704897
-1.034028 -1.098351
-1.113660 -2.200734
-0.930799 -1.643842
-0.905923 -0.644924
-1.075573 -2.042478
-0.964415 -0.721986
-1.066938 -1.239799
-0.870895 -1.862779
-1.374653 -1.065682
-0.691540 -1.279868
-0.587584 -1.161362
-1.195854 -2.129478
-0.751837 -0.386264
-0.631310 -0.998658
-0.557644 -0.823571
-0.937720 -0.940720
-0.883921 -0.606354
-1.034659 -1.719892
-1.067691 -0.922634
-1.084805 -1.330009
-1.093963 -2.317233
-1.157412 -1.559422
-1.297683 -1.483577
-1.357870 -1.287885
-0.793073 -1.168871
-0.800843 -1.143812
-0.837006 -1.202711
-1.241883 -1.531949
-1.090567 -0.831834
-1.171854 -0.734515
-0.737594 -0.505926
-1.470521 -1.457912
-0.939252 -0.397445
-0.893138 -0.257202
-0.944111 -1.636924
-0.711006 -1.051986
-0.982676 -0.666992
-1.364192 -1.828872
-1.114420 -0.909664
-0.930963 -1.680822
-1.434148 -1.444792
-1.096771 -0.548721
-0.654572 -0.934105
-1.342741 -1.842739
-1.324608 -1.553311
-1.371571 -1.822538
-0.574075 -0.624625
-1.382762 -1.028545
-0.928078 -0.739329
-1.204677 -0.973324
-1.207982 -1.520515
-0.763744 -0.769481
-0.675399 -0.356884
-1.140918 -1.115278
-0.727697 -1.298140
-0.868281 -0.380920
-0.906130 -2.034548
-0.982514 -0.266885
-1.280972 -0.768969
-0.883531 -0.689914
-0.923941 -0.756146
-1.087789 -1.536848
-1.246070 -1.369290
-0.706718 -1.199565
-1.402978 -1.864447
-0.854998 -1.484490
-0.870213 -1.888610
-0.804952 -0.908146
-1.395232 -1.872752
-1.250553 -1.483160
-1.425404 -1.281782
-0.781904 -0.928637
-1.048911 -0.969620
-1.067671 -1.888994
-0.657240 -1.060476
-1.075213 -1.399545
-0.780024 -0.691431
-1.324589 -1.056224
-1.216185 -0.529143
-1.446306 -1.832859
-0.854307 -1.686253
-0.927571 -0.412360
-1.276174 -0.781853
-0.724840 -0.485513
-1.382885 -1.624425
-1.318817 -1.909852
-1.009804 -0.749946
-1.254993 -2.287297
-1.420225 -1.765298
-0.639702 -0.492160
-1.187050 -0.951743
-0.947482 -1.062279
-1.322989 -2.130337
-1.003458 -1.759302
-1.351719 -0.827665
-1.225266 -1.720233
-0.992488 -1.447511
-0.829306 -1.303778
-1.114354 -1.549269
-0.613798 -0.764256
-0.975384 -0.847469
-1.408793 -1.960879
-0.550082 -0.666140
-0.837545 -0.577930
-1.323132 -0.743312
-1.043687 -1.726237
-0.556051 -0.940310
-1.286484 -1.402405
-1.122185 -1.685485
-1.015544 -0.537763
-0.871757 -1.647171
-1.057898 -0.854684
-1.293989 -1.614597
-1.180872 -2.394586
-0.911264 -1.920930
-1.149401 -1.661515
-0.965820 -1.666056
-1.434906 -1.299620
-1.078421 -1.618308
-0.693143 -1.063444
-1.376065 -1.842668
-0.815551 -1.381542
-1.319049 -1.614540
-0.718819 -1.385867
-1.119580 -2.193964
-0.886091 -0.258433
-0.710781 -1.446804
-0.769796 -1.129318
-1.063706 -0.788432
-1.021608 -1.195867
-0.597678 -0.908230
-1.220687 -1.602958
-0.565653 -0.996528
-1.120265 -1.407407
-1.337194 -1.025528
-1.073687 -0.395728
-1.028907 -1.213229
-0.696918 -0.894809
-0.934977 -1.887399
-1.329582 -1.199484
-0.967701 -1.000601
-0.900343 -1.636219
-1.092040 -1.321631
-1.023739 -1.218357
-1.097245 -2.184149
-1.452485 -1.511431
-1.125949 -1.191863
-0.796018 -1.404397
-1.181983 -1.293080
-0.771604 -0.499458
-1.392300 -1.704197
-1.193145 -1.119023
-0.902529 -1.509073
-0.692239 -1.534250
-1.069537 -0.330754
-0.622648 -1.046488
-0.979868 -2.191918
-1.336207 -1.868953
-0.980465 -1.270957
-1.286098 -1.261043
-0.786182 -1.119702
-0.965001 -0.749627
-1.060873 -1.551866
-1.154312 -0.691024
-0.779690 -1.332982
-1.053469 -0.309643
-1.176275 -1.954866
-0.708852 -1.457729
-0.892877 -1.088623
-0.889804 -1.463323
-1.148996 -2.063035
-1.371562 -1.323161
-1.355209 -2.306499
-0.800930 -0.429853
-1.102913 -0.506813
-1.081220 -0.523947
-0.817944 -1.129102
-1.078117 -0.498697
-0.641374 -1.212488
-1.104905 -0.403455
-1.378355 -1.068848
-1.141405 -1.342555
-1.200687 -0.574126
-1.306180 -0.820378
-1.429336 -1.411537
-1.075509 -1.674936
-0.984874 -1.818759
-1.287920 -1.100460
-0.929591 -2.051689
-0.965132 -1.643648
-1.115976 -1.894781
-1.111256 -1.330649
-1.148603 -1.116214
-1.012084 -1.782906
-0.798478 -0.554329
-1.171661 -1.076113
-1.029340 -2.091601
-0.741505 -1.558534
-1.393087 -1.942873
-1.229562 -1.470972
-0.704318 -0.451824
-0.958548 -0.523240
-1.039217 -1.509875
-1.310829 -1.656736
-1.212224 -0.615291
-1.262042 -1.765289
-0.864256 -0.588552
-1.305082 -2.179627
-0.695687 -0.707552
-1.459650 -1.758106
-0.609694 -0.474851
-1.044081 -0.459177
-0.859378 -1.719502
-0.932904 -1.775558
-0.705494 -1.115853
-0.821590 -1.005046
-0.986750 -0.938893
-1.065920 -0.489714
-0.865147 -0.884386
-0.923137 -1.512174
-0.891225 -1.385183
-1.290712 -1.174523
-0.625358 -1.078184
-1.105258 -0.628462
-0.837668 -1.354477
-0.732100 -1.066942
-0.825929 -0.986564
-1.113983 -1.914327
-0.917596 -0.295823
-0.859218 -1.832168
-1.119847 -1.727440
-0.718905 -1.153792
-1.058084 -2.025828
-1.156665 -1.841182
-1.103521 -2.115063
-1.050638 -2.207903
-0.687843 -0.412773
-1.027438 -1.943530
-1.416595 -1.725125
-0.745016 -0.639264
-1.231979 -1.866705
-0.573429 -0.848348
-0.583643 -0.755388
-0.930420 -0.339059
-0.914532 -1.088414
-0.963364 -0.563687
-1.200673 -1.061597
-1.156129 -1.836734
-1.248059 -1.421239
-0.730307 -0.404322
-1.249073 -1.670220
-1.131145 -1.430659
-1.371093 -1.922504
-0.895495 -1.786070
-1.156701 -2.315136
-1.384304 -1.381267
-1.228609 -1.697171
-1.201990 -1.821405
-1.288538 -1.477492
-0.715663 -0.454788
-0.965372 -0.836711
-1.123227 -0.725511
-0.881917 -1.510262
-1.313972 -2.402332
-1.058950 -1.762756
-1.221866 -1.918007
-0.668413 -0.566736
-0.915982 -1.056621
-1.106463 -1.816380
-1.275521 -1.110439
-0.676990 -1.023424
-1.380234 -2.247383
-1.138611 -1.851509
-1.295902 -0.817824
-1.175279 -1.218413
-0.664945 -1.110838
-0.794929 -0.387312
-1.279210 -2.420040
-1.445716 -1.926623
-1.073386 -0.572340
-0.590444 -0.520966
-0.823807 -1.271055
-1.414581 -2.011633
-0.891561 -0.572380
-0.853620 -1.287533
-1.008830 -0.825926
-1.403392 -1.755704
-0.646162 -0.691775
-1.075114 -0.721395
-0.782258 -1.756345
-1.306394 -1.770310
-1.074814 -1.656225
-0.868068 -1.409485
-1.132513 -0.767976
-0.573633 -1.015686
-0.965045 -0.415673
-0.922450 -1.199013
-0.957099 -1.384604
-1.206563 -1.693422
-0.941961 -1.285975
-0.908719 -1.385449
-0.771210 -1.380096
-1.097603 -1.434915
-0.813483 -1.288686
-0.904239 -1.807446
-0.937095 -1.794115
-1.430643 -1.893459
-1.040037 -2.070717
-0.923804 -1.866195
-1.150659 -1.228284
-0.969835 -1.751088
-0.777540 -0.912501
-1.037313 -1.492209
-1.009784 -1.816793
-0.833826 -1.530563
-0.889789 -0.397359
-1.084919 -0.943177
-0.870674 -1.380672
-0.908003 -1.357119
-1.313175 -0.842069
-1.353596 -1.059572
-1.117522 -2.169974
-0.994620 -1.345829
-1.333497 -2.170135
-1.202800 -1.493633
-0.876496 -2.000011
-1.265978 -1.048143
-0.725313 -0.554493
-1.257762 -1.421456
-1.385811 -1.946667
-0.978817 -0.623362
-1.128316 -0.720437
-0.861017 -0.460743
-1.008725 -0.691025
-1.035890 -0.466315
-1.168231 -1.296424
-0.905587 -0.492383
-0.940610 -0.867223
-1.068288 -0.557782
-1.092884 -1.536558
-1.049647 -1.113471
-0.778827 -1.373482
-0.881199 -1.435337
-0.778207 -1.499942
-0.924032 -0.798581
-1.136860 -0.718929
-1.086897 -0.402131
-0.713534 -0.983254
-1.404889 -2.004584
-0.598182 -1.196599
-1.077723 -0.392294
-1.455773 -1.370689
-0.855232 -1.033651
-0.869979 -0.697093
-0.651821 -0.964551
-0.547683 -0.791474
-1.426452 -2.222622
-0.667958 -1.427406
-1.251269 -1.137713
-0.912254 -1.764213
-0.635707 -0.663982
-0.976767 -2.044569
-0.849380 -0.496866
-0.867094 -0.796737
-0.863180 -0.348395
-1.460797 -1.818109
-1.316336 -2.106030
-1.241876 -2.129349
-1.222208 -1.705876
-1.297150 -0.807429
-1.073338 -1.631728
-1.313552 -1.092689
-1.286242 -2.371358
-1.180511 -0.525352
-1.376202 -0.948688
-0.958944 -1.963657
-1.319305 -1.497690
-1.059063 -2.126102
-1.103796 -1.294156
-0.844462 -0.752477
-0.736673 -1.339383
-1.003035 -1.742601
-0.630539 -1.086046
-1.274294 -1.910321
-1.330466 -1.528054
-0.752605 -1.709805
-1.179426 -1.673076
-1.239851 -1.806471
-1.156852 -1.506680
-1.320048 -1.632770
-0.665285 -0.600551
-0.650551 -1.201266
-1.122547 -0.931500
-1.117376 -1.728196
-0.604218 -1.113725
-0.664001 -1.161714
-0.966267 -0.619229
-1.184143 -0.615840
-1.395838 -1.696296
-1.056524 -0.845867
-0.810172 -1.057936
-1.117115 -0.883348
-1.453499 -1.562513
-0.998660 -0.816354
-0.973520 -1.997863
-1.208600 -0.756504
-1.363914 -2.068789
-1.193252 -0.621870
-1.421380 -2.025546
-0.917617 -0.948044
-0.914836 -0.854342
-1.164564 -1.136346
-0.972485 -1.391821
-0.964697 -0.700598
-0.833122 -1.761356
-0.806933 -1.304765
-0.628314 -1.109169
-1.132348 -0.554396
-1.114793 -0.819272
-1.172480 -0.727239
-1.337531 -0.948457
-0.850489 -0.880937
-0.771107 -1.286707
-1.120235 -0.934979
-1.118317 -1.051798
-0.947041 -1.381126
-1.008981 -1.385856
-0.999000 -1.106417
-1.476597 -1.692530
-1.132086 -0.709459
-1.279185 -1.845669
-0.973439 -0.727497
-0.578617 -0.794505
-0.902869 -0.402003
-0.774185 -1.701150
