# Step: 2
# U_max: 0.12757551670074463
# x (configurations):
-1.391493 -1.934693
-0.196070 -1.126873
0.775492 0.169806
-0.828376 -2.327755
-0.483285 0.193110
0.621278 0.510978
0.671203 0.694263
-0.067335 0.098121
-0.463655 -0.085316
-0.649142 -2.159398
-1.113960 -0.834727
-1.100077 0.183944
-1.333914 -1.336554
-0.269865 -0.454736
-0.582317 -1.249244
-1.376128 -1.745326
0.453620 0.127325
-0.510037 -0.641439
0.988583 0.664515
-0.333048 0.053218
-0.984569 -1.161014
-1.412244 -0.895541
-0.226871 -0.199431
0.393557 -0.212252
-1.513835 -2.352335
-1.616443 -1.633260
-0.473029 0.064729
-0.699646 -0.435975
0.580898 0.655144
-1.480392 -2.511581
-0.848368 -0.122121
-1.207436 -2.597365
-1.523119 -0.883373
-0.918573 -0.753328
-1.624177 -1.647935
-1.135779 -1.086002
-0.549930 -1.456141
-1.159018 -2.644188
0.031384 -0.592731
-0.115598 -0.157419
-0.985578 0.001487
-0.512530 -1.582602
0.851530 1.039832
-0.906673 -1.407191
-0.367061 -1.478446
-0.338676 -0.877304
-1.012943 -1.891079
-1.213031 -0.240553
-0.573217 -1.611828
-1.351637 -2.082735
0.808457 0.893800
-1.411692 -1.456524
-1.548324 -0.924735
-0.839945 -1.990768
0.877571 0.366398
-0.887605 -1.898856
-1.211357 -1.427870
-1.452063 -1.636485
-0.180156 -0.298669
0.458945 0.050509
-1.403904 -2.617562
0.709722 -0.053722
0.025943 0.055652
0.857935 0.738436
-0.778653 -0.216029
0.515877 0.256834
1.107017 0.680220
-1.182543 -1.410890
-1.196242 -0.316221
0.850861 0.384017
-1.242046 -0.706763
-1.305318 -1.616060
-1.365459 -2.567025
-0.487753 -1.415576
0.546109 0.326479
-0.865703 -0.823875
0.241610 -0.186304
-0.433566 -0.650607
0.324463 0.070455
0.741800 0.746694
0.483604 -0.088093
-1.146533 0.099295
-0.687662 -1.734248
-0.496528 -0.413002
-1.122496 -0.909883
-0.276383 -0.053847
-1.134831 -1.307051
0.419223 0.230733
-0.661556 -2.040180
-0.342109 -0.387869
-1.186527 -0.845501
0.906986 0.321394
-0.478420 -1.760432
-0.727795 -1.517169
-1.177783 -1.775584
0.790902 0.752282
-1.003128 -0.557797
0.050940 -0.461772
1.039373 0.338233
-1.480200 -0.672471
0.727160 0.385518
0.902509 0.608126
-1.132048 -2.139103
0.423107 0.297592
-1.271786 -0.675093
0.992618 0.793377
-1.017293 -2.618758
-0.029808 -0.432884
-0.751840 -1.466535
-1.405702 -0.658162
-1.181036 -0.260923
1.007416 0.730261
-1.261046 -2.341088
-1.575746 -1.119232
-1.173384 -0.318365
-0.101764 -0.684012
0.436420 0.119013
-1.568091 -1.130684
0.456572 0.284037
0.667465 0.594877
-0.342020 -0.738029
0.856297 0.483952
-1.289536 -2.995453
0.914257 0.167898
1.140103 1.045776
-0.574414 -1.274518
-1.519165 -0.742992
-1.209165 -2.320226
0.461566 -0.031426
-0.202290 -0.864169
-0.791619 -0.318603
-0.386487 -0.203493
-1.180528 -2.580416
-0.105042 0.045580
-1.269725 -0.612167
0.191487 -0.074824
-0.522152 -1.677645
-1.353192 -0.393685
0.802426 -0.069613
0.209366 0.376321
0.681813 0.581529
0.988730 1.053713
0.047095 -0.528364
-1.269492 -0.767115
-0.221119 -1.060547
0.022575 -0.301915
-1.246454 -1.695349
-1.504539 -1.555524
-1.211033 -2.723135
-0.427482 -1.342951
-1.517792 -1.597160
-1.245351 -0.409206
-1.240847 -0.455611
-0.753280 -2.268835
-1.040309 -1.045571
-0.965707 -0.207226
-0.574447 -1.700825
-0.597199 -0.779980
-1.296461 -1.266149
-0.836123 -0.139699
-0.635276 -0.882914
