# Step: 3
# U_max: 0.038823746144771576
# x (configurations):
-0.644157 -0.065160
1.370816 0.441409
-1.484638 -0.799749
-0.790450 -1.357856
-0.982771 -1.150822
-0.780630 -0.235640
-0.276341 1.646340
0.151592 -1.563784
1.738095 1.018718
-0.932607 -2.000804
1.049238 2.648947
-0.749863 -1.322095
0.057963 -0.611934
-0.912268 -0.720571
-0.292571 0.177253
-1.798916 -1.121448
-0.035502 -0.564344
-0.478569 -0.888133
-0.642928 -1.434789
1.310127 0.439824
-1.267315 -1.291948
0.819114 0.801022
-0.137652 -0.620894
-0.676896 0.021353
-1.264630 -1.273873
0.545021 0.012038
0.801858 0.951327
1.146427 -0.522972
-1.049316 -0.877789
0.251769 -1.183944
-1.359521 0.842840
1.195703 -1.447248
-0.781626 -1.347634
0.495402 0.440614
-0.688089 -0.751595
-1.666802 -0.473624
-0.964646 -1.259848
-0.823262 -1.931582
-0.649747 -0.275703
-0.794793 -2.514491
0.383503 -0.852490
0.402899 -0.082218
-0.947189 -1.205579
-1.428727 -0.965594
-1.432623 -0.840197
-1.455257 -1.276765
0.633109 1.015047
0.075185 0.277115
-0.235148 2.073623
-1.336863 1.068722
-1.155265 -0.929129
-1.309837 -1.294043
-0.711348 -0.544310
0.033681 -1.034922
-0.889357 0.682220
1.047585 -1.687299
0.738337 0.728746
1.140830 1.427294
-0.621457 -0.618414
-1.387724 -2.016677
-1.073551 -0.409733
-0.862515 0.363503
1.641962 0.967509
1.159406 0.887676
1.525243 1.190682
-0.339273 -0.274841
0.365990 -0.566675
0.481561 2.394642
-0.695032 -0.383592
-0.386995 0.080987
-0.038341 0.926663
-0.768052 0.208064
-0.800090 -1.534063
-1.154333 1.078540
-1.310947 -2.711099
-1.701004 -0.275468
-0.829514 -0.229029
0.163867 -0.192178
1.234709 -0.220320
1.043050 0.698416
0.604029 0.186419
0.267862 0.391967
-0.944237 -1.082159
-0.172458 0.030612
0.908986 0.502760
0.132447 0.172885
1.359371 -0.960832
0.377897 0.143282
1.046526 0.882921
-1.468882 -2.017398
-0.618480 2.194190
-0.948736 -1.774634
-0.596267 -1.435484
-0.874509 0.693721
-0.721508 -0.301623
-1.033239 -3.189688
-1.236453 0.697945
0.062653 -0.757963
0.249625 0.206295
-1.372066 -1.765845
-0.566935 -0.050820
-0.554485 -3.061555
0.230978 0.253794
0.551454 -0.999889
-0.448706 0.336078
-0.129751 -0.727130
0.370664 1.537648
0.184590 2.456996
-0.823167 -0.251101
-1.465545 0.994923
-0.974017 -0.005189
-0.766380 0.661068
0.528343 -1.750041
1.169037 1.317528
-1.371400 -0.063682
0.360017 2.802187
-1.289343 -1.757859
1.732405 2.449411
-1.481896 -3.262976
0.072339 -0.183780
0.433743 0.044113
1.913139 1.066009
-0.668705 -0.520445
-0.402876 -0.344799
-0.888873 -0.043296
-0.970432 -1.792683
-0.466965 -0.307408
0.479708 0.265188
-0.836099 -1.603939
-0.941406 -1.219007
0.154569 0.167957
0.337218 -0.166668
0.179696 3.050502
0.114666 -1.135663
-1.044827 -1.937255
1.036284 0.358854
0.036970 1.561052
0.887528 0.154349
-1.377362 -1.909903
-0.652578 -0.764122
0.911398 1.186274
0.995334 0.427634
1.601744 0.887480
-0.525550 0.035323
0.326886 -1.760193
-1.154318 -0.224029
0.045426 0.338684
-0.666764 -1.511799
-0.668528 1.890910
0.446467 -0.091949
-0.647442 -0.765325
0.842338 0.328481
-0.187111 -2.864513
0.459090 0.529223
-1.591639 -2.030691
-0.793690 -1.253866
0.453412 0.711773
-0.340554 -0.200384
-1.134576 -2.017189
-0.667867 -0.154979
-1.251571 -1.798831
-0.477345 0.985410
0.464125 -0.344049
-0.507784 -0.245962
-1.015218 -0.977673
-1.338331 -2.054713
0.560498 0.745314
-0.946213 0.439159
-0.213795 -0.965644
-1.064834 0.345036
1.012522 -1.306972
-0.332362 0.149120
1.219234 1.784885
-0.529417 -0.580193
1.376068 -0.208447
-0.495132 2.258768
-1.158723 0.391378
-1.139507 -0.732570
0.264108 -2.110819
-2.144115 -0.320093
0.313500 0.646954
1.442822 -0.954597
1.249310 -1.453420
1.035452 -1.607360
-0.775960 -1.109751
-0.704406 2.227173
0.162778 1.641135
0.613928 1.016036
0.606799 0.643768
1.315251 1.230498
-0.918579 -1.610111
1.172548 -2.299984
0.746724 -0.114826
0.863757 -0.120324
-0.237637 -0.775895
1.019830 2.233492
-0.771792 -0.363543
-0.563738 -0.485233
0.865073 -0.436724
1.837161 -0.046270
1.203707 -0.249673
-1.788773 -0.269321
0.255932 0.372282
0.177141 0.393971
-1.017742 0.899913
0.321327 2.977829
-0.843963 -1.442664
-0.366594 1.861766
-0.597559 -0.766075
-0.892803 -2.235384
1.186965 1.472853
-1.317661 -1.832767
-1.216625 0.093973
-1.427960 -0.086700
1.729491 0.330839
0.202917 0.110111
-0.436652 0.060167
1.139681 -0.708126
-1.164459 -0.916899
1.489592 0.507871
0.484601 -1.056699
-0.799948 -2.620600
-0.503018 -0.458943
-0.982955 -1.515785
1.128563 1.161615
1.062000 -0.579954
-0.712649 -0.942955
-1.239738 -1.414553
0.130338 0.072540
0.627825 0.260152
1.248369 0.998551
-1.035331 -1.978843
-1.085539 -2.371410
-0.903809 -0.715900
-0.283042 1.819597
1.677309 1.102687
1.493102 -0.600161
-0.489162 -0.571729
-0.589245 -0.612960
-0.911545 -2.082434
-1.450011 -2.794448
