# Step: 4
# U_max: -0.029040176421403885
# x (configurations):
-1.081586 -1.282339
-0.621760 -0.764094
0.587073 -2.493880
-0.587762 -0.526698
-0.797326 -0.352477
-1.120743 -1.387252
0.367222 0.766131
-0.879159 -1.524844
-1.166874 -0.849897
0.561134 0.624808
-0.722649 -1.518572
-1.023346 0.077333
-1.334017 1.442150
-1.205476 0.755454
-1.687383 0.143442
-0.062306 -0.615917
-0.983217 -1.116506
-0.728519 -0.860752
-1.083105 -1.569279
0.795459 -0.929010
-0.138248 2.667717
1.350193 -0.048788
0.606233 -0.389239
-0.759898 -1.220914
-0.970687 -0.883864
0.199447 -0.749599
-1.119192 -1.899262
1.309200 1.607146
0.261117 0.654805
-0.421154 0.994571
-1.012843 0.059953
-0.837607 -0.251751
0.071081 0.101702
-0.537422 0.392517
1.105993 -0.659383
1.028139 1.267289
-0.914553 -1.817602
-1.323554 -1.331931
-1.527767 -1.163257
0.878015 0.439068
1.019899 -0.476886
-0.403148 -0.645730
1.619175 0.109419
-1.206629 -0.934550
0.036796 2.958729
-1.336882 -0.658876
0.500013 -2.377858
-0.507433 -0.222957
0.012729 -0.670767
-0.562963 -1.531823
-0.458819 -0.845317
-1.265177 -1.020006
-0.352310 -0.981099
-0.784186 0.095345
-1.101327 -1.434193
-0.148237 -0.967971
-0.550231 -0.488986
-0.508964 -0.794551
-0.306792 -0.582529
1.181672 0.708235
-0.992745 -1.139411
-1.040240 -0.449500
-1.103583 -1.344294
-0.659654 -0.995220
-0.549143 1.204098
1.957010 0.447900
1.192154 1.632344
-1.217096 -0.738856
-0.127378 -1.249540
1.555927 1.499794
0.211545 -1.605426
-0.788422 -1.473400
1.321996 0.265973
0.549059 0.373224
0.919940 1.785727
1.071650 2.455081
1.005769 -0.458093
-0.903278 -1.682857
-0.902121 -0.980947
-1.169265 -0.700264
-0.734552 -0.826749
0.540156 0.007974
-0.850307 -2.098254
-0.697203 -1.084981
1.023943 -0.363631
-0.991739 -0.510517
-0.439000 -0.944672
-0.812350 -1.486197
0.985456 0.081611
1.025244 -0.617303
1.544992 0.813377
-0.962127 0.272666
-0.046892 0.945776
-1.239379 -1.510279
-0.068590 2.413536
-0.106593 -0.450008
-0.168595 1.228945
1.007329 -0.062519
-0.563153 -0.601608
0.658048 -0.219655
0.893880 0.191435
-1.278171 -3.307492
-0.862216 -0.820973
-0.998705 -1.762035
-0.890098 -0.596415
0.789531 1.348631
-0.884288 -1.092296
-0.655083 -0.678390
-0.548815 -1.341257
1.147250 0.361459
-0.705221 -0.511625
1.413128 0.628103
0.877177 -0.814170
1.566806 1.754103
-0.976998 -1.520773
0.121248 -0.025911
