# Step: 4
# U_max: -0.029040176421403885
# x (configurations):
-1.099970 -1.880472
-1.297372 -1.606120
-0.867836 -0.583201
-1.005306 -1.725918
-1.218745 -0.680099
-1.227144 -1.125083
-0.802107 -0.718859
-0.964108 -1.024087
-0.749197 -0.724291
-1.307187 -1.900669
-0.944835 -0.508151
-0.908183 -0.881396
-1.071469 -0.967009
-0.978265 -0.988544
-0.977493 -0.529656
-1.383949 -1.817015
-1.016561 -0.962481
-0.997705 -1.320146
-1.233714 -1.750437
-1.380038 -1.121501
-0.951200 -0.833156
-0.697033 -0.596168
-1.216314 -0.807936
-0.833853 -1.387755
-0.898245 -0.926100
-0.833858 -0.804208
-1.041443 -1.728802
-0.679405 -1.264189
-1.432795 -1.548337
-0.700293 -0.630250
-1.306858 -1.620369
-1.091621 -2.250363
-1.276817 -2.200668
-1.009248 -1.925579
-0.810457 -1.690366
-0.964957 -1.092375
-0.848950 -1.556705
-0.837131 -1.808302
-1.361408 -1.348542
-1.216321 -2.226337
-1.158677 -1.855294
-1.291178 -0.777270
-1.121837 -1.247259
-0.693804 -1.055057
-0.993378 -2.003633
-1.038320 -1.276261
-1.307902 -1.788462
-1.385972 -1.473970
-0.660723 -0.998751
-1.228838 -1.212248
-0.658444 -0.780479
-0.799003 -0.710148
-1.308326 -0.899068
-0.929786 -1.461607
-1.178313 -2.118357
-0.719873 -0.799928
-0.754298 -1.203228
-1.021815 -1.588613
-0.683668 -1.135307
-0.840684 -1.648111
-1.072241 -1.604260
-1.192173 -0.651268
-1.043043 -0.412955
-0.708284 -0.879348
-1.224346 -1.823911
-1.244543 -1.943823
-1.402498 -1.158984
-1.237588 -2.124267
-1.063204 -1.516640
-0.869441 -1.646731
-1.377735 -2.008056
-0.761594 -0.553225
-1.257346 -0.886763
-0.893611 -0.539676
-0.832798 -1.618746
-0.631817 -0.763945
-1.086117 -1.960368
-1.019504 -1.460018
-0.907321 -1.258910
-0.942237 -0.840922
-0.716259 -1.296465
-0.742619 -0.935377
-0.915442 -0.902123
-0.772512 -0.865463
-0.701211 -0.904133
-1.022815 -0.459948
-0.978899 -1.923268
-1.109243 -0.452225
-0.966198 -1.421236
-0.930136 -0.606107
-0.859607 -1.109187
-1.174062 -1.676092
-1.135650 -1.986369
-0.686547 -0.972739
-1.167835 -1.296293
-1.232656 -1.599133
-1.111796 -0.991102
-0.951600 -0.590516
-0.939956 -1.105417
-1.242271 -1.426430
-1.199598 -0.671154
-0.878702 -0.389261
