# Step: 1
# U_max: 0.058243684470653534
# x (configurations):
-1.262817 -3.326930
0.101936 -1.362946
1.401256 1.541896
-0.756603 -1.595781
1.138042 0.414127
0.269545 -0.223287
-0.458763 -2.493878
0.325755 -1.047291
0.626910 0.284066
-0.559151 -1.377755
1.429988 2.339484
0.350706 -0.522073
1.435772 1.658687
-0.594652 0.872264
-1.347087 -0.628433
0.301365 1.851051
-1.382228 -1.794974
-0.921857 -3.489968
0.323181 1.999520
-0.385501 0.919033
0.656612 -0.652633
-0.460550 -1.835548
-0.438259 -2.516392
0.478395 -1.178891
-1.268854 -2.899019
-0.244922 0.210279
-0.672784 -0.327927
0.573506 -0.496422
1.012046 0.359485
1.360596 1.270113
-0.824087 0.148982
0.392409 0.158987
-0.975514 -1.743413
-1.351116 -3.673109
-1.559194 -3.435454
1.042619 0.323447
1.094937 0.273905
0.918439 1.430485
-1.565778 -0.804721
1.129820 2.482440
-1.591355 -3.126159
-0.726102 -0.718656
1.166759 0.481017
-1.684317 -2.806929
0.850251 0.787051
-1.333717 -0.102621
-0.621412 -1.969666
1.109147 1.189992
-1.189128 -2.325760
0.864301 -0.872729
-1.611154 -0.737274
0.989444 0.562233
-1.499660 -1.486853
1.390976 1.908244
-0.681896 -0.026427
-0.724038 -1.462807
1.069440 1.021761
1.302969 1.646005
-1.017645 -2.851063
0.750824 1.454149
-0.534722 -1.287374
-1.200828 -2.635640
-1.013164 -1.399634
-1.677340 -3.660758
0.499433 2.076722
-1.319249 -3.617517
0.159964 0.369579
0.430312 1.654496
-0.859136 -0.228911
-0.688225 -0.550851
0.971408 0.230532
0.382803 0.972556
-1.645461 -3.715671
-0.970502 -2.966741
-0.474084 -1.624950
-1.613838 -3.412174
-1.741107 -2.122699
-0.009141 -0.411455
-0.508334 -2.564942
-1.226382 0.924688
1.181245 1.335653
1.519777 1.873833
-1.836784 -1.254285
-1.378454 -2.976257
-0.548067 -2.798301
-1.399161 -3.112886
-0.424206 1.457647
-0.833480 1.287121
0.500065 -1.642805
-0.945512 -3.020331
-1.150453 0.780379
-1.529632 -2.183589
-0.991963 -0.303328
1.291317 -0.119573
1.197157 2.354940
-0.666115 -2.885769
1.160514 2.065689
-1.730964 -1.888667
-1.686296 -1.628141
-0.650514 -0.410649
0.269231 0.962017
0.969799 0.950177
-0.293889 -2.041832
-0.467132 0.825028
-0.838432 -3.426533
-0.086263 -1.753569
0.078475 0.342991
0.197751 0.931401
-1.663586 -0.634574
-0.786565 -0.420498
-1.668988 -0.365512
-1.096116 -2.028502
0.397657 -0.319525
0.256635 0.988360
1.221687 2.569740
-1.334882 -2.798643
1.118014 -0.947578
0.984070 0.948249
-0.210501 -0.144569
-0.264535 -2.572845
0.207745 1.706362
0.822372 -0.385461
0.868914 -0.628900
-0.974234 -0.385145
-0.005171 -2.088605
1.116813 0.370333
-1.203104 -3.097966
-0.097706 -0.983356
1.516374 0.395279
-0.786394 0.588675
0.932789 -0.005389
1.303357 0.533629
-1.119214 0.497738
-0.478723 -1.961489
0.157999 -1.345049
-1.575084 -0.314450
-1.311502 0.263082
1.475831 0.923434
-1.479254 -2.871377
0.850166 1.609595
-1.873060 -2.477091
-0.459757 -2.481147
0.108034 -1.171947
0.133507 1.658293
0.098965 -0.178297
1.162310 0.653929
0.170019 -1.168972
1.050093 0.192244
-1.562089 0.254063
1.177806 1.593970
0.769242 -0.777824
1.230020 0.089308
-0.721555 -2.215615
0.286707 1.372905
-0.440590 -2.038463
0.150643 -0.523994
1.328536 -0.291347
-0.191197 -1.685386
-0.706041 -1.576323
-1.361348 -3.649312
-1.158089 -0.037706
1.137071 0.460566
-0.023266 -0.452068
-1.340624 -0.628266
-0.986843 -0.944776
-1.171093 -2.139767
-0.512370 -1.501538
0.748931 1.254565
-1.274823 -1.105589
1.366812 -0.029881
1.059526 0.460544
-0.666668 -0.872440
1.271571 2.020747
-0.536634 1.156662
-0.705202 -1.043549
0.204569 -0.279531
-0.074836 -0.149357
1.379983 1.944307
-0.595544 -1.038144
1.534895 0.581630
-0.779604 1.079253
1.131335 2.519319
-0.679711 -1.712361
0.127607 -0.498048
1.513110 1.678345
-1.403892 -3.375440
1.475589 1.034587
-0.078607 -1.051157
-1.637150 -3.349324
0.061105 1.637883
-1.249159 -2.404829
1.033165 -0.404032
-1.093684 -0.087109
-0.545585 -2.722534
1.569792 1.531391
-0.532943 -1.349653
-0.130333 -0.568704
-1.224399 -3.515423
-0.581023 -2.903183
-0.855992 -1.308194
-1.114663 0.750031
-0.428687 -1.569331
-0.650614 -2.681842
0.620905 0.111393
-0.546109 0.222749
1.381953 1.483410
-1.130741 -2.847530
-0.575099 0.093035
-1.805916 -2.741621
0.106377 -0.601743
-0.923848 -0.831565
1.518928 1.419699
-0.967116 -2.160564
0.915265 -0.982282
0.089696 1.200396
-0.137682 0.673918
-0.841492 -3.382691
-1.163413 -3.201664
0.925894 0.239461
-0.436873 0.092691
-0.313625 -2.332946
0.403122 1.960567
-1.623795 -1.765886
0.296297 1.220537
-1.804003 -1.395691
0.148677 -0.844913
-0.019390 0.116841
-1.214564 -1.766458
-0.290825 0.590062
-0.026371 -2.021787
1.065226 0.455930
-0.081429 -2.167210
-1.454828 -0.388574
1.393321 -0.330743
0.164663 -1.139346
1.054591 0.212393
-1.426888 -3.776901
-1.646770 -2.029757
0.070990 -0.741183
-0.437086 0.094374
-1.639368 -0.827008
0.042287 0.576693
-1.631318 -0.816325
-0.746126 -2.016158
-0.533015 0.449642
0.595463 0.770165
1.476562 1.681279
-1.476978 -0.903134
-0.982084 -0.829610
1.399681 0.642682
-1.480684 -0.036631
0.088307 0.241407
-0.401445 0.510828
-1.086979 -0.657199
0.723729 2.042650
-0.189002 -0.279871
-0.879322 -1.960409
-1.163094 -2.695836
0.339421 1.746660
-0.003312 1.674546
-1.490537 -1.281657
-1.447128 -0.663353
-0.610884 -0.578997
-0.079570 0.183544
-0.551463 -2.453063
-1.316968 0.761130
-0.896190 1.006924
1.153582 1.693529
-0.451490 -2.184363
-0.631694 -1.450065
0.786072 -0.004216
-1.690289 -2.695591
0.985093 0.829885
0.116818 0.541246
-0.084914 0.388984
-1.675782 -2.317749
-0.826739 -2.914810
0.482041 -0.605361
0.005034 0.889484
0.363201 -1.455470
-0.777437 -1.374933
-1.347307 -2.579092
1.542522 1.616515
-1.599963 -2.167419
-1.694207 -0.789972
0.632770 1.055115
0.273887 -1.790240
-1.177572 -0.642636
-0.330354 0.943356
-1.002151 -1.515146
-0.468739 1.019949
1.265961 1.732498
0.142870 -1.740393
-0.570192 -1.121434
-0.840415 1.247833
1.138740 -0.153835
-1.179241 0.689917
1.031980 -0.751731
0.216214 -0.687585
0.049147 -2.114384
-0.615403 -0.385760
-0.818609 -2.805339
0.253804 1.368484
0.332460 -1.317651
-0.937639 -1.872992
-0.463017 -2.269497
-1.859818 -1.533404
-0.802615 -2.614388
-0.732824 -2.572882
-1.297934 -2.355091
1.143829 1.565370
0.657980 1.603558
-0.353961 -0.492888
0.315817 -0.145105
-1.036506 -1.390712
0.732332 2.406063
0.886577 -0.965405
1.647464 1.130527
-0.758418 -3.301941
-1.773908 -2.747500
0.303675 -0.806759
-0.288207 -2.119570
0.049083 0.005138
-1.721141 -1.010429
1.132912 1.065122
1.428616 0.873468
-0.261646 -1.527677
-0.027782 -0.492699
0.754300 1.547966
0.987583 0.529014
-0.994728 0.409033
-1.031945 -2.584098
1.430485 0.584613
0.499191 1.668509
-1.672675 -0.450549
-1.113715 -0.555738
-1.053275 -0.543787
-1.637949 -1.600023
0.843557 1.920971
-0.318226 -1.590541
-1.368957 -3.848273
0.716324 0.806608
1.003958 0.222967
-1.707977 -0.755096
-1.646561 -3.450351
1.145860 1.330305
1.498104 1.929766
-0.228049 -1.733047
-1.546881 -3.046785
0.238445 -0.554509
-0.680303 -0.734854
-0.609084 -2.793572
-0.901687 -0.587208
0.258034 0.298013
1.389661 1.687512
1.601606 1.820465
-1.550318 -3.141541
0.642318 -1.436596
1.172448 2.605779
1.106540 -0.307526
-1.566854 -1.091756
0.484001 1.925293
-1.569108 -3.227111
0.923185 2.375811
-1.162778 0.679934
0.963301 2.568423
-1.251019 -3.628959
1.353674 2.774296
1.197266 0.332307
-1.083621 -2.893519
0.290702 -0.905375
0.843333 0.911247
-1.387641 -3.183468
1.405639 1.518949
1.480082 -0.082485
-1.539904 -3.046092
-0.630070 -1.897754
-1.203326 -0.432670
-1.512987 -3.047854
0.219288 -1.270053
1.137471 -0.567392
1.087168 -1.064212
0.361053 1.050882
-1.417815 -3.819298
1.151019 0.038887
-0.640819 -0.691906
-0.834049 0.986646
-0.640517 0.839267
-0.104909 1.482570
0.102570 0.388777
-1.536911 -1.321118
-0.150711 0.062279
-1.586617 -3.254096
-0.934013 -2.983743
0.795818 0.563933
-1.230200 -2.962904
-0.533156 -2.422407
-0.417531 -1.169451
0.005860 -1.310897
0.043172 0.750054
0.761282 1.272768
-1.269222 -3.387885
0.489840 -1.311006
-0.217500 -0.217644
-0.931464 0.219032
1.490995 2.360653
-0.144689 -1.531350
0.920446 -0.981938
-0.251769 -2.122037
-1.823123 -1.991693
1.321013 -0.492044
0.502461 0.559919
0.905131 -1.294703
1.114526 2.106590
-1.489013 -1.812764
-1.179020 -2.638708
-1.232600 0.319665
-1.568699 -2.479268
-0.535696 0.634395
-0.571720 -1.516617
-1.121596 -0.837290
-0.896123 -3.050428
-1.278842 -3.196202
1.121566 2.254048
1.308259 -0.130659
-0.628091 -0.364714
-0.337370 -1.445699
0.001771 -0.104360
1.030086 2.285187
0.755428 -0.759154
0.444595 0.072695
0.592185 0.839567
-0.977639 0.924934
-1.745916 -2.451781
-1.481961 -1.783935
0.142183 -0.030574
-0.587461 -1.471509
-0.867260 0.134214
-1.186098 -1.547216
0.034887 -1.261263
1.230863 2.761802
-1.754107 -2.413032
-1.138534 -2.167310
-0.427324 0.959724
-0.108858 -0.177014
-1.121459 0.248599
-0.710037 -2.117700
0.093447 -1.419159
1.306217 0.098967
-0.267154 -0.087505
1.033255 2.313729
0.100818 0.598562
-0.696866 1.354627
-0.909940 -2.921110
-1.195972 -1.589254
-0.193564 -1.229371
1.270885 1.821853
-0.831097 -0.475630
1.074481 0.625619
-0.182320 0.843728
0.611987 2.189867
-0.783116 -1.390293
-0.530698 -1.614249
-0.530869 -2.973735
1.298783 2.666740
1.113571 2.393559
-0.597183 -2.428091
1.257453 1.394142
0.847208 2.441550
0.198425 -0.365222
-0.393098 -2.425670
-0.535718 -2.280339
-0.373116 -2.122053
-0.865575 0.066510
1.255545 0.844298
0.150923 -1.015151
0.679121 -0.582006
-1.637007 -2.039011
-0.176791 -1.971829
0.966985 0.762905
0.066575 -0.388557
-0.609742 -3.027888
-0.719907 -0.622166
0.753379 -0.097584
0.798035 1.871127
1.263692 1.469075
1.080323 1.533261
0.216884 -1.104981
0.370709 -0.828344
0.738146 0.255822
-0.126711 1.287322
0.547026 0.302270
0.461381 0.459411
0.765776 1.732409
0.224814 0.631848
-0.564404 0.088765
0.418471 -0.814589
0.182814 -0.557868
0.708647 2.437900
-0.875069 0.225234
0.941560 -0.975459
-1.321725 0.040878
0.855803 0.435815
-1.009818 -2.873108
1.630933 1.650689
0.232219 -1.530552
0.690901 1.965265
-1.165481 -1.535779
-0.879392 0.854847
-0.529567 0.069237
0.938873 -0.581246
-0.575861 -0.326052
0.306806 -0.993043
1.526461 1.940399
0.582229 2.270394
-0.582857 -0.592752
-1.373787 -2.949870
-0.786984 -3.074208
-0.736066 -0.115358
-0.041946 -1.758964
-0.063580 0.949680
-1.251055 -0.276331
0.181312 1.183429
-0.601401 -0.915510
-0.367464 -0.284141
0.347479 -1.646702
-0.061319 -1.247598
-0.911469 -0.821369
-0.088238 -0.063859
-1.521074 -0.926380
-0.525760 -2.120323
0.317615 1.279856
-0.588099 -2.471679
1.015335 -0.630376
0.049338 0.519058
1.383251 1.890041
0.890879 -0.211987
-0.917578 0.982536
-1.487546 -0.106285
0.264870 1.740427
0.634957 0.209410
0.915665 0.900555
1.581492 0.853878
0.707373 -0.563127
-0.171393 -1.068936
0.806720 -0.277518
-0.451338 0.444728
-0.635824 -1.113806
0.740714 1.314533
-0.589087 1.074238
-1.164528 0.827594
-0.329302 0.158573
1.176403 0.497212
-1.143432 -1.947675
0.547275 0.197656
-0.992210 -2.930996
