# Step: 3
# U_max: -0.00848252885043621
# x (configurations):
-0.950926 -1.492650
-1.007316 -1.152271
-0.962013 -1.011055
-1.319448 -1.654549
-1.080082 -1.562845
-0.798042 -1.086840
-1.231095 -1.682276
-1.008878 -1.469304
-0.877684 -1.319206
-0.887815 -0.771422
-0.983669 -1.541419
-0.989528 -1.781133
-1.162467 -2.041458
-0.988322 -1.492601
-0.962114 -1.336648
-1.246524 -1.480015
-0.907609 -0.861318
-1.145992 -1.354922
-1.106501 -1.270996
-1.232689 -1.786540
-0.920969 -1.003396
-1.073828 -1.052077
-1.178122 -0.870084
-1.292883 -1.795799
-0.978571 -1.004058
-1.064363 -1.595676
-1.166384 -1.836433
-0.909344 -1.093646
-1.053086 -0.906793
-1.208851 -1.255338
-0.901461 -1.378960
-0.888717 -1.457458
-1.045179 -1.109920
-0.848911 -1.366570
-1.311908 -1.542829
-1.231802 -1.393295
-1.252925 -1.148786
-1.270356 -1.203686
-1.116888 -1.207476
-1.009327 -0.808258
-0.998911 -1.793484
-1.078215 -0.743871
-0.863026 -0.935770
-1.266221 -1.280798
-1.119110 -1.802318
-0.971379 -0.951640
-1.183591 -1.565064
-0.989560 -1.515577
-0.867253 -1.237536
-0.858502 -1.033962
-1.065774 -1.326750
-1.041741 -1.486317
-1.252777 -1.316107
-1.238228 -1.868036
-0.944730 -1.677410
-0.806900 -0.895746
-1.228700 -1.576444
-1.248592 -1.412887
-1.317018 -1.828656
-1.292022 -1.792169
-1.214818 -1.959412
-1.065344 -1.133525
-0.832045 -1.133393
-1.094614 -1.802941
-1.053920 -1.204741
-1.173163 -1.033736
-1.254886 -0.989646
-1.035848 -1.003121
-1.311029 -1.228685
-0.823910 -1.105542
-1.154457 -1.731796
-0.865140 -0.991905
-1.025009 -1.516084
-1.195534 -2.037194
-1.036930 -1.832012
-0.854825 -1.476856
-0.955116 -0.859315
-1.087726 -1.037127
-0.846178 -1.295555
-1.177743 -1.596045
-0.909992 -1.415143
-0.999978 -1.779642
-0.943269 -1.054519
-1.157046 -1.795279
-1.291225 -1.346616
-0.969965 -0.844766
-1.250878 -1.931336
-0.923520 -1.126902
-1.353816 -1.553163
-1.255787 -1.466504
-1.179099 -1.020594
-1.129327 -1.505192
-1.160815 -0.898113
-1.201398 -1.098576
-1.004174 -0.769305
-1.280918 -1.320830
-0.853201 -1.408381
-1.349430 -1.694728
-1.089969 -0.709557
-1.017330 -0.925319
-0.888291 -1.067909
-0.876706 -1.532935
-1.002949 -1.560662
-1.256806 -1.961003
-0.941960 -1.706997
-1.143221 -0.887271
-0.872788 -1.015284
-0.911671 -1.328822
-0.876381 -0.722607
-0.925727 -1.647105
-1.084686 -0.755818
-0.865485 -0.843532
-1.249127 -1.803800
-1.221161 -1.999923
-0.979415 -1.122478
-1.183891 -1.409738
-1.015315 -1.462770
-1.117761 -1.926988
-0.904767 -1.283010
-1.187510 -0.827431
-0.914814 -1.193613
-0.978276 -1.533352
-0.940330 -1.523125
-1.218330 -0.916364
-0.861405 -0.883282
-1.055844 -0.682354
-1.124020 -1.715759
-1.256121 -1.372197
-1.187820 -1.727675
-0.961784 -1.501920
-1.280108 -1.404044
-1.064540 -1.278089
-0.952655 -1.718932
-0.923227 -1.335404
-1.210843 -1.696956
-1.004219 -0.852657
-1.046727 -1.839129
-1.071095 -1.932176
-0.928621 -1.348948
-1.060305 -0.683996
-1.183053 -1.522342
-0.997628 -0.791136
-0.809694 -0.988374
-1.172455 -1.203068
-1.106246 -1.239086
-1.014078 -0.661886
-0.888693 -1.454310
-1.150083 -0.993388
-1.320239 -1.369197
-1.181547 -0.926758
-0.857206 -1.375453
-0.861374 -0.771409
-1.162438 -0.909820
-1.285017 -1.204074
-0.872426 -1.002721
-1.321109 -1.647442
-1.033744 -0.933047
-1.089559 -0.966197
-1.202920 -1.818813
-0.938430 -0.794462
-0.868391 -1.476027
-0.987679 -1.239571
-1.165377 -1.604802
-0.839693 -1.104340
-1.207003 -1.681830
-1.146008 -1.733012
-1.157207 -0.815660
-1.170512 -1.005456
-1.131299 -0.869732
-0.933103 -0.772474
-0.826123 -0.884177
-1.180440 -1.444498
-1.219743 -2.006943
-1.060603 -1.399967
-1.152525 -0.821380
-1.043471 -1.094492
-0.984191 -0.888761
-1.244672 -1.221243
-1.108095 -1.552716
-1.066598 -0.919803
-1.296231 -1.894708
-0.886450 -0.970292
-0.811934 -0.908977
-1.345088 -1.567474
-0.804964 -1.171886
-1.328254 -1.443886
-0.878553 -1.416383
-1.121991 -2.003681
-0.896973 -1.349973
-0.904593 -0.692361
-1.128000 -1.619806
-1.187675 -1.904161
-1.004351 -1.658409
-1.138696 -1.893619
-1.203947 -1.567594
-1.113651 -1.675013
-1.143325 -1.014659
-1.062211 -1.152874
-1.267371 -1.805328
-1.162235 -1.278045
-1.182398 -1.819996
-0.957834 -1.542010
-1.205872 -1.283558
-1.080968 -1.500148
-1.048784 -1.229404
-1.096423 -1.841287
-1.212530 -1.551856
-0.899971 -0.902256
-1.134980 -1.866556
-1.099616 -1.586067
-1.057799 -0.832152
-0.940127 -1.280791
-1.331324 -1.673512
-0.974671 -1.131247
-0.911788 -1.259341
-1.022656 -1.406306
-1.150079 -0.931451
-1.042619 -1.269154
-0.794604 -0.932489
-1.352948 -1.505680
-0.914389 -1.573856
-1.115966 -1.897838
-1.295610 -1.939189
-1.298696 -1.368753
-1.164321 -1.674592
-1.307226 -1.410645
-0.955342 -1.747160
-0.848388 -0.842644
-1.179980 -1.175074
-0.908048 -1.146860
-1.219602 -1.029677
-1.301045 -1.308730
-0.824047 -1.000610
-1.258853 -1.416669
-1.022147 -0.689871
-0.994691 -1.405825
-0.988404 -1.494995
-0.904419 -1.578204
-1.288871 -1.376541
-1.304910 -1.878886
-0.837011 -1.163185
-1.093646 -0.704186
-1.101545 -1.944230
-1.154883 -1.567734
-1.024476 -1.111359
-1.137939 -1.232993
-1.030854 -1.901574
-1.130570 -2.019250
-1.264822 -1.097623
-1.155179 -1.479945
-1.176386 -1.876060
-0.873843 -1.129744
-0.906511 -1.499198
-0.995322 -0.991386
-1.315011 -1.435627
-1.148141 -0.998671
-1.215037 -1.352932
-1.330970 -1.315779
-1.063302 -1.719899
-1.304922 -1.867224
-1.303179 -1.142671
-1.017899 -1.412800
-0.946780 -1.137699
-1.215601 -1.495168
-1.004519 -1.661106
-0.925090 -0.940779
-1.211038 -1.828268
-1.110780 -1.668527
-1.046115 -0.869390
-0.963074 -0.786651
-1.132399 -1.548429
-0.975186 -1.204037
-0.909344 -1.568477
-1.189291 -1.051935
-1.096309 -1.699112
-0.934317 -1.214356
-1.265449 -1.786808
-1.215837 -1.048485
-1.089211 -1.222080
-1.067217 -1.637581
-0.940966 -0.924804
-1.240240 -1.771361
-1.157643 -0.844342
-0.933272 -1.567050
-1.047858 -0.803309
-1.062045 -1.664052
-1.053429 -1.242711
-1.199962 -0.927279
-0.967214 -0.970131
-1.324010 -1.669669
-1.090387 -1.698691
-1.203835 -1.487707
-0.921492 -1.297298
-0.920387 -0.867954
-0.957218 -0.797120
-0.819832 -0.857954
-1.038443 -1.699248
-0.905149 -1.530134
-1.183425 -1.301878
-1.167307 -1.401299
-1.039788 -1.333710
-1.039858 -1.219764
-1.203753 -1.698020
-0.867843 -0.934072
-1.317988 -1.456606
-0.930016 -1.488765
-1.192256 -1.150297
-0.958530 -1.455762
-1.198492 -1.085851
-0.935319 -1.371463
-1.295926 -1.471158
-1.270252 -1.864713
-1.168957 -1.986300
-1.312463 -1.737656
-0.883833 -0.824581
-1.272428 -1.387982
-1.260070 -1.024578
-1.340412 -1.610296
-1.136467 -1.287588
-0.967230 -0.971020
-1.294793 -1.893723
-0.938936 -1.006747
-0.995455 -1.635462
-1.205729 -1.233704
-1.090473 -1.284708
-0.920742 -0.773689
-1.220325 -1.080585
-1.132116 -1.981058
-0.900486 -1.029489
-1.186535 -1.870082
-0.987442 -1.208087
-1.212144 -0.903782
-1.003249 -1.602807
-1.002209 -1.041776
-0.925604 -1.187887
-0.866437 -0.773643
-1.008565 -1.668554
-1.278046 -1.972091
-1.212445 -1.814562
-1.240599 -1.685523
-0.885310 -1.251125
-0.916117 -1.590223
-1.157532 -1.962083
-1.029898 -1.005962
-0.909183 -1.010415
-1.129177 -1.421991
-1.014374 -1.688862
-1.321795 -1.379249
-1.194437 -1.959609
-1.028774 -0.849467
-1.145666 -1.699684
-0.959327 -1.418659
-1.278213 -1.623337
-0.851303 -1.199266
-1.064807 -1.030239
-0.913506 -0.780363
-1.140933 -1.491543
-0.842801 -1.271952
-0.927145 -0.742919
-1.268584 -1.129672
-1.023452 -1.046040
-1.061954 -1.170934
-0.889709 -1.097468
-1.128638 -1.164956
-0.945383 -0.772981
-1.035774 -1.251338
-1.187228 -1.683858
-1.234497 -1.642139
-1.107319 -1.551069
-1.268085 -1.811352
-1.147176 -1.072112
-1.031634 -0.843491
-0.919591 -1.365696
