# Step: 1
# U_max: 1.0
# x (configurations):
1.750415 0.937933
1.524361 -0.755074
-1.074026 0.318124
0.113930 -1.099891
-1.747762 -1.943188
0.718673 -0.010143
1.045635 2.144394
-0.422323 -3.653831
-0.702755 2.194398
-1.115957 0.743569
0.970737 -0.370292
0.419482 1.085483
-0.419706 0.574734
-1.937364 -0.332641
1.324575 2.548582
0.291292 -1.822104
0.419541 2.620618
-0.532327 -3.605644
-1.117939 -2.255748
-0.937431 1.395820
-1.835945 -3.249374
0.978336 3.418940
1.199906 1.522599
-1.205921 -3.951891
0.525618 1.334008
0.814072 -0.216545
-0.479639 0.902971
0.285703 -0.753729
-0.287367 0.292623
1.459345 2.820365
-0.472030 -0.435438
0.677538 0.807000
-1.234316 -0.628307
-0.987980 0.618807
-0.368017 -1.393548
-0.755102 1.736419
-1.636421 -4.086057
-1.409088 -4.505506
0.718514 -1.646450
-1.714784 0.426521
-2.041882 -2.198868
-1.247378 -3.141817
-1.622469 -2.671722
1.794785 2.368441
-1.702504 -1.578107
-1.555383 -2.057955
-0.626333 -3.131142
-0.122312 0.994565
1.223626 -1.829407
1.100378 1.320264
1.176324 -1.062953
-1.397607 0.220757
1.665636 1.676232
-0.739148 -0.331571
-0.072659 -2.671110
-0.315919 -3.554461
0.104488 2.102862
-0.044004 -0.410508
0.665874 -1.993312
0.345593 1.213763
0.452935 1.899165
-0.919798 -1.075511
0.779173 -1.074316
-1.262778 -4.029955
1.053995 0.916791
-0.444570 -1.223677
1.665778 3.469586
0.519125 -1.013218
0.695488 1.556106
-1.450948 -1.050725
0.502773 2.853869
0.548780 -1.343255
-1.413187 -0.105669
1.832694 0.607852
-1.767037 0.534440
1.410142 2.648854
0.820989 1.916921
-1.818247 -1.704352
-0.335431 -2.062324
1.468061 -1.060264
0.712124 2.038021
0.210218 1.402105
1.497815 3.870458
-0.588967 -0.677427
-1.698162 -3.550665
-1.104793 -0.511053
-1.387285 -3.162703
0.867156 0.001390
-0.329898 -1.040428
1.385214 -1.106061
-1.882805 -1.080300
1.592191 1.604478
-1.746315 -1.137740
-0.692839 1.329378
-1.625582 0.232079
-1.149172 1.321845
1.663463 -0.630972
1.653171 2.607926
1.168901 0.418626
-0.094075 -2.687802
1.302878 -1.445465
-0.352688 -3.085827
-0.160630 -2.535949
-1.330145 -4.627449
0.099685 0.106356
-0.206463 -2.922312
-0.302234 -0.681229
0.569306 0.974250
-0.858676 -1.854078
0.291476 -1.179755
1.046175 1.580560
1.838770 2.041699
-0.373845 -3.198098
-0.784774 -0.736463
-0.821037 -0.961627
1.701020 2.794762
-1.931850 -3.565999
-0.556037 1.420017
-0.020553 0.890789
-1.775016 -1.233989
0.475686 2.105492
1.109380 0.505325
-0.926446 -1.603339
-0.981662 -0.085180
0.403927 1.540403
0.282026 -2.453393
0.968729 1.522754
1.363897 2.818077
-0.595614 2.076553
-1.262079 -3.005633
-0.481816 -2.852630
-1.824633 0.068640
-0.975379 -4.265584
0.564587 -0.835186
0.872009 2.534046
0.968372 2.751429
1.042206 0.655076
-1.588301 -0.914922
0.993537 -1.283652
1.733569 2.954075
0.853005 -2.322031
-0.128020 -2.639608
-1.964115 -1.276657
0.200947 1.126835
1.304704 1.602279
-1.892847 -0.679962
1.249050 -0.321050
-0.482458 -0.729189
0.039936 -2.352747
0.598348 1.407312
-0.159060 -0.448617
1.382521 3.873831
-0.858148 -3.171717
-1.643143 -0.622512
-1.045831 -3.209943
-1.247637 -4.349021
-0.120403 -1.184125
-1.417191 -2.431283
-1.272890 -2.755840
1.112511 1.931047
0.007775 -0.376121
-0.569209 1.448959
-0.470562 -0.808932
-1.484312 -3.618116
-1.821441 -4.106789
-1.495243 -1.384867
-1.273368 0.669227
0.180949 -1.787288
0.033418 -0.860230
0.608860 -0.999185
0.032414 -2.629219
0.756710 2.105311
1.894635 0.396983
-0.016203 -0.985175
-1.652470 0.498038
0.056985 0.181349
-0.277189 -1.981584
-0.381482 -3.081911
1.580863 -0.057857
0.196116 2.734209
-1.132048 -0.464225
-0.395986 -1.595013
0.107948 2.321720
1.327190 2.094059
1.351358 -0.092026
-0.566617 -3.726752
0.326949 -2.715700
-0.317861 -1.858172
