# Step: 1
# U_max: 0.12760289013385773
# x (configurations):
0.216680 -2.786838
-1.526912 -1.452615
0.621886 2.421540
1.843149 1.400797
0.585251 -2.596699
1.224624 -0.240522
-1.264314 0.007270
0.837154 0.745049
-1.392446 -4.148751
1.594266 3.508520
-0.676641 2.218191
0.796361 3.003668
1.438664 -1.317472
-1.898651 -1.044765
0.841442 0.252793
-0.813486 -3.564600
-0.867944 -3.199214
-0.775928 1.404323
1.633020 2.969470
-0.936195 -2.481340
0.465909 -1.099374
1.270801 -1.642300
-1.396553 -4.435475
1.551477 0.925293
1.733196 0.496824
-0.423251 -2.664684
0.956132 3.287632
-1.121795 0.549257
0.136383 -1.230314
-1.334202 -4.757574
1.552101 3.308589
-1.749888 -4.666112
-1.451701 -1.322723
0.751286 -0.938077
1.514161 2.605584
-1.124181 -3.467968
-1.817747 -1.544312
1.447043 2.265536
-0.622058 0.039117
1.118807 2.593249
0.220928 1.524690
-1.020898 0.151457
-1.948870 -1.907412
1.776543 3.302758
1.551285 -0.126615
1.793561 2.375381
0.106532 -0.888367
1.188527 -0.470966
-1.399668 -1.363434
1.041588 3.466637
0.141363 -2.064559
0.889766 2.416451
-0.201861 -0.735543
-1.891821 -3.418963
0.008804 -1.326447
1.084850 1.929299
-1.645761 -1.695583
-0.539650 -2.271463
-1.386642 -1.194510
0.295677 1.202760
1.542267 0.231631
1.130487 1.913790
-0.119140 0.753285
1.108267 -0.730911
0.326176 -1.204385
0.613594 -0.148624
1.404275 3.421453
-0.255394 -1.496604
0.466500 2.557776
-0.150129 1.854796
-0.252115 0.601687
-0.259286 1.034421
0.749086 -0.807767
-0.776178 -1.548587
0.683027 2.467568
-0.549546 -1.074574
1.313126 1.924259
-1.536834 -1.965180
0.739961 3.016482
1.470990 -1.321671
1.210217 2.169762
-1.021543 -2.153846
-1.839940 -0.555353
-0.339936 -2.392819
0.339960 -0.358254
-1.791682 -1.944782
-1.010361 -3.595902
1.628002 1.685969
-1.045922 1.963102
-1.782962 -4.342402
-0.468546 -0.642026
-0.531716 1.412114
1.558687 3.380735
-1.954264 -2.330791
1.289941 2.025721
-0.984429 -0.947149
0.139392 -0.350842
0.544519 -1.254851
