# Step: 4
# U_max: -0.008322014473378658
# x (configurations):
-1.023511 -1.899689
-1.010629 -1.034123
-1.018506 -1.782115
-1.251269 -1.702102
-0.782912 -1.143749
-1.349434 -1.806742
-1.157604 -1.797534
-0.995542 -1.687547
-0.812854 -0.841208
-0.995723 -0.970295
-1.291675 -1.738221
-1.211643 -1.532862
-1.038235 -1.224279
-1.299187 -1.762961
-1.169114 -0.921549
-1.079371 -1.870916
-0.880095 -0.848412
-0.951449 -0.770453
-1.202103 -1.791521
-0.960825 -1.689810
-0.937226 -1.608320
-1.250389 -1.974865
-1.141121 -0.996724
-0.823492 -1.085607
-1.275297 -2.038044
-1.261691 -1.629210
-0.845891 -1.408973
-1.007047 -1.309865
-0.993221 -1.362396
-1.187040 -0.828295
-0.919391 -1.343258
-1.316928 -1.877957
-1.288329 -1.477163
-0.920140 -0.864083
-1.087580 -0.726222
-1.068677 -1.306736
-1.062348 -1.705371
-0.823050 -1.218822
-1.091686 -0.936041
-1.113720 -1.234501
-1.090721 -1.290829
-1.277874 -1.709457
-1.274366 -1.327313
-1.129421 -0.865256
-1.300761 -1.495707
-1.138276 -1.443005
-1.165438 -1.866282
-1.354048 -1.414035
-0.990075 -1.692455
-1.117813 -1.287717
-1.249979 -1.014111
-0.839667 -0.953415
-1.220924 -1.733424
-0.830005 -0.782151
-0.959229 -1.569076
-1.211273 -1.127901
-0.955378 -1.525414
-1.344137 -1.444469
-1.138530 -1.675080
-0.954458 -1.670360
-0.894836 -1.591269
-1.283135 -1.931583
-1.353744 -1.617010
-0.885754 -1.244715
-1.162229 -1.038453
-1.269393 -1.817211
-1.042153 -0.647338
-1.274924 -1.173650
-1.197102 -1.946772
-0.843947 -1.017861
-1.018186 -1.337524
-1.129661 -1.009242
-0.805288 -1.195546
-1.301418 -1.860380
-0.808452 -1.297071
-1.067062 -0.944828
-1.153680 -1.939390
-1.298671 -1.262802
-0.837455 -0.987915
-1.152110 -1.282931
-0.913195 -1.440902
-0.888158 -0.839537
-1.085109 -1.650052
-1.202619 -0.926284
-0.885148 -0.728122
-1.142039 -2.011847
-0.814985 -1.034597
-1.090368 -1.266744
-1.086349 -0.850370
-1.070845 -1.163005
-1.197566 -1.092976
-1.195443 -0.903606
-1.145887 -1.761091
-0.948790 -0.684979
-0.997044 -1.577958
-0.967543 -1.209119
-1.321692 -1.612225
-1.158751 -0.799496
-0.923666 -1.297009
-1.274108 -1.408059
-1.244716 -1.141510
-1.319908 -1.826778
-1.098891 -1.162784
-1.261922 -1.303445
-0.891381 -0.698758
-0.806864 -0.927290
-1.219945 -1.367853
-0.977801 -0.679618
-1.282987 -1.401655
-1.066016 -1.321620
-1.260008 -1.087209
-1.061015 -1.769259
-1.227584 -1.254324
-1.180631 -1.587265
-1.176423 -0.979201
-0.904677 -1.388299
-1.284137 -1.226604
-1.276070 -1.498321
-1.072945 -1.431067
-1.083729 -1.745703
-1.295277 -1.430990
-1.151228 -2.008331
-1.072533 -1.585465
-0.995382 -1.482860
-1.056447 -1.586660
-0.890357 -0.917602
-0.928597 -1.345518
-1.053404 -1.086370
-1.254757 -1.878243
-1.156724 -1.775563
-1.091817 -1.771371
-1.216371 -1.050240
-0.867937 -0.900338
-1.096994 -1.131837
-0.905618 -1.318941
-1.059981 -0.824705
-1.158406 -1.458714
-1.062478 -1.891350
-0.874284 -1.278623
-1.184336 -1.033289
-1.120790 -1.275645
-1.302620 -1.143243
-0.901996 -1.276478
-1.261878 -1.253965
-0.900380 -1.246624
-0.905022 -1.137276
-1.043553 -0.929782
-1.154638 -0.751386
-0.827070 -1.068799
-0.993192 -1.071510
-0.955872 -1.424253
-0.958433 -1.736666
-1.301147 -1.517558
-0.916528 -1.240324
-1.050543 -1.654019
-1.067459 -1.251062
-1.075033 -0.686090
-1.264707 -1.020088
-0.917689 -1.035874
-0.975803 -0.709203
-0.899330 -1.490961
-1.032402 -0.901650
-1.275812 -1.640960
-1.273029 -1.314638
-0.915668 -0.902751
-1.179412 -1.160177
-1.069085 -1.518193
-1.314026 -1.318437
-1.321547 -1.232910
-1.013704 -1.726882
-1.008825 -1.386498
-0.979654 -1.068786
-1.017829 -0.959976
-1.109352 -1.444116
-1.113739 -1.338914
-1.178031 -1.916220
-1.358241 -1.524649
-1.116360 -1.305030
-1.167211 -0.819256
-0.996075 -1.379709
-0.998681 -1.726365
-1.341768 -1.661504
-1.304099 -1.134004
-1.228305 -1.849978
-1.022968 -1.274407
-1.182760 -1.081157
-1.037513 -1.844725
-0.954432 -1.650870
-1.220013 -1.128430
-1.126505 -1.945507
-1.313564 -1.163325
-0.981234 -1.482777
-1.114710 -1.818112
-0.975039 -0.913618
