# Step: -2
# U_max: -3.185856342315674
# Energy-calls: 4625100000.0
# x (configurations):
-1.130077 -1.122607
-1.146788 -1.447950
-1.100313 -1.622329
-1.117047 -1.692142
-1.150740 -1.530974
-1.018291 -0.804859
-0.958144 -1.318093
-1.025638 -1.406533
-1.165246 -1.271727
-1.143615 -1.267104
-1.131058 -1.315349
-1.124109 -1.449277
-1.011685 -1.263787
-1.180375 -1.486367
-1.216810 -1.307650
-0.968808 -1.067338
-0.967879 -1.164694
-1.128974 -1.221655
-1.078290 -1.315898
-1.242100 -1.696122
-1.082931 -1.179617
-1.025520 -1.174265
-1.247977 -1.848282
-1.288416 -1.586111
-1.189405 -1.474306
-0.944510 -0.965781
-1.217368 -1.490016
-0.982160 -1.493686
-1.144561 -1.579798
-1.210892 -1.569172
-1.008968 -1.250732
-1.049719 -1.246251
-1.081746 -1.352240
-0.994257 -1.155350
-0.965033 -1.350674
-1.186392 -1.592350
-1.078479 -1.278220
-1.005727 -1.368033
-1.034417 -1.468884
-1.122652 -1.372250
-1.137598 -1.279885
-1.082140 -1.478574
-1.235157 -1.134875
-1.067960 -1.564040
-0.986131 -1.191088
-0.996097 -1.273314
-1.038879 -1.324613
-1.008209 -1.059880
-1.086981 -1.420173
-1.245208 -1.765241
-0.986923 -1.364155
-1.059536 -1.282764
-0.994971 -1.289815
-1.087709 -1.152184
-1.179331 -1.275749
-1.081715 -1.371332
-1.049694 -1.093791
-1.045618 -1.078082
-1.179561 -1.484510
-1.118415 -1.269724
-0.944582 -1.081749
-0.935741 -1.220059
-1.052561 -1.675802
-1.004911 -1.144199
-1.132386 -1.519596
-1.157962 -1.290608
-1.093102 -1.344725
-1.086158 -1.023595
-1.211455 -1.488258
-1.034679 -1.065960
-1.104848 -1.105791
-1.017998 -1.385070
-1.017769 -1.369502
-1.109334 -1.547764
-1.082497 -1.439429
-0.951597 -1.204937
-1.067104 -1.090097
-1.023817 -1.320568
-1.024558 -1.346302
-1.202174 -1.497914
-1.065546 -0.969544
-1.034119 -0.850751
-1.302297 -1.547289
-1.057588 -1.301296
-1.131273 -1.469502
-1.120391 -1.258703
-1.152376 -1.226216
-1.022413 -1.467516
-1.119565 -1.355105
-1.103732 -1.111626
-1.080703 -1.297507
-1.041913 -1.204699
-1.010617 -1.461291
-1.017165 -1.246297
-1.013374 -1.426941
-1.222026 -1.409568
-1.057752 -1.412148
-1.095168 -1.366965
-1.060181 -1.200402
-1.115698 -1.140281
-1.153515 -1.032030
-1.222988 -1.722136
-1.036122 -1.369548
-1.076935 -1.565707
-1.132744 -1.480157
-1.065967 -1.469711
-1.008673 -1.291522
-0.862291 -1.122869
-1.148987 -1.446735
-1.103783 -1.278292
-1.070257 -1.299063
-1.202136 -1.481235
-1.121049 -1.266907
-1.109014 -1.143975
-1.053191 -1.448915
-0.944275 -1.030250
-1.244766 -1.420685
-1.124193 -1.603730
-1.037945 -1.184048
-1.180721 -1.283854
-1.057226 -1.376869
-0.891138 -1.455550
-0.992308 -1.057713
-1.176282 -1.488042
-1.173670 -1.503554
-1.051332 -1.363864
-1.079178 -1.038917
-1.023217 -1.225112
-1.094929 -1.427956
-1.062713 -1.046203
-1.051745 -1.632145
-1.001809 -1.075800
-1.187896 -1.560189
-1.120361 -1.528970
-1.082654 -1.237350
-1.193341 -1.292851
-1.189864 -1.463762
-1.226956 -1.396470
-0.927715 -1.385024
-1.016286 -1.141262
-1.092367 -1.421290
-1.195462 -1.569265
-1.171294 -1.211340
-1.169098 -1.422601
-1.124325 -1.477060
-1.181192 -1.789540
-1.119844 -1.093315
-1.241920 -1.894641
-1.071365 -1.375871
-1.223049 -1.468683
-1.068939 -1.430165
-1.154063 -1.420284
-1.223822 -1.296862
-1.049919 -0.901976
-1.008494 -1.375629
-1.039249 -1.451853
-1.261936 -1.023798
-1.043995 -1.398932
-1.143554 -1.333123
-1.044703 -1.668594
-0.995253 -1.337257
-1.047934 -1.169712
-1.015050 -1.496559
-1.040857 -1.345756
-1.050077 -1.445047
-1.135774 -1.405036
-1.131559 -1.368778
-0.980497 -1.146295
-1.160996 -1.371391
-1.190830 -1.323046
-1.159300 -1.377980
-0.960035 -1.322997
-1.224592 -1.394324
-1.080184 -1.766149
-1.095416 -1.487533
-1.028642 -1.340131
-1.157854 -0.916615
-1.148785 -1.255884
-1.233181 -1.252031
-1.073992 -1.289001
-1.161891 -1.255410
-1.055514 -1.414374
-1.037750 -1.075952
-1.092056 -1.427205
-1.012051 -1.146750
-0.904742 -1.256968
-1.037508 -1.091668
-1.204240 -1.249898
-1.215009 -1.605064
-0.998037 -1.118793
-1.134144 -1.260882
-1.209918 -1.450878
-1.228642 -1.549088
-1.103157 -0.962770
-1.142362 -1.441300
-1.239716 -1.372175
-1.058166 -1.292371
-1.087649 -1.444012
-1.144867 -1.359308
-0.960069 -1.217793
-1.273987 -1.439556
-1.136765 -1.406603
-1.193825 -1.573005
-1.078707 -1.352615
-0.972387 -1.246586
-1.095472 -1.254937
-0.986952 -1.012656
-1.104630 -0.864599
-1.064235 -1.436678
-1.101716 -1.307933
-1.187938 -1.247716
-1.006623 -1.482883
-1.294865 -1.512424
-1.063578 -1.164240
-1.095442 -1.430070
-1.167892 -1.656553
-1.087211 -0.897841
-0.898517 -1.110018
-1.070959 -1.066662
-1.101086 -1.256440
-1.127676 -1.212700
-1.007365 -1.146936
-1.042900 -1.092283
-1.318228 -2.018214
-1.177614 -1.555934
-1.054702 -1.311521
-1.080962 -1.215166
-1.104881 -1.423970
-0.903698 -1.296477
-0.902167 -0.917932
-1.099299 -1.493519
-1.100408 -1.537183
-1.164382 -1.297038
-0.988794 -1.411113
-1.221254 -1.595549
-0.988776 -1.454594
-1.045250 -1.596804
-1.233259 -1.795892
-0.965348 -1.342243
-1.049496 -1.549927
-1.072057 -1.917230
-1.087159 -1.398079
-1.165158 -1.268740
-1.006221 -1.109734
-1.139791 -1.366027
-1.075984 -1.494836
-1.150288 -1.480778
-1.255027 -1.386944
-1.012932 -0.982537
-1.141368 -1.261978
-1.051561 -1.403758
-1.069308 -1.574748
-1.072795 -1.357114
-1.052246 -1.340682
-0.991592 -1.146926
-1.011823 -1.153649
-1.126201 -1.468733
-1.117926 -1.347374
-1.160954 -1.291854
-1.056139 -1.075669
-1.094053 -1.275101
-1.096893 -1.375845
-1.078536 -1.507694
-1.153780 -1.219019
-0.898309 -1.152833
-1.047819 -1.247735
-1.028169 -1.332608
-0.993636 -1.379641
-0.978459 -1.192399
-1.230275 -1.525284
-1.089713 -1.563286
-1.240975 -1.238034
-1.163241 -1.638441
-0.933404 -1.178832
-1.086676 -1.652464
-1.031760 -1.375202
-1.040647 -1.149043
-1.151277 -1.268244
-0.956032 -1.091712
-1.104743 -1.323632
-1.098972 -1.701366
-1.140561 -1.247968
-1.125981 -1.841605
-1.200041 -1.366944
-1.096911 -1.619243
-1.047681 -1.090265
-1.049394 -1.145958
-1.072559 -1.337160
-1.088101 -1.594674
-1.126834 -1.097643
-1.040453 -1.271120
-1.069768 -1.338394
-0.960608 -1.137345
-1.136728 -1.195854
-1.087880 -1.438004
-1.197910 -1.330940
-1.074237 -1.205466
-1.120255 -1.269037
-1.124973 -1.488604
-1.169472 -1.375566
-1.149161 -1.303450
-1.209700 -1.408751
-1.114248 -1.050862
-0.985363 -1.420788
-1.068917 -1.513380
-1.200928 -1.579655
-0.909754 -1.210894
-1.160462 -1.105462
-1.150526 -1.716881
-1.185161 -1.435627
-1.038205 -1.352904
-0.960268 -1.272435
-1.236468 -1.160269
-1.091270 -1.424161
-1.068578 -1.140482
-1.124440 -1.511711
-0.987699 -1.332246
-1.058244 -1.317278
-1.066226 -0.996722
-1.076094 -1.409408
-1.116028 -1.448736
-0.914570 -0.937769
-1.186338 -1.421647
-1.103690 -1.643040
-1.069277 -1.298222
-1.077384 -1.323906
-0.974248 -1.211970
-1.100850 -1.210157
-1.142184 -1.097466
-1.135427 -1.355720
-0.962712 -1.070681
-1.057805 -1.478418
-0.968247 -1.159177
-1.085200 -1.706601
-0.992601 -1.068447
-0.949776 -1.305643
-1.215032 -1.497195
-1.219023 -1.763803
-1.134910 -1.231479
-1.037869 -1.270333
-1.037215 -1.459015
-1.148616 -1.435516
-1.201615 -1.462745
-1.051903 -1.499414
