# Step: 1
# U_max: 21.324565887451172
# Energy-calls: 1500000000.0
# x (configurations):
-1.461927 -3.890731
0.434664 0.264870
0.262313 1.960070
-0.514440 -2.065499
0.618285 -1.638974
0.075544 -2.132759
-0.788734 -2.726078
0.545912 1.310944
-1.081012 -1.373352
-0.736040 -0.575369
-1.118076 -3.796034
-0.754369 -0.405559
-1.849406 -1.382499
-0.920922 -2.794303
0.721781 0.840443
-1.540377 -0.041391
-1.391167 -0.647876
-1.084624 -1.520846
1.314697 0.921007
0.576580 -1.444064
0.301881 1.370812
-1.705967 -2.400822
-1.238933 -2.272349
0.922728 -0.715489
-1.881116 -1.883554
-0.912387 -2.043804
1.168778 3.000831
0.974769 0.343649
0.070092 2.216924
-1.680470 0.428173
-0.548656 0.043565
1.041385 -1.250300
0.680847 -0.107386
-0.430025 0.943741
-1.147370 -2.744365
0.049752 0.879582
1.348954 0.015869
-1.391294 -3.681681
-1.764332 -5.021950
-1.552243 0.201605
-1.740402 -3.709331
-2.042969 -1.700362
-1.512514 -1.670925
-1.573267 -1.471606
-0.565659 -0.603392
-0.515992 0.981743
0.852910 2.360665
-1.275994 -2.456622
1.290416 2.209675
-0.910719 -2.270098
1.435516 1.981021
-0.350870 1.481280
0.576705 2.109897
1.313318 0.988809
-1.037094 -1.217297
1.288594 2.019600
-0.886034 0.951426
-0.646309 1.297432
-0.325854 -1.153065
-1.481773 -1.360938
0.453578 1.929252
-1.414028 0.836175
-1.811633 -2.300690
0.942597 0.272010
-0.440121 0.512218
0.092042 -0.570862
-1.251207 1.059111
-1.866900 -3.109633
-0.709635 -2.569715
1.250051 0.320794
-0.562627 1.651474
-1.192569 -0.797366
-0.569369 -1.854653
0.093322 0.711317
1.079136 -0.463293
-0.065869 -1.310537
-1.688744 -2.486177
-0.652547 -1.329898
-0.310818 0.647737
-1.297767 -1.517148
-0.424922 -2.059667
0.410890 -0.698522
-0.921615 -2.779523
-0.751353 -1.042737
0.225214 -2.191657
-0.887661 0.078966
0.361586 -0.614918
1.313321 -0.282443
-1.209874 -1.985002
0.307398 0.120878
-1.677297 -1.299035
0.717737 1.349179
0.199298 -0.764595
-2.252465 -4.114942
-0.467930 -2.310574
0.916524 2.117292
1.579761 0.262851
-1.534649 -3.219932
1.795895 0.184983
-0.831862 0.965423
1.108247 0.213757
-0.542040 -2.414733
-0.832311 -2.049929
-0.629615 -1.501845
1.470461 -0.508522
0.234086 -1.708383
-1.245131 -0.119934
2.084700 1.720527
1.083115 -0.308921
-1.106554 0.598402
0.733401 1.369648
-0.718411 -3.143215
-1.021383 -3.448248
-1.494375 0.614789
0.843849 2.269764
-1.836583 -3.212351
-1.455349 0.324455
-0.684917 -1.329890
1.234703 -0.444021
0.684671 1.976447
-1.555195 -4.208228
-0.447174 -0.547180
1.319722 2.609018
-1.555003 -4.693381
1.523758 1.019220
-0.977476 -1.997167
-0.380431 -0.391661
-1.491372 -0.815486
-0.098779 1.887955
-0.705583 0.700449
-0.446643 0.635565
-0.848206 0.955799
0.805224 -0.596223
-1.138988 -1.229102
-0.345725 -2.835477
-1.573526 -3.282665
0.784882 -1.476322
0.435155 2.498804
-1.277246 -1.595892
-0.147875 -0.897341
-1.318604 -3.887185
1.623332 2.765759
1.342770 -0.378600
0.100002 -1.355118
-0.229834 0.278280
0.286308 0.799020
1.813167 1.023998
-2.021754 -0.457783
-0.395870 -1.859280
-1.883692 -1.118152
0.066612 -0.775677
0.864880 -0.352462
-0.361388 -0.850468
-0.404802 -0.372219
-0.216564 -0.810107
-2.258271 -3.675298
1.340007 0.742263
0.670902 2.149823
-0.735371 -3.144367
-1.391046 -3.292146
-0.001007 -1.528355
-1.437984 -0.217959
-0.566235 0.254245
0.266444 2.712351
1.186423 -0.471912
0.818976 0.785622
1.347613 2.294762
-0.096761 -1.222907
0.392954 0.107376
-0.652751 0.932423
-0.975443 -2.213543
0.060924 1.374203
0.854230 -0.086949
-0.456546 1.340613
0.743293 0.347161
-0.915687 0.787449
-0.643185 -2.238453
-1.935900 -3.663783
-0.875658 -2.589499
-0.376764 -1.761847
0.953971 2.582670
-1.368777 -1.358888
-0.667853 -3.057724
1.321230 1.611595
-0.997374 0.372871
1.856169 0.881202
-0.962663 0.027693
1.113233 -0.279358
-0.879694 -0.167094
0.876275 0.146554
1.482924 -0.122979
-1.667673 -2.220056
0.292410 -0.594807
-1.366940 -1.524785
0.569710 -0.749245
0.029221 -0.629518
1.538133 2.565176
0.587256 0.739303
0.312491 0.641688
-1.394288 -0.838932
0.251012 0.253503
0.789931 -0.898595
1.196266 1.068029
-1.566328 -0.532910
-1.975222 -2.540849
-0.358084 -0.975715
-0.318203 1.198377
-0.144426 -2.465489
-0.407112 -1.875731
-1.226083 -2.950727
-0.484617 -2.447450
-0.328542 0.711319
0.911802 0.525380
-0.619268 -0.107129
0.920452 1.908144
-0.377384 -3.150683
1.046089 -1.307322
-1.725623 -4.313719
1.125676 0.964086
0.694519 2.992888
0.915741 -0.582645
-1.465503 -2.448040
-0.347834 -2.244308
1.523116 -0.227481
1.471807 1.284473
0.454094 1.231731
-0.682176 -3.228098
-0.187439 -0.459423
-1.113788 -1.919024
2.092211 2.216332
-0.862266 -0.207609
-0.905407 -2.280685
1.238987 0.180789
0.280260 0.250162
-1.169359 0.501948
1.205227 2.600951
0.878709 2.496894
0.193308 1.694168
-1.735236 0.827880
-1.715662 -0.795550
0.898954 3.591712
0.577705 -1.712238
-0.449215 -2.677140
-0.218810 1.728780
-0.150349 -3.296725
-1.595851 -1.887319
1.119088 2.204329
-0.542746 -1.567127
-0.590509 -0.409404
1.565061 2.046414
-1.395234 -1.240894
1.068212 2.159028
0.500885 -0.892306
-0.969302 -2.864653
-0.203438 -0.411168
1.563433 2.390373
-1.693821 -2.989108
0.303498 1.672951
1.741014 0.688548
-1.148378 -2.902967
-0.235835 2.150398
-1.705891 -3.314079
-1.020010 -1.040286
0.135900 2.094600
-1.269849 -1.973208
-1.129439 -2.702300
-1.633940 -2.201697
0.798557 -0.126439
-1.776886 -1.365331
-0.488146 -1.393287
0.907548 -0.484831
0.336685 -2.300124
0.227404 -1.410334
1.324906 -0.264742
0.301867 0.855842
-2.065901 -2.637042
1.552029 -0.548579
-0.909784 -0.849790
-0.935453 -1.425779
-1.364093 -3.224226
1.489695 3.052328
0.429299 -0.205276
-0.255040 -2.407489
-1.069402 -3.231496
0.997692 -1.861045
0.013479 2.744321
0.902887 2.191938
0.359911 -1.309848
1.612415 0.418244
0.973413 -0.809202
-0.511524 -2.328038
-1.015211 -2.529541
0.089337 -1.980475
-1.303598 -3.938799
0.393480 -0.017303
-0.137633 0.802696
-1.395399 -2.901619
-0.776371 -1.854701
0.264607 -0.877378
-1.711024 -1.738184
0.056456 1.674119
-1.422041 -2.200629
0.552822 -1.317958
-1.519676 1.337211
-1.003519 -1.290971
0.184110 -0.139102
1.367990 -1.094498
-1.022543 -0.848678
0.500129 1.179806
-0.588194 -2.593476
1.482773 0.111363
-0.046686 0.342833
1.043277 0.161711
1.275495 0.809060
0.139110 -1.714929
0.031041 -2.193120
-0.369709 1.754502
0.140160 -2.208338
-1.635439 -2.407016
0.334916 0.444173
-0.352280 -1.375313
1.276073 2.540422
0.060608 1.565541
-1.689834 -2.886250
-0.319195 -1.886591
0.909702 0.841012
1.384826 1.436614
0.439946 -1.534692
-0.923049 -4.425395
1.193471 0.389233
-0.125097 -1.160766
0.841727 0.004202
-1.452384 -3.812646
0.765011 1.957569
1.808790 3.589340
-1.554449 -0.313757
0.288475 0.397115
1.507764 2.625267
-1.354527 -4.193621
1.166478 0.276182
0.990630 -0.989785
1.281482 -0.542687
-0.251916 1.521910
1.065695 -0.258760
-0.080381 -2.108368
-1.621059 -0.509364
-1.060686 0.104223
-0.954852 -0.018908
-0.210331 0.269998
-2.293743 -2.409281
1.080289 1.310222
-0.127946 -2.357725
-1.081778 -0.562604
0.313573 2.421867
-1.696454 -2.797936
-0.167164 0.908972
-2.012656 -1.296576
0.072427 1.080692
-0.224160 0.952243
1.121163 1.513646
1.258655 2.588254
-0.084647 0.252027
1.002895 1.975055
-1.015700 1.163858
-0.023359 -0.312943
-1.035966 -0.222519
1.440770 1.823787
-1.159096 -1.766625
-1.214626 -2.556656
-2.094579 -1.678261
1.547570 1.791448
-0.509788 0.000233
-1.326379 -3.777966
-1.566443 -1.211099
-0.267557 -2.445708
-0.318474 0.136778
0.066639 1.657515
0.349626 -0.854189
-1.213990 -0.935089
-0.274944 -1.152367
-0.801026 1.610136
0.881315 -0.892694
0.500641 1.006177
1.242262 3.258004
-1.795758 -2.542825
-0.428578 -0.947960
1.091032 -0.525105
1.836706 2.446197
-0.088308 -2.315300
-1.267616 -2.392125
0.021962 2.441437
0.502155 -0.180089
-1.675155 -1.486250
0.132688 0.151865
1.499828 2.897902
0.206438 0.105366
0.590426 2.188012
-1.555668 -2.369008
-1.454415 -3.781841
0.989861 1.659960
0.495919 2.406570
-1.595101 -3.697138
-1.255410 -0.881146
1.712223 1.681377
-0.143917 0.913601
-1.392121 -1.356950
0.916596 1.559430
-1.126391 -2.460104
-1.405260 -2.396851
0.684170 2.205454
-0.223754 0.856976
-0.608017 0.565666
-1.113897 -2.382732
-1.505180 0.035194
-1.193283 -3.181889
0.034757 0.136428
0.651605 -1.899662
-1.574389 -1.072746
0.421324 0.943477
-0.438570 -0.595364
1.153358 -1.098094
-1.279686 -2.855413
-0.784519 0.591709
-1.199669 -3.220835
0.957971 3.248947
-0.523580 -0.600441
1.105544 1.570255
-0.735106 -2.372781
0.275053 -1.235073
-0.610089 -0.415256
-0.316012 1.782752
0.306438 2.123001
-1.057207 1.142925
0.225906 0.700727
-0.476970 1.354780
0.437188 -0.344089
-1.906678 -3.626388
1.051510 1.637822
-1.477832 -3.493121
1.475063 0.731821
1.438849 -0.073195
0.545408 -0.486965
0.941175 -1.219759
1.526190 0.813965
1.037441 1.400657
-1.215888 -0.177093
1.275234 0.266201
-1.184369 -2.035276
0.950078 0.586565
-1.054932 -2.867517
1.437578 -0.898676
-1.094121 0.210757
-1.431144 -2.664872
-1.041759 -2.059036
-1.407177 -3.405312
0.456805 0.152703
1.157246 2.547989
1.313185 -0.290984
-0.157000 -1.994305
1.337105 -0.554703
0.401344 -1.635994
-1.234273 -0.795148
0.052110 0.013917
0.725029 1.473685
-0.520079 1.951366
1.567687 1.700975
0.711864 -0.618897
0.252412 1.912702
-0.075795 -0.868204
-0.230770 -1.584287
-1.776000 -1.482671
-1.560371 0.538861
-1.492451 -1.932414
1.055032 -0.243915
-1.038457 -3.720437
0.724671 -0.941454
0.743064 -0.734171
1.321399 3.274608
0.825446 2.256865
-0.310209 -0.479306
0.399240 -1.636729
0.378424 0.438893
-0.903307 0.786983
-0.565506 -2.834718
-0.794035 -1.701148
0.694337 -1.489877
1.159116 -0.342940
-0.498950 1.424946
0.206481 -2.718674
-1.976633 -1.504932
-0.627834 1.440713
-1.782966 -1.936478
0.817051 1.191191
-1.647514 -2.754722
-0.797632 0.741740
-0.441715 -2.151185
0.560948 -1.257362
-1.295169 -2.227053
1.599963 -0.305149
0.511384 0.517013
0.265295 2.462719
-1.456495 -1.988880
-0.497773 -2.028786
-0.473706 -1.659522
-0.082713 0.401903
0.305913 -2.089152
1.263836 0.926965
1.300095 -0.074331
-1.192135 -1.195722
0.204139 -1.588757
-0.076955 -2.452115
0.921196 1.772515
1.287623 2.640699
-0.774490 0.014513
0.878870 2.012813
-0.708410 1.554501
0.803353 1.060883
0.834092 -1.367042
0.376973 -1.935470
-0.593504 -0.537162
0.708886 2.907033
1.228013 1.597584
-1.143482 -2.917429
0.621962 0.852477
-0.477748 0.006592
-1.331732 -1.760963
0.891017 -0.846416
1.243138 2.398240
0.828293 1.793723
0.834322 1.425035
0.963826 2.214465
-0.031139 -1.389297
-0.027888 -0.074097
-0.940487 -0.539087
-0.928243 -0.799508
-0.038916 -2.180594
2.014455 1.417131
1.003310 3.000032
0.747804 0.697751
-1.194928 0.664113
-1.453667 -2.773874
1.517000 -0.988157
1.745398 -0.791960
0.805540 -0.702156
1.443886 -0.512379
0.965659 2.182996
1.236658 -0.105201
0.291429 0.006784
-0.073097 -2.187165
-0.702490 -2.073876
1.513701 2.287314
-0.423967 -0.185055
0.728792 2.001906
1.194399 0.255866
-0.430223 -1.286919
-0.694399 -1.267496
0.564119 1.589199
-0.587957 -0.911159
0.270134 0.571581
1.066586 -1.150656
-0.702666 0.590233
-0.404236 -1.922102
-1.735243 -0.943275
-0.130171 1.599951
-0.853874 0.236910
0.490141 -0.215754
-1.587516 -0.971855
0.955882 0.454410
0.152971 0.544958
-0.759320 0.116547
0.889647 1.794223
0.143320 0.046061
-0.304450 1.866462
-0.218279 -2.567596
-1.353617 -2.939684
1.977478 2.925712
-0.517940 1.235086
1.415583 2.529069
-0.470587 -2.370754
-0.983956 -2.299186
-1.719510 -1.902056
-0.352597 -1.487581
-1.128271 -3.099159
0.053357 0.454220
-0.100893 -1.997584
-0.033202 -2.676183
-0.424216 -2.281518
-1.661242 -1.098247
-0.945796 -3.869674
-1.071493 -2.616617
-1.940458 -2.928693
1.066070 0.497631
-2.007805 -2.887945
-0.599525 0.229755
-1.175709 0.519175
0.205568 -1.207075
1.181064 0.888509
0.568117 0.511322
1.001766 2.964630
-0.588979 1.138477
-0.294444 0.662665
0.110536 1.306693
-1.236549 -2.952043
0.532977 -1.345268
-0.683761 -1.225246
-0.962194 1.510156
-0.109244 -1.436825
0.631061 -2.036391
-1.682027 -0.497609
1.009111 -0.148961
-0.452923 -2.156504
-0.705797 -1.869796
1.061024 1.925822
0.608710 -0.076311
-1.691473 -0.484937
0.988867 0.440592
0.168754 1.073588
0.834806 2.338147
-1.743358 -0.563463
0.466911 -0.729833
-0.130963 0.905418
-1.138719 -3.779478
0.115079 -1.486887
-1.293417 1.885790
-1.976549 -1.907052
1.661029 1.818205
0.846568 0.820511
0.988839 -0.828243
1.407229 1.096687
1.386263 1.179098
0.236381 -1.533336
1.051570 2.358575
-0.106991 1.801227
-0.893951 -1.504399
-0.535681 -0.085507
-1.268238 -1.385544
0.113680 -2.420827
1.241655 1.590848
-0.047332 -2.752744
0.098465 2.131960
