# Step: 2
# U_max: 3.2447755336761475
# Energy-calls: 3000020000.0
# x (configurations):
-0.726558 0.063761
0.060383 -0.129073
-1.317925 -2.143015
-1.267366 -2.313178
0.865059 0.856516
-0.295226 -0.986598
-1.031955 -0.804413
0.191171 0.069382
-0.449878 -0.905459
-1.557236 -2.157091
0.084355 -0.271311
0.809339 0.660888
-0.364620 -1.199103
0.817355 0.547842
-0.478353 0.145714
-0.379489 -0.651478
0.203794 -0.063495
-0.377167 -1.421942
-1.526923 -0.931355
-1.346424 -2.105673
-0.445890 0.052207
-0.809900 -0.089572
0.007522 0.004692
-1.136953 -0.744064
1.030704 0.478943
-0.450742 -1.626713
-0.973820 -1.458977
-0.233101 -0.132950
-1.573370 -2.000141
-1.305514 -2.108893
-1.254301 -0.614647
-0.443696 -1.408684
1.026587 0.546628
0.184746 -0.095202
-1.280406 -0.555137
-1.403520 -1.352353
-0.830725 -2.323725
-0.533173 -1.523225
-0.904680 -1.231280
-1.068812 -2.408878
-0.794855 -1.321247
-1.342440 -2.163776
-1.282826 -1.741544
1.018236 1.069216
0.593161 0.442379
-0.268122 -0.625065
-0.484442 -0.704275
-1.270967 -2.207287
-1.396673 -2.786868
-1.193292 -2.554112
-0.886163 -1.620853
-1.324349 -1.902836
-0.726633 -2.078114
-0.630373 -0.699492
-1.490571 -0.694710
-0.378771 0.214168
-1.203036 -2.374908
-1.261633 -2.899490
-0.993640 -2.288055
-0.846238 -0.670803
-0.613670 0.014607
-1.365409 -0.717119
-0.694136 -0.131628
-1.384449 -1.409395
0.650795 0.005093
-1.083652 -1.173036
-0.903630 -2.184997
-0.476139 0.044577
-0.818363 -1.044837
-0.681246 -0.983585
-0.399856 -0.761918
-0.323240 0.128584
-1.570636 -1.930854
-0.499319 0.030292
-0.967606 -1.738047
-0.422728 -1.519127
-0.285577 -0.244190
-0.936231 -2.289198
-0.774575 -0.121247
-1.194241 -2.659724
0.749150 0.737935
-0.150614 -0.251995
-0.778919 -0.839341
-1.333624 -2.462087
-0.956893 -1.423375
-0.323899 -0.183213
0.608732 0.313812
-0.830268 -0.707656
-1.271916 -2.071524
-0.587443 -0.438054
-1.192764 -0.401029
-0.663579 -1.210589
-1.153348 -1.009252
-0.670416 -1.472955
-0.992579 -1.510667
-0.897753 -1.509155
0.018892 -0.034674
-1.067471 -2.294608
-1.348536 -0.459541
-0.612722 -1.854317
-0.863653 -1.280932
