# Step: 3
# U_max: -0.4128696620464325
# Energy-calls: 3750040000.0
# x (configurations):
-1.369994 -1.982782
-1.023223 -0.772563
-0.885872 -1.881172
-1.163552 -1.804789
-1.027634 -1.032272
-1.397592 -0.886713
-1.145382 -1.233113
-0.829418 -1.137015
-1.058113 -1.941261
-0.979138 -1.355389
-0.848609 -0.996965
-0.811148 -1.309940
-0.819931 -1.596869
-0.725452 -0.498426
-1.082372 -0.911774
-1.003490 -1.697531
-1.211705 -1.168399
-0.675599 -0.396189
-1.369736 -0.941459
-1.033996 -1.723141
-0.706746 -1.254644
-1.482902 -0.866359
-0.947320 -1.873803
-0.874855 -1.797102
-0.972298 -1.798740
-0.896065 -1.420975
-1.189478 -1.557821
-1.078803 -1.745161
-0.661592 -0.470089
-1.265635 -0.968151
-1.612050 -1.248063
-0.960848 -1.910537
-1.294225 -1.955797
-1.007996 -0.623942
-0.609908 -0.913205
-1.000509 -0.749332
-0.961590 -1.101042
-0.906920 -1.296167
-0.813981 -1.547493
-0.805781 -1.795052
-0.644969 -1.092488
-0.994460 -0.837360
-1.001869 -1.044762
-0.968929 -0.339600
-0.785979 -0.655518
-1.052526 -1.392110
-0.917363 -1.979523
-0.847446 -1.185279
-0.887370 -1.364697
-0.905741 -0.646453
-0.941005 -0.711133
-1.500913 -1.368658
-1.206878 -1.966987
-1.103793 -1.636194
-1.090870 -1.605834
-1.112590 -1.982771
-1.018680 -0.704268
-1.011138 -0.403815
-1.097241 -1.931578
-0.571211 -0.873673
-0.741789 -1.369815
-1.348323 -1.724687
-0.758624 -0.891001
-1.062318 -2.019187
-0.364674 -1.089749
-0.983244 -1.284565
-1.178838 -0.476400
-0.844977 -1.672840
-1.155266 -1.479330
-1.212589 -1.152134
-1.055568 -0.606250
-0.830939 -1.033839
-0.686635 -0.328418
-1.565228 -0.939294
-1.120689 -1.112117
-1.374550 -1.429937
-0.646032 -0.290779
-0.815457 -0.772038
-0.866287 -0.743643
-0.831606 -0.989642
-1.339920 -1.807899
-1.276705 -1.387475
-0.791329 -0.405423
-0.874546 -1.935863
-0.948511 -1.189868
-0.875573 -1.451843
-1.127419 -1.243399
-0.998850 -1.437976
-1.099524 -1.670882
-1.073170 -0.682746
-1.010321 -0.541217
-1.310681 -2.298194
-1.152809 -1.675775
-1.074804 -0.802478
-1.298232 -1.187840
-1.480485 -2.387105
-1.091172 -1.821100
-1.116690 -1.351439
-0.841644 -0.644007
-0.944594 -1.153545
-0.882434 -1.787830
-1.201674 -2.159611
-1.262530 -2.601689
-1.176240 -1.763248
-1.012877 -0.937551
-0.882233 -1.204541
-1.043834 -1.640667
-0.507551 -0.639247
-1.107258 -1.909426
-1.016954 -0.974877
-0.664702 -0.961869
-1.307249 -1.496094
-0.702243 -0.934020
-1.251343 -1.734270
-0.500092 -0.646700
-0.857856 -0.775526
-0.828649 -1.623418
-1.271320 -1.740324
-1.058274 -0.975881
-0.775567 -0.511042
-0.916439 -1.080247
-0.309724 -0.802461
-1.068186 -1.983134
-0.924651 -1.750564
-1.023580 -0.746855
-1.129549 -1.849042
-1.063759 -0.853553
-1.398248 -2.279970
-1.135352 -1.839907
-0.755901 -1.468913
-0.905993 -1.471265
-0.782704 -1.652321
-0.918789 -1.217075
-1.360360 -2.013000
-0.887367 -1.995186
-1.380871 -1.235898
-1.069510 -1.103644
-1.285613 -1.010659
-1.110685 -1.308141
-1.157475 -0.811531
-1.099628 -0.552074
-1.034330 -1.671319
-1.034616 -0.568653
-1.147812 -1.216458
-1.429421 -1.868132
-1.090444 -2.038784
-0.977714 -1.385498
-0.784165 -0.972346
-1.178110 -0.770870
-0.957440 -1.527797
-1.082756 -1.074642
-1.087651 -1.013700
-1.374781 -1.512512
-0.749378 -1.114530
-0.555163 -0.216562
-1.011857 -0.770405
-0.793381 -0.222278
-1.604868 -1.178640
-1.258044 -1.348508
-0.979331 -1.695207
-1.163617 -1.525188
-0.944267 -0.374641
-1.507421 -2.011699
-1.264675 -0.727283
-1.003078 -0.771515
-1.253244 -1.799452
-1.115585 -0.738496
-1.145507 -1.064534
-0.764870 -1.354404
-1.178459 -0.718353
-1.317656 -1.410106
-1.440039 -1.855185
-1.281338 -1.351108
-1.171772 -0.837388
-0.817517 -1.662993
-1.118727 -1.199327
-1.213249 -2.264029
-1.178660 -2.101217
-1.080032 -1.667400
-1.072556 -0.318669
-1.363940 -1.867913
-0.818531 -1.375471
-1.034808 -1.509801
-1.416798 -1.022513
-1.127092 -0.762813
-1.030697 -1.812041
-1.372082 -1.878878
-0.486021 -0.783113
-0.686086 -1.415544
-1.358837 -2.221821
-0.921273 -1.896826
-1.111988 -1.244497
-1.098577 -0.954019
-0.590841 -0.582628
-1.301665 -1.147984
-1.035027 -1.748495
-1.245720 -2.611433
-0.818224 -1.227889
-1.120414 -1.901920
-1.032617 -1.208387
-0.531504 -0.524033
-1.358436 -1.957549
-0.946279 -0.728355
-1.142781 -1.945230
-0.998367 -1.462161
-1.150365 -0.991430
-1.195531 -1.389158
-1.287939 -2.323117
-0.607664 -1.199651
-0.887351 -0.711072
-1.403037 -1.282837
-1.049560 -0.353888
-1.127819 -0.804770
-0.628468 -0.778723
-0.913414 -0.887652
-0.919605 -1.551531
-1.072639 -1.138105
-1.042846 -1.833074
-1.114777 -1.002711
-1.473859 -2.121808
-0.865125 -1.374030
-1.021850 -1.828860
-1.059615 -1.850900
-0.786769 -1.380352
-1.082912 -0.644781
-1.104571 -1.148174
-1.236386 -1.783069
-1.250376 -0.257026
-0.579449 -1.087812
-0.888087 -1.889647
-1.021897 0.005522
-1.097955 -1.254480
-1.229339 -0.872626
-1.153319 -2.334764
-1.244447 -1.368623
-1.204311 -1.178759
-1.075007 -0.722189
-0.853489 -1.094233
-1.298225 -0.753194
-1.550842 -0.990054
-0.793751 -1.332002
-1.208154 -1.804386
-0.589024 -0.982834
-1.227864 -1.924855
-1.189993 -1.840520
-0.915345 -1.574747
-0.869687 -1.290300
-1.236055 -1.349329
-1.148797 -2.321031
-1.535629 -2.173610
-1.098967 -1.229594
-0.750107 -1.425041
-1.330804 -1.645602
-1.226296 -1.188421
-0.951226 -1.789891
-1.006014 -0.901528
-0.736696 -1.066615
-0.940476 -1.007451
-1.019647 -0.650522
-0.947732 -0.518794
-0.957098 -1.803135
-0.981812 -1.234540
-0.832347 -1.030185
-0.897673 -0.638279
-1.251895 -1.797321
-1.242185 -0.629922
-1.026748 -1.978147
-1.047058 -0.962728
-1.030833 -1.972908
-0.948133 -1.431121
-0.551728 -0.919321
-1.401399 -2.306734
-1.074039 -1.209131
-0.970660 -0.947876
-0.729136 -0.753468
-0.749782 -1.865822
-1.376620 -1.689470
-1.309560 -0.736824
-1.013006 -0.632792
-1.229947 -2.731517
-1.051138 -1.304954
-0.986347 -1.724692
-0.921588 -1.155276
-0.931645 -1.369241
-0.643073 -0.950877
-1.106174 -2.159819
-0.839388 -1.737911
-0.633585 -0.649547
-1.010536 -1.201161
-0.976267 -0.937073
-0.651663 -0.961553
-0.817859 -1.170975
-0.927186 -0.585007
-0.671740 -0.749520
-0.886904 -0.994884
-0.767533 -0.685099
-1.229484 -2.052511
-0.928528 -1.458366
-1.008404 -0.331859
-1.085596 -1.753011
-1.276031 -2.382622
-0.916575 -0.482700
-1.069192 -1.160901
-0.857346 -1.021141
-1.415888 -0.796731
-0.955636 -1.793478
-1.055099 -1.625190
-1.196530 -0.530333
-1.090981 -2.185186
-1.133362 -2.009445
-0.909160 -1.138127
-1.028492 -1.429952
-1.037919 -1.463606
-1.394288 -1.627529
-0.862360 -1.620075
-1.330464 -1.285538
-1.306415 -0.973941
-0.894348 -1.855675
-1.014942 -1.708833
-0.830473 -0.719225
-1.281165 -1.401309
-0.835442 -1.181065
-0.969309 -0.478789
-1.043447 -1.702940
-1.071352 -1.400336
-0.869891 -0.631085
-1.002504 -2.004179
-1.163109 -1.102629
-0.935246 -0.580385
-1.105111 -1.653230
-0.872861 -1.753086
-1.557079 -1.383499
-1.212148 -2.169664
-1.097599 -2.181544
-1.004528 -1.411336
-1.199988 -0.441216
-1.153566 -0.761996
-0.730648 -1.120752
-0.873449 -0.932294
-0.784032 -1.365421
-1.294423 -0.739529
-1.035512 -2.025330
-1.104271 -2.420569
-0.732081 -0.537314
-1.058655 -0.954635
-1.032228 -1.112704
-1.173254 -1.213470
-1.189252 -1.208149
-0.942911 -0.619318
-0.839629 -0.329630
-0.982496 -1.622599
-1.153927 -1.985080
-0.790865 -0.516541
-1.248498 -0.744698
-0.805867 -1.111167
-0.892047 -0.837690
-0.977432 -1.372877
-0.963060 -1.765165
-0.879354 -1.071779
-1.135810 -1.588874
-1.077565 -1.650661
-1.080176 -1.716696
-1.300010 -2.372186
-0.876316 -1.699021
-1.225962 -1.446003
-0.990288 -2.293054
-1.309934 -1.069752
-1.126750 -2.057435
-1.796109 -2.178833
-1.000350 -1.129758
-0.947999 -0.557529
-1.113992 -1.151520
-1.095278 -1.407079
-0.363454 -0.538418
-0.949378 -1.441907
-1.193060 -1.871449
-0.798261 -0.745228
-1.128094 -1.154390
-1.002504 -0.489982
-1.167776 -1.373654
-0.988641 -1.168302
-0.912626 -1.340871
-1.465000 -2.114045
-1.008458 -1.241182
-1.001490 -1.384096
-1.359322 -0.818306
-1.064752 -1.800936
-0.912552 -0.544981
-0.957627 -1.029967
-1.493198 -1.771195
-1.148410 -1.620288
-1.785367 -1.663674
-0.753452 -1.717627
-0.768330 -0.535348
-0.936630 -0.383543
-1.004375 -1.010332
-1.333861 -0.914281
-1.122932 -1.432226
