# Step: 4
# U_max: -2.280527353286743
# Energy-calls: 4250060000.0
# x (configurations):
-0.963022 -0.879553
-1.019645 -1.727330
-0.940158 -0.791629
-1.303896 -1.738311
-0.858074 -1.228900
-0.827921 -1.086565
-1.058108 -1.569974
-1.221700 -1.332613
-1.002172 -1.151530
-1.018829 -0.920619
-1.029213 -1.139531
-0.908363 -0.840726
-1.282255 -1.742819
-1.140249 -0.872163
-0.985572 -1.450027
-1.266681 -1.323758
-0.913017 -1.278553
-1.068015 -1.337353
-1.175197 -1.705628
-1.193202 -1.840393
-1.132356 -1.010300
-1.295001 -1.804783
-1.171382 -1.703655
-1.146491 -1.622225
-1.198762 -1.917777
-1.174928 -1.240946
-1.310063 -1.867732
-1.069691 -1.871639
-1.060501 -1.187272
-1.214022 -1.007464
-1.335656 -1.646933
-1.133821 -1.367630
-1.123875 -0.997896
-1.223243 -1.004297
-1.273821 -1.949113
-1.109447 -1.548975
-1.213653 -1.336660
-1.176231 -0.887981
-1.072951 -1.625153
-1.144032 -1.531220
-0.994434 -0.866026
-0.854109 -1.021509
-1.039804 -1.562107
-1.138861 -1.378283
-1.001119 -0.928271
-1.077716 -1.366919
-1.177989 -1.195981
-1.079275 -1.058855
-1.233704 -1.307196
-1.322633 -1.563903
-0.947213 -1.332402
-0.950441 -1.309682
-0.913649 -0.960770
-1.157834 -1.586944
-0.998328 -0.938357
-0.919499 -1.572773
-1.040304 -1.625672
-0.876539 -1.270305
-1.169271 -1.002916
-0.991856 -1.675065
-1.005820 -1.224167
-0.969164 -0.846705
-1.065872 -1.374292
-1.329695 -1.589849
-1.318670 -1.767798
-1.235683 -1.498545
-1.185286 -1.316270
-0.884609 -0.768524
-0.981940 -1.649183
-1.282387 -1.823068
-1.112568 -0.913123
-1.191078 -1.791297
-1.165809 -0.863168
-0.916612 -0.818069
-1.097525 -1.470502
-1.210235 -1.655752
-0.823605 -1.049991
-1.334786 -1.688996
-1.135879 -1.942365
-1.280594 -1.841519
-1.188894 -1.344430
-1.069862 -1.445554
-0.893778 -1.169542
-1.153769 -1.594798
-1.285136 -1.597151
-0.841102 -1.121742
-0.954029 -1.499458
-1.136661 -1.106112
-1.042402 -1.849491
-0.890248 -0.906301
-1.229598 -1.018511
-1.307712 -1.572984
-1.297502 -1.819565
-1.272072 -1.252173
-0.990338 -1.150822
-1.180619 -1.121864
-1.050983 -1.655933
-1.192835 -1.708410
-1.249989 -1.027214
-1.109823 -1.071511
-1.162875 -1.312468
-1.070516 -1.294449
-1.113070 -1.244517
-1.115050 -1.553936
-1.015591 -0.871775
-0.841740 -0.863966
-1.086715 -1.522228
-1.285335 -1.920272
-0.962673 -1.368844
-1.072010 -0.810114
-0.927534 -1.427961
-1.266058 -1.079457
-1.067242 -1.571918
-0.957894 -1.407175
-1.101201 -1.659139
-1.066375 -1.198774
-1.173536 -1.969621
-0.877043 -1.104370
-1.042306 -1.808521
-1.278561 -1.184190
-1.136160 -1.884625
-1.221719 -1.141321
-1.232040 -1.626207
-1.087178 -1.115521
-1.198717 -1.539316
-1.215192 -1.759410
-1.209285 -1.577775
-1.157548 -1.055368
-0.874704 -1.333966
-1.042283 -1.522007
-1.313904 -1.686316
-1.000587 -1.059170
-0.978808 -1.338784
