# Step: 2
# U_max: 4.45858097076416
# x (configurations):
-0.040628 -0.585319
0.439726 -0.286786
0.992815 1.017219
-0.704258 0.354566
0.269821 -0.026714
0.551288 -0.030180
-0.902136 -0.746301
-1.126331 -0.613556
0.045592 0.220647
0.055524 -0.278609
-1.146648 -2.538748
1.041092 0.384265
-1.295070 -0.461947
-1.379249 -0.395340
-1.520711 -0.927845
0.026740 -0.638389
-0.140726 0.016375
-0.404605 -0.594912
-0.599663 -0.967279
-0.302451 -0.706958
-0.344430 -0.665023
-1.314179 -1.223084
-0.578930 -2.020854
-1.310034 -2.639274
0.397157 0.290491
-1.564917 -2.042649
1.011540 1.097383
0.809635 0.665508
-0.579355 0.447268
0.358675 0.482619
-0.761267 0.154079
-1.093167 -2.324651
-1.151955 0.190632
-0.567917 0.219676
0.372311 -0.279280
-0.997553 -1.558416
-0.987647 -2.667833
-0.332746 -1.200178
0.683387 0.911786
-1.095457 -1.744956
0.342147 0.390275
0.841822 0.738649
-1.160954 -0.128779
1.158194 1.155567
-0.442520 -0.742546
-0.535441 -1.386575
-1.528445 -0.992779
-1.153309 -2.882909
0.053280 -0.775650
-0.323955 -1.090330
-1.328864 -2.352217
-0.926870 0.299048
-1.037799 -1.811019
-0.846050 -0.850532
0.804063 0.583114
-0.495089 -0.092234
1.110564 0.407371
-1.444177 -2.607315
-0.239344 -1.281237
-0.622364 -1.741540
-1.184521 -2.107671
-1.132646 -1.284056
-0.158557 -0.601066
0.019348 0.151734
-0.769991 -0.304920
-0.642233 -0.117667
-0.677149 -0.119896
-1.201329 -1.445508
-1.448868 -0.706829
-1.269519 -1.660175
0.314412 -0.441444
-0.168832 -0.518228
-0.617921 0.363839
0.622743 -0.244789
-0.494913 -1.585923
0.915338 1.334412
-1.192471 0.005393
-0.909965 -0.538612
-0.326863 0.455583
1.063411 0.242393
0.541020 0.286619
-0.243768 -1.373562
-0.918348 -1.998980
0.407366 -0.263818
-0.871554 -1.967868
-0.424314 -1.681474
1.191663 0.650154
-0.247813 -0.793691
-0.243814 -0.941900
0.606333 0.275317
0.651796 0.987450
-1.190416 -1.284429
-1.198793 -2.503067
0.378891 -0.020805
-0.908125 -1.711551
1.078296 1.379465
-0.579430 -1.543318
-1.023696 -0.397985
-0.357879 0.443727
-0.884486 -1.873776
-0.497709 0.093688
-1.159068 -0.258310
-1.093949 -2.639292
0.676464 0.629551
-1.349867 -0.685011
0.029367 0.208084
0.368346 0.216658
1.163226 1.148271
-1.384767 -1.811383
0.806531 1.098072
-0.875538 -0.062566
1.090239 0.799947
1.056928 1.268174
-0.010016 0.029642
-0.272445 -0.057401
1.041286 0.762634
-0.735806 -1.791030
0.615030 0.804627
0.636038 0.212360
-1.505871 -1.069806
0.047340 -0.855524
-0.856888 -0.214416
0.464381 -0.353033
-1.497545 -1.884680
-1.418700 -0.353051
1.042636 0.981804
-0.337605 -1.351338
0.376083 0.338486
0.693366 0.131818
0.585320 -0.330927
-0.495321 0.011336
-1.162205 -2.597636
0.582157 0.131490
0.923228 0.081466
0.695616 0.868626
-0.506821 0.283303
-0.249803 0.189006
0.890012 0.501196
0.141592 0.038127
-0.160110 -1.225256
-1.362798 -1.577716
-1.056645 -0.499244
-1.400352 -1.057375
-0.790117 -0.528487
-0.885005 -1.302117
0.009927 0.306708
-1.008896 -1.211591
-1.276900 -0.111863
-0.507234 -0.270075
-0.718549 -1.298592
0.184593 0.058741
-0.473376 -1.535304
0.733370 0.674038
-1.292923 -1.251541
0.796060 0.543413
-1.013897 -0.492357
-1.481165 -0.837108
-1.476434 -1.288418
-1.171919 -1.964166
-1.423453 -2.961672
-0.317049 -1.230835
-1.139155 -0.500421
-0.947320 -0.419654
-0.731904 -1.375257
-1.474990 -0.550389
-0.039618 -0.604597
0.807536 0.450828
0.457739 0.388055
-1.214497 -1.334002
0.997438 1.021715
-1.335459 -1.009640
-0.937732 -0.515550
-0.833341 -0.699204
-1.057001 -0.126121
0.891004 0.427662
-0.485354 -1.466853
-1.473749 -2.847061
-1.207249 -0.022721
-0.298817 0.099611
-0.403962 -1.046952
-0.968968 -1.652972
-0.683315 -0.728022
-0.031242 -0.651650
-0.944480 -1.438387
-0.317320 -0.329505
0.052218 -0.835307
