# Step: 3
# U_max: 1.7634512186050415
# x (configurations):
1.110784 1.641050
-0.967616 -1.993467
-0.907459 -2.257540
-1.204263 -2.292347
-1.403195 -1.517910
-0.998303 -1.663631
-1.304921 -1.244184
-1.006852 -1.702916
0.028072 0.307406
-1.104634 -0.438190
-1.365177 -1.189381
-1.429874 -1.119525
-0.999758 -0.427705
-1.381198 -2.275432
-1.205245 -0.837662
-1.360998 -1.727146
-0.303541 -1.094791
-1.021076 -1.454636
-0.560938 -0.660611
-0.858828 -1.432646
-1.099355 -0.573276
-1.071602 -0.240615
-0.989914 -0.188100
-0.916900 -1.193461
-1.435300 -0.733262
0.519498 0.868705
-1.532039 -1.350494
-0.931646 -2.317907
-1.419676 -0.975232
-1.263518 -2.208375
0.930359 0.946780
-1.468764 -1.224946
-1.479222 -1.294235
-0.072983 -0.079177
0.966492 0.796926
-1.283898 -2.266700
0.717076 0.477379
-0.337646 -0.673748
-1.274165 -1.540575
-0.534759 -0.970972
-1.244877 -0.757076
-1.284119 -0.980738
-1.174207 -2.521847
-0.913458 -2.244563
-1.094689 -1.688050
-1.104558 -1.507834
-1.244397 -0.495780
-1.136858 -1.322808
-0.969343 -0.006172
-1.391710 -2.052897
0.811861 1.135204
-1.309462 -2.166927
-0.878046 -1.894563
-1.514355 -1.958446
-1.146536 -1.083375
-1.259182 -0.375351
-1.451971 -2.481124
0.906691 0.429718
-1.060686 -1.608563
-0.980340 -1.921193
-1.486208 -2.572504
-0.212429 -0.428224
0.515575 0.389445
0.272198 0.142652
-1.473019 -1.861094
-0.676113 -0.984062
-0.945538 -1.701188
0.604291 -0.354506
0.828710 0.803651
-1.441757 -2.222418
-0.486128 -0.974568
-0.951804 -2.415972
-0.918184 -0.080155
0.063582 -0.067374
-1.366780 -1.371732
-0.916317 -2.322942
0.479928 0.010357
-0.584674 -1.194733
-0.998741 -0.181583
-1.116014 -1.527901
-1.368794 -1.042772
-1.242350 -1.243449
-1.140375 -0.953803
-1.030887 -2.094236
-1.153070 -1.576397
-1.325939 -0.715661
0.674247 0.398111
-1.329673 -1.735641
-1.143670 -0.436784
-1.474783 -1.615089
-0.637840 -0.918230
-0.659254 -1.821500
-0.317642 -0.631009
-0.854226 -0.555210
-1.332492 -2.433851
-1.232353 -0.824274
-0.457748 -0.038338
-0.928339 -1.763839
-1.020097 -1.937516
-0.691296 -1.239292
-0.466208 -1.067332
-1.462769 -1.013510
0.941851 -0.055616
1.033643 0.380603
1.178097 0.759445
-0.521336 0.247917
