# Step: 4
# U_max: -0.882093071937561
# x (configurations):
-1.325940 -0.724711
-0.684991 -0.707610
-1.055232 -0.821425
-0.965961 -1.692775
-0.775836 -1.220801
-0.922899 -1.668761
-1.116921 -1.074635
-0.355662 -0.679482
-0.925240 -0.129496
-0.956712 -0.060519
-0.525771 -1.068743
-1.511116 -1.179805
-0.754560 -1.391172
-0.419726 -0.751362
-1.188219 -1.790932
-0.955954 -1.461151
-1.093778 -0.957468
-1.202405 -1.853008
-0.809699 -1.762168
-1.071251 -1.711381
-1.320194 -2.031573
-0.910523 -1.874874
-1.290374 -1.859822
-1.043266 -1.290627
-0.714410 -1.046369
-1.051119 -0.859843
-1.120003 -1.938547
-0.748508 -0.843729
-1.543623 -2.121576
-1.304290 -1.762047
-1.040707 -1.665658
-1.192395 -0.656781
-1.505392 -1.925003
-1.381968 -1.651538
-1.379600 -1.790690
-1.128351 -0.559523
-1.155670 -1.023894
-1.352256 -0.903521
-0.887808 -0.882172
-0.748555 -0.125206
-1.071130 -0.388389
-1.252796 -2.127377
-0.989421 -1.908617
-1.038933 -2.004695
-1.189756 -1.698105
-1.019933 -0.484768
-1.033340 -0.983107
-1.126509 -0.950868
-0.777732 -0.781009
-1.021573 -2.368875
-0.954517 -0.322944
-1.230235 -1.271298
-1.106563 -1.065639
-1.319351 -2.579378
-1.314752 -1.051162
-0.728102 -1.008981
-0.938426 -1.134076
-1.112754 -0.503358
-1.363574 -1.722601
-0.829628 -0.068932
-1.340936 -0.564142
-1.219814 -1.963138
-1.344753 -1.568962
-0.749326 -1.161942
-1.275075 -2.464660
-1.180399 -1.078106
-0.916189 -0.396796
-1.601616 -1.563449
-1.167327 -1.842653
-1.412443 -1.554390
-1.267475 0.031028
-0.913631 -1.640218
-0.542066 -0.459314
-0.680001 -0.116530
-1.010937 -0.449775
-1.188238 -0.919375
-1.202391 -2.037158
-1.017982 -0.647161
-0.940939 -0.482506
-0.965236 -1.224096
-0.947590 -1.486526
-1.072479 -1.306102
-0.920648 -0.816957
-1.295746 -2.064479
-0.537745 -0.571538
-0.602542 -0.570915
-0.742891 -1.702584
-1.131820 -1.156415
-0.944299 -0.717152
-0.992376 -1.834196
-1.307644 -2.181149
-1.350250 -0.787631
-1.366691 -1.245450
-1.336988 -1.703092
-1.221527 -1.623178
-1.449347 -1.411900
-1.043414 -1.798972
-1.292963 -2.037696
-0.822538 -0.465428
-0.824079 -1.387285
-0.999770 -1.776806
-1.308169 -1.388169
-1.351079 -1.067122
-1.233523 -1.268807
-0.848884 -1.618033
-0.886164 -1.644450
-1.167799 -2.242877
-1.038587 -1.700607
-1.121603 -0.772753
-1.035694 -1.791584
-1.163318 -1.068119
-0.991731 -0.228487
-0.881835 -0.780343
-0.981422 -0.854786
-0.654073 -1.385605
-1.083548 -0.407322
-1.289262 -1.610053
-0.994901 -1.825334
-0.944752 -1.442255
-1.084181 -1.527926
-0.936584 -1.313144
-0.501652 -0.756513
-1.251037 -1.145516
-1.062618 -0.704331
-0.869939 -2.147186
-1.208205 -1.451619
-0.760207 -1.439939
-1.171064 -1.177767
-0.683828 -0.249973
-0.963834 -1.976632
-0.868677 -1.744376
-1.266050 -2.048052
-0.974134 -0.945082
-0.937657 -0.528749
-0.586382 -0.851755
-0.709986 -1.674121
-0.719407 -0.623307
-0.977237 -1.097608
-1.222005 -2.197308
-1.175560 -0.782161
-1.175505 -1.753729
-1.399584 -2.060211
-0.509068 -0.700227
-0.901277 -0.811031
-0.804183 -1.105692
-1.087762 -2.582407
-0.786502 -1.630275
-1.167425 -1.715600
-1.078048 -1.258503
-0.956083 -2.304098
-0.990098 -1.094324
-0.984440 -1.786735
-0.797803 -0.948744
-1.015523 -0.082347
-1.298952 -1.426549
-1.028062 -1.726996
-1.024868 -1.349359
-0.799226 -0.973902
-0.721807 -1.080518
-1.364467 -2.248381
-0.948677 -0.786259
-1.122402 -1.311457
-1.013889 -0.759097
-0.585301 -0.164653
-1.049285 -1.317555
-1.297027 -1.250661
-1.232891 -2.046291
-0.953498 -1.580333
-0.830816 -1.806417
-1.224564 -1.565266
-1.070995 -1.230571
-0.667539 -0.781004
-0.921679 -0.554079
-1.144422 -0.677029
-1.277674 -2.048506
-1.022280 -0.677768
-1.025476 -1.662310
-1.402534 -1.757241
-1.303760 -1.353793
-1.094688 -0.770108
-0.787555 -0.729309
-1.368859 -1.539566
-0.820800 -0.432733
-1.082158 -1.145102
-1.264163 -1.285108
-1.204439 -1.209207
-0.624462 -1.135715
-1.479558 -1.781280
-1.330737 -1.418517
-1.172514 -0.694001
-1.461287 -0.951516
-0.994820 -1.639758
-0.962592 -1.879147
-0.891944 -2.172353
-0.912843 -1.079219
-0.887959 -1.882334
-0.989255 -0.475390
-0.789959 -1.241196
-0.991563 -1.418581
-1.062924 -1.566648
-0.902737 -1.866747
-0.687721 -0.992339
-0.641631 -0.752627
-1.402783 -1.571655
-0.742872 -0.315712
-1.329903 -1.000395
-1.148888 -1.679214
-1.203842 -1.413985
-0.887549 -0.718029
-0.686621 -1.726119
-0.950465 -2.400816
-0.613479 -1.070840
-1.017187 -1.166285
-0.668373 -0.904083
-0.738897 -1.476888
-0.796013 -1.394921
-1.215769 -2.529833
-0.730110 0.025779
-0.995323 -1.222343
-0.943687 -2.147820
-1.075592 -1.777944
-0.894058 -1.858787
-0.823043 -1.481583
-0.904991 -1.055852
-0.821649 -1.262724
-1.210346 -1.059978
-1.210007 -1.213823
-1.370982 -2.117186
-0.861687 -1.299061
-1.242000 -1.613141
-1.308554 -1.199511
-0.875538 -1.898176
-1.533253 -2.088305
-1.025818 -1.201975
-1.213538 -1.097520
-0.745362 -1.714089
-1.248767 -0.492179
-1.133979 -1.014395
-1.017646 -2.197028
-1.000795 -2.085104
-1.369753 -1.613548
-1.268717 -1.170145
-1.008251 -1.608821
-0.837358 -0.555974
-0.793451 -0.537034
-1.058574 -2.275687
-1.038761 -0.652243
-1.312945 -1.193879
-0.986976 -1.979130
-1.128834 -0.607103
-1.386735 -2.481369
-0.953923 -0.111311
-0.881618 -1.058769
-0.983489 -0.365229
-1.066564 -2.015364
-1.000250 -1.971715
-1.320682 -2.205288
-1.151134 -0.979595
-1.152599 -1.964074
-1.380595 -0.865281
-1.051000 -1.967407
-1.208563 -1.829883
-0.770273 -0.489584
-1.142689 -1.338169
-1.671426 -2.146276
-0.871587 -0.991268
-0.772180 -0.580408
-1.393468 -0.953355
-0.685457 -0.677032
-1.118609 -1.179915
-1.178181 -1.557454
-0.897086 -1.339043
-1.166240 -2.111347
-1.236130 -1.601122
-1.080457 -0.799543
-0.904372 -1.536976
-0.623480 -0.097386
-1.192221 -1.161659
-0.987965 -1.013131
-0.876411 -1.586112
-0.902124 -0.756090
-1.144538 -2.210407
-0.832691 -0.895269
-0.917850 -1.003190
-1.099928 -2.075755
-1.441881 -2.172103
-1.245331 -1.016911
-1.164475 -2.553573
-1.313348 -1.590131
-0.805117 -1.910340
-1.449967 -1.805489
-0.958315 -1.466156
-1.105010 -1.144682
-0.497921 -1.170619
-1.215101 -2.549795
-0.518050 -0.524292
-1.064872 -2.009991
-0.558900 -0.658969
-1.099085 -2.239033
-1.046080 0.045269
-0.692353 -0.471995
-1.078564 -1.813977
-0.880935 -1.183897
-1.379293 -1.520756
-1.222068 -0.923221
