# Step: -2
# U_max: -3.1717991828918457
# Energy-calls: 4625100000.0
# x (configurations):
-1.224938 -1.254845
-1.365685 -1.713909
-1.083463 -1.485720
-1.053261 -1.179668
-1.218674 -1.296213
-1.131962 -1.220193
-1.132916 -1.183985
-1.195103 -1.456848
-1.180421 -1.322395
-1.163354 -1.266545
-1.103934 -1.287640
-1.113498 -1.466270
-1.189247 -1.614239
-1.099921 -1.173279
-1.019758 -1.294987
-1.139656 -1.152847
-0.984802 -1.501804
-1.151061 -1.563053
-0.992686 -1.480083
-1.027564 -1.568452
-1.108334 -1.177013
-1.153712 -1.226665
-1.153408 -1.578817
-1.136545 -1.224838
-1.126753 -1.227874
-1.046411 -1.454300
-1.092549 -1.274225
-1.007132 -1.077817
-1.220724 -1.457169
-1.154713 -1.157803
-1.208659 -1.436390
-1.243192 -1.325016
-1.120929 -1.388685
-1.138635 -1.409108
-1.044314 -1.391691
-1.061010 -1.189077
-0.991525 -1.373422
-1.186026 -1.407838
-1.181286 -1.389234
-1.134600 -1.424879
-1.004186 -1.304819
-1.175093 -1.582631
-1.015105 -1.202378
-1.254119 -1.204820
-1.178924 -1.347556
-1.116117 -1.477322
-1.108939 -1.260583
-1.189593 -1.613521
-1.156119 -1.234730
-1.122397 -1.096704
-1.008517 -1.350852
-1.283667 -1.652469
-1.069167 -1.012178
-1.009129 -1.526522
-1.231228 -1.264544
-1.141429 -1.659566
-1.113662 -1.423865
-1.204732 -1.876401
-1.117872 -1.510791
-0.946862 -1.212233
-1.136403 -1.582341
-1.096622 -1.441233
-1.087164 -1.249081
-1.135279 -1.451711
-1.087797 -1.288344
-1.048395 -1.465173
-1.026559 -1.339604
-1.185916 -1.311186
-1.118823 -1.250084
-0.980437 -1.393786
-1.126158 -1.441040
-1.131199 -1.450606
-1.112267 -1.138559
-1.002182 -1.243045
-1.211673 -1.419009
-1.088891 -1.529925
-1.226720 -1.675678
-1.136228 -1.450477
-1.251697 -1.397843
-1.179994 -1.378440
-1.114807 -1.137744
-1.132251 -1.729391
-1.166896 -1.575066
-1.062668 -1.318951
-1.111680 -1.313566
-1.219747 -1.867777
-1.076486 -1.590727
-1.317438 -1.596513
-1.171531 -1.637438
-1.177706 -1.340693
-1.195465 -1.328331
-1.122363 -1.371357
-1.054976 -1.292149
-0.984920 -1.431712
-1.184124 -1.430646
-1.086704 -1.022698
-0.991457 -1.296838
-1.176198 -1.639863
-1.248295 -1.551552
-1.050015 -1.255060
-1.162499 -1.286301
-1.247175 -1.279916
-1.099015 -1.393070
-1.010776 -1.340790
-1.093392 -1.343567
-1.177955 -1.432658
-1.104560 -1.421431
-1.062596 -1.358275
-0.942305 -1.256755
-1.238333 -1.421285
-1.140435 -1.440171
-1.220871 -1.481599
-1.157984 -1.344615
-1.091691 -1.332394
-1.147042 -1.492770
-1.105275 -1.493651
-1.107472 -1.213657
-1.047451 -1.351445
-1.192366 -1.695602
-1.120046 -1.219415
-1.059008 -1.253085
-1.110476 -1.434384
-1.236690 -1.471221
-1.096359 -1.202582
-1.177555 -1.503792
-1.164451 -1.592414
-1.107458 -1.403155
-0.948546 -1.475480
-1.055083 -1.283184
-1.146194 -1.707654
-0.982541 -1.279888
-1.125320 -1.449312
-1.079717 -1.125638
-1.162849 -1.484722
-1.140155 -1.261777
-1.200961 -1.524712
-1.101683 -1.452827
-1.067897 -1.326992
-1.116753 -1.254280
-1.105240 -1.313961
-1.082495 -1.309677
-1.054148 -1.352867
-1.181343 -1.309767
-1.020242 -1.333040
-1.146254 -1.453923
-0.940887 -1.195330
-1.019618 -0.983106
-1.140929 -1.403187
-1.131446 -1.258030
-1.103708 -1.217420
-1.063398 -1.615917
-1.179961 -1.408728
-1.023145 -1.297463
-1.209288 -1.342277
-1.066135 -1.553782
-1.169557 -1.446033
-1.245564 -1.597635
-1.237740 -1.551515
-1.150356 -1.396367
-1.304059 -1.670968
-1.160127 -1.505772
-1.226154 -1.531266
-1.096151 -1.258599
-1.145859 -1.118037
-1.085540 -1.553470
-1.151690 -1.223869
-1.004423 -1.306130
-1.098173 -1.499670
-1.093001 -1.132932
-1.183871 -1.565309
-1.144614 -1.403828
-1.124440 -1.330318
-1.154132 -1.424935
-1.132526 -1.359993
-1.210106 -1.323090
-1.146181 -1.431206
-1.199790 -1.175316
-1.163981 -1.611078
-1.279335 -1.747377
-1.224023 -1.616018
-1.167770 -1.580392
-1.307366 -1.610404
-1.159248 -1.436870
-1.088182 -1.392398
-1.182328 -1.139842
-1.164522 -1.432318
-1.076639 -1.455433
-1.224085 -1.328992
-1.181815 -1.542489
-1.039413 -1.489100
-1.085779 -1.429201
-1.138238 -1.222133
-1.125391 -1.351771
-1.109111 -1.285548
-1.081075 -1.350130
-1.137190 -1.471534
-1.089655 -1.232000
-1.181631 -1.371873
-1.102753 -1.768187
-1.202210 -1.330944
-1.030265 -1.098128
-1.078402 -1.175453
-1.021827 -1.316444
-1.008556 -1.330245
-1.069911 -1.376433
-1.259299 -1.678531
-1.136890 -1.755778
-1.080969 -1.543916
-0.959166 -1.107307
-1.161693 -1.503211
-1.252476 -1.437405
-1.109319 -1.406911
-1.100976 -1.399480
-1.218746 -1.361994
-1.086463 -1.172679
-1.186919 -1.315477
-1.231782 -1.323502
-1.096230 -1.342276
-1.123626 -1.252732
-1.014183 -1.276208
-1.078216 -1.536412
-1.043819 -1.374820
-1.140207 -1.373519
-1.173343 -1.250199
-1.196509 -1.590191
-1.103551 -1.566447
-1.062025 -1.103142
-1.167653 -1.298659
-1.144621 -1.404528
-1.052989 -1.109615
-1.301036 -1.582859
-1.204948 -1.377588
-1.010018 -1.229276
-1.129067 -1.034644
-1.114872 -1.624168
-1.132374 -1.340243
-1.050823 -1.323468
-1.250742 -1.491820
-1.157673 -1.534626
-1.003253 -1.503214
-1.071512 -1.182453
-1.005177 -1.287611
-1.252439 -1.431627
-1.073549 -1.292788
-1.180244 -1.425908
-1.223283 -1.248413
-1.217541 -1.448147
-1.195053 -1.473726
-0.980081 -1.277967
-1.029336 -1.473979
-1.097804 -1.269477
-1.295145 -1.607335
-1.123809 -1.362348
-1.156261 -1.472960
-1.078402 -1.273512
-1.136775 -1.315614
-1.081828 -1.290378
-1.081653 -1.334133
-1.053435 -1.082053
-1.022486 -1.391086
-1.185825 -1.396965
-1.088566 -1.367257
-1.021859 -1.235032
-1.106074 -1.386301
-1.078427 -1.662628
-1.075066 -1.388377
-1.065765 -1.286084
-1.025034 -1.363572
-1.094023 -1.305236
-1.212154 -1.543149
-1.155735 -1.362395
-1.117576 -1.237987
-1.247154 -1.501879
-1.069902 -1.483887
-1.283303 -1.473982
-1.135477 -1.718482
-1.016421 -1.139569
-1.129262 -1.679646
-1.117860 -1.451479
-1.161068 -1.347712
-1.057562 -1.122315
-0.897245 -1.247593
-1.166166 -1.393411
-1.185075 -1.483209
-1.205382 -1.461090
-1.173592 -1.428114
-1.108140 -1.285100
-1.118441 -1.201542
-1.356054 -1.764571
-1.210302 -1.405791
-1.070021 -1.209075
-1.263276 -1.525366
-1.185107 -1.257838
-1.025933 -1.383828
-1.149165 -1.263693
-1.265358 -1.405113
-1.287600 -1.421012
-1.142144 -1.257701
-1.199607 -1.656329
-1.141792 -1.364837
-1.198503 -1.486676
-1.080718 -1.368905
-1.008107 -1.307013
-1.218146 -1.568030
-1.212289 -1.788002
-1.078489 -1.216230
-1.170329 -1.408507
-1.083428 -1.247980
-1.209806 -1.618672
-1.032013 -1.376000
-1.167327 -1.390974
-0.925431 -1.269340
-1.192933 -1.506124
-1.123677 -1.368959
-1.049231 -1.048469
-1.061930 -1.496925
-1.198720 -1.567632
-1.186541 -1.416604
-1.129899 -1.242455
-1.084774 -1.264498
-1.148769 -1.621063
-1.306044 -1.640538
-1.082806 -1.512329
-1.137830 -1.444744
-1.076232 -1.221138
-1.064437 -1.320085
-1.139295 -1.325286
-1.147768 -1.130585
-0.982216 -1.098275
-1.175782 -1.502838
-1.049633 -1.407591
-1.128120 -1.375679
-1.101474 -1.353367
-1.142238 -1.489263
-1.035698 -1.702065
-1.023544 -1.336580
-1.131759 -1.375564
-0.932829 -0.975992
-1.169919 -1.054549
-1.108636 -1.183791
-1.151842 -1.568874
-1.086512 -1.305413
-1.170976 -1.657533
-1.279146 -1.563372
-1.130897 -1.222920
-1.142112 -1.682721
-1.141231 -1.329351
-1.186784 -1.571315
-1.052195 -1.538574
-1.087724 -1.401057
-1.226734 -1.673109
-1.067589 -1.442764
-1.114843 -1.399607
-1.088411 -1.223483
-1.197600 -1.411965
-1.091688 -1.287411
-1.280255 -1.868405
-1.224037 -1.374743
-1.201438 -1.484091
-1.157564 -1.764768
-1.185826 -1.782205
-1.054133 -1.236753
-1.118535 -1.590442
-1.149359 -1.279714
-1.147624 -1.613429
-1.094500 -1.193805
-1.085675 -1.246209
-1.061221 -1.233235
-1.013295 -1.352051
-1.139634 -1.352452
-1.015073 -1.182554
-1.060241 -1.396476
-1.152587 -1.344318
-1.241725 -1.224305
-1.078328 -1.427941
-1.048177 -1.122679
-1.160953 -1.218089
-1.210473 -1.627015
-1.139779 -1.248827
-1.022869 -1.366126
-0.957153 -1.183485
-1.197087 -1.620712
-1.012990 -1.392627
-1.105499 -1.285463
-1.101912 -1.073093
-1.122286 -1.616295
-1.224778 -1.556361
-1.199963 -1.534781
-1.032924 -0.952381
-1.187649 -1.569839
-1.067342 -1.386010
-1.036107 -1.155177
-1.276428 -1.701739
-0.955826 -1.145270
-1.132101 -1.351197
-1.254732 -1.210539
-1.057374 -1.190122
-1.085389 -1.480838
-1.220626 -1.562945
-1.139811 -1.487611
-1.049738 -1.196766
-1.075258 -1.202499
-1.213501 -1.481305
-1.000213 -1.175869
-1.010403 -1.242539
-1.229156 -1.450991
-1.182153 -1.383637
-1.040223 -1.272380
-0.985136 -1.240938
-1.180173 -1.398624
-1.035877 -1.128912
-1.173801 -1.455985
-1.169103 -1.151658
-0.986522 -1.160303
-1.259096 -1.521873
-1.203444 -1.524382
-1.115770 -1.188961
-1.059109 -1.443791
-1.097933 -1.512327
-1.235095 -1.635911
-1.059930 -1.507876
-1.190893 -1.738352
-1.128989 -1.249140
-1.108999 -1.496922
-1.156380 -1.252039
-1.124722 -1.309443
-1.191938 -1.431028
-1.128846 -1.513175
-1.033067 -1.172058
-1.185738 -1.890986
-0.991807 -1.334560
-1.111709 -1.469135
-1.162929 -1.360674
-1.168621 -1.320169
-1.058514 -1.527308
-1.162126 -1.321378
-0.940611 -1.471306
-1.074923 -1.286999
-1.031191 -1.171845
-1.191219 -1.272800
-1.203040 -1.516228
-1.031279 -1.056991
-1.240713 -1.578102
-1.248825 -1.341432
-1.055380 -1.028919
-1.167411 -1.138122
-1.061784 -1.091322
-1.125071 -1.389209
-1.251082 -1.162300
-1.213081 -1.488511
-1.238954 -1.504970
-1.143363 -0.982877
-1.090591 -1.378296
-1.074568 -1.330729
-1.160691 -1.372245
-1.042747 -1.374127
-1.104242 -1.326895
-1.131017 -1.550276
-1.043092 -1.083650
-1.027094 -1.542858
-1.163907 -1.195042
-1.042016 -1.611858
-1.118550 -1.343600
-1.071186 -1.259754
-0.947057 -1.182872
-1.210119 -1.271305
-1.067193 -1.408455
-1.092396 -1.181931
-1.116763 -1.342982
-1.143510 -1.292539
-1.144930 -1.295712
-1.190395 -1.314903
-1.131722 -1.408058
-1.087225 -1.560963
-1.146434 -1.318214
-0.935857 -1.426779
-1.082685 -1.428205
-1.021739 -1.608190
-1.212147 -1.538140
-0.959731 -1.188810
-1.061931 -1.480691
-1.072511 -1.299892
-1.095468 -1.214947
-1.020556 -1.219027
-1.180429 -1.253928
-1.096467 -1.238610
-1.113072 -1.294140
-1.177927 -1.388181
-1.064482 -1.099238
-0.987387 -1.137444
-1.216524 -1.616343
-1.087417 -1.112720
-1.297665 -1.446726
-1.243494 -1.614574
-0.987181 -1.162727
-1.093021 -1.153412
-1.214859 -1.224978
-1.267193 -1.375757
-1.097685 -1.570836
-1.128480 -1.405028
-1.081158 -1.215713
-1.066164 -1.230569
-1.232078 -1.474113
-1.232017 -1.643943
-1.067376 -1.394538
-1.176907 -1.513697
-1.226303 -1.254968
-1.150461 -1.600874
-1.060907 -1.203372
-1.172127 -1.680930
-1.072572 -1.540973
-1.145177 -1.560406
-1.061997 -1.443418
-1.222649 -1.492743
-1.054419 -1.419216
-1.142243 -1.337382
-1.052195 -1.393172
-1.153947 -1.366659
-1.230142 -1.532543
-1.087364 -1.336764
-1.089112 -1.540806
-1.136665 -1.666054
-1.095247 -1.319788
-1.169558 -1.317525
-1.063970 -1.243019
-1.050805 -1.346132
-1.022347 -1.422336
-1.201532 -1.264319
-1.173241 -1.472384
-1.059978 -1.323946
-1.064056 -1.214734
-1.182153 -1.681653
-1.077079 -1.183668
-1.085114 -1.295953
-0.961110 -1.264994
-1.108052 -1.375947
-1.014838 -1.172013
-1.172648 -1.561922
-1.051929 -1.297069
-1.048440 -1.341954
-1.017807 -1.323033
-1.066300 -1.023909
-1.092122 -1.337366
-1.184259 -1.241804
-1.250503 -1.715067
-1.207068 -1.734955
-1.063897 -1.458808
-1.040291 -1.334969
-1.180992 -1.586833
-0.939127 -1.280580
-1.063225 -1.382237
-1.185140 -1.505178
-1.248494 -1.718149
-1.056962 -1.463634
-1.242344 -1.223965
-1.069026 -1.213207
-1.166031 -1.953944
-1.076779 -1.458430
-1.158006 -1.474051
-1.008887 -1.186797
-1.098046 -1.286735
-1.114642 -1.183875
-1.185572 -1.660982
-1.080890 -1.376092
-1.187831 -1.384638
-1.046374 -1.286794
-1.142423 -1.187066
-1.038194 -1.128773
-1.146302 -1.089355
-1.160610 -1.403134
-1.039631 -1.244179
-0.989196 -1.104944
-1.041272 -1.263644
-1.094259 -1.582873
-1.111106 -1.425790
-1.059712 -1.309065
-1.068627 -1.265857
-1.086297 -1.256816
-1.150390 -1.437757
-1.091685 -1.013368
-1.089770 -1.433960
-1.175863 -1.244106
-1.052314 -1.248158
-1.133066 -1.240848
-1.066292 -1.166071
-1.108709 -1.577348
-1.078036 -1.668024
-1.039941 -1.297138
-1.078332 -1.286813
-1.158296 -1.439323
-1.078192 -1.501821
-1.069670 -1.173607
-1.216009 -1.541232
-1.180654 -1.177378
-1.242401 -1.418528
-1.207731 -1.382447
-1.062926 -1.557506
-1.065892 -1.469037
-1.183076 -1.248760
-1.080236 -1.415107
-1.182244 -1.625057
-1.004777 -1.458873
-1.259935 -1.410076
-1.059320 -1.289356
-1.170880 -1.327090
-1.045893 -1.164037
-1.127723 -1.267586
-0.934543 -1.238197
-1.138503 -1.582725
-1.275854 -1.626503
-1.136169 -1.198658
-1.146281 -1.342872
-1.211224 -1.545155
-1.150912 -1.525073
-1.033933 -1.175302
-1.008531 -1.335392
-1.058075 -1.348843
-1.148323 -1.392537
-1.062812 -1.384554
-1.085640 -1.505813
-1.229117 -1.288663
-1.153788 -1.125975
-0.968865 -0.921226
-1.077948 -1.043226
-1.144039 -1.512045
-1.194091 -1.655162
-1.209485 -1.670632
-1.189326 -1.463241
-1.084417 -1.787905
-1.102765 -1.170531
-1.102991 -1.551483
-1.070938 -1.252570
-1.057818 -1.484350
-1.185092 -1.157726
-1.204624 -1.534096
-1.068578 -1.455876
-1.128074 -1.276071
-1.245999 -1.440535
-1.024693 -1.235957
-1.033533 -1.230661
-1.167598 -1.653128
-1.218057 -1.451118
-1.047389 -1.336888
-1.114985 -1.709916
-1.037908 -1.455128
-1.091971 -1.367504
-1.028616 -1.346591
-1.195235 -1.336192
-1.101931 -1.308645
-1.192816 -1.237962
-1.017902 -1.173228
-1.195288 -1.367836
-1.165341 -1.226632
-1.175435 -1.493911
-1.180861 -1.642029
-1.016366 -1.500368
-1.170988 -1.344108
-1.243377 -1.526735
-1.100330 -1.270498
-1.234873 -1.435986
-1.169143 -1.490213
-1.045189 -0.913897
-1.180735 -1.112095
-1.049197 -1.440034
-1.150003 -1.381959
-0.990562 -1.592901
-1.045224 -1.300232
-1.002835 -1.140750
-1.037567 -1.299177
-1.150491 -1.252491
-1.192827 -1.113873
-1.130961 -1.325795
-1.092900 -1.537557
-1.057430 -1.318607
-1.166747 -1.454404
-1.189505 -1.865352
-1.102511 -1.306776
-1.138109 -1.637760
-0.941944 -1.312326
-1.127409 -1.337085
-1.006742 -1.056908
-1.002108 -1.228485
-1.206054 -1.042931
-1.091676 -1.235044
-1.057026 -1.185351
-1.058416 -1.216128
-0.927557 -1.254739
-1.029164 -1.317401
-1.125739 -1.277445
-1.160181 -1.457959
-1.196384 -1.338496
-1.197551 -1.303114
-1.008143 -1.097101
-1.247553 -1.448249
-1.136050 -1.244086
-1.155356 -1.396851
-1.098942 -1.324560
-1.057295 -1.451401
-1.064938 -1.283340
-1.188134 -1.285094
-1.022105 -1.164210
-1.061650 -1.160685
-1.092752 -1.267806
-1.156709 -1.190992
-1.110354 -1.286287
-1.273889 -1.280482
-1.079249 -1.177310
-1.067003 -1.365693
-1.079337 -1.478106
-1.137215 -1.188142
-1.009615 -1.184196
-1.249047 -1.410212
-1.143894 -1.459769
-1.125583 -1.502428
-1.125727 -1.505103
-1.037520 -1.597909
-1.106451 -1.381178
-1.134425 -1.551868
-1.226565 -1.635222
-1.071745 -1.279567
-1.158807 -1.219065
-1.139080 -1.502330
-1.236095 -1.065013
-1.133052 -1.383656
-1.179679 -1.557241
-1.145974 -1.690018
-1.180884 -1.403349
-1.207345 -1.247974
-1.082081 -1.199482
-1.157676 -1.509825
-1.098380 -1.381645
-1.126231 -1.532242
-1.201857 -1.485074
-1.124784 -1.336817
-1.060809 -1.121340
-1.123619 -1.580213
-1.169914 -1.133043
-1.099867 -1.462916
-1.115399 -1.572906
-1.103185 -1.341080
-1.264387 -1.671924
-1.170629 -1.628267
-1.165449 -1.338607
-1.209395 -1.520910
-1.065266 -1.227888
-1.146042 -1.251294
-0.940232 -1.117502
-1.230186 -1.578781
-1.162568 -1.445288
-1.140086 -1.259279
-1.140375 -1.422365
-1.146488 -1.479596
-1.196478 -1.530349
-1.263348 -1.551903
-1.022432 -1.522943
-1.086860 -1.423418
-1.055608 -1.303844
-1.183842 -1.164904
-1.139739 -1.296767
-1.068416 -1.230469
-1.173324 -1.149855
-1.000141 -1.120076
-1.093368 -1.328798
-1.236047 -1.635463
-1.147740 -1.551800
-1.174919 -1.953378
-1.119209 -1.311007
-1.111999 -1.067766
-1.095577 -1.702405
-1.072545 -1.397331
-1.039125 -1.264752
-1.115213 -1.366925
-1.223814 -1.359156
-1.043068 -1.322046
-1.101143 -1.370951
-1.149730 -1.358602
-1.095347 -1.347676
-1.085712 -1.336145
-1.243513 -1.368191
-1.181571 -1.522804
-1.217019 -1.677182
-1.098009 -1.332007
-1.105360 -1.253914
-1.110219 -1.266908
-1.201788 -1.633494
-1.168059 -1.632583
-1.033735 -1.291250
-1.214412 -1.520742
-1.169279 -1.668448
-1.042251 -1.330908
-1.080411 -1.211453
-1.022518 -1.226879
-1.209380 -1.432453
-1.129598 -1.307504
-1.124253 -1.424067
-1.086580 -1.485202
-1.049575 -1.311537
-1.037420 -1.391501
-1.244485 -1.588471
-1.146149 -1.311956
-1.084140 -1.476335
-1.039333 -1.384971
-0.943235 -1.616663
-1.142131 -1.083063
-1.113893 -1.580741
-1.070187 -1.269297
-1.129141 -1.404633
-1.149910 -1.568410
-1.156720 -1.618181
-1.089902 -1.493383
-1.069675 -1.535335
-1.190521 -1.155887
-1.098004 -1.423303
-0.951123 -1.165321
-1.164899 -1.657464
-1.088546 -1.231166
-1.109065 -1.469939
-1.142395 -1.414347
-1.109102 -1.506322
-1.175190 -1.340873
-1.015404 -1.253064
-0.864130 -1.259975
-1.172620 -1.618704
-1.099611 -1.577294
-1.092129 -1.502791
-1.085279 -1.157125
-1.115861 -1.193925
-1.197029 -1.675982
-1.131215 -1.271656
-1.062111 -1.282054
-1.218110 -1.499035
-1.136016 -1.261407
-1.111475 -1.516232
-1.045692 -1.099175
-1.123329 -1.159807
-1.108024 -1.153412
-1.096049 -1.588171
-1.040072 -1.652359
-1.110867 -1.286514
-1.239098 -1.552166
-1.126083 -1.503217
-1.208249 -1.374971
-1.023149 -1.087091
-1.203581 -1.481598
-1.164613 -1.414362
-1.220200 -1.464700
-1.174146 -1.342588
-1.165863 -1.189736
-1.121775 -1.499462
-1.129753 -1.238043
-1.080861 -1.489779
-1.068144 -1.645629
-0.988945 -1.177454
-1.117470 -1.348624
-1.061562 -1.241311
-1.127772 -1.355355
-1.024289 -1.246397
-1.198556 -1.250843
-1.135150 -1.346292
-1.065279 -1.355527
-1.080540 -1.261736
-1.168172 -1.442634
-1.280804 -1.406856
-1.217456 -1.657953
-1.241154 -1.523898
-1.100839 -1.503522
-1.081583 -1.364326
-1.022060 -1.307905
-1.024985 -1.404981
-1.002254 -1.277305
-1.084694 -1.441162
-1.141626 -1.165570
-1.105210 -1.249276
-1.228191 -1.490729
-1.139714 -1.235086
-1.050042 -1.120914
-0.987666 -1.235165
-1.107929 -1.134734
-1.102137 -1.366632
-1.022566 -1.143543
-1.150867 -1.350344
-1.150029 -1.902517
-1.119627 -1.463198
-1.157900 -1.494664
-1.140724 -1.352582
-1.269077 -1.558583
-1.151696 -1.407916
-1.047543 -1.110651
-1.179307 -1.307202
-1.050815 -1.221496
-1.048973 -1.221396
-1.217854 -1.605638
-1.126582 -1.296776
-1.004076 -1.126173
-1.103106 -1.328906
-1.181464 -1.384736
-1.025334 -1.449603
-1.211646 -1.274762
-1.135467 -1.239818
-1.073796 -1.284607
