# Step: -1
# U_max: -0.07658472657203674
# x (configurations):
-0.971472 -1.496480
-1.051184 -1.101913
-1.238970 -1.543803
-1.317284 -1.447768
-0.876487 -0.936017
-0.913938 -0.982799
-1.022654 -1.423611
-1.089649 -1.912889
-1.025004 -0.735192
-0.857639 -1.059074
-1.262702 -1.434418
-1.153248 -1.015186
-1.237588 -1.742802
-1.203030 -1.531748
-0.958643 -1.118755
-1.134203 -0.895049
-1.273140 -1.645616
-0.941126 -1.386955
-1.190213 -1.735034
-1.236396 -1.265291
-1.109585 -1.563779
-1.106555 -1.069389
-1.020285 -1.558613
-1.136857 -1.539208
-0.964555 -1.696518
-1.117229 -1.082346
-1.214150 -1.821783
-1.090962 -1.048990
-1.258446 -1.257854
-1.214601 -1.487347
-0.858477 -1.021865
-0.896181 -0.852635
-1.120329 -1.464684
-0.838340 -1.158237
-1.118263 -1.234957
-1.001148 -1.053346
-0.828690 -1.185266
-1.048013 -1.556683
-0.878386 -1.015755
-1.321465 -1.726233
-0.929003 -0.787033
-0.973194 -1.191514
-1.189556 -1.069442
-1.156955 -1.745068
-1.029821 -1.393197
-1.131336 -1.562811
-1.143480 -1.322727
-1.024251 -0.728648
-1.217576 -1.119752
-1.082541 -1.125084
-1.221633 -1.411168
-1.164269 -1.184968
-0.980878 -1.146231
-1.100396 -1.382734
-0.848085 -0.951293
-1.160765 -1.573191
-1.145914 -0.995601
-1.218566 -0.993685
-0.988535 -0.974923
-1.177222 -1.976870
-1.152639 -1.837727
-1.123550 -1.275623
-1.196815 -1.287366
-1.203643 -1.153851
-1.151228 -1.557928
-0.876182 -1.357016
-1.101079 -1.287898
-0.989872 -0.928803
-1.320141 -1.558258
-1.017931 -0.766528
-1.122792 -1.899922
-0.976376 -1.306561
-1.152362 -1.467947
-1.195679 -1.325860
-0.935713 -0.791594
-1.105845 -1.239527
-1.074880 -1.631294
-1.119567 -1.180664
-0.969839 -1.588742
-0.873305 -1.118253
-0.994064 -1.549313
-1.217120 -1.387252
-1.215955 -1.468301
-1.256485 -1.051572
-1.071060 -1.304708
-1.087517 -0.799224
-1.252256 -1.380168
-0.892467 -1.156815
-1.091787 -1.053285
-0.957454 -1.440833
-1.306598 -1.593209
-1.183350 -1.539046
-1.049633 -1.424189
-1.122051 -1.909997
-1.300470 -1.333805
-1.015094 -1.381951
-0.897506 -1.171943
-0.916014 -0.926801
-1.075826 -1.181211
-0.990381 -1.584234
-1.284986 -1.235160
-1.206649 -1.581021
-0.831865 -1.112797
-1.235706 -1.599692
-1.152839 -1.287261
-1.017343 -0.878774
-0.984776 -0.786549
-1.229490 -1.294172
-1.075560 -1.553204
-0.983573 -1.200178
-1.255729 -1.222941
-1.118036 -1.542320
-1.113253 -1.180066
-1.030557 -0.751289
-1.178184 -1.286425
-0.954237 -1.110423
-0.842289 -0.970297
-0.887181 -1.386469
-1.002567 -0.768140
-0.971311 -0.918593
-1.138323 -1.862066
-1.078013 -0.926871
-1.143646 -1.304720
-1.160836 -1.680980
-1.232034 -1.627798
-1.143003 -1.381651
-0.973173 -1.155748
-1.050851 -1.056656
-1.219815 -1.107945
-1.088379 -1.147996
-0.873122 -0.901730
-1.221324 -1.353912
-1.099172 -1.403396
-1.021846 -1.046398
-1.285289 -1.504595
-0.998816 -0.778129
-0.861246 -0.966034
-0.873884 -0.832202
-1.169092 -1.447520
-0.873882 -1.434506
-1.167013 -1.211163
-1.220156 -1.771370
-0.955933 -0.760032
-1.321147 -1.507970
-0.938141 -1.400093
-0.973683 -0.745646
-0.981078 -1.199281
-1.210243 -1.355274
