# Step: 1
# U_max: 21.0570068359375
# Energy-calls: 15000.0
# x (configurations):
1.215297 2.225856
-1.349863 -2.683761
-0.483575 1.049212
-1.121967 -3.507858
-0.231968 -1.045115
0.287982 -1.627586
-0.438382 0.030565
0.556504 -0.169063
1.127131 -0.733185
0.044892 -0.509678
-0.950370 -1.923688
-0.930850 0.877967
0.296388 1.550877
1.822302 1.477350
-1.461486 -1.777773
-1.673226 -1.332157
-0.977021 -1.519710
-1.388011 -1.333622
-0.985673 -1.828784
0.929562 2.087385
-1.453773 0.343418
-0.537882 -1.995819
0.618025 0.514943
1.129547 -0.374059
1.276761 3.172616
-0.052679 -1.752120
0.311227 -0.365905
1.312824 0.527375
-0.688316 1.525036
-1.058822 0.310331
1.096873 -1.256803
1.853726 1.477983
-1.008530 0.804179
1.579179 1.039795
1.200155 2.322067
-1.501903 -4.122730
1.391061 3.599242
-1.092986 -3.336218
-1.304365 -2.792490
1.650513 3.091529
-0.837085 -0.836258
-0.515645 0.604760
-0.065169 1.182349
0.937073 2.350870
-0.028484 -0.995752
0.032088 2.119160
1.231661 0.059794
0.848233 0.491683
0.015004 -1.330919
-1.549711 -2.436060
-1.674152 -0.201441
-0.192383 -1.405318
-1.943643 -3.999085
0.069321 1.427480
0.057683 1.490333
1.384109 0.200081
-0.327333 -0.516025
-1.053729 -3.583323
-1.736919 -1.208183
-1.092164 -4.049461
-0.753875 0.861684
1.507995 1.189017
-0.186399 0.980168
-1.119270 -3.887227
1.074262 -0.157823
0.374474 -1.507358
-0.515622 -1.384833
-0.192550 -0.484596
-0.493555 -2.949669
1.312228 -0.018453
-1.665608 -0.340600
0.638482 -1.741042
1.084379 2.680122
-0.174068 0.639410
0.111802 -1.497997
1.344394 2.830845
-0.315438 -2.298486
0.454871 0.281868
1.037262 2.117308
1.194587 1.713331
-0.785856 -1.678106
0.166814 -2.037530
0.128368 -0.998881
-0.728599 -2.013086
-0.015974 -2.245768
0.903220 2.277370
-0.187601 -0.507072
-1.007703 -1.639867
-1.437376 -1.471023
0.470876 2.430262
0.008874 -1.416233
0.411642 0.077380
0.032578 -0.688105
1.169006 2.902911
-0.927461 -3.337794
-1.337901 -0.564277
-2.226997 -5.748717
1.462645 0.528305
-1.843729 -1.045340
1.386150 -0.545533
0.870715 1.535886
-1.414030 -3.236902
-0.142599 -1.125853
0.321598 1.789205
-0.147906 -1.695206
1.324697 3.265040
-1.487880 -1.245770
1.763804 1.678110
-0.595134 1.207837
-1.444104 0.547237
0.322420 0.838785
-1.175272 -2.699908
-1.347958 -2.306797
1.619585 1.936513
1.364152 2.549294
-1.036512 0.312845
-1.688190 -2.425608
0.729316 -0.562920
0.821566 1.329309
-1.642869 -3.437898
0.055196 -2.066708
1.603936 0.895098
-1.146246 -0.704173
-0.920595 -2.582042
-1.224617 -2.318290
0.156896 1.836642
-2.434387 -3.848463
-0.905054 0.768640
0.468881 0.513888
0.007852 -2.592678
-1.776040 -1.416812
1.000499 1.014631
-0.255263 -0.530889
1.681617 0.215248
1.087463 -0.387922
0.384843 0.699745
-1.476834 -0.118971
-0.233665 -1.738317
-0.747069 1.968892
-1.085471 -3.689061
0.722696 0.491396
1.721336 2.472702
-0.828060 -3.181549
1.696543 2.678415
-1.174070 0.308821
-1.528337 -1.048252
-0.535796 0.620493
1.288124 1.425843
-0.643398 1.344364
-0.983057 -1.973050
-1.681263 -2.145579
0.701821 -0.928177
1.408459 -0.513655
1.331727 -0.799580
-1.774166 -3.276254
-2.076694 -1.685101
0.591719 1.355063
-1.049149 -1.216225
1.724477 0.155599
1.130284 -1.232199
-1.610563 -0.331875
-0.398704 1.527885
-1.601559 -3.341925
-1.403044 -2.511231
0.917790 1.304497
-1.532794 -1.496869
1.511295 0.690122
-0.415222 0.782289
0.371833 -0.446431
1.037601 0.878448
-1.358976 -0.732973
0.165635 1.486642
0.409462 1.624694
-1.842770 -2.671192
-0.341684 -0.655400
-1.499334 -1.114202
-0.427972 -1.264418
-0.415295 -1.335787
-1.112878 0.400756
0.978112 1.890894
1.413438 2.327617
-0.147457 -1.075665
-1.331815 -3.627265
1.098688 0.658938
0.677931 -1.576163
0.495099 -0.722013
-1.167742 -2.357429
0.229017 0.407221
-0.254245 1.856653
-1.544233 0.988313
0.228785 1.660650
1.392715 0.921542
1.571733 -0.606559
0.993514 2.783489
1.066630 0.000079
-1.112190 -3.168844
0.835423 1.614093
0.837846 1.129917
1.570066 1.331577
0.130704 -0.285608
0.609881 -1.562971
-1.398147 -3.848770
1.632853 -0.061814
-0.114809 -0.167708
1.005765 -0.967960
-0.715590 0.313137
-0.768932 -3.563122
-1.867211 -2.373281
1.150088 1.480771
1.420885 2.357515
1.612897 1.289363
0.176339 -1.617043
0.274054 0.046269
-1.672813 0.490978
-0.659370 1.202915
-1.621703 -0.183352
-0.027894 -0.231584
1.244065 1.889125
-0.146140 0.369627
1.773227 0.574057
1.151545 -0.496772
1.560258 -0.117512
0.907033 0.361428
0.457276 -1.578393
-0.478061 -1.139563
-0.816316 -0.708382
1.822055 2.041049
0.924433 0.547002
-0.882198 -0.377966
-1.787156 -1.011821
-1.310088 -3.031318
0.913590 -0.904318
0.761260 0.795651
0.059915 -1.091200
1.214119 0.413367
1.148250 1.956414
-1.302385 -3.386553
-0.056976 1.367490
-1.098243 -0.282753
-1.876931 0.989544
-0.263378 0.703206
-0.502819 -2.886002
1.666983 3.093807
-0.916574 -4.501264
-1.742099 0.159549
-1.191516 -3.573105
0.214106 0.059332
-0.794157 1.288077
0.923925 1.398606
-1.045770 -1.789872
-0.588170 0.025851
-0.003053 -0.524010
-1.468668 -2.311702
0.404002 1.382869
0.902486 -1.238019
-1.742090 -3.013017
-1.390600 -2.615971
1.666356 0.964219
0.905814 1.389005
1.046510 1.714111
0.327893 -1.477211
-1.934979 -1.945372
1.031007 0.768825
0.171083 -1.328465
-1.579036 -4.299543
1.332969 2.201035
-1.406656 -0.120539
0.034056 0.340534
-1.700859 -1.782980
0.679896 -1.105588
-1.437677 -2.553617
0.801958 1.407839
-0.709493 0.279449
0.883386 -0.862698
0.091279 0.523206
0.734766 0.889011
1.259518 0.194935
0.895292 2.214539
-0.008437 -0.217329
-1.889863 -1.888402
0.478931 -0.314995
-0.757368 -0.887469
-1.623288 -2.293914
-1.744704 -1.300150
1.119121 -0.376357
0.023808 1.074596
1.137136 0.787474
1.170746 2.502336
-1.325921 -4.511467
1.341807 0.984209
-1.956483 -2.875094
-0.351310 -1.485165
1.714802 1.406298
-1.619103 -0.619075
-0.642937 -1.107791
-0.308315 1.919478
-0.662252 -3.482060
-0.769658 -3.591116
-0.818114 0.432253
0.260135 -1.794389
-1.906435 -3.758286
0.064837 1.344183
-0.981759 -0.772269
0.066229 0.422522
-0.165744 -1.380497
-1.367506 -3.586187
-0.653953 0.444864
-1.103411 -2.680206
-1.729427 -2.903304
0.040632 -1.113258
-1.175104 -0.098299
0.000916 -0.656918
1.643109 1.075948
-1.316377 -1.826295
1.874604 1.735055
-0.679564 0.413013
1.014559 0.630198
1.583527 -1.422505
-1.994163 -1.909810
1.141752 -0.447036
-0.601239 -1.543317
-1.640060 -2.776152
1.254211 0.428576
-1.851793 -5.010052
-0.438880 1.129869
-0.069602 -2.665414
-0.378886 -0.222701
0.784339 -1.830820
0.534593 0.560240
0.215587 0.756005
0.844056 2.176582
1.452250 0.354071
-0.621930 -1.161584
0.724492 -1.155129
1.135321 -0.023174
-1.614682 -3.063685
-0.345761 -0.341678
-0.106384 0.489666
-0.961297 -1.282028
0.846889 1.337753
-0.374730 0.943277
-0.364477 -1.155652
-0.831723 0.496936
-1.165753 -3.838044
-0.610737 1.136418
-1.562364 -0.950705
-0.428464 -1.768536
-1.313379 -2.347622
-1.566842 -4.302191
-1.721127 -2.518201
0.693524 2.202634
0.397963 2.033175
1.244931 1.226400
1.227418 1.423624
-0.344729 -1.760511
0.159176 -1.034438
1.402384 1.335324
-1.006699 -3.520918
1.715179 1.692648
0.730897 0.632527
-0.405488 0.649440
-1.424008 -2.189737
-0.300538 1.776612
-1.903721 -3.556153
-1.109247 0.095795
-0.341521 -0.153261
-1.394754 -1.250992
1.264053 0.702499
0.910256 0.108738
-1.080612 -1.903944
0.836837 2.372329
0.155332 -3.142108
0.955486 -0.492307
-1.203014 -1.856757
-1.244775 -2.695620
-0.543977 -2.872957
1.267343 -0.164407
1.008461 2.992295
-0.498660 -2.677173
-1.557850 -1.022911
-1.769017 -4.091091
1.279718 2.371614
-0.635557 -0.975826
-0.940301 0.289191
0.914368 1.737158
0.030145 -2.048940
1.322386 -1.031065
-1.058317 -0.329945
-0.857812 0.533638
-0.517441 -1.537023
-1.347320 0.249405
-1.763263 -2.302943
-1.429425 -0.966186
-0.028345 1.414717
0.897138 3.057512
-0.910242 -0.231461
-0.517016 -2.558609
-2.359765 -2.833864
-0.813896 -3.445930
-0.128710 -3.238343
1.487392 -0.390309
1.392785 1.276327
-0.092892 -0.033951
-1.628508 0.179691
1.073930 -0.271792
-1.485605 -1.287634
-0.847220 0.983726
1.329566 -0.505900
-0.625484 -1.004254
0.442846 1.732286
-1.524745 -0.845707
1.592945 1.492116
-1.731342 0.062107
-0.326714 -1.675955
0.302361 0.311204
1.906293 2.692475
-1.696564 -2.674921
-0.041354 -2.296184
1.451171 0.090659
-0.344554 0.998115
0.562860 -1.096885
0.792942 -1.657402
1.238813 0.847206
1.614504 2.644049
0.479230 -0.915487
-2.072307 -1.853553
-1.175783 -2.358756
1.115317 0.040684
-1.273589 -2.784122
1.765660 1.248556
-0.366403 0.338306
-0.627368 0.475340
0.924981 2.370243
-0.972371 -3.373690
-1.245060 -4.065622
-0.140301 2.198706
-1.632129 -0.008572
-0.412305 0.254097
-1.408105 -1.655099
1.094237 -0.420202
-1.010406 0.063689
-1.322455 -3.541520
-1.222778 1.042171
-0.015231 1.422347
-1.053954 -2.009927
1.263131 2.369786
1.250452 -0.355967
-0.485669 1.376139
0.201677 -1.841611
0.668522 2.218694
0.508111 -0.572113
-1.190928 1.117521
-0.356545 -2.400491
-1.530817 -0.191329
-1.226424 -4.284572
-0.613250 -1.366488
0.476776 1.552530
0.504306 1.555156
0.627904 2.142942
0.204205 -0.317075
-0.572139 -1.619426
1.457564 2.878803
0.349268 0.299760
-1.465608 -3.788466
-0.231331 -0.287096
-0.265622 0.838819
0.145340 -2.525772
-0.460141 0.657423
1.555591 -0.549636
-2.083513 -3.265606
0.139834 3.392447
0.468153 -1.541514
1.010613 -1.711439
1.648747 1.694301
-1.958964 -3.427315
1.212157 1.919365
-0.767573 0.530286
-0.910271 -2.165247
1.515612 3.186348
-1.040134 1.004846
1.117665 2.146932
-1.214868 -0.603092
0.983725 0.323464
0.184282 1.223767
-1.231252 -0.977446
1.795570 2.023446
-0.326166 -0.563499
-0.238326 -0.415413
0.365831 0.498658
-0.617613 -3.498582
-0.815668 -2.300112
-1.229855 -2.755445
-0.718045 0.629864
0.196373 -1.867865
-0.789500 0.709909
1.283225 1.532964
-1.046254 -0.464400
1.572946 1.253262
1.404540 1.290049
0.251789 -0.730289
0.586372 1.156365
-0.947946 -0.191573
-1.330266 0.121356
-1.329365 -1.118163
-1.516119 -2.525297
1.061556 1.838958
0.260136 0.902758
-1.350760 0.189778
-1.129914 -3.109530
-0.917368 -2.345716
0.442453 1.938218
-1.832228 -2.274142
0.756293 -0.119290
0.606308 -1.160126
-0.628530 -3.269583
0.817155 -1.300419
-1.233154 -0.003807
0.224582 -1.251495
-0.499588 2.415324
1.588716 2.175177
-0.831049 -2.550546
-1.529271 -1.406550
-1.923287 -1.539484
-0.343259 -0.714280
-0.025281 1.063021
-1.343105 -4.623221
-1.025675 -2.362867
-0.864609 -2.466570
-0.203198 -1.600012
0.251363 0.473781
-1.573064 -0.569757
-1.531564 -1.125795
-1.297615 -4.307372
0.677906 0.380032
0.189393 1.387546
-0.855967 -2.291875
-0.126154 -1.586593
0.872036 -0.468351
0.317842 -1.592532
-0.411721 -0.937857
0.140431 -2.406484
-1.441917 0.855736
0.503626 2.616879
0.079612 0.922211
1.069072 1.448429
0.584519 1.872114
0.464767 -0.216352
0.235108 -1.560876
0.410684 -0.823265
-1.732692 -2.459464
-1.380623 -1.230669
0.019602 1.177925
-0.413391 -1.169894
-1.063803 0.716026
0.853146 1.124804
-1.252709 -1.422374
-0.138778 0.421448
-0.981588 -1.846710
0.506267 2.373357
0.437953 1.988186
0.187124 0.056606
-1.324023 -0.322284
0.858585 2.249973
1.102559 -0.231742
0.746112 2.921670
-1.073801 -2.977853
-0.803419 -3.058470
1.239688 1.905571
-0.414293 -1.260417
0.438505 -2.638611
-1.109158 -1.005552
1.307460 1.028186
-0.593071 -2.708868
0.482666 -0.411000
-0.792885 -0.684928
-1.487400 -3.193284
1.273304 -0.853552
0.186110 2.038481
-1.509234 -1.519247
-1.131154 -1.910428
-0.200207 -2.771845
-1.396694 -2.259115
0.666979 1.006740
-0.346408 1.699582
-0.680008 -2.902155
1.273042 0.624384
1.183903 0.855913
-1.151269 -4.069550
-0.085027 -2.130376
-0.119150 1.166234
1.364143 0.388094
-0.721746 -2.307030
0.504216 2.588969
-1.702249 -0.877998
0.522463 -2.147640
-0.343110 -2.143175
-1.406033 0.585699
-1.643924 -0.190276
-0.698467 0.216661
0.626892 1.408768
-0.503567 1.114878
2.004951 1.110213
1.411811 2.435045
0.172025 2.157516
0.784333 0.387730
-0.275163 -1.439289
1.357028 2.052638
-1.321215 -1.813398
0.146105 -0.736120
-1.773235 -1.841950
-0.203164 -2.206633
-1.342257 0.276637
-0.140917 -0.875269
1.591886 1.477109
-0.924753 0.070041
1.855995 2.564897
-0.883815 -0.268307
-1.296279 -0.975865
-0.692113 -1.273215
-1.181378 -0.831563
0.352974 -0.994477
-0.338763 -2.250695
-0.628563 0.024434
0.295445 0.837697
-1.651857 -3.161174
1.483688 2.025095
-1.633474 -3.773314
-1.157535 -1.587861
0.711661 -0.916479
-0.818386 -0.424635
1.713477 2.497461
-1.974336 -1.563261
-0.596431 -1.285647
-1.487244 -1.812973
-0.498062 -0.569265
-0.977554 -1.867609
0.934959 1.430523
-1.887603 -2.513557
-1.504399 -3.423565
-1.077259 0.461585
-1.614670 0.805152
0.196177 -0.739666
-0.881541 -1.771763
1.172251 -0.470951
1.474210 1.788432
-0.897313 0.262559
-0.614051 -2.520168
-0.866408 0.353134
0.556666 0.304378
-1.805745 -2.915751
1.934366 2.158840
-1.546739 -2.849462
-0.882803 -0.564137
1.087244 1.733070
1.693600 1.600822
-1.834343 -1.776682
-1.037380 -1.358366
1.466560 0.617053
1.057129 1.356411
-1.555724 -2.478029
1.197288 0.287247
1.226287 2.701941
0.499884 1.635813
0.047514 0.351826
0.691303 0.869876
1.404277 2.256380
0.731734 -1.117803
0.847472 -0.660284
0.068205 -0.366227
-1.216548 -2.753508
-2.254627 -2.369029
0.395845 -1.076161
0.400238 -1.877155
1.337431 0.584315
0.844656 -0.988346
-0.629646 -1.770689
-0.296722 1.210566
-0.600559 0.087384
1.284329 0.376301
-0.663685 1.239842
0.215754 -1.636292
1.592016 0.283214
-1.710621 -1.165062
-1.369190 -2.931171
1.730071 2.116403
-1.162316 -1.198983
-1.924180 -1.473112
0.345503 0.693110
-0.513001 -0.920176
0.380560 0.014306
-0.624149 -1.506645
1.302303 1.263798
-1.208306 0.746563
1.565916 0.905284
1.568335 1.509178
-0.933976 -3.588880
-1.421786 -1.892431
0.261893 -1.193566
-1.495123 -0.355327
-1.541604 -3.747237
0.481564 -0.242694
-1.413279 -4.030612
-0.917926 0.449345
1.631277 0.659935
0.691658 2.068822
-0.087313 -0.175221
-0.826818 -2.249303
-0.985074 -3.545643
-0.223098 1.365535
-0.277539 -2.572442
-1.583578 -1.000573
-0.913477 1.488016
-0.854713 0.813647
-1.550012 -3.193060
0.878658 -0.960165
-0.166834 -2.234377
0.508667 1.800915
-1.845253 -0.603469
0.529010 1.279937
0.395134 1.615561
1.377063 0.552768
0.160673 0.720002
1.182456 0.400726
-0.660067 1.198224
-0.049110 0.067416
-1.504647 -2.281609
-0.574703 -2.036935
1.122669 2.172463
-0.381184 -1.062028
-1.165722 -2.175095
0.659225 -1.753230
1.055999 1.860363
-1.044329 -0.793453
-0.019383 -0.923197
-1.831165 -2.655837
0.311540 -0.706538
-1.438643 -2.889666
-0.310556 -1.429419
-0.704104 -2.999229
-0.824360 -2.756279
-0.420633 -0.616720
-0.692461 1.139593
-0.847277 -0.618608
1.253121 -0.434980
-1.409338 -3.575340
1.325206 0.506094
-0.766902 -3.592335
0.649264 2.057410
-1.180725 -1.548187
-1.445399 -1.202802
0.283224 -0.592287
-0.807981 1.766111
1.405853 1.940336
1.419788 1.035761
1.231521 1.026501
-1.991310 -3.648614
0.516415 1.357986
0.385307 2.308362
0.750058 -0.423565
-0.955058 -2.846437
-0.374881 -0.372333
0.968655 0.107667
0.643855 -1.093939
0.754388 -1.724809
-0.366933 -0.395872
-1.059893 -2.055819
-1.246675 -2.824639
0.079547 2.197402
1.534160 3.975118
1.367582 0.114619
-0.251047 -0.648179
1.375898 2.605731
0.375670 -0.692690
-1.028830 -1.526669
-0.192574 2.033671
-0.071289 1.289991
0.779613 -0.446333
0.041477 -1.846452
-1.340222 -1.679031
-1.767206 -2.392021
-0.980745 -2.194591
-1.222882 1.214668
0.954576 -0.703776
0.702517 2.060224
-1.827171 -2.066964
-0.793511 -2.267353
-1.151390 -1.453084
-0.705198 1.840191
-1.545145 -2.306701
-1.175485 -1.443950
1.297414 0.909525
-1.033807 -0.918784
0.543686 -0.971147
-1.087526 -0.936480
-1.161256 0.952838
-0.661528 -1.516112
-1.045685 -1.442624
-1.778098 -3.558085
-0.214121 -0.713527
-0.368839 0.112748
-1.707066 -3.066107
0.467359 -0.835876
-0.009358 -1.478648
-0.557279 0.850914
0.212890 2.204098
0.579557 0.476851
-0.158231 1.412773
-0.237638 0.394217
-0.363220 1.603331
-1.068728 -1.465540
1.045720 0.664717
-1.433744 -0.391702
0.833391 1.078657
1.570034 0.555664
-0.555579 1.425762
-2.047097 -1.910527
1.281889 2.172758
1.035577 0.385451
-1.740977 -2.686630
0.059875 -2.487859
-1.348318 -0.376204
-0.646861 -0.025105
1.192871 0.071551
0.755626 -1.949836
0.815149 0.582454
-0.718541 -2.374633
0.405316 1.218753
0.584605 0.863709
0.192096 -0.700752
-0.926996 -3.227624
-0.619889 -0.325431
0.664622 0.805993
0.397598 2.029405
0.050102 -1.717840
0.861204 2.715528
0.733335 0.445963
-1.910244 -3.049544
-1.449580 -0.761414
-0.890406 -3.482591
1.041394 -1.691608
-1.560308 -0.535371
-1.892921 -1.845120
0.984961 2.300788
1.751913 0.428548
-1.210813 0.609498
0.479448 0.172018
-1.714443 -2.730520
-0.680298 0.478481
-1.418378 -1.428811
-1.154557 -3.737062
-0.224697 0.454992
1.200604 1.161378
1.668967 0.664518
0.243653 2.278596
-0.002222 0.421849
0.591670 -0.384282
-1.325373 -0.483719
-1.053914 -0.785632
0.816429 2.444039
-0.321107 1.515947
0.392072 1.365783
-0.763272 -2.672546
0.402831 0.418471
-2.150630 -1.403416
-1.395398 -4.585404
0.254083 0.142378
-1.640543 -1.730541
-0.580540 -2.158709
0.111309 -1.706416
-1.851617 -3.913136
-1.150826 -1.415011
-0.889103 -3.458067
-1.173016 1.222312
-1.367388 -2.107865
-1.508548 -3.163780
0.402996 -2.238728
-1.788468 -2.556879
-0.937095 -1.635580
-0.814693 -0.647614
1.213450 1.751674
1.164562 -0.880564
-0.945000 -0.195264
-0.461121 -0.590268
-0.654640 -1.832459
-0.085181 0.787385
0.263268 0.554406
-0.059229 -2.615694
-0.319549 -2.054368
0.759343 1.556959
-0.873499 -0.658632
-1.808731 -1.250576
-2.134222 -1.328951
-1.366516 -1.423766
-0.009722 -1.688793
-2.043398 -3.363227
0.815099 0.187666
0.897229 0.098529
-0.403003 -2.685405
-1.205034 -1.927071
0.276041 2.449813
-1.702080 -2.045760
-1.198823 -2.005790
-0.437335 -2.648942
-1.778660 -2.498394
1.131028 1.295918
1.997406 1.521855
-0.737652 0.244424
-0.942497 0.919247
-0.558201 1.144206
0.343491 1.565186
-1.151467 0.535312
0.043922 -1.746077
1.018736 0.787501
-0.097558 1.870233
-1.069583 -1.558298
-0.560936 -0.018275
-1.174128 -2.127466
2.054366 1.600663
-0.319195 0.141596
-1.411215 -2.721025
1.519636 -0.730620
0.774239 0.209363
-0.775883 -1.078326
0.398757 -0.638383
0.136418 -1.285130
1.603579 1.779338
-1.411882 -0.028716
-0.176569 2.057825
1.416375 0.205945
1.304347 -0.256636
0.317007 1.428878
-1.128480 -3.799813
-0.168124 0.007746
