# Step: 2
# U_max: 3.2451586723327637
# Energy-calls: 3000020000.0
# x (configurations):
-0.242894 -0.211135
-0.460664 -1.065696
-1.384064 -2.838923
-0.931981 -0.981282
-0.977786 -0.469495
-0.722078 0.127099
-0.759783 -0.797060
-1.491606 -1.263057
-1.195071 -1.990687
-0.481562 -1.327243
-0.832340 -1.578414
-1.024516 -1.042389
0.863917 0.325882
-0.329672 -0.022098
-0.817252 -2.320313
-1.413027 -1.788363
-1.130925 -2.233525
0.151516 0.080547
-0.934055 -2.080427
-1.155173 -0.218724
-1.091496 -0.950805
-0.993115 -2.549440
-1.153525 -1.920671
-0.845608 0.231367
-0.403018 0.257076
-0.709864 -2.169957
-0.846115 -0.131055
-0.878860 -0.289231
-1.166249 -0.609638
-0.237971 -0.696044
-0.760198 0.197851
-1.326920 -2.118790
-0.748631 -1.131141
-1.306834 -1.303412
-1.113411 -1.666798
-1.181890 -0.249000
-0.890400 -2.542263
-0.679328 0.275522
-0.350304 -0.397902
-1.024175 -2.015211
-0.667912 -0.950293
-1.042332 -2.156232
-1.411023 -2.130419
-1.079753 -0.726660
-0.870403 -1.047439
-1.008027 -1.712224
-0.694802 -0.460132
-0.995651 -0.818832
-0.803330 -1.539034
-1.362553 -2.327148
-1.052732 -1.651750
-1.291151 -1.273500
-0.343473 -0.948461
-0.199634 -0.655724
-0.063380 -0.291930
0.568663 0.284595
-1.350016 -2.651912
-1.228216 -0.448628
-0.540305 0.095664
0.467604 0.053663
-0.888368 -2.255449
-0.798329 -1.151942
-0.713389 -0.505086
-0.704190 -1.566110
-0.601236 -1.158829
-0.456630 -1.380875
-1.524107 -1.534154
-0.762990 0.140443
-1.048599 0.107729
-0.565933 0.268099
1.052192 0.781184
-0.856120 -1.014215
-0.494194 -1.235213
-0.659349 -1.332242
-1.244367 -0.378926
-1.351460 -2.917282
-0.356897 0.095416
-0.468125 -0.641714
-0.908311 -0.893734
-0.706367 -0.960648
-1.185988 -1.193786
-1.359722 -2.597831
-1.020455 -1.540298
0.886129 0.649974
0.902762 0.677027
