# Step: 4
# U_max: -2.2495856285095215
# Energy-calls: 102500.0
# x (configurations):
-0.883832 -1.424566
-0.938503 -1.021702
-1.304992 -1.399660
-0.746158 -1.103478
-0.847477 -1.194439
-0.920714 -1.464224
-1.138855 -1.486706
-0.842759 -1.547934
-1.100899 -1.086780
-1.216587 -1.284693
-1.183483 -1.794161
-1.225122 -1.437868
-0.980947 -0.707676
-0.740682 -1.039193
-1.248640 -1.582913
-1.291039 -1.588944
-0.993308 -1.724383
-1.278790 -1.766020
-0.857541 -1.022586
-0.848771 -1.430222
-1.006537 -1.613963
-1.336518 -1.643905
-0.827083 -1.084414
-0.777794 -1.144226
-1.377063 -1.711073
-1.088323 -1.474010
-1.067419 -1.190568
-1.073485 -0.779868
-1.289143 -2.035481
-0.949692 -1.355842
-1.223453 -1.971180
-1.242920 -1.276230
-0.903783 -1.107175
-0.907593 -0.776182
-1.242118 -1.276345
-1.075220 -1.061187
-1.305526 -1.585923
-1.111817 -1.328943
-1.265038 -1.062471
-1.179381 -1.429885
-1.020753 -1.324598
-1.008988 -1.780388
-1.180312 -1.914955
-1.227103 -1.653936
-1.223798 -1.620972
-0.877336 -0.909093
-1.141652 -1.646590
-0.923266 -1.627344
-1.119792 -1.751546
-1.245976 -1.223859
-1.105181 -1.501335
-1.023064 -0.826772
-1.096787 -1.888654
-0.945378 -1.075316
-1.192310 -1.358355
-1.133120 -1.777662
-1.097373 -1.286271
-1.066767 -1.756831
-1.082911 -1.523019
-0.810240 -1.250200
-0.951850 -1.579537
-1.005031 -0.834208
-1.077309 -1.349967
-1.124804 -1.208224
-1.089250 -1.644281
-0.979066 -1.242454
-0.979986 -1.710120
-1.026755 -1.270507
-1.113291 -1.400061
-0.998521 -1.124147
-1.268662 -1.625380
-0.962929 -1.035897
-1.172251 -1.260448
-1.061648 -1.898859
-1.089427 -1.694834
-0.809459 -0.992434
-0.953179 -1.139785
-0.907136 -1.435485
-0.889085 -1.361937
-1.122482 -1.861906
-1.122761 -1.521720
-0.939936 -0.967504
-1.387583 -1.418473
-0.980690 -0.887497
-1.143203 -0.943523
-1.258611 -1.515279
-1.236376 -1.447639
-1.162770 -1.098240
-0.947958 -0.802424
-1.274633 -1.262308
-1.030748 -1.055869
-1.173882 -1.755640
-1.043175 -1.303003
-1.048471 -1.598708
-1.148028 -1.411741
-1.156442 -1.631739
-1.395613 -1.177335
-1.144575 -1.788995
-1.173148 -1.321342
-1.111028 -0.894520
-0.993536 -0.823692
-1.013939 -1.749137
-1.008468 -1.418322
-1.321739 -1.643654
-1.011004 -1.142012
-1.214180 -1.632361
-1.342198 -1.246494
-1.109033 -0.859587
-1.128350 -1.732607
-0.998843 -1.746488
-1.019431 -1.545579
-1.145226 -0.831954
-0.816433 -1.106853
-0.925706 -1.191279
-1.075554 -1.096727
-0.882269 -0.924403
-1.024533 -0.719419
-0.867167 -1.151119
-0.832472 -0.890245
-1.012449 -1.273804
-1.072608 -1.339413
-1.063614 -1.773200
-1.041314 -1.541853
-0.773753 -1.028196
-1.169015 -1.567904
-0.917442 -1.001813
-1.270904 -1.714270
-1.218464 -1.964167
-1.265058 -1.585084
-0.948590 -1.064415
-1.144614 -1.080165
-1.201972 -1.187006
-1.277655 -1.320367
-1.135110 -1.825971
-1.245157 -1.397285
-1.221193 -1.326887
-0.974312 -0.942580
-0.880495 -1.456491
-1.015905 -1.850068
-1.088663 -0.797322
-1.274354 -1.695188
-1.186761 -1.137888
-1.035972 -0.985327
-1.163358 -1.780874
-0.990308 -1.287096
-0.972627 -1.672082
-1.230303 -1.106256
-0.975971 -1.149788
-1.042922 -1.287205
-1.128925 -0.860454
-1.304323 -1.721183
-1.137254 -1.651268
-0.925675 -0.815539
-1.183989 -0.810060
-1.109051 -1.492430
-1.041177 -1.223783
-1.159777 -1.341716
-1.091250 -1.429309
-1.053190 -1.566202
-1.001144 -1.030650
-1.173992 -1.159317
-1.300069 -1.511301
-1.220834 -1.158338
-1.045323 -1.178478
-0.826554 -1.150602
-0.941111 -1.286319
-1.154465 -1.057093
-1.189408 -1.965497
-1.012316 -1.574627
-0.994658 -1.284829
-1.145157 -1.816177
-0.921920 -1.150696
-0.976821 -1.679235
-0.891712 -1.272264
-1.231710 -1.446806
-1.044883 -1.316307
-0.996842 -1.492550
-0.994508 -1.375511
-1.120805 -1.371626
-1.042194 -1.392392
-1.024324 -1.171603
-1.207890 -1.289879
-1.215395 -1.860040
-0.924990 -1.574842
-1.154969 -0.838870
-1.085159 -1.466883
-1.052064 -1.383657
-1.145477 -1.201606
-0.907315 -0.773029
-1.268142 -1.778612
-1.006331 -1.512637
-1.131648 -1.803558
-1.180294 -1.149687
-1.133511 -1.812936
-1.101705 -1.597315
-1.239999 -1.360282
-1.167310 -2.013742
-0.929413 -1.475461
-1.196225 -1.765348
-0.983047 -1.349483
-0.988654 -1.704714
-1.086315 -0.740332
-1.007059 -1.018049
-1.333715 -1.521098
-1.183127 -1.227498
-1.298339 -1.757346
-1.135936 -0.872275
-0.902964 -1.186785
-1.090598 -0.972519
-1.050720 -1.174418
-1.184518 -1.969705
-1.313365 -1.706121
-0.906955 -1.461458
-1.046030 -0.993302
-1.065833 -1.515168
-1.200791 -1.847761
-1.313872 -1.615353
-1.161611 -1.137472
-1.255346 -1.008761
-1.219766 -1.673058
-1.131780 -1.747122
-0.916300 -1.475505
-1.076348 -1.749743
-0.836332 -1.358078
-1.029500 -1.894379
-1.282365 -1.587146
-0.968203 -1.013076
-0.801086 -1.062721
-0.928132 -1.403231
-1.205789 -1.407717
-1.125680 -1.088257
-1.326200 -1.689944
-1.315393 -1.592809
-1.222292 -0.792364
-1.141176 -0.705103
-0.961756 -1.560351
-1.012198 -1.630727
-1.180054 -1.446658
-0.878079 -0.952569
-1.243546 -1.583539
-1.077594 -1.732692
-0.977570 -1.519204
-1.166203 -1.291482
-1.189724 -1.847467
-1.125101 -1.596597
-1.061539 -1.843499
-1.013095 -1.780422
-1.253683 -1.479048
-1.220569 -1.152874
-1.061849 -1.518142
-1.355983 -1.454886
-0.805242 -1.001810
-1.255962 -1.212728
-1.173080 -1.603922
-0.990936 -1.645424
-0.999775 -1.790436
-1.161711 -1.363795
-1.121600 -1.296375
-1.082276 -1.775578
-1.226029 -1.237151
-0.893099 -1.083080
-1.108350 -1.532175
-1.246923 -1.102809
-1.169904 -1.705482
-0.861406 -0.895149
-1.030945 -0.907768
-1.053197 -0.955601
-1.155774 -2.013533
-1.076277 -1.948874
-1.297759 -1.683851
-1.281957 -1.839257
-1.333113 -1.408344
-1.030980 -1.020792
-1.147419 -1.918449
-1.094014 -1.906087
-0.976381 -1.479867
-0.899397 -1.372020
-1.147466 -1.646850
-1.085709 -1.461388
-1.058348 -1.655202
-1.053362 -1.190931
-1.240041 -1.178350
-1.148451 -1.475961
-1.084831 -0.917615
-0.935820 -1.011574
-0.930246 -1.056565
-1.172765 -1.042871
-1.263334 -1.637514
-1.101022 -2.017164
-1.248856 -1.255282
-0.952006 -0.982993
-1.082638 -1.292367
-0.810563 -1.119815
-1.060356 -1.500257
-1.302629 -1.652817
-1.214243 -1.408681
-1.210102 -1.042184
-1.167341 -1.781996
-1.068033 -0.804912
-0.920774 -1.095924
-1.045146 -1.325339
-0.985058 -1.170947
-0.731791 -1.434601
-1.119768 -1.127935
-1.249370 -1.348673
-0.988312 -1.792683
-0.983989 -1.147583
-1.110988 -0.996129
-0.840185 -1.198657
-1.240237 -1.440647
-0.800169 -0.759172
-1.218558 -1.234280
-1.283557 -1.766781
-1.292870 -1.075267
-1.028814 -1.555656
-1.288698 -1.822578
-1.268294 -1.161227
-1.073663 -1.212708
-1.119142 -1.867475
-1.141157 -1.763551
-1.070077 -0.981631
-1.013834 -1.083331
-0.808973 -0.794517
-0.874521 -1.223101
-1.118174 -1.503037
-1.085479 -1.053028
-1.054223 -1.221949
-1.195599 -1.287816
-1.059804 -1.170613
-1.165395 -1.342880
-1.069349 -1.617960
-1.139675 -1.175832
-1.148088 -0.926392
-1.168613 -1.247562
-0.905520 -1.257572
-1.180314 -1.075776
-1.076362 -1.641258
-1.227828 -1.572979
-1.121259 -0.911258
-1.146670 -1.450816
-1.255491 -1.699825
-0.871533 -0.813440
-1.147073 -1.475646
-0.941948 -1.007407
-1.165427 -1.462511
-0.907291 -1.240112
-0.999841 -0.906945
-1.006602 -1.222539
-1.249572 -2.002785
-1.255551 -1.119454
-1.006886 -1.751478
-1.121935 -1.434313
-1.235569 -1.601368
-0.941568 -1.168958
-0.870531 -1.041317
-1.042331 -1.619725
-0.872263 -0.780183
-1.057915 -1.892209
-0.912488 -1.576898
-0.940306 -1.224212
-1.115722 -1.270642
-1.107115 -1.443178
-1.047083 -1.333550
-1.188455 -0.899127
-1.031488 -1.793416
-1.041983 -0.820319
-1.328296 -1.561795
-1.034743 -1.338277
-1.084028 -1.187302
-1.183549 -2.043153
-1.120224 -1.550916
-1.383530 -1.156329
-1.088445 -1.572827
-1.167776 -1.086949
-1.061790 -1.893117
-1.134588 -1.410891
-1.070472 -0.902837
-1.261080 -1.165120
-1.068879 -1.364085
-0.987606 -1.415454
-0.740956 -1.033564
