# Step: 4
# U_max: -2.235755681991577
# Energy-calls: 4250060000.0
# x (configurations):
-1.082747 -1.682997
-1.050170 -1.549466
-1.002197 -1.194872
-1.026583 -1.124345
-1.084979 -1.317847
-0.967436 -1.001187
-0.947822 -1.039183
-0.968013 -0.751999
-0.963698 -1.015206
-1.061795 -1.313785
-0.915582 -1.257861
-1.210678 -1.651142
-0.978809 -0.869588
-0.843845 -0.853979
-0.997962 -1.564910
-1.116537 -1.764347
-0.933270 -0.973950
-0.988721 -1.117272
-0.878821 -1.327716
-0.957791 -0.762765
-1.058906 -1.394985
-0.860111 -1.389149
-0.818550 -1.027182
-0.825180 -1.202587
-0.841636 -0.883699
-1.217659 -1.455150
-1.211733 -1.882286
-1.337515 -1.681734
-1.219168 -1.652370
-1.164402 -1.434755
-0.841288 -0.863793
-1.321776 -1.413527
-1.098012 -1.707730
-1.104341 -0.995905
-1.174155 -1.147514
-0.968414 -1.272821
-0.860166 -1.131309
-1.028537 -1.766228
-1.010498 -1.676604
-0.906033 -1.388149
-1.294230 -1.165179
-1.303690 -1.553964
-1.097687 -1.773356
-1.214105 -1.762405
-1.221656 -1.527412
-0.917444 -0.937525
-1.051402 -1.349520
-0.987308 -1.552449
-1.235848 -1.200936
-1.088418 -0.973027
-1.226274 -1.803856
-0.953612 -1.409514
-1.281327 -1.625820
-1.233192 -1.487004
-1.213055 -1.542214
-0.893806 -1.210454
-1.270385 -1.724475
-0.900326 -1.000297
-1.347223 -1.596642
-1.201291 -1.553661
-1.183012 -1.097113
-1.287519 -1.627960
-0.991278 -1.019165
-0.932955 -0.809055
-1.268825 -1.495327
-1.225760 -1.273494
-1.044110 -0.806085
-1.009601 -1.557809
-1.081596 -1.357570
-0.949915 -1.601820
-0.980786 -1.616196
-1.162398 -1.983881
-0.864265 -1.322554
-0.954893 -0.977106
-1.192378 -1.415208
-0.855007 -1.091139
-0.981523 -0.897254
-1.308078 -1.548083
-1.272262 -1.312458
-1.125572 -1.549588
-1.040019 -0.711414
-1.221278 -1.885495
-0.905131 -1.266674
-1.135939 -1.603668
-0.852816 -1.196731
-0.912855 -0.984178
-0.868013 -0.775863
-0.961780 -0.865605
-1.075443 -0.933291
-1.247250 -1.857661
-0.955869 -1.342721
-1.025911 -1.614968
-1.171821 -1.168211
-0.999705 -0.763895
-1.054960 -0.817826
-0.880232 -1.069114
-1.280602 -1.437866
-1.041015 -1.082942
-1.298048 -1.257974
-0.903366 -1.479180
-1.069782 -0.840062
-0.968700 -0.925442
-1.135700 -0.870337
-1.182468 -1.153821
-0.923836 -0.871204
-0.872901 -1.316357
-1.187997 -0.905654
-0.906593 -0.854190
-0.844005 -1.327877
-0.885846 -0.748724
-1.010176 -1.205827
-1.320592 -1.316892
-0.816864 -1.214638
-1.115930 -1.558236
-1.089925 -1.133929
-1.204542 -1.521957
-1.195869 -1.418102
-1.108612 -1.055714
-0.872558 -1.374726
-1.267104 -1.081655
-0.934304 -0.830575
-1.187458 -1.933299
-1.012010 -1.799546
-1.010985 -1.639317
-1.116817 -1.955352
-1.314291 -1.681291
-0.849994 -1.358178
-1.195542 -1.664513
