# Step: -1
# U_max: -2.7334041595458984
# x (configurations):
-1.211100 -1.099061
-1.211221 -1.561439
-0.971556 -0.966204
-1.139938 -1.400636
-1.006938 -1.136805
-1.227205 -1.414444
-1.150784 -1.663152
-1.035514 -1.397262
-0.961053 -1.346017
-1.139343 -1.617463
-1.035487 -1.031327
-1.193394 -1.611388
-1.187523 -1.468781
-1.007524 -0.873427
-0.929962 -1.430811
-1.196340 -1.509398
-0.982969 -1.210117
-1.147585 -1.633856
-1.059361 -0.915183
-1.143156 -1.175442
-1.041635 -1.268985
-1.092793 -1.413648
-1.216141 -1.336685
-0.946885 -1.387264
-1.024241 -1.382897
-1.051181 -1.115640
-1.149740 -1.609377
-1.193278 -1.293611
-1.030753 -1.216297
-1.117655 -1.426882
-1.148775 -1.330755
-1.129867 -1.111345
-1.050251 -1.392488
-1.158464 -1.190377
-1.050874 -1.565790
-1.276370 -1.691841
-1.016640 -1.293313
-1.145744 -1.181151
-1.256824 -1.337740
-1.079315 -0.892060
-0.947288 -1.059384
-1.164678 -1.664187
-0.934113 -1.085246
-1.131187 -1.825372
-1.032719 -1.560377
-0.985939 -1.016051
-1.117561 -1.107309
-1.238555 -1.443968
-1.032533 -1.255222
-0.966100 -0.886256
-1.252986 -1.654352
-1.226428 -1.776800
-1.048490 -0.923005
-0.915337 -1.271635
-0.926770 -1.174180
-1.258637 -1.305354
-1.144607 -1.346148
-1.240919 -1.368082
-1.118418 -1.652084
-1.009210 -1.174673
-1.037412 -1.259130
-0.968928 -0.954430
-1.171093 -1.834940
-1.043439 -1.342488
-1.018369 -1.434368
-1.101839 -1.188856
-1.200727 -1.502611
-1.126364 -1.187657
-1.217612 -1.799610
-1.140191 -1.074603
-1.092147 -1.275888
-1.161604 -1.333509
-1.113342 -1.051502
-1.274294 -1.419241
-1.066625 -1.202383
-1.171067 -1.016663
-1.244659 -1.446108
-0.971275 -1.181959
-1.031146 -1.593241
-1.072514 -1.112641
-1.070207 -1.363904
-0.941927 -0.943025
-1.236838 -1.261744
-0.932294 -1.260991
-1.082990 -0.962050
-0.961858 -0.918880
-1.217436 -1.148910
-1.225212 -1.325224
-1.051345 -1.194625
-1.273113 -1.618094
-1.202882 -1.785066
-0.938409 -1.108521
-0.981469 -1.070332
-1.024307 -1.320466
-1.061869 -1.682630
-1.116477 -0.946406
-1.074921 -0.968634
-1.203052 -1.583148
-1.104794 -1.352796
-1.184607 -1.773405
-1.219263 -1.598485
-1.212093 -1.612896
-1.146837 -1.741284
-0.976682 -1.285444
-1.269868 -1.529735
-1.039607 -1.120197
-1.129483 -1.272494
-1.219516 -1.541160
-1.076128 -1.446683
-1.053358 -1.300212
-1.243581 -1.547708
-1.088209 -1.751491
-0.967743 -0.983462
-1.264235 -1.667787
-1.043727 -1.593082
-1.190392 -1.209665
-1.028649 -1.161665
-1.117672 -1.797960
-0.954166 -0.999711
-1.155236 -1.333803
-1.222010 -1.518793
-1.089753 -1.381522
-1.048109 -1.211598
-0.972637 -1.386239
-1.246619 -1.771901
-1.145321 -1.672842
-1.052384 -0.944411
-1.217815 -1.363129
-0.966720 -1.472866
-1.063933 -1.586665
-1.057974 -1.263804
-0.991283 -1.458729
-1.161327 -1.223629
-1.195269 -1.682872
-1.151122 -1.004166
-0.923881 -1.061317
-0.971935 -1.036362
-1.240204 -1.635711
-1.239228 -1.804383
-0.941453 -1.101467
-1.175407 -1.565758
-1.079382 -0.997324
-1.131793 -1.474695
-1.107875 -1.186925
-1.042692 -1.002801
-1.114005 -1.306064
-1.133669 -1.217203
-0.969582 -1.356766
-1.031339 -0.908130
-0.970204 -0.886538
-1.195547 -1.113823
-1.022248 -1.458467
-1.167097 -1.215209
-1.128697 -1.044760
-1.038671 -1.521610
-1.208291 -1.222194
-1.081815 -1.207349
-0.980743 -1.547516
-1.069176 -1.503419
-1.164086 -1.022396
-1.083765 -1.660303
-1.209739 -1.694938
-1.192877 -1.484684
-1.197233 -1.325872
-1.208445 -1.395271
