# Step: 1
# U_max: 20.950725555419922
# x (configurations):
-2.070241 -2.678278
0.287733 1.899422
-1.200521 -2.439226
0.005007 -2.602486
1.120815 0.015073
-0.786349 1.212714
1.071248 2.495825
-1.932415 -1.330818
-0.260636 1.643528
1.486827 0.505614
0.957498 -1.534677
-1.569197 -2.129678
-1.768540 -1.830557
-1.541524 -1.372766
0.099650 -0.951914
-0.023997 0.037872
1.036908 2.448513
-0.363161 -3.034787
-0.700366 0.185666
0.846356 1.238330
-0.943011 -3.871302
1.302795 2.326413
0.156059 -0.885977
-1.576930 -1.654312
0.158838 -1.938436
-1.816906 -1.574793
0.635202 -0.335728
-0.110105 -1.547859
-1.686889 -1.941830
0.685480 0.241236
-0.329461 -0.557840
0.910841 0.965720
-0.729308 1.417007
-1.041978 -0.522672
-0.788978 -3.042728
-0.819002 -2.998598
-1.086802 -1.064938
-1.655702 -2.808819
1.853947 1.460887
0.774123 -1.076124
1.001637 2.103135
0.433102 -0.851990
-0.487176 -1.063834
0.581033 1.906190
-0.696531 0.793284
-1.830408 -2.184989
0.829012 0.913271
-0.437604 0.505034
-0.621258 -2.518280
1.374595 -0.174034
0.171768 -1.341035
-1.036718 -2.373554
1.643449 1.228506
-0.845947 -1.367461
-0.966089 -1.265133
-1.656249 -0.743643
-0.244740 -2.157922
-0.386620 0.964225
-1.545477 0.156500
-0.494257 1.048996
0.716093 -1.495547
-1.282055 1.339083
0.260198 1.828588
-1.862979 -2.319256
1.311145 1.665025
-0.552595 -1.210065
1.526236 0.468550
-0.505540 0.097040
-2.244049 -2.850445
-2.354185 -2.850692
-0.827047 -4.275350
-0.500679 -2.808929
2.163595 0.391310
0.868089 -0.829595
0.736635 2.236385
0.454751 0.013215
-1.982952 -1.043492
-1.129733 1.004679
-0.853304 -1.525990
-1.522052 -1.980200
-1.458938 -3.481411
-0.760692 -0.963406
-1.674358 -1.103599
0.346656 -0.390695
-0.808927 -3.209081
-1.838484 -0.465945
1.291444 2.317770
-0.926614 -1.567101
1.049454 -1.109426
0.563369 2.563424
-0.410227 -2.167104
-0.416591 -1.903333
0.107573 -0.638047
0.129949 -0.258093
-1.054289 1.522245
1.081417 0.059098
-1.185251 -3.894354
-1.085964 -1.640441
1.394794 1.885615
0.141748 -0.769569
-1.079754 0.630957
0.677054 -0.207157
-1.322462 0.842680
-0.334741 -1.831504
-1.551401 -1.305449
0.974508 0.705517
1.433832 2.831929
0.904211 -0.499618
-0.505415 2.274461
-0.757636 -0.397995
-0.691494 0.547701
-1.095367 0.776861
-1.074025 0.973913
1.075448 1.213378
-0.423136 -1.185041
-0.285455 2.038862
-0.765744 -2.713287
0.888751 0.645002
-1.663676 -4.500151
-0.633815 -1.571697
0.106522 1.390622
-1.440169 0.220791
-1.072466 -3.381258
-0.320778 1.568143
-0.064791 1.138388
0.524643 -0.536146
1.534145 0.744506
-1.295470 -1.076969
0.381593 1.203212
-1.308355 1.048400
-0.937164 0.470056
0.105696 1.111570
1.628565 1.773191
-2.325614 -1.577138
-1.453325 -0.884842
-0.874548 -2.473917
-1.407501 -2.846389
-1.820679 -1.959708
-0.684526 -1.181124
-1.828978 -2.417854
-0.915994 0.466618
-0.663211 -3.454804
-0.564286 -0.472400
-0.115202 1.229351
1.715552 2.262057
-1.182488 -1.615633
0.221994 0.628044
-1.565211 -4.187123
0.877291 -1.080559
-1.321395 0.188069
-1.121727 -2.769549
-1.319898 -1.268434
-0.002126 -1.367788
-1.781899 -2.950463
-0.621151 -1.087549
2.003929 0.435012
0.660825 2.802742
0.952663 0.819023
-1.520533 -2.443225
0.883353 1.163760
-0.205072 -2.272456
-0.467151 0.829847
1.164191 2.201657
-1.007752 -3.452906
0.742368 -0.619406
0.576275 0.304572
-0.189883 -3.174187
0.167522 0.770621
-1.259716 -3.414230
0.302624 0.503422
-0.220239 -0.135102
-1.351567 -1.086074
-0.993618 -0.319599
0.888062 -0.668239
0.802766 -0.591308
0.510453 1.747098
-1.266377 0.013644
0.896982 -0.827936
-0.549391 -2.073673
0.304437 -1.660740
1.048527 -0.876490
0.170487 1.098443
-1.174651 -0.147892
-1.451624 -2.510314
-1.528378 -0.206394
-0.917851 -1.203768
-1.162485 -3.234836
1.581037 2.242294
1.046375 2.055622
0.228244 -0.556046
0.806278 -0.324727
0.188097 0.282070
-0.832563 -2.068339
-0.900475 -3.892038
-0.530492 -3.751168
-0.700113 0.281347
-1.458640 -2.662413
-1.243442 0.120980
1.464045 1.678554
1.301090 -0.346102
0.019394 -0.655751
-0.440843 -3.250812
0.034568 -2.045659
-0.294297 -2.006401
-0.063764 2.579319
1.118512 2.045412
-0.183944 -1.414736
0.163971 -0.957496
-0.260333 -0.634580
1.371431 0.511897
-1.666617 -1.924304
-0.201458 1.394181
-1.180569 -4.036883
-1.485079 -2.300952
-1.429907 -3.287578
-1.592354 -0.066270
-0.961775 -3.317934
0.785213 -1.034873
-1.187783 -0.191670
1.248780 -1.677527
0.485991 -1.304249
-1.555987 -4.404941
0.284175 -1.481910
-1.060276 -0.048874
-0.172825 0.212110
0.236845 -2.327936
-1.052083 -2.703454
-1.231264 -0.130983
0.929986 1.690811
-0.287177 -2.018273
-0.722166 -2.455860
-1.432365 -2.895105
