# Step: 2
# U_max: 0.12163495272397995
# x (configurations):
-0.979162 -1.158726
0.324259 -0.095721
-1.035493 -0.866824
-1.235544 -2.263124
0.025170 -0.147773
-0.409788 -0.656435
-1.510313 -1.249219
-1.037864 -2.699626
-0.703544 -0.330041
-0.611532 -0.327821
0.841380 1.097332
0.338396 -0.209001
-0.281647 -0.035873
-0.684134 -1.994344
1.005295 0.663334
-0.210720 -1.144847
-1.442137 -0.813661
-0.227060 -1.230097
-0.674367 -1.991056
-0.185661 -0.191542
-1.294595 -2.784701
-0.824296 -1.623430
0.985963 1.226881
-1.124132 -0.064017
-0.084390 -0.590224
-0.754891 -1.630169
0.606165 0.238615
-0.038816 0.076548
-1.598274 -1.865843
-0.794226 -1.714261
0.230584 -0.384105
-1.379929 -2.263704
-0.261082 0.263590
-1.219266 -2.588203
-0.978719 -1.282005
-1.127490 -1.574771
-1.198893 -2.029263
-0.668690 0.114649
-0.968337 0.068456
-0.687348 0.175596
-0.541953 0.194916
-1.386685 -2.211945
0.436083 0.075428
-0.807875 -2.116575
-1.500561 -1.520500
-1.491618 -2.853482
-1.240218 -0.311087
-1.053561 -2.330307
-1.060706 0.024965
-0.328407 -1.225266
-0.717391 -0.263680
-0.712982 -1.510361
-1.477310 -2.406272
-0.350396 -0.832904
-1.520383 -2.612043
0.016187 -0.036671
-0.746258 -1.799268
-1.106637 -2.536171
0.077964 -0.223438
-0.651492 -2.151952
-0.919140 -1.987156
-0.892137 -0.034812
-1.202581 -1.162373
-0.345635 -1.324839
0.357919 -0.276419
-1.329263 -0.970092
0.477673 0.396881
-0.626100 -1.161720
-1.283619 -1.372364
-1.105438 -2.314305
0.522260 0.297461
-0.851162 -1.607394
-1.027110 -0.899823
-1.570165 -2.042834
-0.517374 -0.797043
0.143046 0.245040
-0.434121 -0.524709
-0.242057 -1.046609
-1.269760 -2.476447
-0.676222 -1.252892
0.056077 -0.537840
-0.501839 -1.493181
-1.136786 -0.776439
-0.856678 -1.650158
-1.437275 -0.603329
0.815425 0.078853
-0.159050 -0.866227
-0.744820 -1.760611
-0.957650 -0.090987
-0.257644 -0.074386
-0.359677 -0.906624
0.909926 0.476909
-0.580527 -1.170161
-1.216486 -0.514340
-0.781120 0.052080
0.742716 -0.005784
-0.188103 0.287054
-1.217245 -0.790206
-0.362168 -0.414103
-1.586051 -2.412873
-0.299677 -0.985475
-0.667655 -0.217858
0.876711 0.570396
0.504070 -0.214062
-0.260067 0.152758
-0.680400 0.043143
0.523240 0.192727
-0.938220 -0.135226
-1.336053 -0.337956
-0.430612 -1.143013
-1.083864 0.044806
-1.352379 -2.391243
-1.438748 -2.801107
-0.306368 -0.244758
-0.334582 -1.179256
-0.740396 -1.814459
-1.276619 -1.140486
-1.307974 -2.407726
-0.532213 -1.294825
-1.646303 -1.974614
0.963980 0.426584
0.962867 0.572946
0.382454 -0.037820
-1.325555 -0.675534
-1.113162 -1.113491
0.809289 0.409112
-1.455567 -1.816933
-0.195410 -1.090454
-1.533413 -1.284199
-1.255926 -2.743293
-1.459064 -1.430249
0.789516 0.639848
-1.495880 -2.322853
-0.180346 -0.270286
-1.229417 -1.451585
-0.061527 -0.024524
-0.816984 -1.720772
-0.444460 -1.708150
1.025581 0.676077
-1.098380 0.055555
0.222061 -0.037653
-0.946625 -1.507454
-1.600414 -1.293968
0.137752 -0.050621
-1.419213 -2.525058
-1.328384 -1.273052
-1.430441 -1.917563
-1.220010 -1.879685
0.889499 0.321751
-1.280061 -2.654437
-0.222675 0.243442
-0.590936 -1.840185
-1.348687 -1.649660
-0.926009 -1.500597
0.442408 0.492920
-0.961293 0.256978
0.767090 -0.062730
-1.088817 -0.603980
-1.444548 -0.764628
-0.516179 -0.821289
-0.231447 -0.799200
-0.815131 -2.091994
-0.651117 -0.506276
-1.146467 -1.932977
1.126526 1.116273
-1.148385 -2.550787
0.852638 0.310707
-1.045475 -2.438109
-1.242583 -0.533955
-0.865707 -0.546163
-0.882731 -1.264932
-1.222620 -0.131753
-1.413646 -2.623753
-1.346090 -2.163109
0.094905 0.260209
-0.607886 0.335271
-1.039791 -0.697672
-0.658172 -2.037224
-1.222970 -2.160686
-0.724194 0.349877
-0.625356 -1.960607
-0.619820 -1.162125
1.082344 0.724304
0.110562 -0.303312
-0.597673 -1.821921
-1.540186 -1.857078
-1.213776 -0.215095
-1.053268 -1.758520
-1.016596 -2.620857
-1.481727 -1.915842
-1.500157 -2.490727
-0.407659 -1.575216
0.599499 0.063241
-0.248978 -0.985485
-1.550467 -2.612417
-0.080237 -0.336086
-0.989853 -1.415240
1.022705 0.816916
-1.366511 -2.625198
-0.718865 -1.085104
0.935264 1.260506
0.535701 -0.094236
-1.244882 -0.883012
-1.454533 -1.241484
-0.217388 -0.380936
-0.885365 -0.411628
-0.551929 -1.030917
-1.327485 -2.136704
-0.607792 0.077601
-1.438425 -0.431652
-1.395441 -2.506016
0.527135 0.295913
-1.012425 -1.531718
-0.786455 -2.170144
-0.571826 -1.589862
-0.580606 -1.955466
0.594413 0.155577
0.924766 1.252090
-0.862348 -1.681084
-1.175874 -1.228549
-0.129325 0.149394
-1.119813 -2.756863
-0.898036 0.037292
-1.373869 -0.697426
-0.598483 -1.822624
-1.073346 -1.670900
-1.499642 -0.965216
-1.026421 -1.939310
-0.838022 -0.609161
-0.959774 -2.178281
1.020445 0.761241
-0.907128 0.218851
-0.195000 -0.462420
-0.124707 -0.012345
-0.878084 -0.568647
0.825759 0.659433
0.596288 0.230147
-1.494594 -2.238278
-0.537288 -1.276917
-0.120192 -0.238947
-1.010577 -1.399658
0.786783 0.803966
1.018002 0.914400
-0.624407 -1.566007
-1.023020 -0.254705
-0.584500 -2.013276
-1.181214 -1.248521
-0.926069 -0.833438
-0.116595 -0.410958
0.820151 0.097583
0.250575 0.029445
-1.484214 -1.105416
-0.725630 -2.075342
0.879692 0.148443
-0.682972 0.181303
0.491113 0.282692
-0.992924 -2.584784
-1.379651 -2.834979
-0.843657 -0.418379
-0.705193 -1.467531
0.054121 -0.452967
0.253546 0.300140
-0.401982 -1.110331
-0.100958 -0.034362
-0.909088 -2.208522
-1.258053 -1.472645
-1.130545 -1.118645
0.392434 -0.039037
-1.424998 -1.156625
-0.965098 -0.537450
0.438025 0.489488
-1.067424 0.075129
0.044582 -0.647608
0.618193 0.887204
-0.249648 -0.759045
-0.295432 -0.701030
-0.552153 -1.663035
-1.620434 -1.856874
-0.479754 -1.177068
-0.478569 -0.333257
-0.316250 -0.537202
-0.555161 -1.501034
-0.412593 -1.426261
-0.792565 -0.409214
0.492405 0.370130
-1.357432 -0.410986
-1.311967 -1.620165
-0.155111 -0.994869
0.599887 0.634558
-0.173557 -0.498036
-1.342657 -0.644801
0.191734 0.177362
-0.401567 -1.368734
-1.076249 -2.698883
0.937286 0.931352
-0.586373 -0.031759
0.889684 0.911722
-1.605734 -2.119740
-1.195296 -0.971387
-1.342672 -0.823720
-0.313513 0.296001
-0.962803 -0.195934
0.548994 -0.108237
-0.412007 -1.064200
-1.268978 -2.375106
-1.211967 -2.933363
0.776373 0.836835
-0.348243 -0.301769
-1.554092 -1.098410
0.342785 -0.090194
-0.257648 -1.301154
-1.592986 -1.888002
-1.333283 -2.914083
-0.644755 -0.789765
-1.189802 -0.536615
-0.708590 0.013496
-0.297567 -0.790032
-1.541875 -2.196350
-0.974120 -1.628893
-0.484769 0.106914
-1.474604 -1.843701
0.874400 1.040572
0.423708 0.403133
-1.627339 -2.156874
0.553893 0.115688
0.829477 0.656078
-1.239442 -2.312387
0.152498 -0.073733
-1.206825 -1.442942
0.944856 0.380994
0.144492 -0.454442
0.255434 0.174785
0.750085 0.716186
-1.137395 -1.730121
-1.073953 -1.783340
-0.408647 -1.321450
-1.383914 -2.323822
0.757058 0.316906
0.002216 -0.105020
-0.762110 -0.162513
-1.251022 -0.056038
-1.274117 -2.929320
0.713327 0.684724
-0.964787 -0.079038
-0.569899 -1.835892
-0.531151 -1.169358
-0.118103 -0.044063
-0.920834 0.065827
-0.722104 -1.111710
-0.925950 -0.151356
0.840645 0.155925
-1.066538 -0.052345
-1.137193 -0.568858
-0.015412 -0.463367
-0.684124 -0.773537
0.804337 0.039003
0.936863 0.311754
0.832782 0.874716
-1.595985 -2.232558
-1.087665 -0.658601
-1.199764 -1.630734
-1.594186 -2.161896
-0.132087 -0.418537
0.579146 0.448423
-0.510019 -0.980791
-0.256655 0.083745
-0.912534 0.179074
0.889320 0.368776
-1.437199 -2.728643
-0.819222 -1.806852
-1.017587 -1.185728
-0.999545 -0.448604
-1.317898 -1.135961
-1.199714 -0.506696
-1.092973 -2.293432
0.030244 -0.111403
-0.678615 -2.066834
-0.679621 -0.443887
-1.219990 -2.655811
-1.059072 -0.851355
-0.626000 -1.435653
0.543172 0.240775
-0.733583 -0.099497
-0.139439 -0.110705
-0.771689 -1.534696
-1.631937 -2.124627
0.677030 0.439790
-0.659723 -0.011453
-0.416290 -1.268309
-1.483580 -1.432612
0.149037 0.257771
-0.710802 -2.176097
-0.979466 -2.517524
-0.753357 -0.812835
-0.365475 -1.235054
-1.333528 -2.978617
-1.085411 -1.200854
-0.489881 -0.085378
-0.356263 -0.462881
0.164227 -0.152157
-0.606038 -1.034654
-1.308612 -2.265197
-1.332849 -0.413587
-0.747753 -1.408670
-1.478367 -0.943419
-0.312424 -0.737511
0.136356 -0.311964
-0.490877 -1.192833
-1.270116 -1.184855
0.122169 -0.308484
-0.583902 -0.096083
0.432396 0.492476
-1.424169 -2.389231
-0.997859 -1.095582
0.551600 -0.194394
0.278144 -0.075604
0.214345 -0.382219
-1.261465 -1.473349
-0.838144 -2.453421
0.557706 0.085982
0.501978 0.646651
0.122307 0.229130
0.833162 0.527145
-1.069787 -1.056668
0.638244 0.197893
-1.090773 -1.650728
-1.149962 -2.433014
-1.152604 -2.233022
-1.305474 -2.250419
-1.593966 -1.559610
-0.987567 -1.284614
-0.944293 -0.549082
-0.863781 -1.385754
-1.152563 0.063584
-1.343168 -0.403060
-1.071911 -0.723215
-1.084246 -0.270394
