# Step: 4
# U_max: -0.029305310919880867
# x (configurations):
-0.708625 -0.714878
0.564062 0.313388
-0.214866 -0.012393
-1.008599 -0.394040
0.769911 1.066873
-0.770715 -0.353622
-0.587971 0.102917
-0.864604 -1.393413
-0.827296 -0.104252
-1.297378 -1.712540
-1.356455 -1.028344
-1.268170 -1.620248
1.047902 0.993686
-1.149172 -0.553360
-0.943861 -1.000168
-1.360809 -0.993102
0.454002 0.609205
-0.906547 -0.453233
0.393912 0.371217
-1.278283 -0.943049
-0.742984 -0.891269
0.588484 0.563861
0.840950 0.961171
-1.075460 -1.450036
-0.103065 -0.029214
-0.887705 -0.998611
0.723741 0.628914
0.287384 0.454699
0.668956 0.418291
-1.134853 -1.134909
0.722804 0.385293
0.833850 0.998550
-1.020509 -1.475503
0.954624 0.689289
-0.942314 -1.462962
-0.596634 -1.828797
0.357043 0.349266
-1.363000 -2.432422
-0.413642 -1.150861
-0.504727 -1.072207
-0.641929 -0.770377
0.710404 0.051224
0.422652 -0.012496
-0.963516 -0.383873
-0.949729 -1.084246
-1.212776 -0.323280
0.417110 0.339900
0.454095 0.399417
-0.631890 -0.441548
1.195755 1.555565
-0.645702 -0.361824
-0.999416 -2.396429
-0.284428 0.326247
-0.000206 -0.342315
-0.720008 -0.479424
-0.393478 -0.981257
-1.256779 -2.976386
0.805324 -0.135468
0.625645 0.765138
-1.104599 -0.246900
0.477613 0.627174
-0.264956 0.224464
0.374351 0.338342
0.981262 1.160829
-0.633572 -0.097707
-1.060255 -0.844998
-0.986590 -1.759103
-0.356106 -0.344159
-1.121005 -1.136789
-0.957921 -0.076529
-1.107095 -0.900929
-1.034534 -1.200481
1.400955 0.885754
1.217279 0.650234
0.006234 -0.557920
-0.339097 0.121726
-1.126212 -0.731291
-0.459119 -0.383570
0.912243 0.748697
-0.696107 -1.222375
-0.696223 -0.675731
-1.258873 -1.081863
-1.249777 -2.573841
-1.071926 -0.728334
0.868008 1.037735
-1.133107 -0.745678
-0.493818 -0.218999
0.978810 0.752992
0.264900 0.384922
0.597525 0.067717
0.267817 0.536667
0.515243 -0.252600
-1.147486 -0.706370
-0.940005 -0.467922
-0.707481 -0.444883
0.946044 0.338278
-0.291887 -0.363431
-1.097342 -1.696040
1.155865 0.519142
0.509173 0.572419
-1.387242 -1.784832
-0.668666 -0.561143
0.901700 0.170676
-0.978461 -0.516637
1.051233 0.735155
0.638429 0.117119
0.456227 -0.006394
-0.249015 -0.196705
1.167431 1.000641
0.784953 0.547159
-0.970527 -1.936558
0.237860 -0.416371
-1.361116 -1.894816
-1.053326 -1.152511
-0.531729 -1.327952
-0.885612 -1.355028
0.756466 0.867776
0.913154 0.653187
-1.130152 -0.036144
-1.213043 -1.894119
-1.239226 -1.400554
-0.798418 -2.067491
-0.164004 -0.390938
-0.276359 -0.574749
-1.111759 -0.941016
-0.575817 -0.504534
-1.050989 -0.277459
-0.820390 -0.636663
-0.706569 -0.524377
0.359507 -0.692918
-0.453904 -0.032444
-0.887950 -0.401499
0.888279 0.444797
-0.827483 -0.358188
1.049987 0.460824
0.174385 0.012588
-0.173481 -0.915080
0.676391 0.387296
-1.176413 -0.444023
-0.469768 -0.665371
-1.232467 -1.113947
-0.425812 -0.909559
-1.066160 -1.539190
0.544991 -0.230310
0.311245 -0.101475
0.574265 0.479006
-0.015316 0.583563
0.826369 0.770979
0.069929 -0.117254
1.161827 1.157732
-0.703545 -1.258518
-0.760563 -2.001200
-0.852797 -0.319606
0.892212 0.970796
-1.146291 -0.403620
-0.991141 -0.553330
0.340049 0.010936
0.478632 0.238740
-0.972008 -0.692885
-0.789226 -1.647841
-1.150725 -0.896671
-1.002072 -1.245569
-0.527234 -0.212119
-0.918699 -1.662020
1.257882 1.208284
-1.445942 -1.285456
1.027315 0.973245
0.458972 0.401527
-0.000869 0.095533
-1.482370 -2.062401
-1.198850 -0.142542
-0.261260 0.090576
-1.353506 -1.282694
-0.417091 -1.097073
-1.063182 -0.309969
-1.026005 -0.216135
-1.288121 -1.429318
-0.419892 -1.312936
-0.545822 -0.381571
-0.009508 -0.870829
-0.143884 -0.011982
-1.038505 -0.223274
-0.016147 0.450703
-1.077840 -0.587111
-0.679130 -0.462771
-0.123421 0.310209
-0.977907 0.127248
-0.155950 -0.087659
-0.619886 -0.336750
0.092331 0.323451
-1.035700 -0.773078
-1.166656 -0.712161
0.593363 0.531346
-1.075578 -0.354321
-1.246875 -1.264494
-0.805300 -1.297439
-1.013623 0.307680
-0.939506 -1.046543
-0.942505 0.015040
-0.377983 -0.563183
-1.349688 -0.268405
0.680855 0.100063
-0.685597 -0.855856
-0.777498 -0.181038
0.955473 0.980549
-0.096558 0.079617
-0.720798 -1.125442
-0.653174 -0.447219
0.644016 0.924449
-1.262802 -1.015932
-1.284750 -0.641421
0.894167 0.939003
-1.199289 -0.569173
-0.523824 0.069231
0.275654 -0.125691
-0.525700 -1.437071
0.652343 -0.198371
-0.944399 -0.270716
-0.852656 -0.304471
-1.093228 -0.050290
-0.670917 -1.311586
-1.172065 -0.889120
0.449282 0.520143
-0.415221 -1.207959
-0.942573 -0.788029
-0.926644 -0.335161
-0.251577 -0.578136
-0.882485 -0.965425
-1.491201 -0.964892
0.271056 -0.130717
0.750401 0.886354
0.559723 0.027840
-1.118573 -2.280467
-0.047205 -1.047278
0.174228 0.113350
-1.401975 -2.213067
-0.968021 -0.624630
0.136362 -0.051016
-0.491117 -1.146307
0.726482 0.335381
0.877840 1.189314
-1.292514 -1.486636
-0.302668 -0.311186
-0.243842 0.453343
-1.108293 -1.022082
-0.830324 -0.694649
