# Step: 4
# U_max: -0.029305310919880867
# x (configurations):
-1.260784 -0.852524
-1.443093 -1.668958
-1.354093 -1.101817
-1.144805 -1.441553
-1.411978 -1.464577
-1.056757 -1.918846
-0.785858 -0.530259
-1.254535 -1.686414
-1.375451 -1.103949
-1.135125 -1.840926
-1.309951 -1.378338
-0.931634 -1.968310
-0.962930 -1.337076
-1.232619 -2.214762
-1.140153 -1.700678
-1.270053 -1.701716
-0.948592 -0.687143
-0.884280 -1.748653
-0.880514 -0.564992
-0.929537 -1.867116
-1.164232 -0.627251
-1.250075 -1.993594
-1.379658 -1.621181
-0.741992 -0.860815
-1.117013 -1.089970
-0.723966 -0.969034
-0.994799 -1.076471
-1.296504 -1.911767
-1.241318 -2.234749
-1.085614 -1.664130
-1.150051 -2.260864
-0.617340 -0.897662
-1.033509 -0.768777
-0.798701 -1.081968
-1.188175 -2.049038
-1.323849 -1.795021
-0.778226 -1.538415
-0.973350 -0.526234
-1.016770 -1.289577
-1.085540 -2.162548
-1.126069 -1.438292
-0.911915 -1.106911
-0.777186 -1.532251
-0.792625 -0.606698
-0.874817 -1.618648
-0.810609 -1.205478
-0.968423 -1.042386
-0.804089 -0.925638
-1.287246 -1.258874
-0.730216 -0.666573
-1.046891 -0.665746
-1.101273 -1.880753
-1.445701 -1.656060
-1.134151 -2.086678
-1.211372 -2.290523
-1.449967 -1.677424
-1.026865 -1.329514
-0.677047 -1.250241
-1.425949 -1.671986
-1.024001 -1.219356
-1.400887 -2.014821
-1.237317 -2.066901
-0.657446 -0.742352
-1.305547 -1.028724
-1.200283 -1.301584
-0.745121 -0.845059
-1.231599 -0.848775
-1.252741 -1.980143
-1.123428 -1.071635
-0.638947 -0.679326
-1.320179 -1.922424
-1.368710 -2.033642
-0.766704 -0.820792
-1.328359 -1.453362
-0.782014 -0.993476
-1.139158 -0.693994
-0.995620 -0.504925
-1.163802 -1.324888
-1.036346 -1.271548
-1.430696 -1.447879
-1.006330 -1.424369
-0.653283 -1.076934
-0.907208 -1.301952
-1.282663 -2.226497
-0.830368 -0.432295
-1.364873 -1.913669
-1.316353 -1.657620
-1.110547 -0.769747
-0.795940 -1.118799
-1.126673 -1.651162
-1.393072 -1.601833
-0.867089 -1.069681
-1.334730 -1.116722
-1.365462 -1.693733
-0.660307 -0.869989
-0.822706 -0.485776
-1.047837 -1.649548
-0.832767 -1.230431
-0.711510 -0.946419
-0.716703 -0.782817
-1.026544 -0.749288
-0.914438 -0.930075
-0.803394 -0.966975
-1.172122 -0.997203
-0.947219 -1.736078
-1.177233 -1.693791
-0.871251 -1.403155
-1.134170 -0.816605
-1.104324 -1.665847
-1.027517 -1.004237
-0.815848 -1.010476
-0.853253 -1.354903
-1.301207 -1.320399
-1.387608 -2.132186
-0.907095 -1.168928
-1.412842 -2.003858
-0.871300 -1.520882
-0.761285 -0.786609
-1.291005 -1.731276
-0.893571 -1.046228
-0.774244 -0.820149
-0.961183 -1.026138
-0.886372 -1.768155
-0.981086 -1.730322
-0.651345 -0.662263
-1.434079 -1.519584
-1.338561 -2.093733
-1.315898 -1.598040
-0.724641 -1.011608
-0.800859 -1.532619
-1.390973 -1.192917
-1.010852 -1.938589
-1.165953 -1.233777
-1.369659 -1.303102
-0.980487 -1.893315
-0.876307 -0.804327
-1.150906 -1.955877
-1.012740 -1.700167
-1.001105 -0.603359
-1.397367 -1.166269
-1.303339 -0.919438
-1.059815 -1.735865
-1.307806 -0.989581
-1.216343 -2.237730
-1.256611 -1.755851
-1.230855 -1.289347
