# Step: 1
# U_max: 0.12048323452472687
# x (configurations):
-1.266800 0.146295
-0.463832 1.943781
-1.494004 0.961105
-1.489368 0.150875
-1.014354 -1.579668
-1.764780 -2.339685
-0.875102 -2.005507
-0.565240 -1.564910
1.367154 0.459915
0.671899 0.117330
-0.741726 -2.922565
-0.477801 0.257410
1.637771 2.838698
1.729081 0.884426
-1.539712 -4.911347
1.522242 -0.281095
-0.653400 -2.177295
0.526075 -1.394402
-1.868236 -0.331523
1.623006 1.856037
0.793804 -1.522247
1.093478 -1.367910
-0.400366 -1.113317
0.876671 -2.369174
-2.040640 -2.056535
-2.013676 -2.787514
-1.561125 -2.582431
-1.937211 -2.675464
-1.061591 1.118427
-1.432635 -1.409247
0.556164 0.529731
-0.772674 0.067557
-1.922889 -1.380734
-0.936811 -3.007280
-1.732122 -0.145689
-1.406569 -2.895175
-1.547897 0.615123
-0.572495 0.855279
-0.916579 0.252453
-1.231856 1.424732
0.794799 3.012036
-0.044883 0.088616
-1.251429 -4.095508
-0.152478 1.549545
-0.343591 -0.061869
0.229099 2.547082
-1.068419 -1.444578
0.257438 -0.222202
-0.796632 -3.263869
-0.135978 0.714536
1.738351 2.655730
-0.964922 0.382353
-1.001092 1.603075
1.330415 3.072841
-0.600966 0.800245
0.535491 0.416409
-0.237280 -0.960253
0.595508 0.015265
-0.198062 1.699166
1.610453 0.303384
0.906468 -0.299648
1.047459 3.414677
0.951487 0.877443
0.737425 -0.423391
0.020458 -1.920803
-1.484043 0.056928
-0.164108 2.516138
-1.361877 1.056168
-0.446128 2.082021
-1.120632 -2.166143
-0.785548 -2.232081
-1.483212 -3.581782
0.009403 -1.072228
-0.675845 1.593443
-0.468301 -0.963091
-0.417231 -0.230054
0.844972 -1.213310
0.294866 1.416955
-1.340227 -1.039401
0.821863 -0.117445
0.454971 -1.948614
-0.488322 0.145018
1.373987 2.442006
-0.777949 1.856430
-0.821826 -0.057519
-0.835768 -0.239473
-0.711798 -4.026363
-0.885888 -0.067271
1.669352 1.239893
-0.512081 1.435827
0.957417 2.861019
-1.546982 -0.084484
-0.182078 -2.225481
-1.653847 0.763981
-1.009210 -2.730476
0.945445 -0.443698
-1.369978 -0.096470
1.590780 1.110714
0.183247 -2.838077
1.123907 -0.396330
1.156999 -0.167892
1.182293 3.581861
1.591087 2.709915
1.027821 0.339383
-1.544722 0.739425
1.330531 -0.417907
1.266432 2.700787
-0.040297 0.790186
-1.148511 0.870693
0.583129 3.333454
0.720106 1.840733
-0.308384 -1.367750
1.586807 3.632882
1.742217 1.024519
1.157916 -1.704920
0.975955 0.984370
1.647943 -0.417534
-1.056835 -1.206716
0.215983 2.571749
1.719599 -0.026827
-1.713810 -2.465615
-1.909988 -4.151440
-1.575736 -2.542382
-0.508827 0.861865
0.571587 2.080105
-0.811455 -2.462138
0.601188 0.742643
1.644986 -0.572420
1.279721 -1.537894
-1.596041 1.074499
-1.171437 -2.120120
-1.231442 -3.828347
1.841451 0.053170
1.601390 2.257656
1.523983 3.123513
0.423512 1.547106
0.046623 -0.175803
0.727758 -2.351459
1.695123 1.973501
1.762262 0.489527
-1.991975 -2.581515
-0.971613 -1.612839
-0.391731 -2.260652
1.053115 0.063590
1.088645 0.457148
1.355709 -0.990358
-0.585007 -3.122097
-0.423670 1.009686
1.026486 -1.946865
-0.186509 -0.371289
-0.252681 -2.678978
-0.184303 0.683408
-0.947411 -1.186596
-0.430832 2.136180
1.377967 3.204256
1.507620 2.765057
-0.296160 -1.290102
-0.455603 -2.424146
1.014536 -1.710618
0.065008 2.189792
-1.847882 -4.544804
-0.519263 1.786682
-1.257364 -3.424872
-0.487409 1.879374
1.276239 -0.818366
1.519307 1.881690
-0.021417 1.937681
-1.693125 -0.774516
-0.085771 0.334375
0.526945 1.285710
1.455898 -0.188462
1.240147 -1.808715
-1.282944 -4.613354
0.553393 2.316321
-0.385851 2.360386
-0.781502 -1.003027
-1.883023 -3.816878
0.696063 2.387207
0.353469 2.110868
-0.300816 -2.377790
0.113285 0.782833
0.603752 -1.310113
0.438773 -1.011481
-0.725619 -0.068238
-0.827529 -0.609873
0.807064 2.446322
-0.121723 -0.715781
-1.260690 -4.747157
0.274440 0.835093
-0.050853 -0.723323
-0.083891 1.273196
-1.101484 -2.243537
