# Step: 10000.0
# U_max: 0.059352975338697433
# x (configurations):
-1.644887 -0.390571
-0.199443 -0.672782
-0.368416 -2.517952
0.803761 1.542902
1.133836 -0.012449
0.998855 1.868401
-1.718193 -1.724069
0.740456 0.533787
1.293492 -0.631934
-1.219535 -2.194478
1.248078 1.353537
-1.792285 -2.122811
1.379336 2.529462
0.124993 0.903797
-1.480896 -2.863076
1.248733 2.307461
-1.376570 -3.361423
0.247303 -0.456746
0.306376 0.540479
-0.739823 -3.040191
-0.744445 0.534719
0.977969 -0.832386
0.887869 0.149070
-0.895481 0.824756
-1.262010 -3.578703
-0.697782 -1.556415
-1.048602 -3.458248
-1.612640 -2.008531
0.357940 -1.766443
1.066220 -0.634311
-0.120703 -2.088070
0.836412 0.675789
-0.491559 -0.350924
-0.969969 -3.507711
0.048292 0.027566
-0.770682 -0.516742
-0.299754 -1.815707
-0.250296 -1.324715
1.513443 0.014473
-1.114089 -1.964471
0.096902 0.549935
-0.292850 -0.033719
-1.739659 -2.054155
-1.309176 -3.682736
0.711281 2.319574
1.250572 2.127430
0.865847 -1.241811
-1.715377 -3.622352
0.837777 -0.129008
-0.951029 -3.609403
-0.756001 -0.907667
-0.194950 0.728992
-1.053871 -0.130154
0.332276 -0.459440
-1.871947 -1.386772
1.329898 -0.035054
-0.582080 -1.034536
-0.938820 -2.586994
1.077662 -0.343458
-1.172147 -2.704861
0.864646 0.327439
1.397650 -0.071661
-0.516322 1.184496
0.147893 -0.848555
0.728355 -1.329847
1.040493 0.797631
1.236421 -0.130084
-0.890523 -2.222257
-1.505360 -0.909700
-1.883658 -2.101236
1.056569 2.401354
0.377371 1.329047
1.556229 0.299070
0.052270 -0.230047
-1.306041 -1.157344
-1.273837 -2.075544
-0.431666 0.861995
0.629625 -1.464249
-1.309361 -0.568618
1.337678 1.569441
1.352275 0.405932
0.807842 0.013366
1.050034 2.688488
-1.369823 -3.943774
-1.076924 0.662381
-0.571717 0.418655
-1.122040 -1.720766
-0.910222 -0.064024
0.994630 0.353937
-1.265577 -0.121447
0.332559 -0.417419
0.971215 -0.929345
-0.611108 -1.612578
-1.056175 -0.131197
-0.191249 -0.234525
-0.697415 0.168809
0.254042 1.612431
-0.430041 -2.329558
-1.629364 -1.618227
-0.641867 -1.917938
1.245555 1.740412
-1.080994 -2.367658
0.853489 -0.626534
0.399820 -0.902042
-1.730753 -1.263432
-0.656889 0.638399
-1.314786 -1.107379
-0.270495 -2.404314
0.573660 -1.112943
1.494980 1.340234
