# Step: 5
# U_max: 63.49171447753906
# x (configurations):
1.227543 2.042692
-1.370506 -1.715636
0.282653 -3.698571
-1.026092 -0.686427
-0.113748 2.685115
1.504320 -1.047362
0.764826 3.681402
-1.642135 2.095763
-0.841108 -0.121886
-0.591975 -0.556525
0.508186 0.832387
2.292056 1.482167
0.914334 -0.063449
0.205622 0.666806
-2.125752 -1.162764
-2.316803 -4.270987
-1.478963 0.591932
-1.982096 -2.947973
-0.265099 -1.207237
1.822683 1.098186
1.150053 5.364568
-0.083686 4.076514
-1.425961 -5.597340
-0.633681 2.804426
1.093282 -1.970411
1.230130 -1.875998
2.017289 -1.106722
0.923967 2.457153
1.292646 1.375894
-1.235873 -5.734666
-1.310534 0.871153
1.890047 1.760202
-1.807782 -2.766074
-1.574744 -4.138103
-0.910092 2.124112
0.515264 0.672514
-0.062263 -1.646308
0.109775 4.093584
0.206754 -4.108093
-1.578844 -0.106833
0.563503 -1.266142
-1.873583 -0.507618
2.011472 3.502305
0.737986 -0.651371
1.358949 2.368652
0.769095 0.893321
0.323080 0.900313
-2.143015 -4.289341
2.165100 3.402626
0.118394 0.484121
0.635415 -0.929821
-0.738489 0.908075
-0.520302 0.943575
0.852318 1.597008
0.361173 -2.102540
-1.242533 -2.883920
0.792787 -1.482341
-0.115365 -2.579758
1.136525 3.765019
1.706812 -0.781647
-2.202931 -0.183538
1.951704 1.616544
-0.915760 -1.072501
-1.855182 -3.013155
-2.077652 -2.133534
-1.884594 -3.161375
-0.299970 3.978025
0.460095 0.810249
-0.138998 3.872753
1.750376 -0.625694
2.013512 0.740457
-1.921068 -4.130261
1.329834 4.885770
1.846080 -0.236626
0.310488 -3.219923
-0.252782 1.849373
-0.777695 1.535410
-1.290224 -5.481965
1.103630 -2.366517
1.645279 4.721902
-0.022762 3.725608
0.552133 3.477949
-0.999791 -1.213300
0.495891 0.638146
1.467734 -1.550849
0.425191 0.853334
0.308737 1.401769
-0.834367 -2.716892
-2.122802 -4.705139
-0.193526 -1.214496
-1.018082 1.048365
-0.974147 -3.605094
-1.395208 0.486386
-0.309265 -0.745521
-1.675540 -1.207807
-1.658128 -5.356695
-1.008481 2.796368
-0.272716 -2.145973
-0.656738 -3.068790
2.275784 1.658487
-2.030113 -0.438658
1.612882 0.973044
-1.935239 -4.918763
0.475442 -0.252891
-1.751740 -0.980581
0.394281 -0.851404
-2.245892 -1.469398
0.204039 3.221422
0.882203 1.457383
-2.199554 -2.050246
-0.582042 2.820657
1.345696 3.432131
-1.967038 -3.055453
0.344115 0.928256
2.210606 2.819392
-1.319991 0.730475
1.729944 -2.247557
-0.455884 -1.354066
-1.287282 -2.632569
0.781065 -2.420870
-1.073889 0.457342
-1.314815 -6.158957
-1.495316 0.683568
-1.480026 0.471931
-0.317878 -0.084374
-0.391932 1.491687
0.325883 2.608352
-1.550371 -1.633949
0.880993 -0.583942
-1.032158 -3.698004
0.384706 3.652639
1.335161 -0.035696
0.490632 -2.975797
-2.053096 -5.526505
0.680395 3.122160
-0.225024 2.836483
0.223844 -0.579278
0.958524 3.641475
0.119394 -0.467608
0.198585 3.143694
0.309360 4.033562
0.629428 2.880296
1.466843 5.330136
1.021630 2.305904
1.994967 -0.471433
-1.192125 -0.914149
-1.196951 -0.481892
-1.867597 -0.862002
0.244796 -0.490069
0.847484 5.061175
2.121021 -0.240467
0.356970 1.977827
1.958775 4.132313
-0.525506 1.299935
2.063096 3.458578
-2.140174 0.528948
1.078414 2.520511
0.834194 -0.404694
-2.123312 -5.303613
-1.842528 -1.701167
0.322274 3.682988
1.489211 1.266639
1.491870 5.103244
2.179928 0.368086
0.322010 1.997643
-0.447653 0.503936
-0.753561 -2.849483
-1.596285 -2.040735
-1.888767 -0.670458
-0.964861 3.076568
-0.038517 -4.631009
-1.343057 2.379058
0.320904 -2.951524
-1.664007 0.531753
1.823310 1.510029
0.684299 3.833802
1.339838 0.531004
1.221336 -2.022564
1.104397 -2.124356
-0.522398 -1.020815
1.212116 -1.851696
-0.211747 2.580487
0.696110 4.310523
-1.755301 -5.144932
-0.385007 -1.877736
0.382394 3.992115
-1.060634 -2.767441
0.533133 -0.994250
-0.379422 -2.167386
1.784634 1.415547
0.136367 -2.000270
-0.470830 -3.110311
0.845792 0.472131
-0.756554 1.733879
-1.946387 -4.387299
-1.641440 -5.181240
0.565559 -0.748789
-1.913918 -3.356125
0.999793 1.615194
1.218439 2.006849
0.537605 1.793348
-0.915536 -1.672624
1.611212 -2.306808
-0.118230 1.048442
1.989963 2.521683
-0.603310 -1.230487
1.297967 2.768755
-1.113211 -0.915312
-0.461425 -3.253848
-1.389381 1.456627
0.713451 2.747484
-1.471946 2.080198
-0.567408 0.926023
0.164315 -0.051115
0.150526 0.131618
1.133247 -1.885677
1.764431 1.899567
-0.698902 -1.182505
-1.234955 -2.820878
1.657829 0.177871
-1.371630 -5.500573
-1.583900 2.238468
-0.306905 -3.829973
1.158680 4.769497
0.735365 4.941761
-1.588928 -5.861800
1.848598 -1.099569
1.113229 5.191099
0.531108 1.880538
-1.180001 -1.068309
0.207645 2.448588
-0.930546 3.480256
-0.591763 -1.603642
1.344651 4.284629
-1.795275 -0.672886
-0.391565 -2.252816
-1.351112 -2.118947
-1.986466 -2.961167
-0.634140 -0.145681
-0.340601 0.072408
-1.157576 -1.476157
0.164865 -1.232129
-2.134277 -5.527723
-1.312560 -1.520078
1.741796 0.486780
-0.146666 -2.539146
-0.176042 -1.104642
0.079494 2.922387
1.859041 4.479611
-0.865300 2.975290
1.388687 0.764302
-2.338072 -3.786935
-2.001928 -1.035594
0.358257 0.048463
2.164346 -0.382257
1.642910 0.534209
1.032039 2.888517
0.642323 -1.929404
-0.695622 3.315849
1.788846 2.968222
0.405014 -1.488780
-0.090465 1.905283
1.671349 2.821441
-0.769632 1.328728
1.721177 0.602226
-1.227424 -1.021990
0.565248 -2.221248
-1.887730 -4.780553
1.699883 0.501891
-0.404859 -1.399999
-0.637132 -4.242567
0.119384 -0.391818
-1.787916 -4.712473
2.018851 4.753386
1.714830 4.114831
-0.031534 2.747789
-0.361434 2.014369
-0.831358 -2.651188
1.909594 2.492165
-0.372616 1.575216
1.819546 5.222009
-0.695391 -3.328967
0.096188 2.081248
-1.058161 0.864274
1.157838 -1.778921
1.250588 2.878385
-1.550527 2.292740
-2.111061 -1.787606
-0.487649 3.597838
1.556269 5.434104
1.380866 -0.146735
-0.999301 1.167183
0.218549 -0.582138
-0.865994 2.004572
0.454571 -0.052419
2.169406 1.240343
0.825696 -0.839525
1.763119 2.177195
0.269910 0.598061
1.483967 -2.946967
-1.706229 -3.372543
-0.277903 3.585063
-1.880285 0.412324
-1.717297 -4.132538
0.232146 0.849294
0.212480 -0.523435
0.975009 4.612164
-1.519579 2.253506
0.032916 -3.575008
-1.363925 -1.806690
2.160508 2.433400
2.140387 1.495412
-2.021777 0.648535
-0.700474 0.059253
-1.405909 -5.026493
-0.507719 3.409336
1.257755 2.151727
-1.231885 -5.815281
-1.120731 1.480518
-1.895564 -0.252609
-2.126816 -2.747304
-0.481932 -1.347980
1.098362 2.844241
-0.273957 -1.451149
-0.800156 -0.634772
2.216169 3.755566
0.646395 4.227376
-0.280787 3.496505
0.487983 -2.981943
0.215575 1.493986
-1.068394 -2.215422
-0.818880 1.415786
-2.096305 -5.474225
1.634806 0.023459
-2.175814 -2.254527
-1.524147 1.186960
1.151554 -2.833473
1.998550 4.087538
-1.905175 1.848738
-0.063340 3.020380
1.357658 0.150264
-0.926311 -2.963958
1.667296 1.930366
1.981631 3.916711
-1.491294 -1.313071
2.177687 2.791582
-0.009166 -0.338050
1.317363 -2.562398
2.192312 1.939068
-1.510537 -4.793249
0.347381 3.404086
0.110333 -0.240218
0.450029 -1.825665
-0.609508 2.224225
1.154916 -0.145299
-1.247154 1.214257
-1.164859 -5.897360
0.746926 -0.792631
-1.245241 -4.508092
-1.867804 -3.183404
1.856765 -0.591682
-0.336455 -0.217763
-1.730606 1.150140
0.230991 -1.162995
-0.821422 -2.892034
-0.048838 3.473086
-2.047685 0.195892
-1.573444 -1.744670
0.378396 -1.448462
-1.411591 0.983560
-0.702061 -1.678035
1.096536 2.072930
0.153055 4.363581
1.939610 5.055664
0.933574 2.188544
1.440922 4.136984
2.068646 1.391973
-2.075459 0.788891
-0.117643 -1.944211
0.743282 -1.980507
-0.005787 -1.173361
-1.851789 -4.272301
-0.297135 -2.041994
-0.467382 -4.790683
1.719565 4.125819
0.762180 1.459631
-0.393473 -0.187335
-1.841697 1.591137
-1.578634 1.521708
-1.661167 -4.078760
1.135958 1.764234
2.077720 0.401011
0.375018 1.845973
0.793588 4.255273
-0.419801 -3.763522
-0.431467 -1.136045
-0.160472 -0.279679
0.065627 -2.518686
0.055089 0.524329
-2.147570 -4.245857
-2.117902 -2.808867
-0.035720 0.510406
1.231389 0.649668
0.687789 1.090404
-1.763705 -0.075387
-0.331060 -2.412843
-1.563729 -5.008457
1.505113 -2.481524
-0.573301 -1.420046
1.090512 -2.110095
0.824106 0.515171
0.763584 -2.161496
-1.576623 0.093418
0.184067 -2.101327
0.487631 2.106112
-0.724396 -1.226672
-0.811603 -1.713113
0.367209 -1.580446
-2.126153 -2.277918
0.120038 -0.821139
0.384405 0.740399
0.501877 1.360238
0.283488 3.301457
-0.646965 1.657109
-1.627853 2.088425
-0.331762 2.781674
-1.619607 -2.127843
-0.035057 -1.190400
1.428780 5.120517
-0.841706 -5.760020
0.281155 1.039191
0.734898 4.151410
-0.594286 -1.321333
-0.855894 -2.860251
-1.655534 1.020647
-0.779160 -1.458801
-1.930264 0.367812
-0.848637 1.755938
-0.481057 -1.455348
-1.113203 -5.040346
-1.162264 -3.050561
-0.488262 3.248496
-0.182438 0.416787
-1.313665 1.970604
1.762087 2.819462
1.915385 0.971038
-1.246381 -0.332978
0.413686 -3.198082
-0.079283 -4.090971
-2.266123 -2.104049
1.138948 -1.162034
-2.197636 -0.938460
-1.141918 -1.020346
-0.487641 -2.837718
-1.675453 -5.691837
-2.092582 -2.155385
-0.728738 -1.256216
-0.381227 1.034355
0.386166 3.117348
-0.552048 -0.862700
-1.851192 1.921059
-1.385346 -3.671912
-1.272176 -3.298348
0.640640 -3.558467
-1.120880 -2.143873
1.785803 -0.196578
-0.820797 -4.005392
-1.938974 -2.641475
-0.753172 -2.224324
-0.827688 0.621489
-1.558203 0.082232
-2.394389 -2.810388
1.573730 3.190424
-0.592563 -0.729197
-0.159797 3.489058
-0.447999 -0.468544
-1.649758 -4.637345
-1.768039 -2.222476
0.396570 -0.100402
1.544114 4.585331
0.062797 0.050334
0.199239 -1.514472
-1.257289 -5.372492
0.809410 1.165859
0.801771 -0.533110
-0.622525 -4.760100
1.468474 1.610624
-2.028892 -0.302831
0.810939 -0.493578
-0.027415 0.778316
1.289754 -1.799317
-1.192648 -4.117271
1.128456 2.828292
-0.609552 -4.589354
-1.804645 -1.957848
0.425159 4.258148
-1.755541 -0.005004
1.564193 1.977519
1.235093 -0.712944
-1.168105 3.224031
-0.767720 -0.941567
-0.805559 3.146001
1.321697 3.527005
1.638665 -2.272128
0.689087 3.417413
0.908915 -0.733095
0.745774 3.523278
0.150536 -2.324698
0.757664 -3.213360
1.233657 -1.327767
-0.428425 0.784645
-1.028243 -3.205227
1.078731 1.847034
-1.372219 1.772972
0.417619 1.377626
-1.909915 0.435005
1.017270 -1.873689
1.715133 3.204540
1.072761 4.980082
-0.498574 2.752969
1.730897 -1.556322
0.345800 -1.790264
-0.352850 1.953125
0.228060 -0.244134
0.820321 2.955531
-0.126065 -1.391957
1.501277 3.064888
-0.959685 -0.794741
-2.026492 -3.076452
-0.696830 0.324206
0.322306 -2.495885
1.921520 0.583974
2.037262 4.496199
-1.869421 1.234350
-1.181423 2.249963
-0.749213 -1.227705
-1.438658 -5.509246
-1.655647 -1.084700
-1.668255 2.492230
0.680175 4.650383
0.044943 -1.870925
1.596196 -1.084975
0.331148 -1.759754
0.225820 0.381459
-1.902664 -4.953255
1.408919 -0.956908
0.053659 2.193882
1.358911 -2.870062
1.613590 -1.651982
1.660571 3.389816
0.363308 0.322789
-1.488702 1.137481
-0.203412 1.636563
-2.070285 -2.678777
0.149768 -4.470245
1.174146 1.360580
1.251230 0.947637
-2.212901 -1.150979
0.414563 0.579550
0.851481 2.332360
1.802926 0.747761
-0.340914 1.693521
0.752963 0.322900
-0.877290 2.924853
-0.576388 0.697196
2.153143 2.659193
-0.263596 1.239925
1.609026 0.378881
-1.283150 1.942270
-1.860787 1.799813
2.100332 3.491411
-0.306258 -1.015708
1.529316 4.469497
0.116271 4.002482
-0.971336 -2.307600
-0.525182 -2.629618
-2.169918 -2.414648
-2.265808 -4.566453
1.181995 -2.752326
-1.490570 0.620817
-1.809719 -5.839270
-0.755205 3.493348
0.926050 0.404340
0.006942 -1.950448
0.230571 0.092501
-0.131221 -3.494097
-0.258463 -0.610387
-1.129034 2.548011
0.775984 3.758144
0.286362 -4.143221
1.439577 -1.925587
1.627458 -2.600381
0.433034 -0.420991
-0.113789 1.571298
2.127313 -0.429897
0.472990 -0.416978
-1.038553 2.023890
-1.768354 0.298974
-2.330688 -1.774682
1.948991 3.074292
1.550801 1.118861
1.467829 4.962690
-1.293069 -0.733639
0.957902 0.433351
0.404691 -3.277853
-0.894497 1.933895
-1.348482 2.644822
-1.221323 -2.190684
1.406175 -1.146739
1.129724 -2.367031
0.492247 1.319481
0.140175 -4.378145
1.937048 3.483460
1.163730 2.570821
0.463875 0.361038
-0.649010 -2.737356
1.493753 1.289183
0.409823 -0.359524
-0.439926 0.573448
0.398441 -1.311782
-0.098030 -1.586299
2.201537 1.303115
-0.797274 2.452481
-1.712927 0.164291
1.957646 0.408758
-1.585977 -0.027784
-0.616277 -3.326667
0.627131 1.010781
-0.999339 1.020696
-1.538251 0.342601
0.791161 0.117898
-2.074423 -2.949069
-1.228300 -1.792143
-0.729318 -0.924340
0.564875 3.535261
-0.342539 -3.412220
-0.119314 -3.168821
-0.636453 -3.070947
0.676332 -3.820092
-0.296146 2.843210
0.368577 4.326338
1.748154 -1.924429
-1.064647 -4.359328
1.988351 2.975029
1.299832 -0.129615
-2.401674 -3.548199
0.846944 2.264073
-1.182129 0.789760
-0.232506 -1.558396
-1.361685 -3.814650
1.406742 -0.868334
-1.348423 0.879574
-0.885417 -0.983149
-2.132448 -3.187292
0.041754 3.000399
-1.304811 -0.020316
0.383983 -2.835792
-1.347658 -2.075357
2.161839 3.263950
1.796799 2.726523
-0.111210 1.449875
1.166041 2.426877
0.628135 2.743338
-1.831802 -0.102457
1.224290 3.374367
-1.417094 -5.227135
0.347581 -1.597920
-0.651240 -2.122633
-0.557140 -3.607029
-1.552669 -5.025651
-2.127044 0.026393
1.586284 1.276215
0.842331 -2.593232
-1.026727 1.645968
-1.763536 2.048895
-0.714510 1.466214
1.529000 5.441306
1.499104 -1.313489
-0.599261 -4.632579
2.196316 2.924811
0.689985 4.712631
-0.762978 -0.866498
1.974830 0.800316
-1.197433 2.602061
-0.080689 -2.001176
-2.299339 -4.136189
0.630049 -1.208338
-1.773418 -1.187317
-0.639546 -3.725017
2.139797 0.406855
0.571074 -3.460353
-0.287101 3.133494
-0.117620 -4.452435
0.063009 -0.455264
0.066470 3.503828
1.511413 -2.967683
-2.254435 -2.285249
-0.444231 -1.407074
-0.377154 1.992347
-0.626679 -2.808791
-0.495312 -3.877344
0.129926 1.410921
1.846888 -1.439485
-0.321326 3.542865
0.711806 4.603462
-0.183928 3.990251
-0.495070 -2.357271
1.235215 -2.361762
0.533540 1.066120
1.443693 3.525273
-0.415855 -3.178712
-1.324556 -2.022539
0.060963 -0.336616
0.968461 3.609978
-0.329904 3.451920
0.043850 0.699467
-1.304581 3.040067
0.633815 2.668037
1.049664 3.854620
1.269056 4.438606
-1.426866 -3.159235
1.334814 -2.718971
1.172708 4.505041
2.048018 0.929487
-1.111583 3.118376
1.407052 2.051192
1.934017 4.282732
-0.332445 0.638369
0.373185 -3.559441
-0.280326 2.732625
2.141298 3.269776
1.011433 3.259531
1.264398 -1.440586
0.801470 -1.751329
2.264395 1.090941
0.739213 4.218192
0.342440 -3.260690
-0.227595 -0.204230
-1.306413 -5.908778
1.626458 1.196873
1.240825 3.880215
0.459022 0.837373
0.173017 3.558470
0.885670 1.941495
-1.235656 2.206594
-0.850143 -4.889840
0.967520 1.521976
0.446178 -0.337342
1.960939 -0.062986
-0.455561 -0.307594
1.582442 -0.888483
2.024462 -0.690538
1.888828 2.574403
1.615151 1.363173
-1.883315 0.315540
0.546990 4.253302
1.512126 1.450856
0.972142 4.259450
-1.141855 2.635967
-1.294888 1.782619
-0.248155 -3.309947
-0.399010 -4.361870
1.211477 4.521375
0.226446 -2.868697
1.820137 1.756627
-1.763804 -4.719257
0.226217 1.371374
0.485876 -1.450331
-0.311394 -3.741307
-0.292184 -1.948230
-2.293952 -3.431585
-0.045708 1.195689
-0.172744 -2.212830
-0.897826 -1.228912
-1.622600 0.004234
-0.815440 0.713815
-1.208002 -0.339736
0.481081 4.401074
0.086569 -1.438202
0.390593 -2.332214
1.477590 -2.588321
1.925332 1.099642
1.244467 5.014691
1.475742 -2.900278
-0.905290 -5.036487
-2.341135 -1.406065
-0.412170 -4.722320
-1.729842 -3.860385
1.955638 3.182186
1.888035 -0.357205
1.777748 5.089080
-0.584182 0.167295
0.888187 4.483251
1.709454 -1.883881
-0.908987 -2.007450
-0.966857 2.122168
0.465501 0.094224
1.309760 -0.689859
-0.191580 2.760878
0.283332 3.213907
0.339356 4.542318
0.228468 -3.693126
1.041856 -3.213775
0.903645 3.996671
0.958027 1.974955
-1.092336 1.460493
2.024699 4.114448
-2.088972 1.034168
0.552775 -3.320190
0.658608 2.640722
1.289820 4.341047
0.642869 4.678788
-1.024423 -5.096698
0.357888 -2.298350
-2.348216 -2.701330
-1.990882 -5.559257
0.522581 4.753740
1.273321 -2.999028
-1.594634 -1.965675
-0.076083 3.872731
-1.483452 -0.851067
1.453787 3.623863
0.805491 -3.629284
1.582106 4.463716
-1.217619 1.757309
-1.969309 -4.985461
-0.171911 1.797449
-1.848615 -3.232210
0.980451 -3.135399
-2.004046 1.205293
-1.091148 0.593052
0.794714 2.572066
1.664824 0.546511
1.005712 -0.000934
-1.262962 0.324457
0.129712 1.422038
0.618054 4.018616
0.838403 4.523843
-0.288266 -4.791090
1.514709 4.242704
-0.613912 2.000437
-2.101056 -1.541024
0.420229 1.760382
-1.954775 -5.838064
1.111081 -0.474691
-1.399212 1.147456
1.569061 2.318722
-1.282110 -5.660776
-0.980002 -3.689062
0.903483 0.070450
-1.910538 0.795215
1.741763 4.181329
-1.410141 1.641134
0.180151 2.787593
-1.575691 -1.131404
1.844459 -0.901958
0.872193 -2.516242
0.339084 -1.257098
1.581725 -1.257003
-0.101085 3.754637
1.190058 -2.357409
2.230513 0.971036
0.641566 3.052567
1.868566 -1.050838
1.116786 -1.985256
-0.205015 -1.437333
1.675097 -0.374624
-2.110164 -0.275818
-0.737559 0.019619
0.547149 -1.959520
-1.951390 -2.726504
0.878195 -0.630276
0.438419 1.801589
1.158850 3.924250
1.165174 -0.565298
1.227320 3.400879
0.908832 -0.797612
0.142512 1.165060
-1.728079 -3.805331
-0.621816 -2.181390
1.439214 0.008336
1.204607 -2.200654
1.953081 2.723739
-0.461596 -1.940766
1.835840 4.655084
-1.195146 -5.736484
1.964277 -0.379095
1.918052 0.075152
0.126319 1.757182
0.059833 -2.987555
-1.574867 1.212537
-1.069541 -3.543259
-0.570926 1.162955
2.134312 -0.045691
-1.982922 -0.890239
0.772645 3.289958
-1.252767 -3.253247
1.185164 -2.911299
-0.729923 -3.573015
-1.263983 -4.719639
-1.415235 0.707386
-2.113990 -2.785318
1.362560 -3.231190
0.303475 0.510121
-2.384207 -1.395186
0.763480 2.496702
-0.738785 -2.225939
1.724922 4.964874
1.382076 0.004845
