# Step: 50000.0
# U_max: -0.011149543337523937
# x (configurations):
-0.982439 -1.194877
-1.158066 -1.587248
-1.056283 -1.625300
-1.025289 -0.905693
-1.198669 -1.704679
-1.129414 -1.666166
-1.041515 -1.232486
-0.937167 -1.125628
-1.054885 -0.905487
-0.947666 -1.008800
-0.992010 -1.193230
-1.104973 -1.009837
-1.215596 -1.307700
-1.112885 -1.022984
-1.249566 -1.551184
-1.108419 -1.701773
-1.200777 -1.807951
-1.067775 -1.561929
-1.063003 -1.348448
-1.180481 -1.205489
-1.167731 -1.237369
-1.162017 -1.601755
-1.020678 -1.410138
-1.143468 -1.455955
-1.204469 -1.295616
-1.255268 -1.320501
-1.183507 -1.648514
-1.112618 -1.679251
-1.267370 -1.635949
-1.148562 -1.252501
-1.083559 -1.331603
-1.104307 -1.027079
-1.215631 -1.171890
-1.109576 -1.145457
-1.114238 -1.648713
-1.158711 -1.550386
-1.065078 -1.617282
-1.152123 -1.366340
-1.149640 -1.460202
-1.086162 -1.481881
-1.187035 -1.114188
-1.074967 -1.371783
-1.267231 -1.539300
-1.131928 -1.786773
-1.262126 -1.623161
-1.119759 -1.366559
-0.994051 -1.072666
-1.036693 -0.990967
-1.176046 -1.667985
-1.056024 -1.429772
-1.261618 -1.623990
-1.110913 -1.048343
-0.945676 -1.222477
-1.031158 -1.537091
-1.123774 -1.695185
-1.167759 -1.823711
-1.055432 -1.517769
-1.006838 -1.592873
-1.268233 -1.438269
-1.195897 -1.257002
-1.139912 -1.025653
-0.920528 -1.217743
-0.999776 -1.067925
-1.098250 -1.002672
-1.043782 -1.551415
-1.273733 -1.474008
-0.987335 -1.072354
-1.227543 -1.747120
-0.968609 -1.532842
-1.073922 -1.291973
-1.015142 -1.490582
-0.932533 -1.405585
-0.964485 -0.979329
-0.993110 -1.015744
-1.237056 -1.739414
-1.180341 -1.524442
-1.157032 -1.771376
-1.239143 -1.694234
-1.135171 -0.973413
-1.009524 -1.025624
-1.137230 -1.787678
-1.030851 -1.360104
-1.009200 -1.535784
-1.015022 -1.644492
-1.233727 -1.397497
-1.094692 -0.924543
-1.211182 -1.378591
-1.145372 -0.987898
-0.974663 -1.078677
-1.147977 -1.496706
-0.983041 -1.426002
-1.016064 -1.213321
-1.210674 -1.478928
-1.123535 -1.712034
-1.055628 -1.571759
-1.153139 -1.558695
-1.215559 -1.126369
-1.243982 -1.613122
-0.964757 -1.441307
-0.956909 -1.058003
-1.217279 -1.219262
-1.156778 -1.642990
-1.263037 -1.612561
-1.231637 -1.785710
-1.251897 -1.746119
-1.059810 -1.172698
-1.042678 -1.627062
-1.258825 -1.590336
-1.111673 -1.325552
-0.961184 -1.238845
-1.103510 -1.566797
-0.925023 -1.342413
-1.132946 -1.467449
-1.098427 -1.315850
-0.981841 -1.531677
-1.244372 -1.258113
-1.051393 -1.676263
-1.075667 -1.720347
-0.910666 -1.050076
-1.048344 -1.214642
-1.017507 -1.124944
-1.149461 -1.377972
-1.210545 -1.747551
-1.190484 -1.641338
-1.103896 -1.317479
-1.078540 -1.260376
-0.910127 -1.257895
-1.111221 -1.422726
-0.964726 -1.087584
-0.933399 -0.954712
-0.951508 -1.329914
-0.964369 -1.156689
-1.159813 -1.669326
-1.041059 -1.567112
-1.015556 -1.302403
-1.124801 -1.618778
-1.226188 -1.587226
-1.223226 -1.215637
-1.175983 -1.107798
-1.010746 -1.566778
-1.241729 -1.322677
-1.249233 -1.298878
-1.053117 -1.303934
-1.127105 -1.749358
-1.244396 -1.597989
-1.210426 -1.347127
-0.959192 -1.127727
-0.969817 -0.949372
-0.965000 -1.420864
-0.982493 -1.166689
-1.171113 -1.710312
-1.168009 -1.303535
-1.124321 -1.076531
-0.992872 -1.434958
-1.186704 -1.716786
-1.021035 -1.263404
-0.954251 -1.015609
-1.100004 -0.983584
-1.042909 -0.895673
-1.170253 -1.746065
-0.993184 -1.149018
-1.008920 -1.231062
-1.251359 -1.476376
-0.947872 -1.240066
-1.142447 -1.548727
-0.999554 -1.377432
-0.971700 -1.142568
-1.076701 -1.081399
-1.080081 -1.080592
-1.111085 -1.159899
-0.998283 -1.569465
-0.989403 -1.557528
-1.134796 -1.381338
-1.074796 -0.971405
-1.209463 -1.579325
-1.106742 -0.937543
-1.166341 -1.783059
-0.927209 -1.133526
-1.253882 -1.453303
-1.000693 -1.466136
-0.960871 -1.508384
-1.048762 -1.178620
-1.020652 -1.038452
-1.216153 -1.266813
-1.115320 -1.155595
-1.136740 -1.780300
-1.139086 -1.665936
-0.918662 -1.264342
-1.109969 -1.222844
-0.988945 -0.972756
-1.247883 -1.546547
-0.947240 -1.433391
-0.990793 -0.902483
-1.149607 -1.100756
-1.263007 -1.362989
-0.964754 -1.117685
-1.051683 -1.083184
-1.218725 -1.292544
-1.220246 -1.706739
-1.234468 -1.176223
-1.107584 -1.274094
-1.115329 -1.612306
-1.096890 -1.438182
-0.940810 -1.203474
-1.151953 -1.262097
-1.082038 -1.437493
-1.061223 -1.149622
-0.989975 -1.246126
-1.243139 -1.581842
-1.020094 -1.027532
-0.993039 -1.564692
-1.230702 -1.466213
-1.099380 -1.585021
-0.974474 -1.487785
-1.231466 -1.513493
-1.149206 -0.991453
-1.170717 -1.416028
-1.231536 -1.335983
-1.134403 -1.663478
-1.046653 -1.554562
-1.050071 -1.272046
-0.959410 -1.256088
-1.059749 -1.188356
-1.058875 -0.988614
-1.273959 -1.465992
-1.061090 -1.528607
-1.173693 -1.481128
-1.183444 -1.534019
-1.273601 -1.561735
-1.148918 -1.514660
-1.142752 -1.821239
-1.018130 -0.950335
-1.014456 -1.142848
-0.926443 -1.235084
-1.253501 -1.539477
-1.186467 -1.329229
-1.150194 -1.256425
-0.983125 -1.348882
-1.209993 -1.815909
-1.150178 -1.350067
-1.090950 -1.034579
-0.972700 -1.148820
-0.916426 -1.223837
-0.971825 -1.501013
-0.975918 -1.332927
-1.250158 -1.510954
-1.040031 -1.129437
-1.199234 -1.606871
-1.028778 -1.016114
-1.047886 -1.444298
-1.158150 -1.087223
-1.168732 -1.699374
-1.211793 -1.114554
-1.257536 -1.508311
-1.194301 -1.129291
-1.098615 -1.752104
-1.034086 -0.890856
-1.098458 -1.224179
-1.243031 -1.523682
-1.104419 -1.645406
-0.924919 -1.282843
-1.120882 -1.531866
-1.000717 -1.409812
-1.010210 -1.175404
-1.173479 -1.691525
-1.248385 -1.762066
-1.051945 -0.911959
-1.103743 -1.217856
-1.024898 -1.392929
-1.134315 -1.125147
-1.199656 -1.772958
-1.169676 -1.193683
-1.062330 -1.113420
-1.000680 -1.052433
-1.152518 -1.403928
-0.954170 -0.933230
-0.991497 -1.582239
-1.174163 -1.507549
-1.023339 -1.007757
-1.194026 -1.470908
-1.265858 -1.559974
-0.989195 -1.027119
-1.212499 -1.632382
-1.099845 -1.112620
-1.169158 -1.507259
-1.152751 -1.711927
-1.014494 -0.898273
-1.194980 -1.470297
-1.155059 -1.152399
-1.074343 -1.293567
