# Step: 15000.0
# U_max: 20.950725555419922
# x (configurations):
0.096583 0.268189
-0.361565 -1.077369
-1.270161 -3.153445
-0.473795 0.767709
1.505422 2.728151
1.038653 -1.217351
1.547637 2.272760
1.623285 2.481113
-1.149988 -3.869222
-0.132631 -2.385034
-1.205713 -0.491161
1.483175 1.232495
-1.393181 -2.376747
0.293814 -1.336074
1.341150 3.261994
-0.998110 -4.060919
-1.123694 -1.998079
0.765743 1.088529
0.326255 -0.215390
0.008317 -0.209040
-0.227346 -0.081498
1.677646 1.982295
0.326226 -2.315959
-1.240463 -3.500554
-0.924744 0.663666
1.465750 2.244100
0.470427 -0.797039
-1.460678 -3.989448
1.303458 -0.776776
1.584686 1.270758
1.446795 2.730853
0.080634 -1.895029
-1.639982 -1.610037
1.399358 0.877197
-1.503016 -0.424122
-1.049594 -0.800852
-1.632362 -3.733093
0.277146 -0.546059
-1.495965 -0.740393
0.548144 0.716933
0.625145 -0.513338
-1.389148 -2.259421
1.080643 -0.369851
1.427765 2.582673
-0.387994 -2.759268
0.378690 -1.440380
-0.142331 0.951383
1.134295 -1.351742
-1.132513 -4.068941
-0.541400 0.978893
-0.345313 -0.723756
-1.644845 -1.886487
-0.119848 -0.747497
0.360573 0.990840
-1.128592 -3.054456
1.588658 1.865741
0.426840 -0.771310
-0.867956 0.897607
-0.963664 -1.275206
1.608805 2.105515
-0.512435 -0.796084
-1.375956 -1.615646
1.217249 3.227748
0.664710 1.290688
-1.885585 -3.214014
0.364515 2.240071
-0.676419 -3.642510
-1.497996 0.576919
-1.512546 -2.959465
0.221359 -0.555806
-0.561224 -1.261364
-1.650577 -3.478199
-0.073856 1.788506
-0.384482 0.907915
1.165501 -0.937230
0.335248 1.433406
1.407337 0.412971
0.610150 2.103526
-1.197649 -3.007035
0.771334 -1.584551
0.879944 2.530950
-0.867616 -3.508934
1.378319 0.886538
-0.468304 -0.277822
0.688852 0.282290
-0.714970 -0.505335
0.843564 2.834506
0.783366 0.610472
0.678836 0.234759
-1.859581 -1.281608
-1.693525 -0.642043
-1.579762 -2.741914
1.031662 1.822330
1.172808 1.716323
1.137483 2.200719
1.467779 3.264282
0.133060 -2.281367
1.458535 2.880027
0.709470 -1.190343
1.682254 2.091909
-1.252555 -4.325393
-1.663407 -3.117178
1.411312 2.959566
-0.050766 -2.682028
0.607814 -0.508520
-0.035203 1.787495
-1.433453 0.671667
1.197212 -1.282128
0.611171 2.221977
-0.890009 -2.651889
-0.879342 -0.742008
0.808562 2.472135
1.627017 2.115306
-1.273818 -2.789658
1.275252 0.355522
-0.062861 1.423092
1.008770 0.397667
0.026501 0.379771
0.228416 -0.205570
-1.135857 -3.660548
0.267554 -0.938422
0.329248 -2.000344
-0.636684 -2.248330
-0.726056 -2.788700
0.197347 1.947272
-1.177430 -3.772218
0.401470 -0.907783
0.654418 2.309439
0.762539 -0.490870
-1.298789 0.888304
0.954675 -0.485832
1.434517 2.333228
-0.709062 -3.241742
-1.507734 -1.561475
-1.642890 -0.343210
1.616574 2.214742
-1.420799 -2.280318
-1.320618 -2.301053
-1.226893 -1.374601
-0.101950 -2.202996
-0.623394 -0.329048
-1.673608 -1.760180
-0.392399 0.297987
0.589269 0.564350
0.731312 -1.412079
-0.902718 -3.308411
1.442940 0.924168
0.746604 2.781963
-0.825205 -1.408521
-1.444932 0.995204
-0.359030 -2.316239
-0.970525 -2.506906
-1.137278 -0.113119
-1.767066 -2.395269
0.232155 1.448549
1.401303 2.947059
-0.343054 -2.361892
-0.059801 0.545331
-0.980100 -0.539253
-0.097679 0.241187
0.054233 1.925328
-0.102538 0.295578
1.181188 -0.718703
-0.907567 1.310197
0.152435 1.775664
0.781699 1.349206
0.442563 2.171047
-1.316430 -3.270940
0.874967 2.325459
-0.975361 -4.056921
-0.021399 -0.723877
-0.777213 1.023432
1.425649 0.242349
-0.919844 -1.333910
-1.614255 -0.658876
-0.260498 -1.659459
1.594143 2.766417
0.973452 1.998724
0.680014 0.609312
-1.041937 -2.887140
0.865649 -1.752293
-0.299872 0.428486
-0.289032 -2.905623
0.257861 -0.565421
-1.003219 -1.317330
1.046911 1.775915
-0.681275 0.983780
1.379783 1.832328
0.550129 0.612627
1.744516 1.018173
-1.063696 -4.111498
-0.928878 0.516223
1.532971 -0.620933
-1.324846 0.566569
-1.210781 -1.524980
0.198332 2.088341
0.043308 -1.483036
1.425600 0.902722
0.690981 1.834177
-0.770086 1.347899
-1.957087 -2.369304
-0.356254 -2.640685
0.598576 -1.198527
-1.330814 -3.475398
-0.645401 -2.689076
-0.180324 -0.918728
-0.843817 -0.053782
-0.748158 -0.635360
-0.359284 -2.543286
-0.577533 -1.158941
0.047498 1.671773
-0.464516 -0.530681
-0.980256 -2.490223
-1.746891 -3.074104
0.430318 -1.417982
1.177004 0.419772
-0.664944 -3.593084
-0.453691 -0.988458
-1.818055 -2.084672
-1.757814 -0.362084
0.550439 -1.493096
-0.287912 -2.220731
0.762842 -1.607313
1.040376 -1.486559
-1.430653 -0.012553
1.449787 -0.236493
0.736103 -0.335124
-1.156664 -1.330372
-1.644256 -3.678880
-1.605327 0.155010
1.336133 1.711064
0.311692 1.821426
-1.868130 -2.059529
-1.196850 -4.069085
-0.823941 0.914506
-1.265287 -2.619785
1.094148 0.306049
1.643639 2.120835
0.002640 -1.980917
1.673466 1.979687
0.926199 -0.664342
-0.101301 0.891609
-0.852801 -3.488428
-0.981140 -3.686706
0.361237 -0.664615
1.054178 -1.532217
1.103427 0.653269
-0.317368 1.153739
-1.724088 -2.660381
1.779515 1.853777
0.160073 -2.372159
-0.996094 -2.566275
0.547492 1.002106
-1.715144 -0.071043
1.770298 2.205480
-0.625221 1.095033
1.206078 -1.414680
-1.534287 -3.076165
0.399726 0.641967
-1.245391 -0.083809
-1.564543 -1.643492
0.120060 0.438876
0.195488 0.671213
-1.396063 -0.369894
1.243458 -1.272694
1.129454 1.908660
1.449739 2.192553
0.565350 -1.129659
-1.677212 -3.405003
-1.259914 0.366306
-0.798198 -0.990918
1.454360 1.347412
-0.247532 0.604577
-0.523128 0.950185
-1.058043 -0.666013
0.311366 0.227072
-0.609704 -1.081787
-1.603544 -2.196415
1.198811 1.421882
1.567722 -0.356812
-0.323438 -0.610635
1.704805 2.069316
-1.214693 -2.842379
-1.916763 -2.472071
-0.906214 -1.541771
-0.312301 1.969948
-0.128450 1.921519
1.731600 0.652688
-1.100054 -0.856978
0.591983 -1.608575
-0.275788 -2.830328
-0.487179 -1.849414
-0.231656 -1.793150
1.745223 1.178064
-1.441369 0.907984
1.469369 0.807202
0.053397 -1.485448
0.875906 2.833987
1.102638 -0.908554
-1.944626 -1.266288
-1.401974 -4.182384
-0.944387 -2.746001
-1.669903 -4.014247
-0.777326 0.922619
0.186626 -0.384336
1.553390 0.744683
-0.760722 -3.613860
-1.271929 -3.215510
1.462227 1.498248
-0.947810 1.366752
-0.712807 -3.524599
0.221304 -0.885826
-0.699323 -3.232374
0.493273 0.882863
0.241070 0.699112
0.812801 -0.590025
-0.149766 -2.896565
-0.342349 0.131101
-0.880859 -3.796305
-1.036289 -3.282329
-1.762570 -1.668834
-1.363415 1.051724
-0.830021 -1.817887
-1.711321 -2.990967
-0.193854 -2.744331
1.747541 1.773016
0.347461 -0.850993
-0.260041 -1.140306
1.419409 0.641806
-0.267824 -1.475413
-1.301190 -4.281261
0.007343 1.866713
1.458407 2.658688
0.074391 -0.046994
-1.642718 -0.613429
1.698761 1.857451
-0.125458 -0.030452
1.362995 2.412709
0.499325 0.937572
0.424640 0.373245
1.630792 0.917815
0.393478 1.527550
-1.253489 -0.314151
-1.201124 -3.236731
-0.673779 -2.648939
0.342127 0.078112
0.769072 -1.126090
-0.868144 1.075538
0.637696 0.963849
1.142365 1.124054
-1.099300 -3.828112
-1.332868 1.083603
