# Step: 51000.0
# U_max: 2.3527228832244873
# Energy-calls: 51000
# x (configurations):
-0.646212 -0.336425
-1.374901 -1.585145
-0.794725 -1.925508
-1.261163 -2.519472
-1.300291 -0.278622
-1.448338 -2.086264
-1.002266 -1.597887
-1.183871 -0.169483
-1.472692 -1.205289
-1.127478 -0.668938
-0.772264 -1.625672
-0.901362 -0.345104
-0.933003 -0.101290
-1.069431 -1.055622
-1.114133 -0.637874
-0.963830 -2.292018
-0.257006 -0.264227
-1.500038 -1.851371
-0.448979 -0.152438
-0.398416 -0.532248
-0.473958 -0.693743
-0.864975 -1.585706
-0.389811 -0.685039
-0.972331 0.097568
-0.845749 -0.699324
-1.516326 -1.469982
-0.676186 -0.637054
-1.060055 -0.409120
-0.178462 -0.585820
-1.002357 0.013832
-0.179077 -0.590036
-1.445890 -2.482220
-1.112486 -1.158390
-1.390246 -2.173114
-0.842107 -1.437654
-1.108685 -1.873103
-0.846240 -1.028385
-0.884537 -1.071620
-0.320424 -0.328572
-0.928834 -2.445848
-1.398402 -2.524073
-0.986796 -2.357037
-0.650881 0.082865
-0.361348 -0.098666
-1.508254 -2.421070
-0.417242 -1.200503
-0.945050 -1.368749
-0.696155 -0.067996
-0.414774 0.037028
-0.876316 -1.721076
-0.868246 -1.823544
-1.001250 -1.936338
-1.156381 -0.767378
-0.913148 -0.568453
-1.208068 -0.814212
-0.845731 -2.156118
-1.238085 -0.261511
-0.991352 -0.112726
-0.797202 -1.382235
-0.383491 -1.165066
-0.805355 -0.760309
-0.430787 -0.669579
-1.059053 -1.269197
-0.496804 -0.954332
-0.705429 -1.543742
-0.776272 -0.453447
-0.493668 -0.996892
-1.269728 -2.613217
-0.854247 -0.124342
-1.507343 -1.289210
-1.106061 -1.766735
-0.919934 -1.626358
-1.100473 -0.833342
-1.572701 -2.138945
-1.405807 -1.971064
-1.241881 -1.711515
-1.546568 -2.138692
-0.815591 -1.282449
-0.250024 -0.412978
-0.854500 -2.003325
-0.347415 -0.164060
-1.262024 -1.786716
-0.707384 -1.681364
-0.970902 -0.452334
-0.847629 -0.039188
-0.690392 -1.490885
-1.059845 -0.854975
-0.735782 -1.317095
-0.955551 -0.782100
-1.020752 -2.164729
-1.352853 -0.737338
-1.452433 -2.606561
-0.727715 -1.892892
-1.225798 -1.549486
-1.010783 -2.519024
-0.805838 -1.762690
-0.585438 -1.123376
-0.944220 -0.767478
-0.836584 -1.834571
-1.443073 -1.183301
-0.788892 -1.333165
-1.524590 -2.155613
-1.287677 -1.343463
-1.086549 -0.046125
-0.771405 -2.084349
-1.305172 -1.374906
-0.552027 -0.892365
-0.347369 -0.984105
-0.334075 -0.520845
-1.035275 -1.407462
-1.324106 -0.708018
-0.899737 -1.383757
-0.553749 -1.262075
-1.065383 -1.029908
-0.961776 -1.100388
-1.194070 -1.089537
-0.337210 -0.915690
-1.084094 -0.760819
-0.991684 -1.664822
-1.374444 -0.478085
-1.045365 -0.607347
-0.569490 -0.597530
-0.574602 -0.085386
-1.453385 -0.982049
-1.084884 -0.868019
-0.698937 -1.880386
-1.197999 -0.930771
-1.209970 -2.378143
-1.210317 -0.153809
-1.356357 -0.623777
-1.352093 -2.252924
-0.299692 -0.894167
-0.856868 -1.632091
-0.656067 -1.989807
-0.216573 -0.430223
-0.451672 -0.674032
-0.342995 -0.542869
-0.644374 -0.005614
-0.699541 -0.343962
-1.153614 -2.188084
-0.494450 -0.169477
-0.614423 -1.001000
-0.885218 -1.819358
-1.327254 -1.491579
-0.897062 -1.770749
-0.518398 -1.597368
-0.815221 -0.103445
-1.246706 -0.253516
-0.552427 -0.338683
-0.506584 -1.299138
-0.385970 -0.989755
-1.409892 -2.222787
-0.909479 -1.102223
-0.690990 -1.278154
-0.942029 -2.075523
-0.593953 -1.777194
-0.929816 -1.279186
-1.271908 -1.728156
-0.447676 -0.112450
-0.148969 -0.451798
-0.607321 -1.350457
-0.370701 -0.902377
-1.466625 -2.348051
-1.190126 -2.426878
-1.532597 -1.774259
-1.225118 -1.172114
-1.412163 -2.387791
-0.874395 -0.742584
-0.484568 -0.453325
-1.035391 -0.110596
-1.427990 -2.356232
-0.415218 -0.219059
-1.137319 -1.669212
-1.061115 -2.367650
-0.866733 -1.993743
-0.617852 -0.866388
-1.031653 -0.558824
-1.456253 -2.496119
-1.324009 -1.383217
-1.368392 -0.911698
-1.173604 -0.872291
-0.263128 -0.824009
-0.244090 -0.108831
-0.441169 -0.499353
-1.530089 -1.294932
-0.815617 0.108873
-0.870204 -0.354788
-0.918961 -2.230188
-1.087942 -0.096947
-0.324217 0.032474
-1.289758 -1.021919
-0.171220 -0.279118
-1.111726 -1.414645
-0.742335 -0.313031
-0.892893 -0.850723
-1.372160 -1.584643
-1.295146 -0.949613
-0.799781 -1.650234
-1.190619 -2.418533
-1.201996 -0.169118
-0.460838 -0.604313
-0.515124 -0.481265
-0.759426 -2.017374
-0.913146 -0.065012
-0.895694 -0.774351
-1.018865 -1.509297
-0.758915 -1.232253
-1.073808 -2.515357
-0.925373 -1.504489
-0.596102 -1.609449
-0.570999 -0.539071
-0.721416 -1.322318
-1.202284 -0.762076
-0.676177 -0.057451
-1.202715 -2.138371
-0.703714 -0.330282
-0.673458 0.121305
-1.035476 -1.304204
-1.104973 -0.240987
-1.013038 -1.822882
-0.608560 -1.273209
-0.878935 -2.062527
-0.813373 -0.729387
-1.487066 -1.175700
-1.003137 -2.474470
-1.015902 -2.348643
-1.426264 -2.339976
-0.982186 0.058622
-0.410702 -0.924346
-0.843752 -0.332710
-0.912210 -1.816814
-1.463927 -2.024558
-0.784720 -1.677258
-0.463477 -1.296223
-0.962492 -0.065563
-0.876071 -1.767233
-1.374589 -0.997702
-1.476811 -2.420893
-0.834915 0.046260
-1.282344 -1.392080
-0.238508 -0.077004
-0.406263 -0.415325
-1.453446 -1.386007
-1.105013 -2.067530
-0.876215 0.108018
-0.605230 -0.792605
-0.950565 -1.006501
-0.744482 -0.411715
-0.455139 -0.950972
-0.265681 -0.721191
-0.732931 -1.184343
-0.372016 -0.216101
-0.700511 -1.826290
-0.314397 -0.447960
-0.160166 -0.191719
-1.039078 -0.944747
-0.429367 -0.482972
-1.010256 -0.166239
-1.300710 -1.158215
-1.001429 -1.746496
-0.829281 -1.479495
-1.434966 -0.770365
-0.565798 -0.116717
-1.198856 -0.971429
-1.444934 -1.817796
-0.622301 -0.279378
-1.054410 -0.656940
-1.002116 -1.384264
-0.814445 -0.686333
-0.493670 0.105007
-1.284321 -1.661765
-0.370978 -0.611896
-0.413778 -0.102593
-0.719688 -1.346948
-1.381915 -2.492460
-0.726352 -1.180377
-0.668965 -1.237194
-1.064977 -2.170095
-1.092377 -1.945762
-1.077247 -0.503433
-0.861758 -1.861240
-1.112172 -1.742866
-0.572234 -0.235527
-1.065018 -2.444690
-1.156076 -2.366307
-0.299741 -0.203543
-0.311744 -0.260820
-1.412011 -1.781900
-0.479698 -1.082213
-1.093369 -0.190116
-0.763992 -0.617831
-0.930281 -1.273671
-1.208418 -0.517877
-1.306521 -1.003387
-0.902200 -1.044204
-0.838666 -0.355696
-0.340706 -0.890877
-1.265822 -2.545344
-1.237429 -2.690824
-1.331901 -1.312628
-0.713832 -0.372296
-0.543540 -0.733404
-1.239790 -1.236281
-1.020768 -1.335301
-0.712277 -1.082883
-0.315546 -0.966158
-0.635307 -0.226894
-0.815375 -0.580593
-0.844976 0.088710
-1.255734 -2.129566
-1.454436 -1.727777
-0.931312 -0.707281
-0.440798 -0.330746
-1.382901 -2.808083
-1.223671 -1.206009
-0.525442 0.135783
-1.007315 0.096102
-1.202013 -1.023277
-0.441641 0.071041
-0.935772 -2.237720
-1.257973 -0.480960
-0.866062 -1.085850
-1.129640 -1.404119
-1.328815 -1.424229
-0.636579 -1.081078
-0.859554 -1.557787
-0.659955 -0.733843
-0.468320 -0.618433
-0.934829 -1.445534
-1.270840 -0.900145
-0.898265 -0.223706
-0.631392 -0.504492
-0.973268 -1.090528
-0.465451 -0.465007
-0.973798 -0.535901
-1.230393 -1.995046
-0.970108 -1.326617
-1.246264 -0.727665
-1.595814 -1.935960
-0.444129 -0.667181
-0.431142 -1.074303
-1.122913 -2.334386
-0.517705 -0.526991
-0.923004 -2.157314
-1.189131 -2.343013
-1.291276 -1.618270
-0.859697 -1.223971
-0.740198 -0.365039
-1.429513 -1.202702
-1.194473 -2.164020
-0.576899 -0.902037
-0.796611 -0.161946
-1.318815 -1.916644
-1.518527 -1.753095
-1.305492 -1.994560
-1.417617 -2.681106
-0.316767 -0.677113
-1.025695 -1.828178
-0.880938 -0.696813
-0.521615 -0.365811
-0.910781 -0.478969
-1.073268 -0.570807
-1.526792 -2.115563
-1.091293 -0.023693
-0.523386 -0.728493
-0.547159 -0.269599
-0.775178 -0.253454
-1.053801 -0.894505
-0.459090 -0.580688
-1.370556 -2.746028
-1.479324 -2.153329
-0.851162 -2.047975
-1.001904 -1.975901
-0.748750 -0.584599
-0.743862 -0.565205
-1.526905 -2.475650
-0.651507 -1.254471
-0.213636 -0.615249
-1.277466 -2.251823
-0.860690 -1.673165
-0.215099 -0.843835
-1.304598 -0.404273
-1.186291 -2.261792
-0.595099 -0.945554
-0.398698 -0.551300
-0.925045 -1.541053
-1.206781 -2.743011
-1.172383 -0.680993
-1.139808 -0.097395
-0.446411 -1.338525
-1.055234 -0.331740
-1.159894 -0.307635
-0.669961 -0.113569
-1.196583 -2.227181
-0.857738 -0.669475
-1.367944 -0.739593
-0.666668 -0.837323
-0.152358 -0.311763
-1.081468 -0.356366
-0.654967 -0.944515
-1.182901 -2.552062
-0.583778 -1.323273
-0.751754 0.010945
-1.307095 -1.788304
-0.733270 -0.002194
-0.496958 -1.604252
-0.515469 0.053269
-0.824115 -1.141609
-0.640808 -1.271068
-0.757847 -2.194293
-0.812394 -0.869949
-0.996505 -1.184688
-1.151924 -1.446891
-0.631869 -1.892190
-1.114216 -2.506793
-0.691755 -1.813376
-1.012032 -1.876623
-1.444993 -1.822307
-1.075513 -1.897423
-0.421865 -0.746396
-1.245029 -1.007646
-0.964392 -1.676002
-0.654262 -0.766121
-1.216337 -1.673033
-1.406349 -0.521131
-1.321787 -0.801839
-1.241892 -0.525234
-0.769830 -1.133420
-0.872955 -1.855935
-1.133683 -1.073940
-1.282743 -1.472273
-1.244299 -0.503610
-1.269269 -0.813911
-1.323461 -1.027833
-1.247230 -2.805459
-1.424025 -1.322124
-0.836311 -0.406209
-1.280815 -2.185264
-1.059105 -1.456870
-0.710880 -1.905273
-0.753892 -0.298891
-0.335418 -0.325422
-0.600586 -0.253401
-0.403569 -0.880709
-0.945778 -1.199383
-0.759340 -0.414850
-1.299391 -2.528612
-0.584272 -0.454444
-1.567338 -2.156531
-0.358885 -0.645798
-1.560027 -1.580576
-0.875521 -2.392040
-0.714974 -1.651407
-1.038221 -1.005100
-0.978232 -0.266632
-0.584479 -1.509201
-1.083704 -0.853012
-0.230139 -0.710677
-0.715550 -0.761461
-0.361507 -0.167747
-1.455330 -0.813498
-0.795310 -0.434509
-1.270368 -0.279176
-0.664217 -0.782247
-0.309056 -1.088862
-0.319192 -0.732396
-1.018624 -0.799746
-1.233181 -1.059476
-0.382097 -0.838425
-0.736693 -0.921710
-1.279044 -0.995076
-0.845497 -1.845091
-0.626392 -1.201483
-1.387874 -1.498213
-1.435374 -1.703455
-0.890106 -0.978919
-1.363986 -1.663927
-1.203607 -1.122468
-1.105188 -0.076153
-0.436274 -0.170387
-1.141618 -0.034624
-1.258740 -0.441512
-0.903097 -1.649894
-0.566395 -1.526323
-0.153591 -0.259399
