# Step: 61000.0
# U_max: -3.1784563064575195
# x (configurations):
-1.127972 -1.253080
-1.157633 -1.237511
-1.123414 -1.355360
-1.111471 -1.446157
-1.092608 -1.569291
-1.113819 -1.203163
-1.113527 -1.168042
-1.125324 -1.327458
-1.010621 -1.291659
-1.103316 -1.260732
-1.188552 -1.363966
-1.030357 -1.347802
-1.098995 -1.271549
-1.077860 -1.163941
-1.147590 -1.482966
-1.084855 -1.107761
-1.131816 -1.180031
-1.047936 -1.383502
-1.067362 -1.156474
-1.151697 -1.559252
-1.071422 -1.219417
-1.063142 -1.303424
-1.012822 -1.279527
-1.010601 -1.174127
-1.084239 -1.256173
-1.111201 -1.316521
-1.073717 -1.249657
-1.152130 -1.268670
-1.183539 -1.506395
-1.040097 -1.266491
-1.201917 -1.417627
-1.129066 -1.450648
-1.170441 -1.321477
-0.999737 -1.246796
-1.123905 -1.307608
-1.007136 -1.197252
-1.168265 -1.541349
-1.033260 -1.177194
-1.065092 -1.535233
-1.105685 -1.233895
-1.170583 -1.365318
-1.094467 -1.371073
-1.040831 -1.384103
-1.119799 -1.486455
-1.065955 -1.298787
-1.023661 -1.365819
-1.201526 -1.530225
-1.179141 -1.258379
-1.151625 -1.272598
-1.056360 -1.472273
-1.174845 -1.483090
-1.125926 -1.246128
-1.128484 -1.358857
-1.153035 -1.459614
-1.173618 -1.395084
-1.176099 -1.435689
-1.120317 -1.217602
-1.053349 -1.113422
-1.162845 -1.454310
-1.051605 -1.393224
-1.113775 -1.540282
-1.130917 -1.230078
-1.085716 -1.484771
-1.180694 -1.361522
-1.104772 -1.232268
-1.178626 -1.448360
-1.091693 -1.274033
-1.127374 -1.368441
-1.121870 -1.306315
-1.052821 -1.410647
-1.022504 -1.380957
-1.081990 -1.346954
-1.084901 -1.572556
-1.021469 -1.178425
-1.138952 -1.288444
-1.123931 -1.395680
-1.027962 -1.307395
-1.009849 -1.270087
-1.094895 -1.169556
-1.089696 -1.174462
-1.130334 -1.423736
-1.067083 -1.407319
-1.183345 -1.489847
-1.055313 -1.484720
-1.126528 -1.521278
-0.997431 -1.253044
-1.040955 -1.145979
-1.051512 -1.498929
-1.159710 -1.509904
-1.174678 -1.415817
-1.142353 -1.204790
-1.142664 -1.217267
-1.059963 -1.287379
-1.160778 -1.286081
-1.102640 -1.335590
-1.164622 -1.514052
-1.010815 -1.359016
-1.051874 -1.142258
-1.025058 -1.422291
-1.072931 -1.324172
-1.174970 -1.264885
-1.006706 -1.347076
-1.057999 -1.175426
-1.156069 -1.555234
-1.080451 -1.487526
-1.101185 -1.119699
-1.133297 -1.193375
-1.107464 -1.483317
-1.135915 -1.488602
-1.087408 -1.572896
-1.203586 -1.493128
-1.120234 -1.552831
-1.190633 -1.306481
-1.140819 -1.465447
-1.144828 -1.375423
-1.085523 -1.489353
-1.017528 -1.182776
-1.164466 -1.584268
-1.173721 -1.251242
-1.093216 -1.299889
-1.172725 -1.373406
-1.097831 -1.424269
-1.111360 -1.417521
-1.086820 -1.536555
-1.018425 -1.298646
-1.191474 -1.372586
-1.143512 -1.351406
-1.156695 -1.331395
-1.084615 -1.570994
-1.079298 -1.311816
-1.148392 -1.275337
-1.095214 -1.243442
-1.107331 -1.244276
-1.154954 -1.271603
-1.164809 -1.242223
-1.196001 -1.491001
-1.080369 -1.333060
-1.090152 -1.317702
-1.140146 -1.619016
-1.194350 -1.382682
-1.145230 -1.347075
-1.123305 -1.366502
-1.147437 -1.385118
-1.084028 -1.391976
-1.089016 -1.549016
-1.128283 -1.280699
-1.120508 -1.438126
-1.057310 -1.494341
-1.171976 -1.563520
-1.035346 -1.185793
-1.142476 -1.441062
-1.138232 -1.207101
-1.019699 -1.371265
-1.134493 -1.390180
-1.175355 -1.478598
-1.139949 -1.244590
-1.070707 -1.163276
-1.129525 -1.383533
-1.098464 -1.200093
-1.084560 -1.516105
-1.139337 -1.501943
-1.124799 -1.608710
-1.045039 -1.200077
-1.187127 -1.499605
-1.042158 -1.393845
-1.177592 -1.522345
-1.167001 -1.260639
-1.076855 -1.479533
-1.015548 -1.269406
-1.112462 -1.442603
-1.139140 -1.527502
-1.203686 -1.407574
-1.154230 -1.500929
-1.051932 -1.184695
-1.194202 -1.446516
-1.175885 -1.357523
-1.058852 -1.128674
-1.017638 -1.207136
-1.115160 -1.571843
-1.114815 -1.135039
-1.144000 -1.434709
-1.052279 -1.147847
-1.189163 -1.576480
-1.096562 -1.391115
-1.064467 -1.359145
-1.058150 -1.306265
-1.172875 -1.478288
-1.070450 -1.467728
-1.112816 -1.264987
