# Step: 81000.0
# U_max: -1.8858529329299927
# Energy-calls: 8100000000
# x (configurations):
-1.289683 -1.863401
-0.923521 -1.568066
-1.174874 -1.280496
-1.175871 -1.734520
-0.939209 -0.680813
-1.310851 -1.424695
-1.069390 -0.837667
-1.089128 -1.807543
-0.956415 -0.803321
-1.125398 -2.066296
-0.905916 -1.046163
-1.116788 -1.051887
-1.174518 -1.949170
-1.069697 -1.702804
-0.883028 -1.227784
-1.077656 -1.919053
-1.117308 -0.876993
-1.130464 -1.622921
-1.222188 -1.191589
-0.994066 -1.634584
-1.136501 -1.017444
-0.947868 -1.030867
-1.165585 -1.130824
-1.035401 -1.712754
-1.346885 -1.331781
-1.265595 -1.844799
-1.305960 -1.401850
-0.930860 -0.958849
-1.025451 -1.420425
-1.333326 -1.813069
-1.233382 -1.354082
-1.192295 -1.166077
-0.857151 -1.366780
-1.344166 -1.845935
-1.168921 -1.917217
-1.149976 -1.391940
-0.919386 -1.228524
-1.193992 -1.713335
-1.110605 -2.033261
-0.970898 -1.685395
-1.365780 -1.537142
-0.931919 -1.297328
-1.269305 -1.849027
-0.879346 -1.385117
-1.056024 -0.977896
-1.307305 -1.974820
-1.246928 -1.297764
-1.167518 -1.154614
-1.299459 -1.732200
-0.830208 -0.706723
-1.121502 -1.001006
-1.075742 -1.028194
-0.821614 -0.940565
-1.261228 -2.030396
-1.079127 -1.190399
-1.089365 -1.004628
-1.160925 -0.777829
-0.976221 -1.542313
-1.061442 -1.081867
-1.089615 -0.987257
-0.959852 -1.339106
-1.145474 -1.118434
-1.260321 -1.370004
-1.340031 -1.556619
-1.269538 -1.322729
-1.274577 -1.948955
-0.895641 -1.462726
-1.013810 -0.748817
-1.295160 -1.954710
-1.028070 -1.556871
-1.129619 -0.821616
-0.966846 -1.732140
-1.050614 -1.849005
-0.993896 -0.836120
-0.861627 -1.568111
-1.041024 -1.368195
-0.946009 -0.866984
-1.201972 -0.830707
-1.062035 -1.311934
-1.293917 -2.008092
-1.089918 -1.681589
-1.187177 -1.729993
-0.996564 -0.632026
-0.891650 -1.526169
-1.184855 -1.900706
-1.010022 -1.898927
-0.923883 -1.311274
-1.360722 -1.805838
-0.998956 -1.628516
-1.065779 -1.918482
-1.286421 -1.505471
-1.288140 -1.438803
-1.178646 -1.010761
-1.149168 -1.133083
-0.983413 -1.610635
-0.951848 -1.760634
-1.248867 -1.680444
-1.035561 -0.992929
-0.953340 -1.070878
-1.022325 -1.159032
-1.048406 -1.156906
-0.842546 -0.839340
-1.080372 -1.127004
-1.328969 -1.907957
-1.103448 -0.946934
-1.310977 -1.291724
-1.144251 -1.802355
-1.144072 -1.594835
-1.077264 -1.685778
-1.022059 -0.646217
-1.358080 -1.659991
-1.039833 -1.353041
-0.888189 -1.229066
-1.101540 -1.689265
-1.018967 -1.142369
-0.983620 -0.794284
-1.099424 -1.669945
-1.078484 -1.910520
-1.339975 -1.684021
-1.091996 -1.607180
-0.982866 -0.799120
-1.101725 -0.830786
-0.992405 -0.724672
-0.971359 -1.748986
-1.338555 -1.607985
-1.090257 -1.725075
-0.840746 -1.266749
-1.023709 -1.646012
-0.982836 -1.497856
-1.216673 -1.227012
-1.191560 -0.826440
-1.122076 -1.693328
-1.208095 -1.593450
-0.924070 -0.651447
-0.762989 -0.870422
-1.342089 -1.430810
-1.145534 -0.806875
-0.779986 -0.942231
-0.814707 -1.205234
-0.935392 -0.668939
-1.220110 -1.809019
-0.847218 -1.235249
-1.007314 -1.750516
-1.037189 -1.765076
-1.335850 -1.884098
-1.019297 -1.327946
-0.952707 -1.654951
-1.221368 -1.504330
-1.304857 -2.041553
-0.882035 -0.952062
-1.057274 -0.964771
-1.141601 -1.887169
-1.133379 -1.814229
-1.014904 -0.820153
-1.237318 -0.970439
-0.952577 -1.524564
-1.116518 -0.839638
-1.086290 -2.005074
-1.316662 -1.178793
-0.823536 -1.370774
-1.095342 -0.857314
-1.082726 -1.053045
-1.015633 -0.833235
-1.105929 -0.935817
-0.807903 -1.199584
-0.992364 -1.613014
-1.359700 -1.624297
-1.186953 -1.223049
-1.008934 -1.057233
-1.098225 -1.118433
-1.245054 -1.269740
-0.995806 -1.527618
-1.044958 -1.234610
-1.135829 -1.175229
-1.104254 -1.323757
-0.860039 -1.501655
-1.258804 -1.642877
-1.301887 -1.537228
-1.176787 -1.304714
-0.978173 -1.475785
-1.287039 -1.433987
-0.950266 -0.856815
-1.249723 -1.107132
-1.227641 -1.056634
-1.048393 -1.479519
-1.155375 -0.991941
-0.921047 -0.626164
-0.887968 -1.617652
-1.105174 -1.559669
-0.857938 -0.938516
-1.211329 -2.027259
-0.804785 -1.237922
-0.853356 -0.771449
-1.340970 -1.902246
-1.160731 -1.066746
-0.811656 -0.734782
-0.906638 -0.621089
-1.011560 -1.380352
-0.824518 -1.376951
-1.119123 -1.263631
-0.874792 -1.349605
-1.068521 -1.066805
-0.977812 -0.777001
-1.113502 -1.853055
-1.126918 -0.702715
-0.895630 -1.677180
-1.014491 -1.928245
-1.176585 -1.779552
-0.847806 -0.957443
-1.153482 -1.855041
-1.136152 -1.295199
-1.194911 -1.112058
-0.977192 -0.598119
-0.954665 -1.588107
-0.984893 -1.037498
-1.153054 -1.801486
-1.190639 -1.769742
-0.894972 -1.496031
-1.276611 -1.718192
-0.947946 -1.650021
-1.342368 -1.705551
-1.211414 -1.834109
-0.851380 -1.126476
-0.908061 -1.583433
-1.140580 -1.625457
-0.919228 -0.691678
-1.027802 -1.850230
-0.924685 -0.835337
-1.227852 -2.078800
-0.978558 -1.044796
-1.371199 -1.573540
-1.306094 -1.130730
-1.117609 -1.029993
-1.266420 -1.194806
-1.194540 -0.962155
-0.999693 -0.933616
-0.925696 -1.205640
-0.812499 -1.123174
-1.111322 -0.794847
-0.867411 -1.269680
-1.262478 -1.581162
-1.104823 -0.829058
-1.022017 -1.003800
-1.261531 -1.502443
-0.968971 -0.932242
-0.948694 -0.809685
-1.057733 -1.349156
-1.205963 -1.832115
-1.302338 -1.310131
-1.363155 -1.707633
-1.064233 -1.036678
-0.964746 -1.479948
-0.836971 -0.666219
-0.995757 -1.873028
-1.264818 -1.395630
-1.266933 -1.721074
-1.352321 -1.515227
-1.327396 -1.688739
-0.991259 -1.879927
-0.975681 -0.916934
-0.981120 -1.251504
-1.024286 -1.723015
-1.001369 -0.717925
-0.938031 -1.623576
-0.868804 -0.835882
-0.863172 -0.980903
-1.138239 -1.520428
-1.201641 -1.672857
-0.824490 -1.273687
-0.970099 -0.757137
-1.146073 -1.093692
-0.874767 -0.654987
-1.122199 -1.360663
-0.889599 -0.890495
-1.191541 -1.814288
-1.231404 -1.318393
-1.276852 -1.628368
-1.281855 -1.922789
-1.257567 -1.726909
-1.294109 -1.759305
-0.955081 -1.337618
-1.306482 -1.204663
-1.073061 -1.588662
-1.357110 -1.704629
-1.066449 -1.188241
-1.121549 -1.683388
-1.183077 -1.274978
-1.004016 -1.893459
-1.312705 -1.243788
-1.270414 -1.913831
-0.890571 -1.242450
-1.235020 -1.853902
-1.132491 -1.092550
-1.091709 -0.651309
-1.171563 -0.874195
-1.207481 -1.800479
-1.012413 -1.373425
-0.995821 -1.715489
-0.852544 -0.708628
-1.225007 -1.145028
-1.164361 -1.939559
-0.783247 -0.987722
-1.149057 -0.722750
-0.931045 -1.637236
-1.141881 -1.278469
-1.117206 -1.396521
-0.976218 -0.748786
-1.188126 -1.679426
-1.084762 -1.802361
-1.031772 -1.211818
-1.211511 -1.641379
-1.325159 -1.782980
-1.114367 -1.669896
-0.932580 -1.084833
-1.147363 -1.888485
